"","Tissue","gene","Test","design","fdrtool","baseMean","log2FoldChange","pvalue","padj","keep","lm_model","lm_p","rsq"
"GON.187","GON","VIPR2","LRT_full_interaction","~ Year + Status + mean_T + Status:mean_T","no",155.294984227759,-2.02745413809456,0.00496610176454955,0.495783031668561,"no"," ~ Status + mean_T + Status:mean_T",0.0576544227148542,0.47029037800037
"GON.GON_mean_T.57","GON","AVPR1A","mean T","~ Year + mean_T","no",188.29251603091,0.793136188725637,4.93740047452805e-05,0.0139780406065718,"yes"," ~ mean_T",0.00138745522841506,0.66
"GON.GON_mean_T.715","GON","PRLR","mean T","~ Year + mean_T","no",1011.59666948145,0.323659321795823,0.019728456380305,0.441366356255777,"yes"," ~ mean_T",0.021719986897229,0.42
"GON.GON_Strength.595","GON","VIPR1","Strength","~ Year + strength.all_study","no",120.521601526541,0.458534514698757,0.0219762358470351,0.587189104830304,"no"," ~ strength.all_study",0.168034433942776,0.18
"VMH.505","VMH","GNRH1","LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","no",40.9445428258065,7.8539770043726,9.89415258416656e-05,0.0635526633970121,"no"," ~ Batch + Year + Status + mean_T + Status:mean_T",0.128811944474451,0.745799405687836
"VMH.506","VMH","AVPR1A","LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","no",131.758681297536,2.22699542109246,0.00277279217808301,0.455286216775925,"no"," ~ Batch + Year + Status + mean_T + Status:mean_T",0.183381717507119,0.541803686262959
"VMH.507","VMH","PGR","LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","no",751.303433394697,-1.0477832781409,0.0051705548026937,0.607720557507302,"no"," ~ Batch + Year + Status + mean_T + Status:mean_T",0.00699191734000581,0.87941992292783
"VMH.VMH_Strength.50","VMH","AR","Strength","~ Batch + Year + strength.all_study","yes",951.594027461693,0.631709767348041,0.0102629000404976,0.104352986995793,"no"," ~ strength.all_study",0.931396434461705,0.00078
"VMH.VMH_mean_T.42","VMH","AVP","mean T","~ Batch + Year + mean_T","yes",1481.91659332649,2.51144333418385,0.00192476873215334,0.326834390476001,"no"," ~ Batch + Year + mean_T",0.0549433641188834,0.12
"VMH.VMH_mean_T.123","VMH","AVPR2","mean T","~ Batch + Year + mean_T","yes",10.8152744185457,-1.12509599151692,0.00765919698173343,0.588326063178375,"yes"," ~ mean_T",0.0537000362178709,0.32
"VMH.VMH_Status.66","VMH","ESR2","Status","~ Batch + Status","no",944.935332079703,-0.444866898619376,0.00305286632837198,0.660095929622496,"yes"," ~ Batch + Status",0.0199088047861117,NA
"VMH.VMH_Strength.165","VMH","GNRH1","Strength","~ Batch + Year + strength.all_study","yes",40.9445428258065,2.78581023944146,0.0336785704088822,0.280832007387011,"no"," ~ strength.all_study",0.0235803304376694,0.42
"VMH.VMH_mean_T.87","VMH","OXT","mean T","~ Batch + Year + mean_T","yes",1460.67491837151,3.13955069525372,0.00389436210527437,0.394230565594058,"no"," ~ Batch + Year + mean_T",0.0479544689156752,0.25
"AH","AH","GNRH1","Status","~ Status","no",5.33368831612488,1.74941764048409,0.0398454312491256,0.581074175059356,"no"," ~ Status",0.0322534743051746,NA
"PVN.385","PVN","AR","LRT_full_interaction","~ Status + mean_T + Status:mean_T","no",543.240535268517,-0.724439277380444,0.00716919191796475,0.841634576684802,"yes"," ~ Status + mean_T + Status:mean_T",0.0391226230537336,0.626406703514859
"PVN.391","PVN","OXT","LRT_full_interaction","~ Status + mean_T + Status:mean_T","no",32779.2369909107,1.20365916053195,0.032871393275153,0.978845097161908,"no"," ~ Status + mean_T + Status:mean_T",0.112756079833469,0.349812211223245
"PVN.PVN_mean_T.165","PVN","AR","mean T","~ mean_T","yes",543.240535268517,0.352586055861,0.0157966214445335,0.552109926001516,"no"," ~ mean_T",0.100723410035008,0.25
"PVN.PVN_Strength.867","PVN","AR","Strength","~ strength.all_study","no",543.240535268517,0.19163473821087,0.0345817384391872,0.583805744978003,"no"," ~ strength.all_study",0.059653699772079,0.31
"PVN.PVN_Strength.381","PVN","AVP","Strength","~ strength.all_study","no",30862.3389127813,-0.504370961405524,0.026723733604611,0.580778363090407,"no"," ~ strength.all_study",0.157079020328096,0.19
"PVN.PVN_Strength.382","PVN","AVPR2","Strength","~ strength.all_study","no",14.8711040466603,0.497871401874768,0.0236595745783064,0.580778363090407,"yes"," ~ strength.all_study",0.0178797824945433,0.44
"PVN.PVN_Status.95","PVN","ESR2","Status","~ Status","yes",818.717883014267,-0.640643771200812,0.00642229331941499,0.17709084322784,"yes"," ~ Status",0.0418525611963677,NA
"PVN.PVN_Strength.982","PVN","OXT","Strength","~ strength.all_study","no",32779.2369909107,-0.330582555510968,0.0360568971990569,0.594036817976587,"no"," ~ strength.all_study",0.101937581620946,0.24
"PVN.PVN_Status.295","PVN","VIPR1","Status","~ Status","yes",380.232614067546,0.307469823524154,0.02400242447988,0.357973488048524,"yes"," ~ Status",0.0586657901400272,NA
"POM.353","POM","VIP","LRT_full_interaction","~ Status + mean_T + Status:mean_T","no",3497.11290887951,0.623797949070598,0.00245198760401704,0.348406391526501,"no"," ~ Status + mean_T + Status:mean_T",0.0321336731030522,0.507513421930277
"POM.POM_mean_T.2","POM","AR","mean T","~ mean_T","yes",794.62877770785,0.664645582783178,2.08997907036991e-07,2.35185371575408e-05,"yes"," ~ mean_T",0.000823311386905979,0.73
"POM.POM_Status.16","POM","AR","Status","~ Batch + Status","no",828.546095500921,0.666833884898269,0.000430449307866904,0.346579658513047,"no"," ~ Status",0.00822618062670417,NA
"POM.POM_mean_T.246","POM","CYP19A1","mean T","~ mean_T","yes",1533.72001843768,0.545869474260343,0.0161701590248783,0.370404821716347,"yes"," ~ mean_T",0.0190803670491772,0.47
"POM.POM_mean_T.111","POM","GNRH1","mean T","~ mean_T","yes",1318.75271113871,0.39941084245109,0.00562690701887292,0.208205758739364,"yes"," ~ mean_T",0.0351437186647936,0.41
"POM.POM_Status.130","POM","PGR","Status","~ Batch + Status","no",1060.15247402086,0.44285826534096,0.00602019383257476,0.700590375490847,"yes"," ~ Batch + Status",0.0239054798731992,NA
"POM.POM_mean_T.35","POM","PRLR","mean T","~ mean_T","yes",4007.58918545803,0.254080648126781,0.000780720484710675,0.0537270362944049,"yes"," ~ mean_T",0.00747530603363151,0.57
"POM.POM_Status.266","POM","PRLR","Status","~ Batch + Status","no",4693.06052866842,0.231795020107306,0.0158495646231993,0.909945675753161,"no"," ~ Batch + Status",0.0295590366883351,NA
"ICO.241","ICO","OXTR","LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes",23.8584644143416,3.53571610035422,0.0244601082884507,8.18882315009528e-14,"no"," ~ Status + mean_T + Status:mean_T",0.0756889239871121,0.521805585140132
"ICO.242","ICO","ESR2","LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes",233.803182968191,-0.909815733646523,0.0347161672850275,8.76664430403516e-11,"no"," ~ Status + mean_T + Status:mean_T",0.322191786174743,0.393718837792165
"ICO.243","ICO","AVPR1A","LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes",85.4311542735012,2.13234955722211,0.0359845330063644,1.67778128380579e-10,"no"," ~ Status + mean_T + Status:mean_T",0.0877082137064041,0.429825430706966
"ICO.ICO_mean_T.242","ICO","VIP","mean T","~ Batch + Year + mean_T","yes",405.910335678373,-0.982856910566881,0.0110157219401671,0.171594987673621,"yes"," ~ mean_T",0.0348121208077667,0.41
"ICO.ICO_Strength.159","ICO","VIPR2","Strength","~ Batch + Year + strength.all_study","yes",150.055071426736,-0.350969032444171,0.0159322305325134,0.195344261546739,"yes"," ~ strength.all_study",0.0401903607596856,0.39
"GCT.136","GCT","PGR","LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no",36.8947474663608,1.86116475880259,0.0045474400985673,0.132048565582197,"yes"," ~ Status + mean_T + Status:mean_T",0.00203287358350719,0.837637889153592
"GCT.137","GCT","VIP","LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no",1047.43041147031,1.5882953763776,0.00567411473657112,0.142777247591466,"yes"," ~ Status + mean_T + Status:mean_T",0.0153549817968757,0.753923780265464
"GCT.138","GCT","PRLR","LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no",734.934611477132,0.702747511416907,0.0107122412461528,0.199654724843251,"no"," ~ Status + mean_T + Status:mean_T",0.0709454541807823,0.42744847211066
"GCT.139","GCT","ESR1","LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no",76.6860560977758,1.10249201204522,0.0414669912207,0.358760168091483,"yes"," ~ Status + mean_T + Status:mean_T",0.0280821940096772,0.562110385934847
"GCT.GCT_Strength.894","GCT","AR","Strength","~ Batch + strength.all_study","no",149.977122689386,0.214705148638338,0.0316969570564955,0.530213218536395,"no"," ~ Batch + strength.all_study",0.0643935861711157,0.1
"GCT.GCT_mean_T.34","GCT","CYP19A1","mean T","~ Batch + mean_T","yes",17.7041519017197,-1.26919982788847,0.00248968535243225,0.346565028540956,"yes"," ~ mean_T",0.0237100063304436,0.42
"GCT.GCT_Status.52","GCT","OXT","Status","~ Batch + Status","yes",8.10008635018591,-3.08749136141467,0.00512313772971578,0.175366861284726,"no"," ~ Status",0.252916713317679,NA
"GCT.GCT_mean_T.147","GCT","PGR","mean T","~ Batch + mean_T","yes",36.8947474663608,-0.80059618766849,0.0143142227902487,0.710226563804446,"no"," ~ mean_T",0.0244491791310819,0.41
