"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0042572","retinol metabolic process","8/632","32/12134",0.000178872677727349,0.281008976709666,0.281008976709666,"ALDH1A3/LOC113995092/LOC113996821/LOC113999436/LOC114001898/LOC114001962/PNPLA2/RETSAT",8,632
"GO:0072205","metanephric collecting duct development","4/632","10/12134",0.00118966691872047,0.57887138723728,0.57887138723728,"CALB1/DLG5/LOC114001962/SHH",4,632
"GO:0006414","translational elongation","5/632","17/12134",0.00138268107272328,0.57887138723728,0.57887138723728,"ABTB1/EEF2/GTPBP1/LOC113991380/TSFM",5,632
"GO:0042552","myelination","8/632","45/12134",0.00201694267904882,0.57887138723728,0.57887138723728,"ACSBG1/ATRN/CMTM8/EGR2/LOC114001565/LOC114003174/NFASC/SERINC5",8,632
"GO:0009617","response to bacterium","8/632","46/12134",0.00233244459296425,0.57887138723728,0.57887138723728,"C3/GPM6A/LOC113995953/LPL/LSM5/NAALADL2/RAB29/UPK1B",8,632
"GO:0061640","cytoskeleton-dependent cytokinesis","5/632","19/12134",0.0023826372592745,0.57887138723728,0.57887138723728,"NOX5/LOC113992196/SEPT10/SEPT2/SEPT4",5,632
"GO:0030301","cholesterol transport","4/632","12/12134",0.00257931235560851,0.57887138723728,0.57887138723728,"APOA1/CD36/LCAT/OSBPL5",4,632
"GO:0043691","reverse cholesterol transport","4/632","13/12134",0.00357357649189358,0.701761083595602,0.701761083595602,"APOA1/APOC3/LCAT/LOC113997963",4,632
"GO:0072089","stem cell proliferation","4/632","14/12134",0.00479915202475569,0.782161697010938,0.782161697010938,"ABCB5/CD34/FGF2/RNF43",4,632
"GO:0042110","T cell activation","5/632","23/12134",0.00580246491108498,0.782161697010938,0.782161697010938,"CD44/KIF13B/PPP3CA/PPP3CB/RAB29",5,632
"GO:0070542","response to fatty acid","4/632","15/12134",0.00627815289732635,0.782161697010938,0.782161697010938,"CD36/HMGCLL1/SCD/SCD5",4,632
"GO:0071577","zinc ion transmembrane transport","4/632","15/12134",0.00627815289732635,0.782161697010938,0.782161697010938,"SLC30A3/SLC30A6/SLC39A1/TRPM2",4,632
"GO:0006904","vesicle docking involved in exocytosis","6/632","33/12134",0.00647237559588937,0.782161697010938,0.782161697010938,"CPLX2/LOC113982219/LOC113987192/LOC114001550/RAB12/VPS11",6,632
"GO:0006805","xenobiotic metabolic process","8/632","55/12134",0.00722384116395342,0.798631443779924,0.798631443779924,"AOC1/LOC113984987/LOC113990807/LOC113990865/LOC113991532/LOC113997963/LOC114002602/LOC114002603",8,632
"GO:0019433","triglyceride catabolic process","4/632","16/12134",0.00803110271029662,0.798631443779924,0.798631443779924,"APOC3/FABP5/LPL/PNPLA2",4,632
"GO:0017157","regulation of exocytosis","6/632","35/12134",0.00868702366095895,0.798631443779924,0.798631443779924,"CPLX2/LOC113987192/LOC113992196/RAB12/SEPT2/SEPT4",6,632
"GO:0008203","cholesterol metabolic process","8/632","57/12134",0.00895393775973522,0.798631443779924,0.798631443779924,"APOA1/HDLBP/LCAT/LOC113997963/NFE2L1/OSBPL5/PIP4P1/SQLE",8,632
"GO:0042391","regulation of membrane potential","10/632","83/12134",0.0107766730170204,0.798631443779924,0.798631443779924,"GABRA5/GABRA6/GABRR3/HCN4/KCNH2/KCNJ11/LOC113993938/LOC113994845/PIEZO1/RIMS4",10,632
"GO:0006897","endocytosis","15/632","150/12134",0.0115002418810239,0.798631443779924,0.798631443779924,"ANKFY1/EPS15L1/ESYT2/FNBP1/GAPVD1/LOC113982472/LOC113984025/LOC113992190/LOC113994022/LOC114000835/PIK3CB/PRG4/SHH/VTN/ZFYVE9",15,632
"GO:0006629","lipid metabolic process","11/632","97/12134",0.0119203200754715,0.798631443779924,0.798631443779924,"ABCA2/CD36/FABP5/HMGCLL1/JAZF1/LCAT/LRP1/PLAGL2/PLCL1/PLIN1/PRLH",11,632
"GO:0006911","phagocytosis, engulfment","4/632","18/12134",0.0124320544655801,0.798631443779924,0.798631443779924,"CD36/DOCK1/LOC113984271/LOC113984305",4,632
"GO:0019915","lipid storage","4/632","18/12134",0.0124320544655801,0.798631443779924,0.798631443779924,"APOA1/CD36/NRIP1/PNPLA2",4,632
"GO:0031274","positive regulation of pseudopodium assembly","3/632","10/12134",0.0128164571841438,0.798631443779924,0.798631443779924,"CDC42EP3/LOC113983416/WASHC1",3,632
"GO:0033173","calcineurin-NFAT signaling cascade","3/632","10/12134",0.0128164571841438,0.798631443779924,0.798631443779924,"PPP3CA/PPP3CB/PPP3R1",3,632
"GO:0042573","retinoic acid metabolic process","3/632","10/12134",0.0128164571841438,0.798631443779924,0.798631443779924,"ALDH1A3/LOC113995092/LOC113996821",3,632
"GO:0035774","positive regulation of insulin secretion involved
in cellular response to glucose stimulus","5/632","28/12134",0.0136802962149305,0.798631443779924,0.798631443779924,"CAMK2N1/DYNLL1/LRP1/PPP3CB/VSNL1",5,632
