"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0008217","regulation of blood pressure","9/478","58/12115",0.000408699450177015,0.555422552790563,0.555422552790563,"LOC113990682/NPR2/ATP1A1/GCGR/GCH1/MC3R/ACTA2/LOC113993563/EXTL1",9,478
"GO:0090305","nucleic acid phosphodiester bond hydrolysis","8/478","52/12115",0.000903274439815843,0.613774981854865,0.613774981854865,"RAD9B/PLSCR1/GEN1/RBBP8/ASTE1/ENPP1/ENPP2/LOC114001323",8,478
"GO:0042493","response to drug","19/478","226/12115",0.00156534786947129,0.709102584870496,0.709102584870496,"DAB1/SFRP2/LOC114000060/LOC114000287/MCM7/ATP1A1/WFDC1/ABCB5/GNAO1/GGH/APOD/LOC113989520/TP73/SORD/ADIPOR2/ATR/AGPAT2/PAM/SREBF1",19,478
"GO:0006911","phagocytosis, engulfment","4/478","17/12115",0.00378080730116647,0.717080542307202,0.717080542307202,"ARHGAP12/DOCK1/MFGE8/GSN",4,478
"GO:0051000","positive regulation of nitric-oxide
synthase activity","4/478","17/12115",0.00378080730116647,0.717080542307202,0.717080542307202,"NOS1AP/PIK3CB/GCH1/S100A1",4,478
"GO:0006814","sodium ion transport","7/478","52/12115",0.00409386059594698,0.717080542307202,0.717080542307202,"SLC5A3/SLC17A8/SLC12A3/SLC5A11/SLC13A4/SLC38A3/NDUFA9",7,478
"GO:0006027","glycosaminoglycan catabolic process","5/478","28/12115",0.00433683004202092,0.717080542307202,0.717080542307202,"IDS/GLB1L2/SDC1/SGSH/FUCA1",5,478
"GO:0007009","plasma membrane organization","5/478","28/12115",0.00433683004202092,0.717080542307202,0.717080542307202,"LOC113987015/LOC113993146/TLCD2/LOC113991140/LOC113993758",5,478
"GO:0061025","membrane fusion","6/478","42/12115",0.0057369378242703,0.717080542307202,0.717080542307202,"LOC113987015/LOC113993146/LOC113991140/LOC113993758/VAMP3/NSFL1C",6,478
"GO:0034341","response to interferon-gamma","3/478","10/12115",0.00595195743669366,0.717080542307202,0.717080542307202,"SLC11A1/CALCOCO2/GCH1",3,478
"GO:0090280","positive regulation of calcium
ion import","3/478","10/12115",0.00595195743669366,0.717080542307202,0.717080542307202,"LOC114000001/PDGFRB/LOC114003930",3,478
"GO:0098742","cell-cell adhesion via plasma-membrane
adhesion molecules","5/478","31/12115",0.00680515633955728,0.717080542307202,0.717080542307202,"CDH11/LOC114000287/CDH2/CDH19/CDH12",5,478
"GO:0016082","synaptic vesicle priming","4/478","20/12115",0.00700884933174131,0.717080542307202,0.717080542307202,"LOC113987015/LOC113993146/LOC113991140/LOC113993758",4,478
