"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0055072","iron ion homeostasis","5/274","24/11926",0.000183310710392249,0.130309519159867,0.129065168876973,"B2M/HEPHL1/TMPRSS6/PICALM/STEAP3",5,274
"GO:0030198","extracellular matrix organization","14/274","205/11926",0.000274914597383686,0.130309519159867,0.129065168876973,"HSPG2/LOC113999927/ADAMTS14/SERPINB5/VWA1/COL4A4/COL1A1/ITGA2B/COL7A1/CSGALNACT1/ITGA4/ITGB6/MMP23B/LOC113989166",14,274
"GO:0043122","regulation of I-kappaB kinase/NF-kappaB
signaling","4/274","24/11926",0.00201531768921078,0.50753033299253,0.502683829701684,"UFL1/ZFAND6/SQSTM1/ANGPT1",4,274
"GO:0045765","regulation of angiogenesis","4/274","27/11926",0.00315354410798957,0.50753033299253,0.502683829701684,"EGLN1/HTATIP2/ADGRA2/BMPER",4,274
"GO:0007611","learning or memory","5/274","46/11926",0.00391834240976356,0.50753033299253,0.502683829701684,"B2M/VIP/SLC1A1/CRHBP/PICALM",5,274
"GO:0019222","regulation of metabolic process","3/274","15/11926",0.0044469420328549,0.50753033299253,0.502683829701684,"MC3R/LOC113983719/MC5R",3,274
"GO:0051289","protein homotetramerization","5/274","48/11926",0.00471625335968181,0.50753033299253,0.502683829701684,"CBY1/B2M/LOC113984533/CBR4/KIF25",5,274
"GO:0043588","skin development","4/274","31/11926",0.00526219809862376,0.50753033299253,0.502683829701684,"DACT2/COL1A1/LOC113984533/ITGB6",4,274
"GO:2001224","positive regulation of neuron migration","3/274","16/11926",0.00538110843448724,0.50753033299253,0.502683829701684,"SEMA6A/LOC114003556/SEMA3A",3,274
"GO:0044267","cellular protein metabolic process","9/274","144/11926",0.00599329219319292,0.50753033299253,0.502683829701684,"HSPG2/VWA1/ALB/B2M/CDH2/TSPAN5/MFGE8/APH1A/IGF2",9,274
"GO:0007286","spermatid development","5/274","51/11926",0.00612007331549057,0.50753033299253,0.502683829701684,"LOC113990666/MKKS/OCA2/TOPAZ1/CCDC42",5,274
"GO:0051170","import into nucleus","3/274","17/11926",0.00642443459484215,0.50753033299253,0.502683829701684,"HTATIP2/GEMIN8/PRKAG1",3,274
"GO:0007189","adenylate cyclase-activating G protein-coupled
receptor signaling pathway","6/274","79/11926",0.0095425521490916,0.674318324023707,0.667879130611978,"DRD5/PTGER3/MC3R/VIP/LOC113983719/MC5R",6,274
"GO:0002027","regulation of heart rate","3/274","21/11926",0.0117444821548863,0.674318324023707,0.667879130611978,"LOC113999652/SEMA3A/MC3R",3,274
"GO:0050690","regulation of defense response
to virus by virus","3/274","21/11926",0.0117444821548863,0.674318324023707,0.667879130611978,"B2M/LOC113996056/AP1M2",3,274
"GO:0050776","regulation of immune response","4/274","39/11926",0.0119239617678228,0.674318324023707,0.667879130611978,"LOC113988910/B2M/COL1A1/ITGA4",4,274
"GO:0006383","transcription by RNA polymerase III","3/274","22/11926",0.0133717720952904,0.674318324023707,0.667879130611978,"GTF3C3/IVNS1ABP/POLR3G",3,274
"GO:0043085","positive regulation of catalytic activity","3/274","24/11926",0.0169932865365959,0.674318324023707,0.667879130611978,"PSEN2/APH1A/IGF2",3,274
"GO:0008045","motor neuron axon guidance","3/274","25/11926",0.0189892317062076,0.674318324023707,0.667879130611978,"SEMA3A/SLIT2/LOC113989166",3,274
"GO:0007200","phospholipase C-activating G protein-coupled
receptor signaling pathway","4/274","45/11926",0.0194168886103468,0.674318324023707,0.667879130611978,"PTGER3/MC3R/VIP/CX3CR1",4,274
"GO:0042987","amyloid precursor protein catabolic process","2/274","10/11926",0.0209548124023388,0.674318324023707,0.667879130611978,"PSEN2/APH1A",2,274
"GO:1902287","semaphorin-plexin signaling pathway involved
in axon guidance","2/274","10/11926",0.0209548124023388,0.674318324023707,0.667879130611978,"SEMA3A/PLXNC1",2,274
"GO:0007416","synapse assembly","4/274","47/11926",0.0224360859221487,0.674318324023707,0.667879130611978,"FARP1/GNPAT/CDH2/SLITRK1",4,274
"GO:0002040","sprouting angiogenesis","3/274","27/11926",0.0233538089608722,0.674318324023707,0.667879130611978,"RSPO3/ADGRA2/ANGPT1",3,274
"GO:0003323","type B pancreatic cell development","2/274","11/11926",0.0252278426972721,0.674318324023707,0.667879130611978,"CDH2/LOC113997043",2,274
"GO:0042104","positive regulation of activated
T cell proliferation","2/274","11/11926",0.0252278426972721,0.674318324023707,0.667879130611978,"CD24/IGF2",2,274
"GO:0030574","collagen catabolic process","3/274","28/11926",0.025722633363353,0.674318324023707,0.667879130611978,"ADAMTS14/TMPRSS6/MMP23B",3,274
"GO:0007186","G protein-coupled receptor signaling
pathway","17/274","446/11926",0.0285339170737042,0.674318324023707,0.667879130611978,"LOC114003556/DRD5/PTGER3/GRK2/NPFFR1/MC3R/VIP/CX3CR1/ADGRA2/ADGRF4/GNB5/LOC113984281/RGS20/TM2D1/LOC113983719/OPN3/MC5R",17,274
"GO:0007212","dopamine receptor signaling pathway","2/274","12/11926",0.0298208750847079,0.674318324023707,0.667879130611978,"DRD5/GNB5",2,274
"GO:0034142","toll-like receptor 4 signaling
pathway","2/274","12/11926",0.0298208750847079,0.674318324023707,0.667879130611978,"TLR4/TNIP3",2,274
"GO:0055091","phospholipid homeostasis","2/274","12/11926",0.0298208750847079,0.674318324023707,0.667879130611978,"TLCD2/ITGB6",2,274
"GO:0050772","positive regulation of axonogenesis","3/274","30/11926",0.0308321762163764,0.674318324023707,0.667879130611978,"PLXNC1/SLIT2/SLITRK1",3,274
"GO:0098869","cellular oxidant detoxification","4/274","53/11926",0.0331357896821904,0.674318324023707,0.667879130611978,"PRDX6/TXNRD2/ALB/PRXL2C",4,274
"GO:0006900","vesicle budding from membrane","2/274","13/11926",0.0347170628901494,0.674318324023707,0.667879130611978,"ANXA2/PICALM",2,274
"GO:0030210","heparin biosynthetic process","2/274","13/11926",0.0347170628901494,0.674318324023707,0.667879130611978,"ANGPT1/CSGALNACT1",2,274
"GO:0030030","cell projection organization","3/274","32/11926",0.0364336770321575,0.674318324023707,0.667879130611978,"CBY1/AK7/WTIP",3,274
"GO:0010977","negative regulation of neuron
projection development","4/274","56/11926",0.0394291439894116,0.674318324023707,0.667879130611978,"SEMA3A/B2M/CRMP1/DGUOK",4,274
"GO:0006826","iron ion transport","2/274","14/11926",0.0399001597112754,0.674318324023707,0.667879130611978,"B2M/HEPHL1",2,274
"GO:0010460","positive regulation of heart rate","2/274","14/11926",0.0399001597112754,0.674318324023707,0.667879130611978,"SLC1A1/LOC113984281",2,274
"GO:0045725","positive regulation of glycogen
biosynthetic process","2/274","14/11926",0.0399001597112754,0.674318324023707,0.667879130611978,"LOC114000193/IGF2",2,274
"GO:0050901","leukocyte tethering or rolling","2/274","14/11926",0.0399001597112754,0.674318324023707,0.667879130611978,"CX3CR1/ITGA4",2,274
"GO:0051146","striated muscle cell differentiation","2/274","14/11926",0.0399001597112754,0.674318324023707,0.667879130611978,"CDH2/IGF2",2,274
"GO:0071391","cellular response to estrogen stimulus","2/274","14/11926",0.0399001597112754,0.674318324023707,0.667879130611978,"CRHBP/TRIM24",2,274
"GO:0071356","cellular response to tumor
necrosis factor","5/274","82/11926",0.0402610144652339,0.674318324023707,0.667879130611978,"LOC114003556/ZFAND6/COL1A1/CRHBP/GPD1",5,274
"GO:0006805","xenobiotic metabolic process","4/274","57/11926",0.04166806760474,0.674318324023707,0.667879130611978,"LOC113991360/LOC113984985/LOC113984986/LOC113988246",4,274
"GO:0009888","tissue development","3/274","34/11926",0.0425199702365701,0.674318324023707,0.667879130611978,"HSPG2/LAMB4/LOC113989166",3,274
"GO:0002756","MyD88-independent toll-like receptor signaling
pathway","2/274","15/11926",0.0453545008925709,0.674318324023707,0.667879130611978,"TLR4/TNIP3",2,274
