"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0060438","trachea development","5/490","10/11926",2.43571084834073e-05,0.0273859115048139,0.0273859115048139,"LOC113987257/LOC113994177/LOC114000433/LOC113999122/LOC113992388",5,490
"GO:0002064","epithelial cell development","6/490","17/11926",3.92067451751094e-05,0.0273859115048139,0.0273859115048139,"LOC113987257/LOC113994177/LOC114000433/LOC113999122/LOC113992388/CXCR4",6,490
"GO:1904158","axonemal central apparatus assembly","5/490","12/11926",7.14743295516021e-05,0.0332832127945294,0.0332832127945294,"LOC113987257/LOC113994177/LOC114000433/LOC113999122/LOC113992388",5,490
"GO:0010976","positive regulation of neuron
projection development","13/490","107/11926",0.000430273667837705,0.150273078492318,0.150273078492318,"PTN/CNTN1/NDRG4/LOC113990140/CAMK1/LOC113996443/CFLAR/TWF1/AMIGO1/LOC114002148/FYN/PLPPR5/RGS2",13,490
"GO:0072657","protein localization to membrane","5/490","18/11926",0.000629889205397099,0.175991043987949,0.175991043987949,"TM9SF3/TM9SF2/HPS6/HGS/PACSIN1",5,490
"GO:0016082","synaptic vesicle priming","5/490","20/11926",0.00106480905655462,0.247923042001134,0.247923042001134,"LOC113991140/SNAP29/STXBP1/LOC113993758/LOC113987015",5,490
"GO:0061025","membrane fusion","7/490","42/11926",0.00146385302409097,0.262304189625964,0.262304189625964,"LOC113991140/SNAP29/LOC113993758/DNM1L/LOC113987015/LOC113993578/DNM3",7,490
"GO:0021591","ventricular system development","5/490","22/11926",0.00168986235263685,0.262304189625964,0.262304189625964,"LOC113987257/LOC113994177/LOC114000433/LOC113999122/LOC113992388",5,490
"GO:0045742","positive regulation of epidermal
growth factor receptor signaling pathway","5/490","22/11926",0.00168986235263685,0.262304189625964,0.262304189625964,"AFAP1L2/PDE6G/LOC113992190/HAP1/CNOT9",5,490
"GO:0006749","glutathione metabolic process","6/490","36/11926",0.00317975451944809,0.438632572688589,0.438632572688589,"LOC113990807/LOC113990865/LOC113989543/SLC1A1/LOC113984987/LOC113990605",6,490
"GO:0036120","cellular response to platelet-derived
growth factor stimulus","4/490","16/11926",0.00345379978494952,0.438632572688589,0.438632572688589,"PTN/SRC/FYN/PDGFRB",4,490
"GO:0001662","behavioral fear response","5/490","27/11926",0.00437440376484139,0.476743645681398,0.476743645681398,"SLC1A1/EIF4E/GRIK2/NR2E1/LOC113994845",5,490
"GO:0070374","positive regulation of ERK1
and ERK2 cascade","13/490","138/11926",0.00443641187820914,0.476743645681398,0.476743645681398,"PDGFRA/RAP1B/NECAB2/ATP6AP1/NDRG4/CFLAR/LOC113991532/SRC/GAREM1/LOC114002148/APELA/AKAP12/PDGFRB",13,490
"GO:0050776","regulation of immune response","6/490","39/11926",0.0048014802091374,0.479119132297496,0.479119132297496,"COLEC12/CD34/ITGA4/C3/COL1A1/SPPL2A",6,490
"GO:0003341","cilium movement","6/490","40/11926",0.00545718754223101,0.508246066433115,0.508246066433115,"LOC113987257/LOC113994177/CFAP53/LOC114000433/LOC113999122/LOC113992388",6,490
"GO:1901687","glutathione derivative biosynthetic process","4/490","20/11926",0.00807292584979853,0.653392369365563,0.653392369365563,"LOC113990807/LOC113990865/LOC113989543/LOC113984987",4,490
"GO:0042542","response to hydrogen peroxide","6/490","44/11926",0.00874490682988428,0.653392369365563,0.653392369365563,"HP/COL1A1/DUSP1/CASP3/FYN/PDGFRB",6,490
"GO:0023019","signal transduction involved in
regulation of gene expression","3/490","11/11926",0.00888651039223028,0.653392369365563,0.653392369365563,"EPCAM/PDGFRA/SMAD2",3,490
"GO:0050966","detection of mechanical stimulus involved in
sensory perception of pain","3/490","11/11926",0.00888651039223028,0.653392369365563,0.653392369365563,"PHF24/FYN/CXCR4",3,490
"GO:0006695","cholesterol biosynthetic process","5/490","33/11926",0.0105113468324625,0.668917770597389,0.668917770597389,"GGPS1/HMGCR/MSMO1/LOC114002832/HMGCS1",5,490
"GO:0001817","regulation of cytokine production","4/490","22/11926",0.0114245221571331,0.668917770597389,0.668917770597389,"IGF2BP3/LRRC19/CCN4/LOC113998219",4,490
"GO:0001701","in utero embryonic development","13/490","155/11926",0.0114673789885038,0.668917770597389,0.668917770597389,"PDGFRA/ADAM10/SLC30A1/FUT8/LIG4/TERF2/ETNK2/SMAD2/UBE2B/XRCC2/LOC113989518/LOC113983469/HEG1",13,490
"GO:0043171","peptide catabolic process","3/490","12/11926",0.0114917870396115,0.668917770597389,0.668917770597389,"LTA4H/TPP1/LVRN",3,490
"GO:0060339","negative regulation of type
I interferon-mediated signaling pathway","3/490","12/11926",0.0114917870396115,0.668917770597389,0.668917770597389,"YTHDF3/CNOT7/PTPN2",3,490
"GO:0045494","photoreceptor cell maintenance","5/490","35/11926",0.0134470726993828,0.736934183379933,0.736934183379933,"CRB1/PROM1/LOC113996443/NPHP4/ADGRV1",5,490
"GO:0001835","blastocyst hatching","3/490","13/11926",0.0144903261951891,0.736934183379933,0.736934183379933,"ST8SIA6/PEMT/CTR9",3,490
"GO:0043403","skeletal muscle tissue regeneration","3/490","13/11926",0.0144903261951891,0.736934183379933,0.736934183379933,"PKM/CFLAR/SGCA",3,490
"GO:0007399","nervous system development","19/490","271/11926",0.016387838088067,0.736934183379933,0.736934183379933,"PTN/IGF2BP3/GLRB/SEMA6A/CHRM3/GFRA1/CAMK1/ARHGEF7/TMEM41B/NR2E1/SCRG1/LOC113996059/GSS/NAV1/TPP1/CHERP/MAFK/ADGRV1/BZW2",19,490
"GO:0007186","G protein-coupled receptor signaling
pathway","28/490","446/11926",0.0169959678601108,0.736934183379933,0.736934183379933,"GPR180/GNB4/NPY1R/FGD3/CHRM3/LOC114002719/MC3R/VIP/RGS10/ARHGEF7/ATRNL1/SRC/C3/GPR22/LOC114003556/GNAZ/GPR63/CXCR4/ADGRD2/GNG10/HEBP1/OPN3/AKAP12/GRP/ADGRV1/RGS2/ADGRF4/PDGFRB",28,490
"GO:0050900","leukocyte migration","9/490","96/11926",0.0169994170695761,0.736934183379933,0.736934183379933,"EPCAM/CD34/ITGA4/LOC113996443/SRC/COL1A1/FYN/LOC113989518/PROS1",9,490
"GO:0046488","phosphatidylinositol metabolic process","3/490","14/11926",0.017889187706992,0.736934183379933,0.736934183379933,"PLEK/LOC113989518/PDGFRB",3,490
"GO:0060047","heart contraction","3/490","14/11926",0.017889187706992,0.736934183379933,0.736934183379933,"SGCZ/SLC1A1/DNM1L",3,490
"GO:0043200","response to amino acid","4/490","25/11926",0.0179354060378795,0.736934183379933,0.736934183379933,"GLRB/PEMT/CASP3/GSS",4,490
"GO:0050769","positive regulation of neurogenesis","4/490","25/11926",0.0179354060378795,0.736934183379933,0.736934183379933,"LIG4/NAP1L1/XRCC2/HAP1",4,490
"GO:0007605","sensory perception of sound","10/490","116/11926",0.0209618738079053,0.777033273407118,0.777033273407118,"CEMIP/LOC113991140/LOC113993758/WHRN/LOC114002148/COL1A1/CASP3/RPL38/LOC113987015/ADGRV1",10,490
"GO:0010951","negative regulation of endopeptidase activity","7/490","68/11926",0.02115551196684,0.777033273407118,0.777033273407118,"LOC113992168/LOC113992706/C3/TIMP4/PEBP1/PROS1/SPOCK3",7,490
"GO:0006520","cellular amino acid metabolic process","3/490","15/11926",0.0216924106391393,0.777033273407118,0.777033273407118,"GCAT/SLC16A2/GSS",3,490
"GO:0010863","positive regulation of phospholipase
C activity","3/490","15/11926",0.0216924106391393,0.777033273407118,0.777033273407118,"PDGFRA/LOC113989518/PDGFRB",3,490
"GO:0046839","phospholipid dephosphorylation","3/490","15/11926",0.0216924106391393,0.777033273407118,0.777033273407118,"PLPPR4/PLPPR5/SGPP2",3,490
"GO:0006096","glycolytic process","4/490","27/11926",0.0233350719821443,0.788875669023095,0.788875669023095,"ALDOC/PKM/ENO2/PFKFB2",4,490
