"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0055119","relaxation of cardiac muscle","4/585","11/12171",0.00132970389599484,0.866266031853144,0.866266031853144,"ATP1B1/ATP2A2/GSN/KCNJ2",4,585
"GO:0021591","ventricular system development","5/585","19/12171",0.00167097821637294,0.866266031853144,0.866266031853144,"LOC114000433/LOC113997903/LOC113994177/NME5/SEMA6D",5,585
"GO:0034614","cellular response to reactive
oxygen species","6/585","29/12171",0.00221338461318181,0.866266031853144,0.866266031853144,"PRDX3/MAPK1/MPV17/MAPK9/MMP2/PDGFRA",6,585
"GO:0000729","DNA double-strand break processing","4/585","15/12171",0.00471707783660409,0.866266031853144,0.866266031853144,"LOC113998423/NBN/SMARCAD1/DNA2",4,585
"GO:0006695","cholesterol biosynthetic process","6/585","34/12171",0.00511310168058198,0.866266031853144,0.866266031853144,"GGPS1/MSMO1/LOC113997963/DHCR24/LOC114002832/PLPP6",6,585
"GO:0019233","sensory perception of pain","6/585","34/12171",0.00511310168058198,0.866266031853144,0.866266031853144,"NPY1R/MMEL1/MAPK1/KCND2/NIPSNAP1/PRDM12",6,585
"GO:0051932","synaptic transmission, GABAergic","4/585","16/12171",0.00605355855046915,0.866266031853144,0.866266031853144,"GABRG1/RAC3/GABRA2/LOC113990089",4,585
"GO:0031623","receptor internalization","6/585","38/12171",0.00892625267960335,0.866266031853144,0.866266031853144,"ACKR3/CALCRL/CAV1/CD36/CXCR2/LOC113993578",6,585
"GO:0006891","intra-Golgi vesicle-mediated transport","5/585","28/12171",0.00988506161389191,0.866266031853144,0.866266031853144,"RAB33B/COG5/COG6/RAB6A/VTI1A",5,585
"GO:0006693","prostaglandin metabolic process","3/585","10/12171",0.0102877056883599,0.866266031853144,0.866266031853144,"LOC114004119/PTGR2/ZADH2",3,585
"GO:0000186","activation of MAPKK activity","6/585","40/12171",0.0114484882864412,0.866266031853144,0.866266031853144,"MAPK1/LOC113988184/MOS/NGF/PSEN1/RAPGEF1",6,585
"GO:0007095","mitotic G2 DNA damage checkpoint","4/585","19/12171",0.0115001116498884,0.866266031853144,0.866266031853144,"NBN/CLSPN/FOXN3/LOC114003415",4,585
"GO:0034220","ion transmembrane transport","15/585","164/12171",0.0125522688270444,0.866266031853144,0.866266031853144,"ATP2A3/GABRG1/ATP1B1/GLRB/OSTM1/ATP1B3/ATP2A2/ATP6V1C2/ATP8A1/CLCN4/GABRA2/GRIK2/LOC113990089/LOC113994845/LOC114004119",15,585
"GO:0003094","glomerular filtration","3/585","11/12171",0.0136469563604968,0.866266031853144,0.866266031853144,"ADGRF5/MCAM/SULF1",3,585
"GO:0098761","cellular response to interleukin-7","3/585","11/12171",0.0136469563604968,0.866266031853144,0.866266031853144,"HDGF/HDGFL3/RAD23B",3,585
"GO:0006656","phosphatidylcholine biosynthetic process","5/585","31/12171",0.0151884730189415,0.866266031853144,0.866266031853144,"LCAT/LOC113998226/ABHD3/FABP5/SLC44A5",5,585
