"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0042738","exogenous drug catabolic process","4/294","10/12236",6.11732214729887e-05,0.042888029178771,0.0407713553657229,"LOC113983773/NOS1/LOC114002604/LOC113988755",4,294
"GO:0042572","retinol metabolic process","6/294","31/12236",8.11205506213114e-05,0.042888029178771,0.0407713553657229,"LOC114001898/LOC113983773/LOC113988755/LOC113991249/BCO1/DGAT2",6,294
"GO:0007160","cell-matrix adhesion","9/294","79/12236",0.000111301113785738,0.042888029178771,0.0407713553657229,"NID1/COL3A1/FN1/ADAMTS12/ITGB5/NPNT/FGG/ITGA2/NID2",9,294
"GO:0071356","cellular response to tumor
necrosis factor","8/294","82/12236",0.00077111534931447,0.211571984480044,0.20113016918336,"CLDN1/LOC114000824/CRHBP/KLF2/ADAMTS12/NPNT/EDN1/LOC114003556",8,294
"GO:0030522","intracellular receptor signaling pathway","5/294","32/12236",0.000915103739100534,0.211571984480044,0.20113016918336,"LOC113996216/LOC113995289/SREBF1/LOC113982931/NR2E1",5,294
"GO:0030198","extracellular matrix organization","13/294","213/12236",0.00192619527097518,0.320549251221129,0.304729027749826,"NID1/VIT/COL3A1/LAMB2/LOC113999927/FN1/ADAMTS12/ITGB5/NPNT/FGG/ITGA2/NID2/NR2E1",13,294
"GO:0006805","xenobiotic metabolic process","6/294","57/12236",0.0023715759672687,0.320549251221129,0.304729027749826,"LOC113983773/LOC114002604/LOC113996216/LOC113995289/LOC113988755/LOC113991029",6,294
"GO:0006629","lipid metabolic process","8/294","98/12236",0.00244868474180408,0.320549251221129,0.304729027749826,"LCAT/SC5D/LOC113983773/LOC113998978/SREBF1/LOC113991249/CPNE7/DGAT2",8,294
"GO:0018149","peptide cross-linking","3/294","12/12236",0.00257142196128602,0.320549251221129,0.304729027749826,"COL3A1/FN1/F13A1",3,294
"GO:0043085","positive regulation of catalytic activity","4/294","25/12236",0.00277291739810666,0.320549251221129,0.304729027749826,"LOC114000824/FGFR4/SLC5A3/DCP1B",4,294
"GO:0001817","regulation of cytokine production","4/294","26/12236",0.00321593951343576,0.326902518254992,0.31076873889839,"LOC113997197/LOC113998218/LOC113989694/CCN4",4,294
"GO:0008202","steroid metabolic process","3/294","14/12236",0.0041057327898312,0.326902518254992,0.31076873889839,"LOC113983773/LOC113988755/LOC113991249",3,294
"GO:0060314","regulation of ryanodine-sensitive calcium-release
channel activity","3/294","14/12236",0.0041057327898312,0.326902518254992,0.31076873889839,"NOS1/JPH1/JPH2",3,294
"GO:2000377","regulation of reactive oxygen
species metabolic process","3/294","14/12236",0.0041057327898312,0.326902518254992,0.31076873889839,"FOXM1/STK17A/BCO2",3,294
"GO:0009755","hormone-mediated signaling pathway","4/294","28/12236",0.00424181468323951,0.326902518254992,0.31076873889839,"TSHR/CRHBP/LOC114001840/CRHR2",4,294
"GO:0042127","regulation of cell population proliferation","8/294","109/12236",0.00471729954550187,0.328366985451505,0.312160929531389,"ARX/LOC114000824/STAT4/FOXM1/MEAK7/JUND/PLA2G4A/LOC114003556",8,294
"GO:0071549","cellular response to dexamethasone stimulus","4/294","29/12236",0.00482892625663978,0.328366985451505,0.312160929531389,"LOC113982661/AQP1/LOC113987005/FOXO1",4,294
"GO:0010811","positive regulation of cell-substrate
adhesion","4/294","31/12236",0.00616167856494265,0.381729397383194,0.362889720331501,"NID1/VIT/NPNT/COL26A1",4,294
"GO:0007596","blood coagulation","8/294","115/12236",0.00649600726320017,0.381729397383194,0.362889720331501,"PABPC4/TFPI2/LOC113995989/F13A1/FGG/ITGA2/SERPIND1/P2RX3",8,294
"GO:0071277","cellular response to calcium ion","6/294","71/12236",0.0070837148991336,0.381729397383194,0.362889720331501,"CRHBP/JUND/WNT5A/EDN1/SYT10/CPNE7",6,294
"GO:0019369","arachidonic acid metabolic process","3/294","17/12236",0.00727238979884284,0.381729397383194,0.362889720331501,"LOC113995989/LOC113988755/PLA2G4A",3,294
"GO:0071320","cellular response to cAMP","5/294","51/12236",0.00737129711110115,0.381729397383194,0.362889720331501,"CRHBP/STC1/LOC113982661/AQP1/LOC113995289",5,294
"GO:0050729","positive regulation of inflammatory response","5/294","52/12236",0.00799905347082959,0.381729397383194,0.362889720331501,"LPL/CCN4/WNT5A/ETS1/ITGA2",5,294
"GO:0000188","inactivation of MAPK activity","3/294","18/12236",0.00857374319764608,0.381729397383194,0.362889720331501,"DUSP1/DUSP4/DUSP3",3,294
"GO:0071398","cellular response to fatty acid","3/294","18/12236",0.00857374319764608,0.381729397383194,0.362889720331501,"LPL/SREBF1/EDN1",3,294
"GO:0045540","regulation of cholesterol biosynthetic process","4/294","34/12236",0.00858560928370505,0.381729397383194,0.362889720331501,"SC5D/DHCR7/SREBF1/NFYB",4,294
"GO:0034446","substrate adhesion-dependent cell spreading","5/294","55/12236",0.0101033209929417,0.431155915579222,0.409876867478335,"BVES/LAMB2/FN1/ANTXR1/FZD7",5,294
"GO:0019221","cytokine-mediated signaling pathway","10/294","177/12236",0.0104640942320282,0.431155915579222,0.409876867478335,"TEC/UBC/STAT4/IL6ST/FN1/F13A1/LOC113996216/DUOX2/FOXO1/GAB2",10,294
"GO:0008284","positive regulation of cell
population proliferation","16/294","353/12236",0.0113710139230617,0.431155915579222,0.409876867478335,"LOC114000824/TSHR/FGFR4/IL6ST/PRKCZ/LOC114001840/FN1/CCK/FOXM1/MARCKSL1/RAC2/ETS1/EDN1/VIP/GAB2/STOX1",16,294
"GO:0006644","phospholipid metabolic process","4/294","37/12236",0.0115608078152006,0.431155915579222,0.409876867478335,"LCAT/LPL/PLCD1/PLA2G4A",4,294
"GO:0033627","cell adhesion mediated by integrin","3/294","20/12236",0.0115621396046331,0.431155915579222,0.409876867478335,"LOC113999927/ITGB5/ITGA2",3,294
"GO:0007189","adenylate cyclase-activating G protein-coupled
receptor signaling pathway","6/294","80/12236",0.012438267334418,0.439946694233281,0.418233790547756,"TSHR/MC5R/LOC114001840/RAMP3/VIP/ADGRL4",6,294
"GO:0008203","cholesterol metabolic process","5/294","58/12236",0.0125590319288047,0.439946694233281,0.418233790547756,"LCAT/LOC113983773/LOC113982661/SREBF1/LOC113988755",5,294
"GO:0007411","axon guidance","11/294","212/12236",0.0135182738521351,0.459621310972592,0.436937396335263,"ROBO4/ARX/CXCR4/ENAH/LAMB2/DRAXIN/BOC/WNT5A/EPHA7/LOC113988477/GAB2",11,294
"GO:0007229","integrin-mediated signaling pathway","6/294","82/12236",0.0139330253638628,0.460187923446439,0.437476044507451,"TEC/COL3A1/LOC113999927/FN1/ITGB5/ITGA2",6,294
"GO:0009612","response to mechanical stimulus","4/294","40/12236",0.0151280190009218,0.485777499029601,0.461802685291298,"COL3A1/JUND/ETS1/P2RX3",4,294
"GO:0007267","cell-cell signaling","8/294","136/12236",0.0168522378624969,0.486348316883975,0.462345331293817,"TSHR/CXCL14/LOC114001840/CCN4/GRAP/GJB1/EDN1/LOC113987005",8,294
"GO:0001666","response to hypoxia","8/294","138/12236",0.0182435132513691,0.486348316883975,0.462345331293817,"CHRNA4/NOS1/CXCR4/AGTRAP/ETS1/ITGA2/P2RX3/WTIP",8,294
"GO:0005977","glycogen metabolic process","3/294","24/12236",0.0191322778250812,0.486348316883975,0.462345331293817,"IL6ST/PHKA1/PYGM",3,294
"GO:0001523","retinoid metabolic process","4/294","43/12236",0.0193212179860061,0.486348316883975,0.462345331293817,"LPL/LOC114001898/BCO2/BCO1",4,294
"GO:0070374","positive regulation of ERK1
and ERK2 cascade","8/294","140/12236",0.0197153080836532,0.486348316883975,0.462345331293817,"LOC114000824/FGFR4/PRKCZ/APELA/RAMP3/NPNT/FGG/RASGRP1",8,294
"GO:0009636","response to toxic substance","5/294","66/12236",0.0210020957432121,0.486348316883975,0.462345331293817,"CLDN1/LOC114001565/LOC113995289/RAD51/LOC113982611",5,294
"GO:0006699","bile acid biosynthetic process","3/294","25/12236",0.0213630997014869,0.486348316883975,0.462345331293817,"LOC113982661/OSBPL3/HSD3B7",3,294
"GO:0002931","response to ischemia","4/294","45/12236",0.0224781158959249,0.486348316883975,0.462345331293817,"LOC114000824/BVES/LOC113986509/LOC113987005",4,294
"GO:0001706","endoderm formation","2/294","10/12236",0.0227952242879925,0.486348316883975,0.462345331293817,"DUSP1/DUSP4",2,294
"GO:0033622","integrin activation","2/294","10/12236",0.0227952242879925,0.486348316883975,0.462345331293817,"LOC113999927/FN1",2,294
"GO:0042554","superoxide anion generation","2/294","10/12236",0.0227952242879925,0.486348316883975,0.462345331293817,"EDN1/DUOX2",2,294
"GO:0043032","positive regulation of macrophage activation","2/294","10/12236",0.0227952242879925,0.486348316883975,0.462345331293817,"WNT5A/PLA2G4A",2,294
"GO:0044321","response to leptin","2/294","10/12236",0.0227952242879925,0.486348316883975,0.462345331293817,"LOC113982661/EDN1",2,294
"GO:0090136","epithelial cell-cell adhesion","2/294","10/12236",0.0227952242879925,0.486348316883975,0.462345331293817,"BVES/ITGB5",2,294
"GO:0035094","response to nicotine","3/294","26/12236",0.0237301205955805,0.486348316883975,0.462345331293817,"CHRNA4/LOC113982661/EDN1",3,294
"GO:0051899","membrane depolarization","3/294","26/12236",0.0237301205955805,0.486348316883975,0.462345331293817,"CHRNA4/PRKCZ/EDN1",3,294
"GO:0090303","positive regulation of wound healing","3/294","26/12236",0.0237301205955805,0.486348316883975,0.462345331293817,"CLDN1/CCN4/DUOX2",3,294
"GO:0045599","negative regulation of fat
cell differentiation","4/294","47/12236",0.0259317441366965,0.486348316883975,0.462345331293817,"CCN4/WNT5A/ENPP1/FOXO1",4,294
"GO:0045429","positive regulation of nitric
oxide biosynthetic process","3/294","27/12236",0.0262332791164454,0.486348316883975,0.462345331293817,"KLF2/EDN1/AGXT2",3,294
"GO:0044267","cellular protein metabolic process","8/294","149/12236",0.027394283349423,0.486348316883975,0.462345331293817,"UBC/LAMB2/CHGB/FN1/LOC113986369/FGG/SERPIND1/GGA2",8,294
"GO:0006883","cellular sodium ion homeostasis","2/294","11/12236",0.0274245481239298,0.486348316883975,0.462345331293817,"LOC113993938/ATP1A1",2,294
"GO:0017144","drug metabolic process","2/294","11/12236",0.0274245481239298,0.486348316883975,0.462345331293817,"LOC113983773/LOC113988755",2,294
"GO:0043252","sodium-independent organic anion transport","2/294","11/12236",0.0274245481239298,0.486348316883975,0.462345331293817,"LOC113990831/SLCO4C1",2,294
"GO:0050966","detection of mechanical stimulus involved in
sensory perception of pain","2/294","11/12236",0.0274245481239298,0.486348316883975,0.462345331293817,"CXCR4/ITGA2",2,294
"GO:0060402","calcium ion transport into cytosol","2/294","11/12236",0.0274245481239298,0.486348316883975,0.462345331293817,"JPH1/JPH2",2,294
"GO:0070757","interleukin-35-mediated signaling pathway","2/294","11/12236",0.0274245481239298,0.486348316883975,0.462345331293817,"STAT4/IL6ST",2,294
"GO:0071548","response to dexamethasone","2/294","11/12236",0.0274245481239298,0.486348316883975,0.462345331293817,"CLDN1/EDN1",2,294
