"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane","23/1035","81/12237",1.35047170447753e-07,0.000258615331407448,0.000254741609939341,"RPL39/RPL14/RPS24/RPL10A/RPSA/RPL34/RPS7/RPS8/RPS20/RPL31/RPL5/RPS3/LOC113987193/RPS25/RPL12/RPS15A/SSR3/RPL35A/RPS3A/RPL35/RPS5/RPS4X/RPL17",23,1035
"GO:0006413","translational initiation","27/1035","119/12237",1.61736112618888e-06,0.00154862327832585,0.00152542691480551,"RPL39/RPL14/RPS24/RPL10A/EIF4A2/RPSA/RPL34/PABPC1/RPS7/RPS8/RPS20/RPL31/EIF4E3/RPL5/LOC113985040/RPS3/LOC113987193/RPS25/RPL12/RPS15A/RPL35A/RPS3A/RPL35/LOC114003727/RPS5/RPS4X/RPL17",27,1035
"GO:0006412","translation","30/1035","148/12237",5.20738204268373e-06,0.00332404553724645,0.00327425565631202,"RPL39/IGF2BP3/RPL14/RPS24/RPL10A/RPSA/PSTK/RPL34/CPEB3/RPS7/RPS8/RPS20/MRPL18/RPL31/RSL24D1/RPL5/RPS3/LOC113987193/RPS25/RPL12/RPS15A/RPL35A/RPS3A/RPL35/LOC114003727/RPS5/MRPL55/RPS4X/GGT7/RPL17",30,1035
"GO:0019083","viral transcription","23/1035","100/12237",7.40021564605296e-06,0.00354285324054785,0.00348978590466497,"RPL39/RPL14/RPS24/RPL10A/RPSA/RPL34/RPS7/RPS8/RPS20/RPL31/RPL5/RPS3/LOC113987193/RPS25/RPL12/RPS15A/RPL35A/RPS3A/RPL35/RAE1/RPS5/RPS4X/RPL17",23,1035
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay","24/1035","112/12237",1.69984229553624e-05,0.0065103959919038,0.0064128787233704,"RPL39/RPL14/RPS24/RPL10A/RPSA/RPL34/PABPC1/RPS7/RPS8/RPS20/RPL31/RPL5/RPS3/LOC113987193/RPS25/RPL12/RPS15A/RPL35A/RPS3A/RPL35/LOC114003727/RPS5/RPS4X/RPL17",24,1035
"GO:0070050","neuron cellular homeostasis","7/1035","14/12237",6.12293896374624e-05,0.0195423801926234,0.0192496607421636,"TAOK1/NELL2/SLC6A2/MAP1A/CX3CL1/PRKAA1/LOC113995995",7,1035
"GO:0030198","extracellular matrix organization","35/1035","213/12237",0.000101561585989701,0.0277843481671824,0.0273681747509089,"COL5A2/MMP2/ITGA2B/SH3PXD2A/LOC113982345/TNC/DAG1/LOC113991284/THBS1/HAPLN1/VTN/MMP15/ADAMTS3/ITGB2/LOC113998785/ADAMTS14/LUM/CCDC80/COL5A1/ACAN/SMOC2/TGFBI/MMP23B/COL6A3/PRDX4/ADAMTSL5/ELN/LAMA5/LOC113999927/ATXN1L/COL18A1/NF1/PDGFRA/SPARC/COL6A2",35,1035
"GO:0035082","axoneme assembly","8/1035","21/12237",0.000190790436371618,0.045670460706456,0.0449863765760446,"LOC113992699/LOC113990666/RSPH1/JHY/CFAP206/RSPH9/LOC113986306/LOC113984124",8,1035
"GO:0018095","protein polyglutamylation","5/1035","10/12237",0.000752644759909991,0.160146079469737,0.157747299386983,"TTLL7/TPGS2/TTLL4/CEP41/TTLL11",5,1035
"GO:0006811","ion transport","16/1035","81/12237",0.00107388447314203,0.205648876606699,0.202568523775844,"SLC22A15/STEAP1/SLC24A2/SLC26A1/LOC113988621/TRPA1/SLC12A2/LOC113991506/AQP11/WNK1/SLC26A6/GLRA1/LASP1/SLC1A3/LOC113989700/SLC24A3",16,1035
