"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0007596","blood coagulation","14/380","115/12237",1.25857717099921e-05,0.0170537206670392,0.0160700432465478,"FGG/GATA2/F13A1/ENTPD1/LOC114003293/COL1A1/VWF/P2RX3/LOC113995989/SERPIND1/MICAL1/CDC42/ANO6/P2RX4",14,380
"GO:0032703","negative regulation of interleukin-2
production","6/380","21/12237",3.14823955041681e-05,0.0213293229540739,0.0200990240771347,"LOC113986241/CD34/LOC114003293/LOC113993091/LOC113993083/PTPRC",6,380
"GO:0006958","complement activation, classical pathway","6/380","23/12237",5.55604330215421e-05,0.0250947955813965,0.0236473000895195,"LOC113986241/C3/LOC113984271/LOC113984305/LOC113992168/C1R",6,380
"GO:0045766","positive regulation of angiogenesis","12/380","105/12237",9.76911879466804e-05,0.033092889916938,0.0311840555208746,"AQP1/APELA/GATA2/PRKD1/CD34/C3/ITGB2/EPHA1/WNT5A/VEGFC/NR2E1/ISL1",12,380
"GO:2000178","negative regulation of neural
precursor cell proliferation","4/380","10/12237",0.000165682388871138,0.0448999273840784,0.0423100500422506,"BTG2/GATA2/LIMS2/NR2E1",4,380
"GO:0035735","intraciliary transport involved in
cilium assembly","7/380","40/12237",0.000202612976347035,0.0457567638250387,0.0431174632120971,"HSPB11/DYNLL1/DYNC2LI1/KIF17/TTC26/IFT74/CLUAP1",7,380
"GO:0006631","fatty acid metabolic process","8/380","55/12237",0.000272606000236662,0.0527687329029538,0.0497249741785069,"GPAM/HACL1/ACSBG2/C3/LOC113995989/TH/AASDH/LYPLA2",8,380
"GO:0007411","axon guidance","17/380","212/12237",0.000332279082210002,0.0562797695493191,0.0530334903579912,"EMB/CXCR4/LOC113999057/PRKCQ/CSF1R/LOC114003293/EPHA1/ARX/MAPK7/LOC113988477/GBX2/WNT5A/SEMA3C/LYPLA2/BSG/NPTN/TNR",17,380
"GO:0006957","complement activation, alternative pathway","4/380","14/12237",0.000715435758523672,0.0866904743865216,0.0816900721933197,"LOC113986241/C3/LOC113993091/LOC113993083",4,380
"GO:0050776","regulation of immune response","6/380","36/12237",0.000762251476965241,0.0866904743865216,0.0816900721933197,"CD34/C3/ITGB2/COL1A1/CD99/COL3A1",6,380
"GO:0007601","visual perception","13/380","150/12237",0.000797647371447755,0.0866904743865216,0.0816900721933197,"CPLX3/BBS7/UNC119/COL1A1/GLRA1/PPT1/SOX14/LOC113999235/TH/NR2E1/LOC113982931/PDE6D/CNGB1",13,380
"GO:0007368","determination of left/right symmetry","7/380","50/12237",0.000831716728431573,0.0866904743865216,0.0816900721933197,"BBS7/DYNC2LI1/DNAI2/DLL1/IFT74/CFAP53/DNAI1",7,380
"GO:0071300","cellular response to retinoic acid","7/380","50/12237",0.000831716728431573,0.0866904743865216,0.0816900721933197,"AQP1/LOC114002160/TESC/COL1A1/FZD7/WNT5A/LOC113982931",7,380
"GO:0051591","response to cAMP","5/380","28/12237",0.00153258597064863,0.133801643524365,0.126083817125698,"DUSP1/COL1A1/PPARGC1B/SPARC/BSG",5,380
"GO:0006911","phagocytosis, engulfment","4/380","17/12237",0.00157994560619176,0.133801643524365,0.126083817125698,"ITGB2/LOC113984271/LOC113984305/CDC42",4,380
"GO:0034113","heterotypic cell-cell adhesion","4/380","17/12237",0.00157994560619176,0.133801643524365,0.126083817125698,"ITGB2/CD2/GLDN/PTPRC",4,380
"GO:0000188","inactivation of MAPK activity","4/380","18/12237",0.00198207080055645,0.157982702044352,0.148870085515478,"DUSP1/DUSP6/DUSP8/DUSP5",4,380
"GO:0030198","extracellular matrix organization","15/380","213/12237",0.00268099525529272,0.186611100398773,0.175847166272061,"VIT/FGG/CCN1/CCDC80/ITGB2/COL1A1/VWF/SPARC/ADAMTS1/TNFRSF11B/NR2E1/CD44/COL3A1/BSG/TNR",15,380
"GO:0035970","peptidyl-threonine dephosphorylation","4/380","20/12237",0.00298807555103616,0.186611100398773,0.175847166272061,"DUSP1/DUSP6/DUSP8/DUSP5",4,380
"GO:0042157","lipoprotein metabolic process","3/380","10/12237",0.00302984812455572,0.186611100398773,0.175847166272061,"APOLD1/PCSK9/LRP1",3,380
"GO:0048665","neuron fate specification","3/380","10/12237",0.00302984812455572,0.186611100398773,0.175847166272061,"DLL1/ISL2/ISL1",3,380
"GO:2001028","positive regulation of endothelial
cell chemotaxis","3/380","10/12237",0.00302984812455572,0.186611100398773,0.175847166272061,"PRKD1/TMSB4X/P2RX4",3,380
"GO:0002576","platelet degranulation","9/380","99/12237",0.00360780003577059,0.203690377019548,0.191941291376743,"FGG/PLEK/F13A1/BRPF3/VWF/SPARC/ALB/VEGFC/TMSB4X",9,380
"GO:0050900","leukocyte migration","9/380","99/12237",0.00360780003577059,0.203690377019548,0.191941291376743,"CD34/ITGB2/COL1A1/LOC113984271/LOC113984305/SLC16A3/CD2/CD44/BSG",9,380
"GO:0006955","immune response","10/380","120/12237",0.004147889459988,0.205333915969121,0.193490029186672,"CXCR4/C3/LOC113984271/LOC113984305/CRIP1/C1R/LOC113992610/SEMA3C/PTGER4/GEM",10,380
"GO:1901223","negative regulation of NIK/NF-kappaB
signaling","4/380","22/12237",0.00429594998724054,0.205333915969121,0.193490029186672,"NMI/IFI35/TMSB4X/CYLD",4,380
"GO:0043434","response to peptide hormone","5/380","36/12237",0.00479899185473188,0.205333915969121,0.193490029186672,"BTG2/COL1A1/SPARC/TH/BSG",5,380
"GO:0032722","positive regulation of chemokine production","4/380","23/12237",0.00507486868160065,0.205333915969121,0.193490029186672,"LOC114001646/CSF1R/WNT5A/EGR1",4,380
"GO:0006954","inflammatory response","14/380","207/12237",0.00524600506638528,0.205333915969121,0.193490029186672,"AFAP1L2/PTGER3/CXCR4/PRKD1/PRKCQ/C3/CSF1R/ITGB2/LOC113992168/LOC113995989/CD44/SMAD1/PTGER4/PLD4",14,380
"GO:0003215","cardiac right ventricle morphogenesis","3/380","12/12237",0.00530382808776326,0.205333915969121,0.193490029186672,"LOC114003293/SEMA3C/ISL1",3,380
"GO:0003323","type B pancreatic cell development","3/380","12/12237",0.00530382808776326,0.205333915969121,0.193490029186672,"DLL1/WNT5A/SMO",3,380
"GO:0034142","toll-like receptor 4 signaling
pathway","3/380","12/12237",0.00530382808776326,0.205333915969121,0.193490029186672,"NFKBIA/NMI/ITGB2",3,380
"GO:0034375","high-density lipoprotein particle remodeling","3/380","12/12237",0.00530382808776326,0.205333915969121,0.193490029186672,"LCAT/ALB/ABCG1",3,380
