"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0010951","negative regulation of endopeptidase activity","21/817","79/12553",1.89526763772691e-08,3.32808997184846e-05,3.25587029975823e-05,"CPAMD8/LOC113992168/KNG1/SERPINB1/SERPINA10/SPP2/ITIH4/FETUB/LOC113991485/ITIH2/VTN/LOC113989405/C3/SERPINC1/SERPINF2/AGT/BIRC6/HRG/C5/USP14/SERPINF1",21,817
"GO:0030449","regulation of complement activation","13/817","37/12553",2.81975378940995e-07,0.000247574382710194,0.000242202009700897,"C6/LOC113984930/LOC113992168/F2/C8B/VTN/C3/CFI/LOC113986226/C9/C5/C8A/CFH",13,817
"GO:0042730","fibrinolysis","8/817","14/12553",6.57425226366521e-07,0.000384812899166537,0.000376462445414092,"FGB/F2/FGG/PLG/LOC113992335/SERPINF2/FGA/HRG",8,817
"GO:0051918","negative regulation of fibrinolysis","7/817","11/12553",1.26325218147735e-06,0.000480651924437281,0.000470221760389427,"F2/PLG/LOC113992335/SERPINF2/APOH/THBD/HRG",7,817
"GO:0002576","platelet degranulation","22/817","108/12553",1.36859887368246e-06,0.000480651924437281,0.000470221760389427,"CLEC3B/SPARC/FGB/FGG/KNG1/SPP2/ITIH4/ENDOD1/PLG/F5/ALB/LOC113992335/SERPINF2/FGA/APOH/LOC114001803/LOC113992533/HRG/TMX3/LOC113989827/TMSB4X/APOOL",22,817
"GO:0007596","blood coagulation","24/817","128/12553",2.19470670075317e-06,0.000642317494420429,0.00062837918168933,"GATA5/ANO6/FGB/F2/FGG/SERPINA10/PROC/LOC113995989/F9/F7/PLG/F5/SERPINC1/LOC113992335/CAPZB/FGA/LOC113995424/THBD/IRF2/COL1A2/RCOR1/PRSS56/COL1A1/GATA2",24,817
"GO:0006957","complement activation, alternative pathway","8/817","18/12553",7.57472995476395e-06,0.00170944838926766,0.00167235329773697,"LOC113984930/C8B/C3/LOC113986226/C9/C5/C8A/CFH",8,817
"GO:0044267","cellular protein metabolic process","27/817","165/12553",7.78791976887315e-06,0.00170944838926766,0.00167235329773697,"STC2/LAMB2/CP/LOC113992168/F2/FGG/KNG1/SERPINA10/SPP2/PROC/GSN/LOC114003546/CCN1/PLG/ITIH2/F5/C3/SERPINC1/ALB/APOA5/LOC113992335/LOC113991601/FGA/TTR/MMP2/P4HB/SNCA",27,817
"GO:0006958","complement activation, classical pathway","9/817","27/12553",3.2338603986771e-05,0.00630962095564111,0.00617270195396612,"C6/LOC113992168/C8B/C3/CFI/LOC113986226/C9/C5/C8A",9,817
"GO:0019835","cytolysis","5/817","10/12553",0.000220703742463286,0.0352323428877754,0.0344677997799122,"C6/C8B/C9/C5/C8A",5,817
"GO:0030195","negative regulation of blood coagulation","5/817","10/12553",0.000220703742463286,0.0352323428877754,0.0344677997799122,"KNG1/PROC/VTN/APOH/THBD",5,817
"GO:0006641","triglyceride metabolic process","7/817","21/12553",0.00025002182071419,0.0365865264311764,0.0357925974917156,"MTTP/APOA5/LOC113991601/APOH/CAT/INSIG1/CETP",7,817
"GO:0051591","response to cAMP","8/817","28/12553",0.000300115370362089,0.0405386607966021,0.0396589703992655,"LOC114003020/SPARC/JUN/FOS/CDO1/PNPT1/THBD/COL1A1",8,817
"GO:0006559","L-phenylalanine catabolic process","5/817","11/12553",0.000382978156309821,0.048036403034289,0.0469940113607239,"PAH/TAT/HPD/FAH/HGD",5,817
"GO:0006956","complement activation","7/817","23/12553",0.000470029442432303,0.0544181807200972,0.0532373042412172,"C6/LOC113984930/LOC113992168/C8B/C3/C8A/CFH",7,817
"GO:0006953","acute-phase response","6/817","17/12553",0.000495837637540749,0.0544181807200972,0.0532373042412172,"F2/LOC113992625/ITIH4/SERPINF2/LOC113992533/HP",6,817
"GO:0042130","negative regulation of T
cell proliferation","7/817","24/12553",0.000626659718239475,0.0647302626605011,0.0633256136326207,"MAD1L1/GPNMB/LOC113986226/LOC113991889/DLG5/FOXJ1/PELI1",7,817
"GO:0070328","triglyceride homeostasis","6/817","19/12553",0.000971521313793608,0.0947773015011987,0.092720630649776,"ABCG5/ANGPTL3/APOA5/MLXIPL/LIPC/CETP",6,817
"GO:0021983","pituitary gland development","7/817","27/12553",0.00135472597865747,0.117738330852972,0.115183404838778,"LHX3/GLI2/ADCYAP1/ISL1/NR0B1/HESX1/GATA2",7,817
"GO:0034374","low-density lipoprotein particle remodeling","5/817","14/12553",0.00140803243047404,0.117738330852972,0.115183404838778,"MTTP/LOC113991601/AGT/LIPC/CETP",5,817
"GO:0051315","attachment of mitotic spindle
microtubules to kinetochore","5/817","14/12553",0.00140803243047404,0.117738330852972,0.115183404838778,"MAD1L1/LOC113995676/RMDN1/CDT1/CENPC",5,817
"GO:0015721","bile acid and bile
salt transport","6/817","21/12553",0.00173711490935007,0.138653353673578,0.135644570911929,"SLC51A/LOC113987101/LOC113990826/SLC51B/LOC113990831/ABCC2",6,817
"GO:0010596","negative regulation of endothelial
cell migration","6/817","22/12553",0.00225868622952745,0.172445783436965,0.168703703734041,"GDF2/APOH/SVBP/ACVRL1/SERPINF1/ADGRB1",6,817
"GO:0070327","thyroid hormone transport","4/817","10/12553",0.00272428058487053,0.193480973878704,0.189282429786624,"LOC113990629/LOC113990826/TTR/ABCC2",4,817
"GO:0007597","blood coagulation, intrinsic pathway","5/817","16/12553",0.00275456967367176,0.193480973878704,0.189282429786624,"F2/KNG1/F9/APOH/LOC113995424",5,817
"GO:0045907","positive regulation of vasoconstriction","6/817","24/12553",0.00364441590760938,0.246138243606234,0.240797034867146,"FGB/FGG/EGFR/ADRA1B/FGA/GJA1",6,817
"GO:0007507","heart development","21/817","172/12553",0.00393524323299426,0.253899793593662,0.248390158940688,"LOX/SPARC/RBP4/MTERF4/PPARA/LOC113982904/CXADR/APELA/ERBB4/GLI2/FOXJ1/MTHFD1/ISL1/PRKDC/GJA1/FOXC1/LOC113984044/ACVRL1/WT1/NF1/CRIP1",21,817
"GO:0008406","gonad development","4/817","11/12553",0.00406216768690522,0.253899793593662,0.248390158940688,"RDH10/NR0B1/HESX1/WT1",4,817
"GO:0042632","cholesterol homeostasis","11/817","68/12553",0.00419310593064704,0.253899793593662,0.248390158940688,"LOC113990680/ABCG5/ANGPTL3/MTTP/LOC113987101/APOA5/LOC113991601/INSIG1/LIPC/CETP/LOC114002263",11,817
"GO:0016125","sterol metabolic process","5/817","18/12553",0.00484670945755929,0.283694060249137,0.277537888938132,"LOC113987101/LOC113995060/LOC114002832/LOC114002263/FDX1",5,817
"GO:0001649","osteoblast differentiation","13/817","90/12553",0.0053146523928659,0.301049341995888,0.294516560446762,"LOX/COL6A1/CCN1/FASN/GDF2/TWIST1/CAT/WNT11/UFL1/RRBP1/COL1A1/NF1/RSL1D1",13,817
"GO:0046949","fatty-acyl-CoA biosynthetic process","4/817","12/12553",0.00578251587716009,0.313470555742709,0.306668233408524,"GCDH/FASN/ACLY/ACACA",4,817
"GO:0030199","collagen fibril organization","8/817","43/12553",0.0058909614689689,0.313470555742709,0.306668233408524,"LOX/OPTC/SERPINF2/COL1A2/FOXC1/LUM/COL1A1/NF1",8,817
"GO:0043010","camera-type eye development","7/817","35/12553",0.00651553649414854,0.326893773820709,0.319800167171441,"MTERF4/EFEMP1/MAB21L1/PRSS56/FOXC1/HESX1/WT1",7,817
"GO:0045540","regulation of cholesterol biosynthetic process","7/817","35/12553",0.00651553649414854,0.326893773820709,0.319800167171441,"SEC14L2/ELOVL6/FASN/LOC113987727/SQLE/LOC114002832/ACACA",7,817
"GO:0006699","bile acid biosynthetic process","6/817","27/12553",0.00678425844043634,0.330921050594617,0.323740051894506,"HSD3B7/AKR1D1/LOC113987101/LOC113995060/LOC113997657/LOC114002263",6,817
"GO:0045921","positive regulation of exocytosis","5/817","20/12553",0.00787019657433992,0.339533847304899,0.332165950606399,"FGB/FGG/FGA/VSNL1/SNCA",5,817
"GO:0006554","lysine catabolic process","4/817","13/12553",0.0079276126079162,0.339533847304899,0.332165950606399,"AASS/GCDH/LOC113990629/LOC113995594",4,817
"GO:0007154","cell communication","4/817","13/12553",0.0079276126079162,0.339533847304899,0.332165950606399,"KREMEN1/OIP5/NF1/LOC113991856",4,817
"GO:0034375","high-density lipoprotein particle remodeling","4/817","13/12553",0.0079276126079162,0.339533847304899,0.332165950606399,"ALB/LOC113991601/LIPC/CETP",4,817
"GO:0042157","lipoprotein metabolic process","4/817","13/12553",0.0079276126079162,0.339533847304899,0.332165950606399,"MTTP/PPARA/APOA5/LOC113991601",4,817
"GO:0043434","response to peptide hormone","7/817","37/12553",0.00891156095712949,0.368983367130037,0.360976414792124,"STC2/SPARC/CCN2/BTG2/GJA1/IRS1/COL1A1",7,817
"GO:0006888","endoplasmic reticulum to Golgi
vesicle-mediated transport","19/817","162/12553",0.00903546969623667,0.368983367130037,0.360976414792124,"DYNC1H1/F2/PROC/F9/F7/F5/TMED5/LOC113998158/CAPZB/COPB2/GRIA1/MIA2/COPG1/SAR1B/TRAPPC4/SEC23A/SEC24C/DCTN5/COG2",19,817
"GO:0001937","negative regulation of endothelial
cell proliferation","6/817","29/12553",0.00974597343945692,0.380309541326363,0.372056810601022,"SPARC/TNMD/GDF2/APOH/GJA1/NF1",6,817
"GO:0071549","cellular response to dexamethasone stimulus","6/817","29/12553",0.00974597343945692,0.380309541326363,0.372056810601022,"EGFR/RPS6KB1/SMYD3/ERRFI1/SERPINF1/ABCC2",6,817
"GO:0030194","positive regulation of blood coagulation","4/817","14/12553",0.0105354446788931,0.385421684502838,0.377058020086699,"F2/F7/APOH/DMTN",4,817
"GO:0045010","actin nucleation","4/817","14/12553",0.0105354446788931,0.385421684502838,0.377058020086699,"GSN/VIL1/SPIRE1/SPIRE2",4,817
"GO:0046849","bone remodeling","4/817","14/12553",0.0105354446788931,0.385421684502838,0.377058020086699,"WNT16/SPP2/GJA1/HTR1B",4,817
"GO:0006730","one-carbon metabolic process","6/817","30/12553",0.0115279024982339,0.413122383406098,0.40415761282745,"CA7/MAT1A/SHMT1/CA8/MTHFD1/CA5A",6,817
"GO:0045471","response to ethanol","11/817","79/12553",0.0129509222895637,0.454836390809479,0.444966424769853,"SPARC/RPS6KB1/RBP4/GSN/LOC113987101/PPARA/LOC113998479/CAT/CDO1/ADCYAP1/HTR1B",11,817
"GO:1901216","positive regulation of neuron death","6/817","31/12553",0.01352773830145,0.460588787609979,0.450593994352887,"EGR1/KMO/FOS/SARM1/LOC113992691/SNCA",6,817
"GO:0043651","linoleic acid metabolic process","4/817","15/12553",0.0136393035055347,0.460588787609979,0.450593994352887,"LOC114002604/LOC113991949/FADS1/LOC114001775",4,817
"GO:0001525","angiogenesis","22/817","205/12553",0.0142336166220052,0.471589260155491,0.461355756248509,"LOC114000824/ARHGAP22/CCN2/ANGPTL3/JUN/LOC114001849/GDF2/EPAS1/SHB/COL22A1/LOC113999307/APELA/NRCAM/HRG/TAL1/NAA15/LOC113989827/THY1/MMP2/FOXC1/ACVRL1/ROBO4",22,817
"GO:0010575","positive regulation of vascular
endothelial growth factor production","5/817","23/12553",0.0145317518149483,0.472551040500911,0.46229666592584,"C3/C5/ISL1/ATF4/FLT4",5,817
"GO:0030041","actin filament polymerization","6/817","32/12553",0.0157577285642349,0.500800842813088,0.489933446511785,"GSN/VIL1/SPIRE1/COBL/CATIP/SPIRE2",6,817
"GO:0009749","response to glucose","8/817","51/12553",0.0163907014297246,0.500800842813088,0.489933446511785,"CCN2/RPS6KB1/EGR1/LOC113991601/SARM1/ACVR1C/COL6A2/GJA1",8,817
"GO:0010812","negative regulation of cell-substrate
adhesion","4/817","16/12553",0.0172675481161556,0.500800842813088,0.489933446511785,"PLG/LOC113992335/DMTN/COL1A1",4,817
"GO:0030705","cytoskeleton-dependent intracellular transport","4/817","16/12553",0.0172675481161556,0.500800842813088,0.489933446511785,"KIF5C/TUBA1A/KIF1A/MYO10",4,817
"GO:0048514","blood vessel morphogenesis","4/817","16/12553",0.0172675481161556,0.500800842813088,0.489933446511785,"LOX/GDF2/SERPINF2/FLT4",4,817
"GO:0032731","positive regulation of interleukin-1
beta production","5/817","24/12553",0.0173968402116164,0.500800842813088,0.489933446511785,"EGR1/LOC113992533/HSPB1/ISL1/MALT1",5,817
"GO:0033574","response to testosterone","5/817","24/12553",0.0173968402116164,0.500800842813088,0.489933446511785,"LOC114003020/RPS6KB1/PSPH/KCNJ11/XRN1",5,817
