"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0045540","regulation of cholesterol biosynthetic process","13/919","35/12541",5.22119560205693e-07,0.000973230860223411,0.000973230860223411,"SC5D/MVK/FDFT1/FASN/SEC14L2/ELOVL6/LOC113987727/HMGCS1/LOC114002832/MVD/ACACA/SREBF1/LSS",13,919
"GO:0006695","cholesterol biosynthetic process","12/919","35/12541",3.8400271820469e-06,0.00357890533366772,0.00357890533366772,"MVK/FDFT1/MSMO1/DHCR24/LOC113987727/HMGCS1/LOC114002832/MVD/ACLY/APOA5/LSS/APOA1",12,919
"GO:0044267","cellular protein metabolic process","28/919","164/12541",2.11344775121405e-05,0.0112266042520708,0.0112266042520708,"UBA52/SERPINA10/ADORA2A/LOC113992168/PLG/ITIH2/SERPINC1/F2/TTR/FN1/ALB/TGOLN2/SPP2/LOC113992658/FGG/APOA5/F5/FGA/IGFBP4/CALB1/SERPIND1/SHISA5/LOC113996623/GGA1/CCN1/FSTL3/APOA1/LOC113990797",28,919
"GO:0042730","fibrinolysis","7/919","14/12541",2.40914254336283e-05,0.0112266042520708,0.0112266042520708,"PLG/HRG/F2/FGB/FGG/SERPINF2/FGA",7,919
"GO:0010951","negative regulation of endopeptidase activity","16/919","79/12541",0.000162878462804481,0.0534748732163185,0.0534748732163185,"SERPINA10/VTN/LOC113992168/LOC113989405/ITIH2/HRG/SERPINC1/PTTG1/FETUB/SPOCK3/SPP2/SERPINF2/SERPIND1/GAPDH/ITIH4/AGT",16,919
"GO:1904158","axonemal central apparatus assembly","7/919","18/12541",0.000172129420224201,0.0534748732163185,0.0534748732163185,"LOC113997903/LOC113997531/LOC113995484/LOC114001265/LOC113997354/LOC113983738/DNAJB13",7,919
"GO:0070328","triglyceride homeostasis","7/919","19/12541",0.000255391913219833,0.0680072180345383,0.0680072180345383,"ABCG5/ANGPTL3/APOA5/ANGPTL4/GIP/LIPC/APOA1",7,919
"GO:0006694","steroid biosynthetic process","7/919","20/12541",0.000368220248149779,0.0857953178188985,0.0857953178188985,"FDFT1/LOC114002832/LOC113992757/STARD3/STAR/LOC113983393/LSS",7,919
"GO:0008652","cellular amino acid biosynthetic process","7/919","21/12541",0.00051766337115476,0.0957789262444017,0.0957789262444017,"OAT/PAH/ASPG/GLUL/GLS/GLUD1/ALDH18A1",7,919
"GO:0060438","trachea development","6/919","16/12541",0.000643650602226207,0.0957789262444017,0.0957789262444017,"LOC113997903/LOC113997531/LOC113995484/LOC114001265/LOC113997354/LOC113983738",6,919
"GO:0035999","tetrahydrofolate interconversion","5/919","11/12541",0.000664660036885917,0.0957789262444017,0.0957789262444017,"MTHFD1/SHMT2/SHMT1/FTCD/TYMS",5,919
"GO:0051918","negative regulation of fibrinolysis","5/919","11/12541",0.000664660036885917,0.0957789262444017,0.0957789262444017,"PLG/APOH/HRG/F2/SERPINF2",5,919
"GO:0021591","ventricular system development","8/919","28/12541",0.00066798607359293,0.0957789262444017,0.0957789262444017,"LOC113997903/LOC113997531/LOC113995484/LOC114001265/LOC113997354/LOC113983738/SLC7A11/KIF27",8,919
"GO:0006953","acute-phase response","6/919","17/12541",0.000933499409113792,0.124288778470579,0.124288778470579,"LOC113992533/F2/LOC113988345/FN1/SERPINF2/ITIH4",6,919
"GO:0007584","response to nutrient","11/919","53/12541",0.00135558045610124,0.16845346467818,0.16845346467818,"ABCG5/SERPINC1/GCLM/ADIPOR2/STARD3/OXCT1/STAR/LOC113996683/AHCY/APOA1/ARSB",11,919
"GO:0006703","estrogen biosynthetic process","5/919","13/12541",0.00163593385875049,0.190586294544432,0.190586294544432,"LOC113992757/STARD3/STAR/LOC113990005/LOC113983393",5,919
"GO:0034622","cellular protein-containing complex assembly","6/919","19/12541",0.00180285786063801,0.197678061895839,0.197678061895839,"RIC3/FGB/AP2M1/FGG/TRAF2/FGA",6,919
"GO:0002576","platelet degranulation","17/919","108/12541",0.00212918452638959,0.220488886510567,0.220488886510567,"LOC113992533/LOC114001803/PLG/APOH/HRG/FGB/FN1/TEX264/ALB/SPP2/FGG/SERPINF2/F5/FGA/ITIH4/LOC113995052/APOA1",17,919
"GO:0002224","toll-like receptor signaling pathway","8/919","34/12541",0.00263583454928153,0.258589242097936,0.258589242097936,"TLR2/FGB/LOC113988345/FGG/FGA/IRAK4/CTSL/LRRC19",8,919
"GO:0010460","positive regulation of heart rate","5/919","15/12541",0.00337436171881104,0.314490512193189,0.314490512193189,"GCH1/SCN3B/RGS4/SLC1A1/EDN3",5,919
"GO:0051289","protein homotetramerization","10/919","52/12541",0.00398886277945255,0.347593321120437,0.347593321120437,"AQP4/TDO2/CRTC1/LOC113991243/ACACA/GNMT/GLS/APIP/SHMT2/SHMT1",10,919
"GO:0006754","ATP biosynthetic process","6/919","22/12541",0.00410249627931846,0.347593321120437,0.347593321120437,"ATP5PD/NUDT2/ATP5MF/ATP5F1E/ATP5F1A/DNAJC30",6,919
"GO:0034244","negative regulation of transcription elongation from
RNA polymerase II promoter","5/919","16/12541",0.00461559404453143,0.35885353367236,0.35885353367236,"HEXIM1/NELFB/RECQL5/SUPT4H1/LOC113992922",5,919
"GO:1902600","proton transmembrane transport","13/919","79/12541",0.0046204317640218,0.35885353367236,0.35885353367236,"LOC114000835/SLC33A1/SLC9A2/ATP6AP1/LOC113983432/ATP5MF/SLC15A2/ATP12A/LOC113984179/SLC9A3/LOC113996683/ATP6V0D2/LOC113985992",13,919
"GO:0006730","one-carbon metabolic process","7/919","30/12541",0.00507627987249234,0.378487427293029,0.378487427293029,"CA14/CA8/GNMT/MTHFD1/SHMT2/SHMT1/AHCY",7,919
"GO:0001886","endothelial cell morphogenesis","4/919","11/12541",0.00622843419009806,0.392418533211733,0.392418533211733,"CLIC4/STC1/HEG1/COL22A1",4,919
"GO:0043687","post-translational protein modification","34/919","297/12541",0.00625668659299457,0.392418533211733,0.392418533211733,"SERPINA10/LOC113992168/ITIH2/PSMC2/SERPINC1/FN1/ASB13/ALB/PSMB7/PSMD2/LOC113989947/TGOLN2/SPP2/LOC113992658/FGG/APOA5/F5/FGA/SOCS3/FEM1A/IGFBP4/DDB1/SERPIND1/FBXL16/PSMB3/SHISA5/KCTD6/LOC113996623/CCN1/RHBDD1/FSTL3/LOC113999119/APOA1/PSMB4",34,919
"GO:0002064","epithelial cell development","6/919","24/12541",0.00652627388925092,0.392418533211733,0.392418533211733,"LOC113997903/LOC113997531/LOC113995484/LOC114001265/LOC113997354/LOC113983738",6,919
"GO:0007588","excretion","6/919","24/12541",0.00652627388925092,0.392418533211733,0.392418533211733,"GRHPR/ABCG5/LOC114000835/AQP9/CLCNKA/KCNK5",6,919
"GO:0032722","positive regulation of chemokine production","6/919","24/12541",0.00652627388925092,0.392418533211733,0.392418533211733,"LOC114001646/TLR2/LOC113988345/ADAM17/LOC114001648/IL1RL1",6,919
"GO:0045907","positive regulation of vasoconstriction","6/919","24/12541",0.00652627388925092,0.392418533211733,0.392418533211733,"ADRA1B/FGB/FGG/FGA/DBH/ADRA1D",6,919
"GO:0120009","intermembrane lipid transfer","8/919","40/12541",0.00756179942039004,0.44047481623772,0.44047481623772,"ABCG5/PLEKHA3/STARD3/PRELID1/STAR/STARD4/APOA1/ATG2B",8,919
"GO:0097421","liver regeneration","6/919","25/12541",0.00806533136568523,0.455569020170826,0.455569020170826,"RPL30/CSNK2A2/AURKA/LOC113985802/PCNA/TYMS",6,919
"GO:0003341","cilium movement","9/919","49/12541",0.00841745671120981,0.456015933663794,0.456015933663794,"LOC113997903/LOC113997531/LOC113995484/LOC114001265/LOC113997354/LOC113983738/CFAP70/LOC113981955/TTC29",9,919
"GO:0006656","phosphatidylcholine biosynthetic process","7/919","33/12541",0.00879476762761238,0.456015933663794,0.456015933663794,"GPAT4/ABHD3/STARD7/CSNK2A2/SLC44A3/APOA1/LOC113998226",7,919
"GO:0006164","purine nucleotide biosynthetic process","4/919","12/12541",0.00880717468449387,0.456015933663794,0.456015933663794,"GART/ADSL/MTHFD1/PRPS2",4,919
"GO:0031145","anaphase-promoting complex-dependent catabolic process","11/919","68/12541",0.0100139418965685,0.504486153924422,0.504486153924422,"UBA52/PSMC2/PTTG1/PSMB7/PSMD2/PLK1/BUB1B/LOC113998129/PSMB3/AURKA/PSMB4",11,919
"GO:0006958","complement activation, classical pathway","6/919","27/12541",0.0118958536942299,0.53232257699421,0.53232257699421,"C8G/LOC113992168/C1QA/C8A/C6/LOC113984271",6,919
"GO:0045471","response to ethanol","12/919","79/12541",0.0119915467670564,0.53232257699421,0.53232257699421,"RBP4/GRIN1/LOC113998857/SREBF1/ADIPOR2/POLB/STARD3/RGS4/CDO1/OXCT1/STAR/TYMS",12,919
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","4/919","13/12541",0.0119943928292687,0.53232257699421,0.53232257699421,"GART/ADSL/ATIC/GMPS",4,919
"GO:0051412","response to corticosterone","4/919","13/12541",0.0119943928292687,0.53232257699421,0.53232257699421,"LOC113998857/LOC113992757/STARD3/STAR",4,919
"GO:0098789","pre-mRNA cleavage required for
polyadenylation","4/919","13/12541",0.0119943928292687,0.53232257699421,0.53232257699421,"FIP1L1/NCBP2/CPSF7/CSTF2",4,919
"GO:0055085","transmembrane transport","27/919","238/12541",0.015396814849228,0.655927458566176,0.655927458566176,"AQP4/GJB7/UBA52/SLC35F2/ABCG5/PSMC2/SLC51B/ANO10/LOC113991243/SLC33A1/PSMB7/PSMD2/LOC113987004/ABCA4/SLC19A3/SLC44A3/ABCB5/PSMB3/ABCB11/LOC114000062/ABCA12/ERLIN2/SLC25A24/LOC113990826/SLC18A1/APOA1/PSMB4",27,919
"GO:0008610","lipid biosynthetic process","4/919","14/12541",0.0158351586027242,0.655927458566176,0.655927458566176,"GPAT4/SREBF1/ACLY/ACSS2",4,919
"GO:0061844","antimicrobial humoral immune response
mediated by antimicrobial peptide","4/919","14/12541",0.0158351586027242,0.655927458566176,0.655927458566176,"HRG/F2/RPL30/GAPDH",4,919
"GO:0030449","regulation of complement activation","7/919","37/12541",0.0164377699407831,0.666087025426514,0.666087025426514,"C8G/VTN/LOC113992168/F2/C1QA/C8A/C6",7,919
"GO:0043627","response to estrogen","9/919","55/12541",0.0176218972962441,0.698876948089339,0.698876948089339,"ASH2L/PTPRN/TRIM25/GAL/CD24/STARD3/STAR/APOA1/ARSB",9,919
"GO:0019226","transmission of nerve impulse","4/919","15/12541",0.0203663574696018,0.790893548402869,0.790893548402868,"CNTNAP2/LOC113990764/NFASC/S1PR1",4,919
"GO:0071346","cellular response to interferon-gamma","9/919","58/12541",0.0242970467349692,0.924279492122094,0.924279492122094,"AQP4/TLR2/STARD3/GAPDH/LOC113987637/STAR/LOC113987883/LOC114002133/LOC113987639",9,919
"GO:0007597","blood coagulation, intrinsic pathway","4/919","16/12541",0.0256166119446252,0.936262052250617,0.936262052250617,"APOH/F2/F9/LOC113996792",4,919
"GO:0014066","regulation of phosphatidylinositol 3-kinase
signaling","4/919","16/12541",0.0256166119446252,0.936262052250617,0.936262052250617,"PTPN13/PPP1R16B/PIP5K1B/ENTPD5",4,919
"GO:0032259","methylation","8/919","50/12541",0.0277537867696312,0.966908402349433,0.966908402349433,"GAMT/METTL25/SETD9/GNMT/ECE2/RRP8/AHCY/TYMS",8,919
"GO:0042776","mitochondrial ATP synthesis coupled
proton transport","4/919","17/12541",0.0316064001913954,0.966908402349433,0.966908402349433,"ATP5PD/ATP5MF/ATP5F1E/ATP5F1A",4,919
