"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0050729","positive regulation of inflammatory response","16/1105","57/12541",2.13067115433999e-05,0.0305125387354838,0.0298554992588515,"PDE2A/AGTR1/LOC114003559/IFI35/SNCA/LPL/LOC114000059/TNIP1/TLR2/TGM2/IL1RL1/CEBPB/PLA2G7/CLOCK/ETS1/APP",16,1105
"GO:0051412","response to corticosterone","7/1105","13/12541",4.31586535698111e-05,0.0305125387354838,0.0298554992588515,"STAR/TH/AVPR1A/LOC113992757/STARD3/LOC113998857/NEFL",7,1105
"GO:0050679","positive regulation of epithelial
cell proliferation","15/1105","55/12541",5.55240289298905e-05,0.0305125387354838,0.0298554992588515,"NR4A3/LOC113991446/HTRA1/OSR2/LOC113991466/MYC/LOC113986457/BMP4/BMP5/FGFR2/IGF1/TWIST1/HRAS/FGF1/ATP7A",15,1105
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane","19/1105","81/12541",5.93052259193078e-05,0.0305125387354838,0.0298554992588515,"LOC113990217/RPL31/RPL37/RPS20/RPS25/RPL39/RPS12/RPL23/RPL38/RPL22/RPL35/RPL29/RPL32/RPL23A/RPS6/RPL9/RPL5/RPL27/RPL10A",19,1105
"GO:0019083","viral transcription","20/1105","100/12541",0.000389808544619823,0.157885449668755,0.15448563511653,"LOC113990217/RPL31/RPL37/RPS20/RPS25/RPL39/RPS12/RPL23/RPL38/RPL22/RPL35/RPL29/RPL32/RPL23A/RPS6/RPL9/RPL5/TPR/RPL27/RPL10A",20,1105
"GO:0006825","copper ion transport","6/1105","13/12541",0.000460307433436603,0.157885449668755,0.15448563511653,"ATOX1/HEPHL1/SLC31A1/FKBP4/ATP7A/CUTC",6,1105
"GO:0055010","ventricular cardiac muscle tissue morphogenesis","7/1105","18/12541",0.000539553320119164,0.158628676115034,0.155212857351573,"ISL1/FOXC1/FGFR2/LOC113998261/FKBP1A/PTCD2/TPM1",7,1105
"GO:0046928","regulation of neurotransmitter secretion","6/1105","14/12541",0.000745723705293497,0.191837423186752,0.187706506345587,"SNCG/SNCAIP/CPLX2/CPLX1/RHOT1/MCTP1",6,1105
"GO:0021510","spinal cord development","8/1105","25/12541",0.000980647106619307,0.195537504884147,0.191326912609776,"BAG3/PTN/PLXDC1/SUZ12/PHGDH/SRD5A1/NEFL/PTPRS",8,1105
"GO:0050772","positive regulation of axonogenesis","9/1105","31/12541",0.00104954042742965,0.195537504884147,0.191326912609776,"SHOX2/METRN/STK25/CHODL/NGF/PLXND1/MAP6/NEFL/SLITRK1",9,1105
"GO:0007131","reciprocal meiotic recombination","9/1105","32/12541",0.00134762160364496,0.195537504884147,0.191326912609776,"SHOC1/SPO11/RAD21/ATM/MSH4/MRE11/RAD50/LOC113997307/MSH5",9,1105
