"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0007605","sensory perception of sound","15/306","127/12155",6.75569815609876e-07,0.000712726155468419,0.000674147563366486,"LOC113987015/LOC113993758/LOC113991140/BARHL1/ALDH7A1/COL4A3/GABRA5/ATP2B2/EPS8L2/USP53/LOC114000755/COL1A1/LRP2/LOC113993146/COL2A1",15,306
"GO:0003341","cilium movement","7/306","38/12155",3.86137957973898e-05,0.0201160104334816,0.0190271667657177,"DNAI2/LOC114000425/DNAI1/LOC113981955/CFAP221/DNAH9/CCDC40",7,306
"GO:0070268","cornification","6/306","28/12155",5.72019254032652e-05,0.0201160104334816,0.0190271667657177,"LOC114001273/DSG2/DSP/LOC114000789/LOC114002150/LOC113991144",6,306
"GO:0007601","visual perception","13/306","148/12155",9.18744009549613e-05,0.0234574143128906,0.0221877064291547,"GUCA1B/GRM8/RPE65/GJC1/COL18A1/GLRA1/CNGB1/COL1A1/COL2A1/BBS4/LAMB2/LOC113999235/PAX6",13,306
"GO:0016082","synaptic vesicle priming","5/306","20/12155",0.000111172579681946,0.0234574143128906,0.0221877064291547,"LOC113987015/LOC113993758/LOC113991140/LOC113993146/UNC13C",5,306
"GO:0031424","keratinization","5/306","22/12155",0.000181179063825264,0.031857318722609,0.0301329390362018,"LOC114001273/DSG2/DSP/LOC114000789/LOC114002150",5,306
"GO:0030198","extracellular matrix organization","15/306","208/12155",0.000249716180004013,0.0376357957006048,0.0355986373900457,"COL4A4/COL4A3/LOC113993281/ADAMTS7/COL8A2/COL7A1/COL18A1/VCAN/COL1A1/COL8A1/COL2A1/COL4A6/COL6A2/LAMB2/LAMA3",15,306
"GO:0043651","linoleic acid metabolic process","4/306","16/12155",0.000564153425374016,0.0700334755878475,0.0662426888074626,"LOC113991921/LOC114001775/LOC114002601/LOC114002603",4,306
"GO:0035987","endodermal cell differentiation","5/306","28/12155",0.000597441971839457,0.0700334755878475,0.0662426888074626,"LOC113983959/COL7A1/COL8A1/COL4A6/LAMA3",5,306
"GO:0007155","cell adhesion","19/306","331/12155",0.000723038511554343,0.0762805629689832,0.0721516325214228,"LOC113983959/FERMT2/SORBS3/CNTNAP2/COL4A3/CD9/CDHR4/LOC113988059/LOC113995955/LOC113993281/DSG2/PGM5/COL7A1/COL18A1/VCAN/COL8A1/COL6A2/STAB1/CX3CL1",19,306
"GO:0007368","determination of left/right symmetry","6/306","50/12155",0.00151663560242572,0.134911588633708,0.127609065627094,"LOC113984044/DNAI2/LOC113982904/FOXJ1/DNAI1/CUNH9orf116",6,306
"GO:0003223","ventricular compact myocardium morphogenesis","3/306","10/12155",0.00166241767984663,0.134911588633708,0.127609065627094,"DSP/LRP2/LOC114000843",3,306
"GO:0070286","axonemal dynein complex assembly","3/306","10/12155",0.00166241767984663,0.134911588633708,0.127609065627094,"LOC113984044/LOC113982904/CCDC40",3,306
"GO:0007585","respiratory gaseous exchange by
respiratory system","4/306","22/12155",0.00201290737308562,0.151686948471809,0.143476405239486,"CYSLTR1/LOC114002755/LOC113987678/BPGM",4,306
"GO:0045494","photoreceptor cell maintenance","5/306","37/12155",0.00220263650777558,0.154918767713549,0.146533291885702,"CROCC/IQCB1/CNGB1/BBS4/PROM1",5,306
"GO:0016079","synaptic vesicle exocytosis","4/306","23/12155",0.0023889358231476,0.157520455838795,0.148994155285784,"LOC113987015/LOC113993758/LOC113991140/LOC113993146",4,306
"GO:0018149","peptide cross-linking","3/306","12/12155",0.00293586811919742,0.182196521514898,0.17233454965939,"LOC113988333/DSP/TGM2",3,306
"GO:0038063","collagen-activated tyrosine kinase receptor
signaling pathway","3/306","13/12155",0.00374604403925089,0.211067022637529,0.199642342190449,"COL4A3/COL1A1/COL4A6",3,306
"GO:0006821","chloride transport","4/306","26/12155",0.00380120704276119,0.211067022637529,0.199642342190449,"SLC4A11/GLRA1/TTYH3/SLC26A1",4,306
"GO:0030199","collagen fibril organization","5/306","43/12155",0.00430273220266979,0.226969123690831,0.214683690954261,"P3H4/LOC113983959/COL1A1/COL2A1/LOC114001232",5,306
