"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0003341","cilium movement","17/473","38/12155",1.09668924733834e-14,1.42130926455049e-11,1.39568136845479e-11,"LOC113981955/DNAI1/DNAI2/DNAH9/LOC113998190/CFAP70/DNAH1/LOC114000425/ARMC4/LOC114000433/LRRC6/DNAH12/CFAP221/LOC114001265/CCDC40/TTC25/DNAH5",17,473
"GO:0060285","cilium-dependent cell motility","8/473","14/12155",1.21180537225397e-08,7.85249881220571e-06,7.71090892134235e-06,"LOC113984044/DNAH1/DNAH3/CFAP44/DNAH12/LOC113982904/EFHC1/EFHC2",8,473
"GO:0030317","flagellated sperm motility","10/473","35/12155",5.53407658067444e-07,0.000239072108285136,0.000234761353895979,"CFAP65/DNAI1/LOC113998190/DNAH1/LRRC6/ROPN1L/TCTE1/CCDC40/DNAH5/ENKUR",10,473
"GO:0007368","determination of left/right symmetry","11/473","50/12155",2.60394732169879e-06,0.000734204099369396,0.00072096552642755,"ZIC3/DNAI1/DNAI2/LOC113998190/LOC113984044/LOC113992699/FOXJ1/ARMC4/BBS7/LOC113982904/DNAH5",11,473
"GO:0036158","outer dynein arm assembly","7/473","18/12155",2.83257754386341e-06,0.000734204099369396,0.00072096552642755,"DNAI1/DNAI2/LOC113998190/ARMC4/LRRC6/TTC25/DNAH5",7,473
"GO:0035082","axoneme assembly","7/473","21/12155",9.34803199165959e-06,0.00194360672980548,0.00190856118935578,"CFAP74/JHY/LOC113992699/FOXJ1/CFAP46/CCDC40/RSPH1",7,473
"GO:0007018","microtubule-based movement","12/473","68/12155",1.04978758554309e-05,0.00194360672980548,0.00190856118935578,"DNAI1/DNAI2/DNAH9/LOC113998190/DNAH1/DNAH3/KIF24/LOC114000425/LOC114000985/DNAH12/DNAH10/DNAH5",12,473
"GO:0007601","visual perception","18/473","148/12155",1.73718499577192e-05,0.00281423969315051,0.00276349560511612,"GUCA1B/GUCA1C/NDP/ZIC2/COL1A1/LAMB2/LOC113984118/PDE6G/SOX14/USH2A/MYO3A/BBS7/MFRP/RORB/HSF4/NR2E1/GJC1/LOC113999235",18,473
"GO:0018149","peptide cross-linking","5/473","12/12155",5.51427550942583e-05,0.0079405567335732,0.00779737905367933,"F13A1/TGM1/LOC113988333/TGM2/LOC113992706",5,473
"GO:0003351","epithelial cilium movement involved
in extracellular fluid movement","5/473","13/12155",8.67487707412697e-05,0.0112426406880685,0.0110399225080205,"LOC113998190/SPAG17/ROPN1L/CCDC40/DNAH5",5,473
"GO:0044458","motile cilium assembly","6/473","21/12155",0.000110822907783302,0.0130569534988326,0.0128215211014365,"JHY/LOC113992699/FOXJ1/LRRC6/CFAP221/CCDC40",6,473
"GO:0036159","inner dynein arm assembly","5/473","15/12155",0.000189724380988224,0.0204902331467281,0.0201207698784879,"LOC113981955/DNAH1/LRRC6/DNAH12/CCDC40",5,473
"GO:0010951","negative regulation of endopeptidase activity","10/473","73/12155",0.000498015572518875,0.0496483216911124,0.0487531034150056,"COL7A1/LOC113992168/ANXA2/LOC113991487/LOC113991482/COL4A3/C3/CRB2/LOC113992706/LOC113991485",10,473
"GO:0060271","cilium assembly","17/473","180/12155",0.000655511822096553,0.060681665816938,0.0595875032266716,"GSN/CEP126/CFAP54/DNAI2/LOC113998190/CFAP70/KIF24/CFAP44/LOC113982241/LOC113992699/FOXJ1/CFAP221/LOC113996763/BBS7/CEP131/RFX2/DNAH5",17,473
"GO:0045654","positive regulation of megakaryocyte differentiation","4/473","12/12155",0.000873462260428283,0.0707504430946909,0.0694747284774865,"TESC/LOC114002160/RAB7B/SCIN",4,473
"GO:0051693","actin filament capping","4/473","12/12155",0.000873462260428283,0.0707504430946909,0.0694747284774865,"GSN/VILL/SCIN/SPTBN5",4,473
"GO:0071470","cellular response to osmotic stress","4/473","13/12155",0.00122311270028918,0.093244356445575,0.0915630498235056,"LOC113991487/LOC114001824/LOC113991482/LOC113991485",4,473
