"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0036159","inner dynein arm assembly","7/609","15/12088",3.59411562758042e-06,0.00573261442599077,0.00563708661588929,"LRRC6/LOC113981955/DNAAF5/CFAP73/DNAH1/DNAAF1/DNAH12",7,609
"GO:0003341","cilium movement","10/609","38/12088",1.28310363669915e-05,0.0102327515026757,0.0100622337825354,"ARMC4/LRRC6/LOC113981955/DNAAF5/CFAP73/DNAH1/TTC29/DNAAF1/DNAH12/DNAH9",10,609
"GO:0071377","cellular response to glucagon stimulus","7/609","22/12088",6.98862095945666e-05,0.0371561681011113,0.0365370008055804,"LOC113984696/CPS1/LOC113995499/ADCY5/PRKAR2A/LOC113999236/LOC113983744",7,609
"GO:0060271","cilium assembly","22/609","181/12088",0.000112612878263281,0.0416889338120579,0.0409942328856402,"TMEM237/CC2D2A/IFT88/WDR35/CEP126/CFAP54/IFT74/TCTN2/LOC113992699/ARL13B/INTU/CEP89/NUDCD3/CFAP44/POC1B/ATXN10/KIF27/DNAAF1/IQCB1/SSX2IP/TMEM67/PCNT",22,609
"GO:0007018","microtubule-based movement","12/609","68/12088",0.000130686312890464,0.0416889338120579,0.0409942328856402,"LOC114000985/DNAH10/LOC113982299/DNAH3/KIFC3/DNAH1/KIF6/KIF27/KIF21B/DNAH12/DNAH9/LOC113996658",12,609
"GO:0007190","activation of adenylate cyclase activity","8/609","33/12088",0.000179365993685064,0.0476814599879461,0.0468869001036395,"LOC113984696/CALCR/DRD5/LOC114001840/ADCY5/ADORA3/LOC113999236/LOC113983744",8,609
"GO:0030317","flagellated sperm motility","8/609","35/12088",0.000278124287390444,0.0633726054839655,0.062316569655904,"CFAP65/LRRC6/TCTE1/DNAH1/PLTP/DNAJA1/LOC113999236/LOC113983744",8,609
"GO:0015718","monocarboxylic acid transport","5/609","14/12088",0.000437012798514197,0.0712074761425923,0.0700208806813809,"SLC16A9/SLC16A5/LOC113990781/LOC113996953/SLC6A12",5,609
"GO:0060285","cilium-dependent cell motility","5/609","14/12088",0.000437012798514197,0.0712074761425923,0.0700208806813809,"DNAH3/CFAP44/DNAH1/DNAH12/EFHC2",5,609
"GO:0007283","spermatogenesis","24/609","226/12088",0.000446441856693368,0.0712074761425923,0.0700208806813809,"LOC113982299/SPEF2/GJA1/GAMT/MSH4/CFAP54/LOC113992699/NUP62CL/SEPT4/ACVR2A/DHX36/LOC113987746/KATNAL1/LOC113992196/MNS1/DNMT3A/TDRD9/DNAJA1/UBR2/GGT7/PUM1/STK11/LOC113985256/LOC113996658",24,609
"GO:0034199","activation of protein kinase
A activity","5/609","16/12088",0.000876582323632302,0.127104436926684,0.124986379159055,"LOC113984696/ADCY5/PRKAR2A/LOC113999236/LOC113983744",5,609
"GO:0006171","cAMP biosynthetic process","4/609","10/12088",0.00104988714872724,0.139547500184996,0.137222092245929,"LOC113984696/ADCY5/LOC113999236/LOC113983744",4,609
"GO:1905515","non-motile cilium assembly","8/609","43/12088",0.00120109206237212,0.147364756883349,0.144909082828701,"IFT88/CEP126/IFT74/TBC1D32/ARL13B/INTU/CEP89/GORAB",8,609
"GO:0036158","outer dynein arm assembly","5/609","18/12088",0.0015811265213316,0.180135485823136,0.177133723066472,"ARMC4/LRRC6/DNAAF5/DAW1/DNAAF1",5,609
"GO:0003091","renal water homeostasis","6/609","27/12088",0.00190398441522546,0.20245700948564,0.199083282714802,"LOC113984696/ADCY5/PRKAR2A/LOC113999236/LOC113983744/WFS1",6,609
"GO:2000343","positive regulation of chemokine (C-X-C motif)
ligand 2 production","4/609","12/12088",0.00228258467456787,0.227545159745984,0.223753366125403,"LPL/HMGB1/CD74/LOC114000755",4,609
"GO:0007288","sperm axoneme assembly","5/609","20/12088",0.002631521345678,0.246898620373907,0.242784322294751,"CFAP65/SPEF2/MEIG1/CFAP44/DNAH1",5,609
"GO:0007368","determination of left/right symmetry","8/609","49/12088",0.00286524619832301,0.253892649240289,0.249661803245689,"ARMC4/PKD2/IFT74/TBC1D32/LOC113992699/ACVR2A/ALG5/DAW1",8,609
"GO:0044458","motile cilium assembly","5/609","21/12088",0.00331269799020057,0.278092278651048,0.273458172044258,"LRRC6/LOC113992699/INTU/JHY/DNAAF1",5,609
"GO:0042593","glucose homeostasis","10/609","75/12088",0.00421220159030775,0.323463094530927,0.318072932421106,"CRY2/NCOA5/NMB/APPL2/PYGL/INSR/STK11/ADIPOR1/WFS1/PRKAA1",10,609
"GO:1904322","cellular response to forskolin","4/609","14/12088",0.00425876174617521,0.323463094530927,0.318072932421106,"LOC113984696/ADCY5/LOC113999236/LOC113983744",4,609
"GO:2001244","positive regulation of intrinsic
apoptotic signaling pathway","5/609","23/12088",0.00504009414561479,0.349862080639424,0.344032008020288,"CAV1/BID/SEPT4/LOC113984160/LOC113992196",5,609
"GO:0032147","activation of protein kinase activity","9/609","65/12088",0.00504503313774717,0.349862080639424,0.344032008020288,"GPRC5B/DRD2/HMGB1/MARK2/EMP2/TGFBR2/LOC114000839/INSR/STK11",9,609
"GO:0007189","adenylate cyclase-activating G protein-coupled
receptor signaling pathway","10/609","78/12088",0.00558973301381887,0.371484339876712,0.365293955727637,"LOC113984696/CALCR/DRD5/LOC114001840/ADORA2A/ADCY5/VIP/LOC113999236/PTGFR/LOC113983744",10,609
"GO:0010508","positive regulation of autophagy","7/609","44/12088",0.0060004405712596,0.378800382814815,0.372488084734582,"HMGB1/PIK3CB/TRIM14/PIK3C2A/STK11/PRKAA1/LOC113982770",7,609
"GO:0030512","negative regulation of transforming growth factor
beta receptor signaling pathway","9/609","67/12088",0.00617480247848602,0.378800382814815,0.372488084734582,"CAV1/TGFBR3/PMEPA1/TGFBR2/HTRA3/ZNF451/SLC2A10/SPRY2/UBC",9,609
"GO:0005975","carbohydrate metabolic process","12/609","105/12088",0.00645992181152396,0.381613899606693,0.375254717316596,"B4GALT2/LOC113987784/PGM5/B3GAT1/GBE1/GALK2/PHKA2/INSR/GNPDA2/EDEM3/PGGHG/SLC35A1",12,609
"GO:0010719","negative regulation of epithelial
to mesenchymal transition","5/609","25/12088",0.00732381704151951,0.417196006472272,0.410243886912183,"SFRP1/ZNF750/PPP2CA/SPRY2/ADIPOR1",5,609
"GO:0007043","cell-cell junction assembly","6/609","36/12088",0.00853511469972385,0.454432198147984,0.446859577786172,"PARD6B/FSCN1/HEG1/TLN2/PKP2/CLDN5",6,609
"GO:0044782","cilium organization","4/609","17/12088",0.00897873210392926,0.454432198147984,0.446859577786172,"PKD2/TTC29/MNS1/ODF2L",4,609
"GO:0050900","leukocyte migration","11/609","98/12088",0.010165972549687,0.454432198147984,0.446859577786172,"JCHAIN/LOC113996443/CAV1/LOC113989518/LOC113992699/LOC113984310/PIK3CB/CD74/LOC113990764/SLC7A6/PROS1",11,609
"GO:0030890","positive regulation of B
cell proliferation","5/609","27/12088",0.0102439900410224,0.454432198147984,0.446859577786172,"SLC39A10/CD74/LOC113992301/ADA/TNFSF13B",5,609
"GO:0045070","positive regulation of viral
genome replication","5/609","27/12088",0.0102439900410224,0.454432198147984,0.446859577786172,"TARBP2/LOC113982951/HACD3/PKN2/STAU1",5,609
"GO:0007186","G protein-coupled receptor signaling
pathway","35/609","464/12088",0.0110201421653886,0.454432198147984,0.446859577786172,"GPRC5B/LOC113984696/OBSCN/FZD8/NGEF/CALCR/DRD2/NMB/AKAP12/DRD5/NPSR1/PIK3CB/LOC114001840/PDYN/APLP2/ADORA2A/DGKQ/GPR182/ADCY5/ADORA3/QRFPR/OPRK1/PREX2/VIP/INSR/LOC113999236/PTGFR/RAC2/RAPGEFL1/GNRH1/CCK/FZD10/LOC113983744/LOC113989272/TULP3",35,609
"GO:0051898","negative regulation of protein
kinase B signaling","6/609","38/12088",0.0111140974211495,0.454432198147984,0.446859577786172,"SH2B3/DRD2/LOC114000824/BANK1/PIK3CB/KLF4",6,609
"GO:0010628","positive regulation of gene expression","24/609","289/12088",0.0111855092054574,0.454432198147984,0.446859577786172,"CAV1/GJA1/CALCR/LRP3/EGF/PLP1/DHX36/PIK3CB/CD74/IL34/CELF1/DGKQ/KLF4/DNAJA4/PLSCR1/LOC114000839/AGO2/CLDN5/PTGFR/SLC2A10/SPRY2/F3/PRKAA1/MAP2K1",24,609
"GO:0006883","cellular sodium ion homeostasis","3/609","10/12088",0.0117035070601331,0.454432198147984,0.446859577786172,"LOC113996443/ATP12A/LOC113993938",3,609
"GO:0007191","adenylate cyclase-activating dopamine receptor
signaling pathway","3/609","10/12088",0.0117035070601331,0.454432198147984,0.446859577786172,"LOC113984696/DRD5/ADCY5",3,609
"GO:0046755","viral budding","3/609","10/12088",0.0117035070601331,0.454432198147984,0.446859577786172,"MVB12B/LOC113993934/NEDD4",3,609
"GO:0070365","hepatocyte differentiation","3/609","10/12088",0.0117035070601331,0.454432198147984,0.446859577786172,"CPS1/ITGA2/LOC113995499",3,609
"GO:2000648","positive regulation of stem
cell proliferation","3/609","10/12088",0.0117035070601331,0.454432198147984,0.446859577786172,"GJA1/TERT/HNRNPU",3,609
"GO:0061512","protein localization to cilium","5/609","28/12088",0.0119662397004485,0.454432198147984,0.446859577786172,"WDR35/TTC21B/LRRC6/TBC1D32/TULP3",5,609
"GO:0006622","protein targeting to lysosome","4/609","19/12088",0.0135015243157255,0.491788115077077,0.483592998821874,"GCC2/LAPTM5/LOC113993934/NEDD4",4,609
"GO:0007205","protein kinase C-activating G protein-coupled receptor
signaling pathway","5/609","29/12088",0.0138748997984128,0.491788115077077,0.483592998821874,"DGKZ/PRKD3/ADORA2A/DGKQ/CCK",5,609
"GO:0019058","viral life cycle","5/609","29/12088",0.0138748997984128,0.491788115077077,0.483592998821874,"CHMP7/MVB12B/UBC/VPS37B/LOC113993938",5,609
"GO:0017144","drug metabolic process","3/609","11/12088",0.0154981645248514,0.497487403228627,0.489197314509589,"LOC113988755/LOC113994971/LOC113993212",3,609
"GO:0086064","cell communication by electrical
coupling involved in cardiac conduction","3/609","11/12088",0.0154981645248514,0.497487403228627,0.489197314509589,"LOC113996443/GJA1/PKP2",3,609
"GO:2000650","negative regulation of sodium
ion transmembrane transporter activity","3/609","11/12088",0.0154981645248514,0.497487403228627,0.489197314509589,"LOC113993934/NEDD4/LOC113993938",3,609
"GO:0042908","xenobiotic transport","4/609","20/12088",0.0162190250582374,0.497487403228627,0.489197314509589,"GJA1/ABCA3/SLC15A2/LOC114001992",4,609
"GO:0043162","ubiquitin-dependent protein catabolic process via the
multivesicular body sorting pathway","4/609","20/12088",0.0162190250582374,0.497487403228627,0.489197314509589,"MVB12B/LOC113993934/NEDD4/VPS37B",4,609
"GO:0045840","positive regulation of mitotic
nuclear division","4/609","20/12088",0.0162190250582374,0.497487403228627,0.489197314509589,"EGF/NUP62CL/LOC114000839/INSR",4,609
"GO:0045907","positive regulation of vasoconstriction","4/609","20/12088",0.0162190250582374,0.497487403228627,0.489197314509589,"CAV1/GJA1/LOC113992301/LOC113989272",4,609
"GO:0010629","negative regulation of gene expression","16/609","178/12088",0.0177868231042957,0.53528269530852,0.526362788985115,"WDR35/ACVR1B/LRP3/TERT/SFRP1/CELF1/DGKQ/KLF4/SLC35C2/AGO2/CLDN5/NDFIP1/SLC2A10/SPI1/PRKAA1/MAP2K1",16,609
"GO:0042311","vasodilation","4/609","21/12088",0.0192558078977755,0.547342339727679,0.538221472492488,"CPS1/ITGA11/ADORA2A/LOC113995499",4,609
"GO:0030301","cholesterol transport","3/609","12/12088",0.0199033578082792,0.547342339727679,0.538221472492488,"CAV1/LCAT/NPC2",3,609
"GO:0035810","positive regulation of urine volume","3/609","12/12088",0.0199033578082792,0.547342339727679,0.538221472492488,"DRD2/HAS2/ADORA2A",3,609
"GO:0045947","negative regulation of translational initiation","3/609","12/12088",0.0199033578082792,0.547342339727679,0.538221472492488,"BANK1/LOC113987746/AGO2",3,609
"GO:0055091","phospholipid homeostasis","3/609","12/12088",0.0199033578082792,0.547342339727679,0.538221472492488,"ABCA3/TLCD2/ITGB6",3,609
"GO:0150104","transport across blood-brain barrier","9/609","81/12088",0.0203087042065023,0.54902344422663,0.53987456320586,"LOC113996443/LOC113990781/LRP3/SLC15A2/LOC113990827/LOC114001995/SLC5A3/INSR/SLC2A10",9,609
"GO:0015914","phospholipid transport","4/609","22/12088",0.0226210910991718,0.591485906609491,0.581629434646522,"ABCA3/PCTP/PLTP/NPC2",4,609
"GO:0048814","regulation of dendrite morphogenesis","4/609","22/12088",0.0226210910991718,0.591485906609491,0.581629434646522,"LOC113993934/NEDD4/STK11/LOC113993938",4,609
"GO:0035196","production of miRNAs involved
in gene silencing by miRNA","3/609","13/12088",0.0249243151081385,0.602337615113348,0.592300311182239,"TARBP2/AGO2/PUM1",3,609
"GO:0043403","skeletal muscle tissue regeneration","3/609","13/12088",0.0249243151081385,0.602337615113348,0.592300311182239,"TARBP2/LOC113982944/EYS",3,609
"GO:0045109","intermediate filament organization","3/609","13/12088",0.0249243151081385,0.602337615113348,0.592300311182239,"KLHL24/EPPK1/GFAP",3,609
"GO:0071361","cellular response to ethanol","3/609","13/12088",0.0249243151081385,0.602337615113348,0.592300311182239,"DNMT3A/SPI1/PRKAA1",3,609
"GO:0071880","adenylate cyclase-activating adrenergic receptor
signaling pathway","3/609","13/12088",0.0249243151081385,0.602337615113348,0.592300311182239,"DRD2/DRD5/LOC113989272",3,609
"GO:0044344","cellular response to fibroblast
growth factor stimulus","4/609","23/12088",0.0263223536157101,0.61203351052823,0.601834635002187,"CDC5L/CPS1/SFRP1/LOC113995499",4,609
"GO:0010634","positive regulation of epithelial
cell migration","5/609","34/12088",0.026476684781472,0.61203351052823,0.601834635002187,"LOC113989518/VILL/TGFBR2/ITGA2/EPB41L5",5,609
"GO:0042059","negative regulation of epidermal
growth factor receptor signaling pathway","5/609","34/12088",0.026476684781472,0.61203351052823,0.601834635002187,"EGF/PTPN3/ITGA11/NUP62CL/SPRY2",5,609
"GO:0009617","response to bacterium","6/609","46/12088",0.0269222941192111,0.613443701716309,0.603221326881571,"CAV1/LPL/BANK1/VILL/BAIAP2/PYGL",6,609
"GO:0045732","positive regulation of protein
catabolic process","8/609","72/12088",0.0278341056068774,0.625287302013655,0.614867566408412,"GJA1/DACT1/VIP/IDE/LOC113993934/NDFIP1/NEDD4/LOC113993938",8,609
"GO:0001570","vasculogenesis","6/609","47/12088",0.0295963383939845,0.641365767235988,0.630678101423278,"CAV1/TGFBR3/HAS2/TIE1/TGFBR2/HEG1",6,609
"GO:0042113","B cell activation","4/609","24/12088",0.0303653655266474,0.641365767235988,0.630678101423278,"BANK1/HSPD1/TXLNA/AKAP17A",4,609
