"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0043525","positive regulation of neuron
apoptotic process","7/385","45/12041",0.00051396916173946,0.378880886457026,0.364620681734194,"FASLG/BAX/LOC113991532/ITGA11/ATF4/PRNP/CDC42",7,385
"GO:0022010","central nervous system myelination","4/385","13/12041",0.000584917852968528,0.378880886457026,0.364620681734194,"LOC113990764/ASPA/LOC113991947/PLP1",4,385
"GO:0016525","negative regulation of angiogenesis","9/385","78/12041",0.000826048444310377,0.378880886457026,0.364620681734194,"CNMD/SPRY2/FASLG/THBS4/CLDN5/PLK2/APOH/SPARC/PDE3B",9,385
"GO:0008217","regulation of blood pressure","7/385","54/12041",0.00156799000420801,0.492933190475153,0.474380319475017,"SGK1/STK39/POMC/SOD1/ACVRL1/CD34/LOC113992470",7,385
"GO:0003151","outflow tract morphogenesis","6/385","41/12041",0.00179118165143587,0.492933190475153,0.474380319475017,"TBX2/NIPBL/SOX11/CLDN5/TGFBR3/HIF1A",6,385
"GO:0010466","negative regulation of peptidase activity","3/385","10/12041",0.00329166323535323,0.53616294197218,0.515983002601746,"LOC113992709/LOC113992708/LOC113999601",3,385
"GO:1900264","positive regulation of DNA-directed
DNA polymerase activity","3/385","10/12041",0.00329166323535323,0.53616294197218,0.515983002601746,"PCNA/RFC4/RFC3",3,385
"GO:0010738","regulation of protein kinase
A signaling","3/385","11/12041",0.00441951562078834,0.53616294197218,0.515983002601746,"AIP/PRKAR1A/AKAP12",3,385
"GO:0070987","error-free translesion synthesis","4/385","22/12041",0.00476590113841375,0.53616294197218,0.515983002601746,"PCNA/RFC4/RCHY1/RFC3",4,385
"GO:0045778","positive regulation of ossification","3/385","12/12041",0.00575422948835118,0.53616294197218,0.515983002601746,"NIPBL/SOX11/WNT5A",3,385
"GO:0045861","negative regulation of proteolysis","3/385","12/12041",0.00575422948835118,0.53616294197218,0.515983002601746,"LOC113992709/LOC113992708/LOC113999601",3,385
"GO:0045945","positive regulation of transcription
by RNA polymerase III","3/385","12/12041",0.00575422948835118,0.53616294197218,0.515983002601746,"ICE1/ZNF143/LOC113984926",3,385
"GO:0006879","cellular iron ion homeostasis","6/385","52/12041",0.00604408260246987,0.53616294197218,0.515983002601746,"ATP6V1G1/ATP6V0D1/IREB2/SOD1/LOC113992610/HIF1A",6,385
"GO:0006816","calcium ion transport","7/385","69/12041",0.00635268404501376,0.53616294197218,0.515983002601746,"RYR3/CACNA1D/LOC114000517/SLC24A1/LOC113994780/NMUR1/LOC113984160",7,385
"GO:0010951","negative regulation of endopeptidase activity","7/385","69/12041",0.00635268404501376,0.53616294197218,0.515983002601746,"CD109/LOC113992168/LOC113992709/LOC113992708/LOC113999601/PAPLN/PRNP",7,385
"GO:0006271","DNA strand elongation involved
in DNA replication","3/385","13/12041",0.007305022978966,0.53616294197218,0.515983002601746,"MCM3/RFC4/RFC3",3,385
"GO:0090103","cochlea morphogenesis","3/385","13/12041",0.007305022978966,0.53616294197218,0.515983002601746,"FRZB/MYO3A/WNT5A",3,385
"GO:0042769","DNA damage response, detection
of DNA damage","5/385","39/12041",0.00766492691106842,0.53616294197218,0.515983002601746,"PCNA/RFC4/DTL/SOX4/RFC3",5,385
"GO:0071347","cellular response to interleukin-1","5/385","39/12041",0.00766492691106842,0.53616294197218,0.515983002601746,"KLF2/MAPK13/HIF1A/AKAP12/RORA",5,385
"GO:0002576","platelet degranulation","8/385","91/12041",0.00857213680800244,0.53616294197218,0.515983002601746,"CLEC3B/CD109/TLN1/SOD1/MMRN1/APOH/SPARC/VWF",8,385
"GO:0003376","sphingosine-1-phosphate receptor signaling pathway","3/385","14/12041",0.00907957200768761,0.53616294197218,0.515983002601746,"S1PR3/GPR6/PIK3CB",3,385
"GO:0014912","negative regulation of smooth
muscle cell migration","3/385","14/12041",0.00907957200768761,0.53616294197218,0.515983002601746,"LRP1/PPARGC1A/SEMA6D",3,385
"GO:0060047","heart contraction","3/385","14/12041",0.00907957200768761,0.53616294197218,0.515983002601746,"SOD1/LOC113984160/CDC42",3,385
"GO:0006626","protein targeting to mitochondrion","4/385","27/12041",0.0100861874744036,0.53616294197218,0.515983002601746,"TIMM10/AIP/TOMM7/MTERF4",4,385
"GO:0001501","skeletal system development","8/385","95/12041",0.0109895658848534,0.53616294197218,0.515983002601746,"ACAN/SOX11/HAPLN3/CNMD/FRZB/COL19A1/RASSF2/SOX4",8,385
"GO:0002028","regulation of sodium ion transport","3/385","15/12041",0.0110841223815165,0.53616294197218,0.515983002601746,"DRD2/NKAIN1/WNK1",3,385
"GO:0019222","regulation of metabolic process","3/385","15/12041",0.0110841223815165,0.53616294197218,0.515983002601746,"S1PR3/GPR6/MC5R",3,385
"GO:0045471","response to ethanol","7/385","77/12041",0.0114072992365121,0.53616294197218,0.515983002601746,"RGS19/TYMS/SOD1/OXCT1/RBP4/SPARC/LOC113995953",7,385
"GO:0035774","positive regulation of insulin secretion involved
in cellular response to glucose stimulus","4/385","28/12041",0.0114766872117059,0.53616294197218,0.515983002601746,"PLA2G6/OXCT1/HIF1A/LRP1",4,385
"GO:0070588","calcium ion transmembrane transport","8/385","98/12041",0.013108709215747,0.53616294197218,0.515983002601746,"TRPM3/RYR3/CACNA1D/LOC114000001/LOC114000517/TMEM37/LOC113994845/SLC24A1",8,385
"GO:0002064","epithelial cell development","3/385","16/12041",0.0133235956272595,0.53616294197218,0.515983002601746,"LOC114000433/SHROOM3/LOC113987257",3,385
"GO:0036151","phosphatidylcholine acyl-chain remodeling","3/385","16/12041",0.0133235956272595,0.53616294197218,0.515983002601746,"PLA2G6/PLA2G4A/DBI",3,385
"GO:2001224","positive regulation of neuron migration","3/385","16/12041",0.0133235956272595,0.53616294197218,0.515983002601746,"NIPBL/MDK/NSMF",3,385
"GO:0006977","DNA damage response, signal transduction by
p53 class mediator resulting in cell cycle arrest","5/385","45/12041",0.0139249341085116,0.53616294197218,0.515983002601746,"MDM2/PCNA/BAX/PLK2/SOX4",5,385
"GO:0006413","translational initiation","9/385","119/12041",0.0140235146356672,0.53616294197218,0.515983002601746,"EIF3I/RPS20/EIF2B2/LOC113985040/RPL13/RPS11/RPL39/RPS28/RPL27A",9,385
"GO:0048511","rhythmic process","6/385","63/12041",0.015066838409251,0.53616294197218,0.515983002601746,"TOP2A/DTL/KDM5B/RACK1/LOC113984160/LOC113982931",6,385
"GO:0051216","cartilage development","5/385","46/12041",0.01522508464684,0.53616294197218,0.515983002601746,"CNMD/TYMS/LOC113991947/HIF1A/WNT5A",5,385
"GO:0046686","response to cadmium ion","3/385","17/12041",0.0158016888378502,0.53616294197218,0.515983002601746,"NUDT1/PCNA/SPARC",3,385
"GO:0051000","positive regulation of nitric-oxide
synthase activity","3/385","17/12041",0.0158016888378502,0.53616294197218,0.515983002601746,"PIK3CB/LOC113998505/HIF1A",3,385
"GO:0009636","response to toxic substance","6/385","64/12041",0.0161921335080182,0.53616294197218,0.515983002601746,"DRD2/LOC114000755/BLMH/TYMS/BAX/ATF4",6,385
"GO:0007605","sensory perception of sound","9/385","122/12041",0.016281099152369,0.53616294197218,0.515983002601746,"ADGRV1/NIPBL/LOC114000755/TIMM10/ATP8B1/CACNA1D/SPRY2/SOD1/MYO3A",9,385
"GO:0001541","ovarian follicle development","4/385","31/12041",0.0163654386357787,0.53616294197218,0.515983002601746,"EIF2B2/SOD1/BAX/LOC113990833",4,385
"GO:0034644","cellular response to UV","5/385","48/12041",0.0180633275005032,0.542230917283912,0.521822593285772,"PCNA/MAPK13/BAX/ATF4/NEDD4",5,385
"GO:0019985","translesion synthesis","4/385","32/12041",0.0182438006470665,0.542230917283912,0.521822593285772,"PCNA/RFC4/DTL/RFC3",4,385
"GO:0015721","bile acid and bile
salt transport","3/385","18/12041",0.0185209688316453,0.542230917283912,0.521822593285772,"ATP8B1/RXRA/LOC113990852",3,385
"GO:0046716","muscle cell cellular homeostasis","3/385","18/12041",0.0185209688316453,0.542230917283912,0.521822593285772,"GAA/SOD1/HIF1A",3,385
"GO:0060045","positive regulation of cardiac
muscle cell proliferation","3/385","18/12041",0.0185209688316453,0.542230917283912,0.521822593285772,"TBX2/TGFBR3/ZFPM2",3,385
"GO:0071300","cellular response to retinoic acid","5/385","49/12041",0.0196049337990614,0.547417670491025,0.526814129037416,"LTK/TESC/LOC114002160/WNT5A/LOC113982931",5,385
"GO:0042795","snRNA transcription by RNA
polymerase II","6/385","67/12041",0.019913365360346,0.547417670491025,0.526814129037416,"LOC113988372/POLR2L/ICE1/CDK9/ZNF143/LOC113997719",6,385
"GO:0007155","cell adhesion","18/385","333/12041",0.0210236013134774,0.547417670491025,0.526814129037416,"LOC113990764/ACAN/LOC113990026/CNTN6/LOC113994358/NINJ2/HAPLN3/COL8A1/FIBCD1/COL19A1/LOC113987784/CLDN5/MMRN1/LOC113991947/LOC113993576/LOC113983964/LOC113982147/VWF",18,385
"GO:0006622","protein targeting to lysosome","3/385","19/12041",0.0214829609058978,0.547417670491025,0.526814129037416,"GCC2/AP3M1/NEDD4",3,385
