"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0045176","apical protein localization","8/1426","14/12041",5.894325812084e-05,0.121482054987051,0.121482054987051,"SHROOM2/ARF4/GOPC/RDX/ATP8B1/INSC/JAM3/SHROOM3",8,1426
"GO:0045116","protein neddylation","6/1426","11/12041",0.000742951443714072,0.610815377517235,0.610815377517235,"DCUN1D1/UBA3/DCUN1D4/RNF7/UBE2M/DCUN1D2",6,1426
"GO:0006888","endoplasmic reticulum to Golgi
vesicle-mediated transport","32/1426","153/12041",0.000889105353009075,0.610815377517235,0.610815377517235,"COG1/RAB1A/USE1/GORASP1/COL7A1/MCFD2/TMED2/TMED7/ARF4/RAB2A/DYNC1I1/TMED5/TRAPPC2/DYNC1LI1/CNIH1/GOPC/KDELR2/TMED4/LMAN1/CAPZA2/SPTBN1/COG6/ANK2/LMAN2L/SEC24C/SPAST/COG4/SCFD1/SEC24B/VCP/BET1/TEX261",32,1426
"GO:0006904","vesicle docking involved in exocytosis","11/1426","34/12041",0.00132347736850403,0.621325468352663,0.621325468352663,"RAB12/STXBP1/VPS45/RAB3A/LOC113982219/VPS33B/VPS11/SCFD1/RAB8B/LOC113997864/LOC114001550",11,1426
"GO:0015031","protein transport","53/1426","298/12041",0.00150733980677502,0.621325468352663,0.621325468352663,"COG1/GPM6B/USE1/PSEN1/SCAMP1/GORASP1/GOLT1B/MCFD2/SNAP29/MLC1/LIN7C/ATG4D/SNX3/SNX24/RAB2A/RAB9A/RAB39A/GABARAPL2/GOPC/SFT2D1/APBA2/RAB33B/LOC113982219/RP2/KDELR2/PTPN23/VPS33B/ATG4C/YIPF5/WASHC3/PIK3R2/LOC113995129/COG6/ANK2/ARRDC4/LMAN2L/VTA1/COG4/EXOC2/VPS52/PHAX/RUFY1/BET1/COL1A1/LOC113992565/LOC113996864/LOC113997864/LOC114000510/LOC114001550/MYO1D/RAMP1/S100A13/TESC",53,1426
"GO:0050821","protein stabilization","32/1426","160/12041",0.001927040267435,0.661938331863922,0.661938331863922,"LAMP1/STXBP1/SUGT1/BAG1/LAMP2/CAMLG/RAB21/CHP1/NOP53/NAA16/WFS1/NLK/EP300/CCNH/GNAQ/ANK2/ATP1B1/HSP90AB1/STX12/USP36/SUMO1/BAG4/HYPK/USP7/PFN2/LOC113990352/PTEN/CRTAP/LOC113992637/TAF9B/TESC/UBE2B",32,1426
"GO:0043405","regulation of MAP kinase activity","5/1426","10/12041",0.00348801116478703,0.754629813815504,0.754629813815504,"KSR1/DUSP19/HGS/TRIB2/PPEF2",5,1426
"GO:0097502","mannosylation","5/1426","10/12041",0.00348801116478703,0.754629813815504,0.754629813815504,"ALG12/ALG1/ALG9/ALG2/ALG3",5,1426
"GO:0008654","phospholipid biosynthetic process","8/1426","23/12041",0.00361280757779309,0.754629813815504,0.754629813815504,"LOC113988212/MBOAT2/AGPAT5/GPAM/FITM2/LPGAT1/PCYT2/LOC113992314",8,1426
"GO:0070979","protein K11-linked ubiquitination","9/1426","28/12041",0.00377760288802381,0.754629813815504,0.754629813815504,"UBE2D3/UBE2W/UBE2E3/UBE2A/FZR1/ANAPC1/RNF4/UBE2L3/UBE2B",9,1426
