"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0007422","peripheral nervous system development","7/426","23/12076",9.71503503916379e-06,0.0125809703757171,0.0123227549707288,"LOC113999850/SOX10/SERPINI1/LOC113986199/PMP22/NTF3/GFRA3",7,426
"GO:0051384","response to glucocorticoid","8/426","41/12076",7.70442922726906e-05,0.0498861792465672,0.0488623011518906,"PAM/ALPL/SDC1/LOC113993087/ADIPOQ/CASP7/TYMS/SPARC",8,426
"GO:0032496","response to lipopolysaccharide","12/426","100/12076",0.000201073448600469,0.0752136548901491,0.0736699485004103,"GCH1/ALPL/FMO1/CASP7/PCK1/CNR1/DCN/VCAM1/OPRM1/SPARC/CNP/LIAS",12,426
"GO:0045776","negative regulation of blood pressure","5/426","17/12076",0.000232320169544862,0.0752136548901491,0.0736699485004103,"GCH1/ADIPOQ/RNLS/CNR1/GJA5",5,426
"GO:0010951","negative regulation of endopeptidase activity","9/426","73/12076",0.00102031918555839,0.210670911516852,0.206347041965297,"SERPIND1/ITIH2/LOC113991485/SERPINF1/COL6A3/SERPINF2/SERPINI1/ITIH4/LOC113992706",9,426
"GO:0006957","complement activation, alternative pathway","4/426","14/12076",0.00115325649148411,0.210670911516852,0.206347041965297,"CFH/C8B/C7/LOC113986241",4,426
"GO:0042552","myelination","7/426","47/12076",0.00120017813482047,0.210670911516852,0.206347041965297,"ADGRG6/MPZ/LOC114000755/PLLP/DHH/MAL2/BCAS1",7,426
"GO:0006836","neurotransmitter transport","5/426","24/12076",0.00130144192442843,0.210670911516852,0.206347041965297,"SLC22A3/LOC113990781/SLC6A2/SLC29A1/SLC6A4",5,426
"GO:0071300","cellular response to retinoic acid","7/426","51/12076",0.00195784297746106,0.244536246756393,0.239517315457389,"SERPINF1/BRINP2/EPHA3/OSR1/PCK1/ADNP2/SLC6A4",7,426
"GO:0007200","phospholipase C-activating G protein-coupled
receptor signaling pathway","6/426","38/12076",0.00196940060335874,0.244536246756393,0.239517315457389,"PTGER3/ESR1/P2RY2/CMKLR1/HTR2B/OPRM1",6,426
"GO:0050776","regulation of immune response","6/426","39/12076",0.0022594575041678,0.244536246756393,0.239517315457389,"LOC113989008/PTPRD/COL1A2/VCAM1/LOC114001688/LOC114001683",6,426
"GO:0018279","protein N-linked glycosylation via
asparagine","5/426","27/12076",0.00226597294291638,0.244536246756393,0.239517315457389,"STT3B/ALG5/UBE2J1/LOC113983884/MAGT1",5,426
"GO:0036158","outer dynein arm assembly","4/426","18/12076",0.00315219613044801,0.269037309146119,0.263515511092115,"DNAAF4/DNAAF1/ARMC4/DNAH8",4,426
"GO:0090141","positive regulation of mitochondrial fission","4/426","18/12076",0.00315219613044801,0.269037309146119,0.263515511092115,"DCN/SPIRE1/BNIP3/MCU",4,426
"GO:0030198","extracellular matrix organization","16/426","210/12076",0.00315964271857418,0.269037309146119,0.263515511092115,"SH3PXD2A/LUM/VIT/COL6A3/ITGA2/MMP23B/LAMA1/DCN/COL1A2/VCAM1/ADAMTS2/SPARC/FBLN1/COL14A1/LOC114001849/B4GALT1",16,426
"GO:0030199","collagen fibril organization","6/426","42/12076",0.00332401308597522,0.269037309146119,0.263515511092115,"LUM/SERPINF2/COL1A2/ADAMTS2/COL14A1/CRTAP",6,426
"GO:0006911","phagocytosis, engulfment","4/426","19/12076",0.00388296802043492,0.287368403032091,0.281470372406966,"GSN/LOC113984271/LOC113986741/LOC114001688",4,426
"GO:0007417","central nervous system development","10/426","106/12076",0.0041800511145813,0.287368403032091,0.281470372406966,"PAM/SOX6/LOC114000755/LOC113999850/GSN/SERPINI1/LOC113986199/SH3GL3/MARCKS/SCIN",10,426
"GO:0060079","excitatory postsynaptic potential","6/426","44/12076",0.00421621595182219,0.287368403032091,0.281470372406966,"GRID2/GRIN2C/SLC29A1/P2RX4/OPRM1/CHRNA3",6,426
"GO:0006955","immune response","11/426","128/12076",0.00556057075263707,0.345463810771246,0.338373413517051,"LOC113985449/LOC114000755/CMKLR1/XBP1/IRF8/LOC113983719/LOC113984271/ACKR3/TNFSF13B/C8B/IKBKE",11,426
"GO:0007157","heterophilic cell-cell adhesion via plasma membrane
cell adhesion molecules","5/426","33/12076",0.00560211585034453,0.345463810771246,0.338373413517051,"GRID2/TENM2/PTPRD/AMIGO2/VCAM1",5,426
"GO:0003341","cilium movement","5/426","34/12076",0.00638170513518874,0.349206449347096,0.34203923711705,"LOC113986306/DNAAF4/DNAAF1/ARMC4/CCDC40",5,426
"GO:0030593","neutrophil chemotaxis","5/426","34/12076",0.00638170513518874,0.349206449347096,0.34203923711705,"LOC113985449/PLA2G1B/LOC113986554/LGALS3/SRP54",5,426
