"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0019934","cGMP-mediated signaling","7/1174","15/12076",0.000257167581806353,0.324933258418788,0.324763934156976,"PDE2A/NPR1/NPR2/EDNRB/LOC113993563/HTR2C/AQP1",7,1174
"GO:0043116","negative regulation of vascular permeability","7/1174","16/12076",0.00041896322628889,0.324933258418788,0.324763934156976,"PDE2A/CLDN5/ANGPT4/DDAH1/ADORA2A/LOC113996612/ARHGAP35",7,1174
"GO:0009566","fertilization","7/1174","17/12076",0.000652786105937084,0.324933258418788,0.324763934156976,"TDRD9/BAX/AAAS/LOC113990833/TDRKH/SYCP2/YBX3",7,1174
"GO:0034097","response to cytokine","11/1174","38/12076",0.000711915928076282,0.324933258418788,0.324763934156976,"LOC114001824/MAPKAPK2/MCL1/TIMP2/LOC113992821/BCL2L1/IL6R/LOC113984425/ALDH1A2/TNFRSF11A/TYMS",11,1174
"GO:0046777","protein autophosphorylation","28/1174","155/12076",0.00092000133989733,0.324933258418788,0.324763934156976,"STK11/MAP3K11/CAD/MAPKAPK2/DAPK3/CHEK2/LOC114000515/PIM1/MARK2/MKNK2/CAMK2B/VRK2/FGFR1/ACVR1B/LOC113983017/STK39/CDK5/MAP3K12/LOC113994408/DYRK1A/CSNK1G2/LOC113999057/ERBB2/DDR2/FER/EIF2AK2/NTRK1/ATP13A2",28,1174
"GO:0016525","negative regulation of angiogenesis","17/1174","77/12076",0.000965148292333035,0.324933258418788,0.324763934156976,"PRL/NPR1/PTPRM/AGBL5/CLDN5/ADGRB2/HSPG2/ISM1/LOC113993563/EPHA2/SEMA3E/SPRY2/KLF4/GADD45A/THBS4/FASLG/HGS",17,1174
"GO:1902430","negative regulation of amyloid-beta
formation","6/1174","14/12076",0.00125960795925698,0.356236463018051,0.35605082650788,"LOC113988015/LOC113987965/SORL1/CHRNA7/PIN1/PRNP",6,1174
"GO:0030259","lipid glycosylation","5/1174","10/12076",0.00142891521677877,0.356236463018051,0.35605082650788,"ST3GAL2/ST3GAL4/B3GALT1/LOC114003933/GBGT1",5,1174
"GO:0007015","actin filament organization","21/1174","109/12076",0.0016919789130371,0.356236463018051,0.35605082650788,"SAMD14/LOC113988218/LOC113992312/CORO1B/SORBS3/INPPL1/KPTN/LOC114003556/TPM4/TMOD1/CORO6/MYO1D/SHROOM4/FAT1/RHOH/HIP1/SHROOM2/LMOD1/HIP1R/MYO5C/RHOB",21,1174
"GO:0070527","platelet aggregation","11/1174","42/12076",0.00176354684662402,0.356236463018051,0.35605082650788,"HSPB1/ITGA2B/MYL9/STXBP1/COMP/FIBP/PEAR1/LOC114002136/RAP2B/ITGB3/METAP1",11,1174
"GO:0043524","negative regulation of neuron
apoptotic process","20/1174","103/12076",0.00195545499168249,0.359092643927149,0.358905519047562,"NES/GFRAL/ARRB1/HMOX1/GRN/BAX/FAIM2/ANGPT4/STXBP1/ERBB3/LRP1/ADAM8/CEBPB/LOC114003933/NTF3/PIN1/CNTF/ADORA2A/GRIK2/NTRK1",20,1174
"GO:0043525","positive regulation of neuron
apoptotic process","11/1174","44/12076",0.0026381312788408,0.444085431938201,0.443854016913741,"MAP3K11/CDK5R1/UBE2M/GRN/BAX/EPHA7/CDK5/FASLG/PIN1/PRNP/GRIK2",11,1174
