"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0042391","regulation of membrane potential","14/628","82/12335",6.01527673711513e-05,0.0967256499328113,0.0954846033638908,"GABRA4/LOC113991128/LOC113990721/GRIN1/CHRNB4/GABRA5/CHRNA7/KCNH7/KCNH8/LOC113984913/RIMS4/CHRNA5/KCNA1/KCNH6",14,628
"GO:0071679","commissural neuron axon guidance","5/628","12/12335",0.000197675737345324,0.15893129282564,0.156892111535131,"PTCH1/NFIB/ROBO3/VEGFA/NRP1",5,628
"GO:0006816","calcium ion transport","11/628","70/12335",0.0007607071487374,0.407739031723247,0.402507501858246,"ATP2B2/LOC113993165/GRIN3B/LOC113994017/CACNA1D/CHRNA7/LOC113982108/PSEN2/ITPR1/CACNA1E/CACNB3",11,628
"GO:0071805","potassium ion transmembrane transport","13/628","99/12335",0.00149051717631581,0.532936253977656,0.526098370645657,"SLC9A3/CCDC51/KCNA4/KCND3/KCNH7/KCNH8/KCNK12/KCNK18/LOC113984913/KCNA1/KCNH6/KCNK15/SLC24A2",13,628
"GO:0008589","regulation of smoothened signaling pathway","5/628","18/12335",0.0016571400932141,0.532936253977656,0.526098370645657,"PTCH1/INTU/IFT81/C2CD3/OTX2",5,628
"GO:0050877","nervous system process","7/628","39/12335",0.00317412584876981,0.645328469839652,0.6370485287498,"GABRA4/LOC113991128/LOC113990721/CHRNB4/GABRA5/CHRNA7/CHRNA5",7,628
"GO:0021756","striatum development","4/628","13/12335",0.0032904510159907,0.645328469839652,0.6370485287498,"CNTNAP2/DRD2/BBS4/SECISBP2",4,628
"GO:0007268","chemical synaptic transmission","20/628","203/12335",0.00357352267365637,0.645328469839652,0.6370485287498,"GABRA4/SV2B/LOC113993165/LOC113991128/SLC18A2/HTR5A/SDCBP2/LOC113990721/LOC113994017/GRIN1/CHRNB4/GABRA5/CHRNA7/LOC113982386/SYN2/CHRM4/CHRNA5/KCNA1/CACNA1E/CACNB3",20,628
"GO:0060384","innervation","4/628","14/12335",0.00442308844040635,0.645328469839652,0.6370485287498,"VCAM1/SULF2/GABRA5/SERPINE2",4,628
"GO:0060749","mammary gland alveolus development","4/628","14/12335",0.00442308844040635,0.645328469839652,0.6370485287498,"AR/SOCS2/VEGFA/LOC113998275",4,628
"GO:0048147","negative regulation of fibroblast proliferation","5/628","23/12335",0.00527055895199928,0.645328469839652,0.6370485287498,"MYC/CDC73/LOC113989207/PAWR/DAB2IP",5,628
"GO:0001666","response to hypoxia","15/628","141/12335",0.00541928384615752,0.645328469839652,0.6370485287498,"ITPR2/VCAM1/VEGFA/LOC113996864/DRD2/PLOD1/ATP1B1/CHRNA7/LOC113984913/LOC113992301/LOC113996285/PAM/ITPR1/LIMD1/SCAP",15,628
"GO:0007595","lactation","7/628","43/12335",0.00557920602291844,0.645328469839652,0.6370485287498,"SOCS2/VEGFA/PRLR/PAM/SERPINC1/LOC113998275/NEURL1B",7,628
"GO:0060079","excitatory postsynaptic potential","7/628","44/12335",0.00635046625134267,0.645328469839652,0.6370485287498,"DRD2/GRIN1/CHRNB4/CHRNA7/CHRNA5/LOC113982201/GRIN2C",7,628
"GO:1900026","positive regulation of substrate
adhesion-dependent cell spreading","7/628","44/12335",0.00635046625134267,0.645328469839652,0.6370485287498,"LOC114000824/MDK/RAC3/NRP1/TRIOBP/DMTN/C1QBP",7,628
"GO:0051932","synaptic transmission, GABAergic","4/628","16/12335",0.00741564022111539,0.645328469839652,0.6370485287498,"GABRA4/RAC3/LOC113990721/GABRA5",4,628
"GO:2001224","positive regulation of neuron migration","4/628","16/12335",0.00741564022111539,0.645328469839652,0.6370485287498,"MDK/LOC113989207/NSMF/DAB2IP",4,628
"GO:0035094","response to nicotine","5/628","25/12335",0.00765191790768994,0.645328469839652,0.6370485287498,"VCAM1/DRD2/CHRNA7/CHRNA5/PPP1R1B",5,628
"GO:0071356","cellular response to tumor
necrosis factor","10/628","83/12335",0.00927249092505786,0.645328469839652,0.6370485287498,"LOC114000824/VCAM1/CCL20/ADAMTS7/LOC113989207/SMPD3/BRCA1/DAB2IP/GPD1/AKAP12",10,628
"GO:0046676","negative regulation of insulin secretion","5/628","27/12335",0.0106934904332666,0.645328469839652,0.6370485287498,"DRD2/SREBF1/LOC113997954/ENHO/CHGA",5,628
"GO:0051016","barbed-end actin filament capping","4/628","18/12335",0.0115006310253584,0.645328469839652,0.6370485287498,"ADD1/TRIOBP/SVIL/SCIN",4,628
"GO:2000311","regulation of AMPA receptor activity","4/628","18/12335",0.0115006310253584,0.645328469839652,0.6370485287498,"LOC114000424/LOC113987589/LOC113982201/LOC113982203",4,628
"GO:2001235","positive regulation of apoptotic
signaling pathway","4/628","18/12335",0.0115006310253584,0.645328469839652,0.6370485287498,"TP63/LOC113989207/TPD52L1/DAB2IP",4,628
"GO:0070374","positive regulation of ERK1
and ERK2 cascade","14/628","140/12335",0.0119433911464717,0.645328469839652,0.6370485287498,"SLC30A10/CFLAR/LOC114000824/FGFR4/DRD2/NRP1/CCL20/LOC113988419/CHRNA7/GPNMB/APELA/RASGRP1/RAPGEF1/AKAP12",14,628
"GO:0000185","activation of MAPKKK activity","3/628","10/12335",0.0120448714293269,0.645328469839652,0.6370485287498,"TAB1/LOC113989207/DAB2IP",3,628
"GO:0030518","intracellular steroid hormone receptor
signaling pathway","3/628","10/12335",0.0120448714293269,0.645328469839652,0.6370485287498,"AR/PGR/NR3C2",3,628
"GO:0031065","positive regulation of histone deacetylation","3/628","10/12335",0.0120448714293269,0.645328469839652,0.6370485287498,"SREBF1/LOC113989593/LOC113992565",3,628
"GO:0032933","SREBP signaling pathway","3/628","10/12335",0.0120448714293269,0.645328469839652,0.6370485287498,"INSIG2/SREBF1/SCAP",3,628
"GO:0046597","negative regulation of viral
entry into host cell","3/628","10/12335",0.0120448714293269,0.645328469839652,0.6370485287498,"LOC113996188/TRIM25/SNX3",3,628
"GO:0060291","long-term synaptic potentiation","6/628","39/12335",0.0132135927280604,0.645328469839652,0.6370485287498,"TNR/LOC113982386/SERPINE2/LOC113982203/GRIN2C/SLC24A2",6,628
"GO:0048026","positive regulation of mRNA
splicing, via spliceosome","4/628","19/12335",0.0139925785119122,0.645328469839652,0.6370485287498,"PRDX6/RBMX/SF3B4/TRA2B",4,628
"GO:0035924","cellular response to vascular
endothelial growth factor stimulus","5/628","29/12335",0.0144710655716155,0.645328469839652,0.6370485287498,"VCAM1/VEGFA/NRP1/LOC113989207/DAB2IP",5,628
"GO:0034765","regulation of ion transmembrane transport","10/628","90/12335",0.0159136079564266,0.645328469839652,0.6370485287498,"LOC113993165/LOC113994017/KCNA4/KCND3/KCNH7/KCNH8/KCNK12/KCNH6/KCNK15/CACNA1E",10,628
"GO:0035148","tube formation","3/628","11/12335",0.0159438096636822,0.645328469839652,0.6370485287498,"VEGFA/LOC113989207/DAB2IP",3,628
"GO:0045779","negative regulation of bone resorption","3/628","11/12335",0.0159438096636822,0.645328469839652,0.6370485287498,"IAPP/TNFRSF11B/LOC113992301",3,628
"GO:0051481","negative regulation of cytosolic
calcium ion concentration","3/628","11/12335",0.0159438096636822,0.645328469839652,0.6370485287498,"DRD2/LOC113988419/LOC113984913",3,628
"GO:0051973","positive regulation of telomerase activity","5/628","30/12335",0.0166573408175721,0.645328469839652,0.6370485287498,"PRKCQ/MYC/PARM1/CCT4/HSP90AA1",5,628
"GO:0042274","ribosomal small subunit biogenesis","4/628","20/12335",0.0168018365413199,0.645328469839652,0.6370485287498,"NOP14/RPS7/RPS25/RIOK1",4,628
"GO:0070593","dendrite self-avoidance","4/628","20/12335",0.0168018365413199,0.645328469839652,0.6370485287498,"ROBO3/ROBO4/CNTN2/DSCAML1",4,628
"GO:0097711","ciliary basal body-plasma membrane
docking","10/628","92/12335",0.0183364094766072,0.645328469839652,0.6370485287498,"CEP135/LOC113999915/C2CD3/ALMS1/CCP110/TUBG1/TCTN2/LOC113996267/MAPRE1/HSP90AA1",10,628
"GO:0034260","negative regulation of GTPase activity","6/628","42/12335",0.0186941479554788,0.645328469839652,0.6370485287498,"RRP1B/IPO5/GPSM1/LOC113989207/LOC113996700/DAB2IP",6,628
"GO:0071347","cellular response to interleukin-1","6/628","42/12335",0.0186941479554788,0.645328469839652,0.6370485287498,"CCL20/ADAMTS7/LOC113989207/RBMX/DAB2IP/AKAP12",6,628
"GO:0000381","regulation of alternative mRNA
splicing, via spliceosome","7/628","54/12335",0.0189864764369968,0.645328469839652,0.6370485287498,"LOC113991857/LOC114002198/RBFOX3/RBMX/FXR1/LOC113985989/TRA2B",7,628
"GO:0002052","positive regulation of neuroblast proliferation","4/628","21/12335",0.0199393814408261,0.645328469839652,0.6370485287498,"DMRTA2/VEGFA/DRD2/DCT",4,628
"GO:0031098","stress-activated protein kinase signaling
cascade","4/628","21/12335",0.0199393814408261,0.645328469839652,0.6370485287498,"PAK5/LOC113985569/LOC114001432/TNIK",4,628
"GO:0071158","positive regulation of cell
cycle arrest","4/628","21/12335",0.0199393814408261,0.645328469839652,0.6370485287498,"LOC113989520/LOC113989207/BRCA1/DAB2IP",4,628
"GO:0007271","synaptic transmission, cholinergic","3/628","12/12335",0.0204675074389442,0.645328469839652,0.6370485287498,"CHRNB4/CHRNA7/CHRNA5",3,628
"GO:0014067","negative regulation of phosphatidylinositol
3-kinase signaling","3/628","12/12335",0.0204675074389442,0.645328469839652,0.6370485287498,"LOC113989207/SERPINE2/DAB2IP",3,628
"GO:0051014","actin filament severing","3/628","12/12335",0.0204675074389442,0.645328469839652,0.6370485287498,"FMNL1/SVIL/SCIN",3,628
"GO:0090129","positive regulation of synapse maturation","3/628","12/12335",0.0204675074389442,0.645328469839652,0.6370485287498,"LOC113989207/DAB2IP/NEURL1B",3,628
"GO:0099566","regulation of postsynaptic cytosolic
calcium ion concentration","3/628","12/12335",0.0204675074389442,0.645328469839652,0.6370485287498,"ATP2B2/FZD9/ITPR1",3,628
"GO:0019985","translesion synthesis","5/628","32/12335",0.0216627235537905,0.669878066817214,0.661283140063078,"UBC/LOC114000574/TRIM25/LOC113986369/POLH",5,628
"GO:0046330","positive regulation of JNK cascade","8/628","69/12335",0.0234163679692947,0.671335821736836,0.662722191135866,"EDA2R/SDCBP2/LOC113989207/TPD52L1/DUSP15/DAB2IP/RASGRP1/TNFRSF19",8,628
"GO:0048812","neuron projection morphogenesis","7/628","57/12335",0.0248941500616366,0.671335821736836,0.662722191135866,"CNTNAP2/ITGA11/LOC113985569/LOC113989207/LOC114001432/DAB2IP/TNIK",7,628
"GO:0019674","NAD metabolic process","3/628","13/12335",0.0256206243658301,0.671335821736836,0.662722191135866,"NADSYN1/LOC113992301/LOC113996285",3,628
"GO:0038063","collagen-activated tyrosine kinase receptor
signaling pathway","3/628","13/12335",0.0256206243658301,0.671335821736836,0.662722191135866,"COL4A6/COL4A5/LOC113998275",3,628
"GO:0044257","cellular protein catabolic process","3/628","13/12335",0.0256206243658301,0.671335821736836,0.662722191135866,"UBE2G2/LOC113989207/DAB2IP",3,628
