"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0043312","neutrophil degranulation","41/699","375/12310",4.08020313171493e-05,0.069404255270471,0.0686333116261101,"HPSE/GNS/CD59/LOC114003217/TCIRG1/FUCA1/PSMD14/RAB18/TOLLIP/RAB7A/YPEL5/LOC113990017/SVIP/AP1M1/FGL2/GRN/FUCA2/SLC27A5/CRISPLD2/CTSB/SNAP25/APRT/COMMD9/LOC113992610/LTA4H/PRDX4/RAB24/HSP90AB1/PGAM1/PSMC3/ARHGAP45/RAP2C/LOC114002464/GUSB/PSMD12/PTPRC/PAFAH1B2/ACTR10/CREG1/DEGS1/LOC113996661",41,699
"GO:0030574","collagen catabolic process","7/699","27/12310",0.000603473727173856,0.349388725672848,0.345507709783849,"MRC2/FURIN/ADAMTS14/MMP23B/CTSB/MMP15/LOC113997326",7,699
"GO:0016082","synaptic vesicle priming","6/699","20/12310",0.000639870878617274,0.349388725672848,0.345507709783849,"LOC113987015/LOC113991140/LOC113993758/LOC113993146/LOC114002475/SNAP25",6,699
"GO:0030010","establishment of cell polarity","8/699","37/12310",0.000922163156084282,0.349388725672848,0.345507709783849,"TCIRG1/SDCCAG8/RAB11FIP2/ARHGEF11/HSP90AB1/KIF26B/LOC113998953/CRK",8,699
"GO:0016079","synaptic vesicle exocytosis","6/699","23/12310",0.00144007465326018,0.349388725672848,0.345507709783849,"LOC113987015/LOC113991140/LOC113993758/LOC113993146/SNAP25/CPLX1",6,699
"GO:1900006","positive regulation of dendrite development","5/699","16/12310",0.00150368395796784,0.349388725672848,0.345507709783849,"OPA1/LRP8/LOC113989207/CRTC1/PTN",5,699
"GO:2001224","positive regulation of neuron migration","5/699","16/12310",0.00150368395796784,0.349388725672848,0.345507709783849,"PLAA/LOC113989207/SEMA3A/LOC113989827/LOC114003556",5,699
"GO:0019079","viral genome replication","4/699","10/12310",0.00164321564102456,0.349388725672848,0.345507709783849,"KPNA6/HTATSF1/CTBP2/LAMTOR5",4,699
"GO:0033628","regulation of cell adhesion
mediated by integrin","5/699","17/12310",0.00203165505546994,0.383982805483819,0.379717517969704,"LYN/LOC114002160/TESC/LOC113998953/CRK",5,699
"GO:0051014","actin filament severing","4/699","12/12310",0.0035354625179574,0.562267653245566,0.556021974619521,"SCIN/VILL/CFL2/SVIL",4,699
"GO:0006094","gluconeogenesis","7/699","36/12310",0.00363606360123529,0.562267653245566,0.556021974619521,"GOT1/MDH1/MDH2/TPI1/ALDOB/PGAM1/GAPDH",7,699
"GO:0006027","glycosaminoglycan catabolic process","6/699","28/12310",0.00421845006722985,0.574750778695383,0.568366437300177,"HPSE/GNS/HSPG2/FUCA1/AGRN/GUSB",6,699
"GO:0006997","nucleus organization","5/699","20/12310",0.00441789023475559,0.574750778695383,0.568366437300177,"CHMP1B/CHMP6/VPS4B/CHMP4B/SYNE1",5,699
"GO:0006521","regulation of cellular amino
acid metabolic process","7/699","38/12310",0.00498249836876552,0.574750778695383,0.568366437300177,"OAZ2/PSMD4/PSMD14/PSMD8/PSMC3/PSMD12/PSMC1",7,699
"GO:0036258","multivesicular body assembly","6/699","29/12310",0.0050683490184778,0.574750778695383,0.568366437300177,"CHMP1B/CHMP6/VPS4B/CHMP4B/RAB11A/STAM",6,699
"GO:0007416","synapse assembly","8/699","49/12310",0.00591411904534515,0.611632356515325,0.604838333928333,"CDH2/LOC113988378/LOC113987855/SDK1/LOC113999917/LOC113982203/NLGN2/PLXND1",8,699
"GO:0050808","synapse organization","8/699","51/12310",0.00756099016331444,0.611632356515325,0.604838333928333,"AGRN/CBLN2/LOC113988378/LRP4/ADGRL2/LOC113989827/LOC113999917/NLGN2",8,699
"GO:0048147","negative regulation of fibroblast proliferation","5/699","23/12310",0.00832747307844653,0.611632356515325,0.604838333928333,"LOC113989207/LOC113982616/LOC113992610/IFI30/PEX2",5,699
"GO:0030948","negative regulation of vascular endothelial growth
factor receptor signaling pathway","4/699","15/12310",0.00850822712993643,0.611632356515325,0.604838333928333,"AGBL5/LOC113989207/FRMPD2/PDCD6",4,699
"GO:0061952","midbody abscission","4/699","15/12310",0.00850822712993643,0.611632356515325,0.604838333928333,"CHMP1B/CHMP6/VPS4B/CHMP4B",4,699
"GO:0019827","stem cell population maintenance","7/699","42/12310",0.00875576577378193,0.611632356515325,0.604838333928333,"NOTCH2/LOC113999502/MED12/LOC113996079/LOC113993147/EIF4E/MED14",7,699
"GO:0061025","membrane fusion","7/699","42/12310",0.00875576577378193,0.611632356515325,0.604838333928333,"LOC113987015/LOC113991140/LOC113993758/LOC113993146/OPA1/ANXA7/NAPG",7,699
"GO:0018108","peptidyl-tyrosine phosphorylation","14/699","122/12310",0.00923979904230968,0.611632356515325,0.604838333928333,"FLT4/MATK/LOC113996850/LYN/BAZ1B/CSF1R/LOC113997171/ERBB2/EIF2AK2/PEAK1/LOC113998953/EFEMP1/LOC113991133/LOC114001703",14,699
"GO:0051968","positive regulation of synaptic
transmission, glutamatergic","5/699","24/12310",0.0100375733972084,0.611632356515325,0.604838333928333,"TSHZ3/LOC113988378/LOC113999917/LOC113982203/NLGN2",5,699
"GO:0033209","tumor necrosis factor-mediated signaling
pathway","11/699","88/12310",0.0108502110836246,0.611632356515325,0.604838333928333,"TNFRSF8/TRAF5/TNFRSF25/PSMD4/PSMD14/TNFRSF11A/PSMD8/PSMC3/PSMD12/TRAF1/PSMC1",11,699
"GO:0006099","tricarboxylic acid cycle","6/699","34/12310",0.0112843190997579,0.611632356515325,0.604838333928333,"MDH1/MDH2/ACO2/IDH3A/PDHB/SDHB",6,699
"GO:0071526","semaphorin-plexin signaling pathway","6/699","34/12310",0.0112843190997579,0.611632356515325,0.604838333928333,"SEMA3C/SEMA3A/SEMA4G/SEMA5B/LOC113989827/PLXND1",6,699
