"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0003341","cilium movement","11/447","38/12245",6.69454729765691e-08,8.98408247345557e-05,8.53378608153949e-05,"DNAH1/TTC25/LOC113981955/CFAP73/LOC113986306/DNAAF1/DNAI1/LOC114000425/LOC114000433/TTC29/ARMC4",11,447
"GO:0010951","negative regulation of endopeptidase activity","12/447","70/12245",7.50898572101944e-06,0.00503852941880404,0.00478599037271292,"ITIH5/PROS1/A2ML1/ANXA2/LOC113992168/CRIM1/CD109/LOC113991485/LOC113989407/LOC113992817/SERPINB5/WFDC1",12,447
"GO:0006695","cholesterol biosynthetic process","8/447","34/12245",2.32900434098465e-05,0.0104184127520047,0.00989622546292075,"FDFT1/DHCR7/DHCR24/HMGCS1/LOC113987727/APOA1/INSIG1/ACLY",8,447
"GO:0045540","regulation of cholesterol biosynthetic process","7/447","34/12245",0.00018833941407915,0.0631878734235547,0.0600207974868027,"FDFT1/DHCR7/HMGCS1/SREBF2/LOC113987727/SC5D/SREBF1",7,447
"GO:1904659","glucose transmembrane transport","5/447","17/12245",0.000272525521050338,0.0731458498499108,0.0694796644193599,"SLC5A3/MFSD4A/SLC2A12/LOC113984297/SLC5A1",5,447
"GO:0007288","sperm axoneme assembly","5/447","20/12245",0.000623647665941968,0.139489194615687,0.132497776044864,"DNAH1/CFAP65/CFAP44/NEURL1B/MEIG1",5,447
"GO:0032570","response to progesterone","6/447","31/12245",0.000774489867293899,0.148480771701202,0.141038681096678,"LOC113997556/TGFB2/CAV1/LOC113992301/SREBF1/GABRB1",6,447
"GO:0071711","basement membrane organization","4/447","13/12245",0.000963368444868606,0.161605056626709,0.153505156149458,"CAV1/EXTL1/NID1/RIC8A",4,447
"GO:0032094","response to food","4/447","14/12245",0.00131009253751151,0.175814418534044,0.167002322413309,"SREBF1/LOC113992180/OPRM1/CPS1",4,447
"GO:0048566","embryonic digestive tract development","4/447","14/12245",0.00131009253751151,0.175814418534044,0.167002322413309,"LOC113997556/TGFB2/RARRES2/ALDH1A2",4,447
"GO:0046580","negative regulation of Ras
protein signal transduction","5/447","24/12245",0.00151570182832873,0.179146123825702,0.170167037377775,"LOC113997556/TGFB2/SPRY1/MFN2/EPHB2",5,447
"GO:0031018","endocrine pancreas development","4/447","15/12245",0.00173539464212677,0.179146123825702,0.170167037377775,"IL6R/ONECUT1/SOX4/ONECUT2",4,447
"GO:0036159","inner dynein arm assembly","4/447","15/12245",0.00173539464212677,0.179146123825702,0.170167037377775,"DNAH1/LOC113981955/CFAP73/DNAAF1",4,447
"GO:0036158","outer dynein arm assembly","4/447","18/12245",0.00356679673141691,0.318352609726595,0.302396274514791,"TTC25/DNAAF1/DNAI1/ARMC4",4,447
"GO:0008593","regulation of Notch signaling pathway","4/447","19/12245",0.00438939085678474,0.318352609726595,0.302396274514791,"LOC113996645/POSTN/SREBF2/LOC113986224",4,447
"GO:0001889","liver development","8/447","72/12245",0.00458109889487679,0.318352609726595,0.302396274514791,"HMGCS1/ONECUT1/DUT/ONECUT2/CEBPA/ALDH1A2/PKD2/AACS",8,447
"GO:0008645","hexose transmembrane transport","3/447","10/12245",0.0047867202859014,0.318352609726595,0.302396274514791,"SLC2A12/SLC45A3/LOC113984297",3,447
"GO:0032933","SREBP signaling pathway","3/447","10/12245",0.0047867202859014,0.318352609726595,0.302396274514791,"SREBF2/SREBF1/INSIG1",3,447
"GO:0042738","exogenous drug catabolic process","3/447","10/12245",0.0047867202859014,0.318352609726595,0.302396274514791,"LOC114002604/LOC113988755/NOS1",3,447
"GO:0060271","cilium assembly","14/447","180/12245",0.00626275057492685,0.318352609726595,0.302396274514791,"TCTN2/DNAAF1/ABLIM1/RFX2/ONECUT1/CFAP44/ATAT1/ONECUT2/ATXN10/TMEM237/CC2D2A/HYLS1/CENPJ/PCNT",14,447
"GO:0050999","regulation of nitric-oxide synthase
activity","4/447","21/12245",0.00639826286944815,0.318352609726595,0.302396274514791,"LOC114001403/CAV1/LOC113992662/SPR",4,447
"GO:0000727","double-strand break repair via
break-induced replication","3/447","11/12245",0.00640500779628768,0.318352609726595,0.302396274514791,"MCM5/MCM4/MCM7",3,447
"GO:0001952","regulation of cell-matrix adhesion","3/447","11/12245",0.00640500779628768,0.318352609726595,0.302396274514791,"LOC113998275/ONECUT1/ONECUT2",3,447
"GO:0045598","regulation of fat cell differentiation","3/447","11/12245",0.00640500779628768,0.318352609726595,0.302396274514791,"LOC113996216/ATAT1/LOC113999640",3,447
"GO:0060371","regulation of atrial cardiac
muscle cell membrane depolarization","3/447","11/12245",0.00640500779628768,0.318352609726595,0.302396274514791,"GJA5/LOC113991466/CACNA1G",3,447
"GO:0070831","basement membrane assembly","3/447","11/12245",0.00640500779628768,0.318352609726595,0.302396274514791,"LOC113984118/LOC113984151/NTNG1",3,447
"GO:2000649","regulation of sodium ion
transmembrane transporter activity","3/447","11/12245",0.00640500779628768,0.318352609726595,0.302396274514791,"PTPN3/LOC113993584/SCN4B",3,447
"GO:0003215","cardiac right ventricle morphogenesis","3/447","12/12245",0.00831113196047487,0.348548096592415,0.331078315925496,"LOC113997556/TGFB2/SOX4",3,447
"GO:0006809","nitric oxide biosynthetic process","3/447","12/12245",0.00831113196047487,0.348548096592415,0.331078315925496,"LOC113992662/NOS1/SPR",3,447
"GO:0007271","synaptic transmission, cholinergic","3/447","12/12245",0.00831113196047487,0.348548096592415,0.331078315925496,"CHRNA4/CHRNA3/CHRNA7",3,447
"GO:0046889","positive regulation of lipid
biosynthetic process","3/447","12/12245",0.00831113196047487,0.348548096592415,0.331078315925496,"ZBTB20/CCDC3/APOA1",3,447
"GO:0061045","negative regulation of wound healing","3/447","12/12245",0.00831113196047487,0.348548096592415,0.331078315925496,"CD109/AJAP1/WFDC1",3,447
"GO:0070588","calcium ion transmembrane transport","9/447","99/12245",0.0100970651706048,0.38239473692739,0.363228509231367,"CACNA2D2/ANXA2/MCOLN3/PKD2/ORAI2/CHRNA7/OPRM1/CACNA1G/PANX1",9,447
"GO:0007171","activation of transmembrane receptor
protein tyrosine kinase activity","3/447","13/12245",0.0105154610151568,0.38239473692739,0.363228509231367,"LOC114004198/ANGPT4/CHRNA3",3,447
"GO:0016126","sterol biosynthetic process","3/447","13/12245",0.0105154610151568,0.38239473692739,0.363228509231367,"DHCR7/SC5D/INSIG1",3,447
"GO:0016486","peptide hormone processing","3/447","13/12245",0.0105154610151568,0.38239473692739,0.363228509231367,"CORIN/PCSK1/BACE2",3,447
"GO:0045746","negative regulation of Notch
signaling pathway","5/447","37/12245",0.0105429249376404,0.38239473692739,0.363228509231367,"LOC113991284/LOC113996645/DLX1/HEY1/NEURL1B",5,447
"GO:0043085","positive regulation of catalytic activity","4/447","25/12245",0.012057237099415,0.425810847037235,0.404468535384808,"FGFR4/SLC5A3/CAV1/LOC114000824",4,447
"GO:0002064","epithelial cell development","3/447","14/12245",0.0130260160545145,0.437022838628962,0.415118564263607,"ONECUT1/ONECUT2/LOC114000433",3,447
"GO:0045088","regulation of innate immune response","3/447","14/12245",0.0130260160545145,0.437022838628962,0.415118564263607,"XIAP/DHX58/APPL2",3,447
"GO:0030324","lung development","7/447","72/12245",0.0157631638336015,0.463291145166815,0.440070261822114,"TTC25/LOC113991284/GLI1/DNAAF1/CEBPA/ALDH1A2/SREBF1",7,447
"GO:0060612","adipose tissue development","4/447","27/12245",0.0157985823737646,0.463291145166815,0.440070261822114,"LOC113996216/LOC114001403/LOC113999640/AACS",4,447
"GO:0009954","proximal/distal pattern formation","3/447","15/12245",0.0158486714076115,0.463291145166815,0.440070261822114,"GLI1/DLX1/ALDH1A2",3,447
"GO:0045600","positive regulation of fat
cell differentiation","5/447","41/12245",0.0161014153169738,0.463291145166815,0.440070261822114,"RARRES2/CEBPA/HTR2C/CCDC3/WDFY2",5,447
"GO:0042127","regulation of cell population proliferation","9/447","107/12245",0.0162392973683689,0.463291145166815,0.440070261822114,"LOC113997556/TGFB2/MEAK7/PLA2G4A/LOC114003556/PKD2/LOC114000824/XIAP/LGR5",9,447
"GO:0001525","angiogenesis","14/447","202/12245",0.0162445768469062,0.463291145166815,0.440070261822114,"ROBO4/LOC113991284/APELA/LOC114001403/GJA5/HEY1/CAV1/ANXA2/COL4A6/LOC114000824/ANGPT4/PRKCA/EPHB2/PROK2",14,447
"GO:0042632","cholesterol homeostasis","6/447","57/12245",0.0172439542882778,0.463291145166815,0.440070261822114,"FGFR4/CAV1/SREBF2/APOA1/MALRD1/INSIG1",6,447
"GO:0086091","regulation of heart rate
by cardiac conduction","5/447","42/12245",0.0177455659608708,0.463291145166815,0.440070261822114,"CAV1/LOC113991466/CTNNA3/SCN4B/CACNA1G",5,447
"GO:0008203","cholesterol metabolic process","6/447","58/12245",0.0186610154825998,0.463291145166815,0.440070261822114,"LOC114001403/LOC113988755/SREBF2/CEBPA/SREBF1/APOA1",6,447
"GO:0001935","endothelial cell proliferation","3/447","16/12245",0.0189873420150334,0.463291145166815,0.440070261822114,"LOC113991284/APOA1/PROK2",3,447
"GO:0007492","endoderm development","3/447","16/12245",0.0189873420150334,0.463291145166815,0.440070261822114,"APELA/EXTL1/ONECUT1",3,447
"GO:0033630","positive regulation of cell
adhesion mediated by integrin","3/447","16/12245",0.0189873420150334,0.463291145166815,0.440070261822114,"LOC113997556/TGFB2/LOC114000824",3,447
"GO:0034244","negative regulation of transcription elongation from
RNA polymerase II promoter","3/447","16/12245",0.0189873420150334,0.463291145166815,0.440070261822114,"NELFCD/HEXIM1/EAPP",3,447
"GO:0042759","long-chain fatty acid biosynthetic
process","3/447","16/12245",0.0189873420150334,0.463291145166815,0.440070261822114,"ACSBG2/LOC113988755/ACSBG1",3,447
"GO:0060317","cardiac epithelial to mesenchymal transition","3/447","16/12245",0.0189873420150334,0.463291145166815,0.440070261822114,"LOC113997556/TGFB2/HEY1",3,447
"GO:0007283","spermatogenesis","15/447","228/12245",0.0201645540419937,0.473723319171086,0.44997955880162,"SEPT4/LOC113987746/LOC113992196/MNS1/GLI1/SPAG8/ACSBG2/GAMT/ATAT1/LOC113982299/DNMT3A/PRKAG1/RAI14/AP3B1/PROK2",15,447
"GO:0032024","positive regulation of insulin secretion","4/447","29/12245",0.0201965504127492,0.473723319171086,0.44997955880162,"SOX4/AACS/LOC113992301/TARDBP",4,447
"GO:0042593","glucose homeostasis","7/447","76/12245",0.0206850350430244,0.473723319171086,0.44997955880162,"FGFR4/LOC114001403/SOX4/POMC/CEBPA/BACE2/APPL2",7,447
"GO:0003184","pulmonary valve morphogenesis","3/447","17/12245",0.0224441585386101,0.473723319171086,0.44997955880162,"LOC113997556/TGFB2/HEY1",3,447
"GO:0003203","endocardial cushion morphogenesis","3/447","17/12245",0.0224441585386101,0.473723319171086,0.44997955880162,"LOC113997556/TGFB2/HEY1",3,447
"GO:0006268","DNA unwinding involved in
DNA replication","3/447","17/12245",0.0224441585386101,0.473723319171086,0.44997955880162,"MCM4/MCM7/RAD51",3,447
"GO:0044782","cilium organization","3/447","17/12245",0.0224441585386101,0.473723319171086,0.44997955880162,"MNS1/PKD2/TTC29",3,447
"GO:0001942","hair follicle development","4/447","30/12245",0.0226505633071809,0.473723319171086,0.44997955880162,"LOC113997556/TGFB2/CD109/LGR5",4,447
"GO:0007187","G protein-coupled receptor signaling pathway, coupled
to cyclic nucleotide second messenger","5/447","45/12245",0.023331070202815,0.473723319171086,0.44997955880162,"HTR2C/VIPR1/TSHR/CHRM4/OPRM1",5,447
"GO:0035725","sodium ion transmembrane transport","7/447","78/12245",0.0235084429838629,0.473723319171086,0.44997955880162,"SLC6A9/SLC9A8/LOC113991466/PKD2/SCNN1A/SCN4B/CACNA1G",7,447
"GO:0009755","hormone-mediated signaling pathway","4/447","31/12245",0.025278356075021,0.473723319171086,0.44997955880162,"TSHR/CRHBP/KDM3A/LGR5",4,447
"GO:0042572","retinol metabolic process","4/447","31/12245",0.025278356075021,0.473723319171086,0.44997955880162,"LOC114001898/LOC113988755/ALDH1A2/DHRS3",4,447
