"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0016082","synaptic vesicle priming","8/1044","20/12245",0.000134925876990988,0.259192609699689,0.259192609699689,"LOC113993146/SNAP25/LOC113987015/LOC113991140/LOC113993758/LOC114001826/LOC113986517/STXBP1",8,1044
"GO:0016070","RNA metabolic process","11/1044","47/12245",0.00163029020816974,0.881092695676127,0.881092695676127,"HNRNPA0/DDX54/DUSP11/HNRNPA2B1/HNRNPA3/HNRNPU/PCBP2/POLR2C/PTBP1/NCBP1/HNRNPK",11,1044
"GO:0120009","intermembrane lipid transfer","9/1044","36/12245",0.00262394525947366,0.881092695676127,0.881092695676127,"ABCA1/ABCA3/PITPNM2/PITPNC1/PLEKHA3/TTPA/OSBP/PITPNM1/PRELID3A",9,1044
"GO:0006342","chromatin silencing","6/1044","18/12245",0.00286925019743819,0.881092695676127,0.881092695676127,"MECP2/EED/HMGB1/PCGF2/MORF4L1/LOC113997379",6,1044
"GO:0006959","humoral immune response","7/1044","24/12245",0.00304604812827196,0.881092695676127,0.881092695676127,"RBPJ/LOC113992699/LOC114001683/NOTCH1/NOTCH2/TNFRSF21/LOC114001688",7,1044
"GO:0030316","osteoclast differentiation","7/1044","24/12245",0.00304604812827196,0.881092695676127,0.881092695676127,"TCIRG1/CSF1R/LOC113996964/SBNO2/LOC114001688/GAB2/OSTM1",7,1044
"GO:0090026","positive regulation of monocyte chemotaxis","5/1044","13/12245",0.00321064490876257,0.881092695676127,0.881092695676127,"CREB3L1/CREB3L2/MOSPD2/HMGB1/LOC113991763",5,1044
"GO:0051402","neuron apoptotic process","9/1044","38/12245",0.00389408446320673,0.902635270875821,0.902635270875821,"XIAP/ATN1/BNIP3/BOK/NCSTN/SCN1A/TNFRSF21/LOC113994464/BID",9,1044
"GO:0010812","negative regulation of cell-substrate
adhesion","5/1044","14/12245",0.00464733559341583,0.902635270875821,0.902635270875821,"COL1A1/ANGPT2/CORO2B/NOTCH1/DMTN",5,1044
"GO:0007568","aging","20/1044","126/12245",0.0048296306249378,0.902635270875821,0.902635270875821,"FBXO4/CLDN1/ATG7/ENDOG/PAX2/EEF2/RPN2/CTNNA1/GCLM/GNAO1/HTR2A/LOC114000703/NUDT1/PENK/PITX3/PPARGC1A/VCAM1/WRN/ITGB2/NAPEPLD",20,1044
"GO:0007413","axonal fasciculation","6/1044","20/12245",0.0051686558977793,0.902635270875821,0.902635270875821,"SEMA5A/AMIGO1/LOC113984508/LOC113999997/TNFRSF21/LOC113988059",6,1044
"GO:0050804","modulation of chemical synaptic transmission","12/1044","63/12245",0.00629586576040408,0.969069773877326,0.969069773877326,"GRIK1/LOC113999917/CX3CR1/AKAP12/DGKE/PACSIN2/BCR/LOC114003869/PRKAR2B/ABR/CDH11/PTPRA",12,1044
"GO:0071526","semaphorin-plexin signaling pathway","8/1044","34/12245",0.00665322516834334,0.969069773877326,0.969069773877326,"ARHGDIA/SEMA3F/SEMA5A/PLXNB1/PLXND1/SEMA5B/MET/LOC113988059",8,1044
"GO:0018095","protein polyglutamylation","4/1044","10/12245",0.00725981510739062,0.969069773877326,0.969069773877326,"TTLL4/TPGS2/TTLL7/TTLL11",4,1044
"GO:0007162","negative regulation of cell adhesion","9/1044","42/12245",0.00783319878349382,0.969069773877326,0.969069773877326,"TNC/ARHGDIA/SEMA5A/PLXNB1/LOC113982172/LOC113987855/PLXND1/ADAM22/LOC113988059",9,1044
"GO:0071356","cellular response to tumor
necrosis factor","14/1044","82/12245",0.00900369479535198,0.969069773877326,0.969069773877326,"ABCC2/CLDN1/KLF2/COL1A1/AKAP12/PPARGC1A/TNFRSF21/VCAM1/YBX3/ZFAND6/TANK/ADAMTS7/ZFP36L2/ERBIN",14,1044
"GO:0033572","transferrin transport","8/1044","36/12245",0.00952910464932725,0.969069773877326,0.969069773877326,"ATP6V0E1/TCIRG1/ATP6V0B/ARHGAP1/ATP6V0A1/ATP6V1D/LMTK2/ATP6V1C1",8,1044
"GO:0043312","neutrophil degranulation","45/1044","372/12245",0.0104136417198696,0.969069773877326,0.969069773877326,"GRN/SURF4/CTSD/ATG7/ARSA/LOC113998023/TCIRG1/SNAP25/PYGL/LOC113995129/RAB10/MOSPD2/LOC113996661/STBD1/CREG1/EEF2/ATP6V0A1/ATP6V1D/CANT1/CTSA/DDOST/FTH1/FUCA1/GUSB/HMGB1/IDH1/LOC113992319/LOC114002137/LOC114003928/NCSTN/NFASC/PGM1/PTPN6/RAB18/SLC11A1/VCP/HPSE/PLEKHO2/ITGB2/LOC113983733/ARPC5/ATP11A/LOC113998942/TMC6/KCNAB2",45,1044
"GO:0090280","positive regulation of calcium
ion import","4/1044","11/12245",0.0106472601559078,0.969069773877326,0.969069773877326,"CASR/LOC114000001/CRH/LOC113982386",4,1044
"GO:0098761","cellular response to interleukin-7","4/1044","11/12245",0.0106472601559078,0.969069773877326,0.969069773877326,"PDIA3/HDGFL3/HMGB1/STIP1",4,1044
"GO:0006886","intracellular protein transport","31/1044","239/12245",0.0121720579276691,0.969069773877326,0.969069773877326,"TBC1D9B/COPA/LOC113995005/ERP29/SEC31A/TBC1D15/TMED10/MYO7A/AP2M1/AP3M2/CLTB/COPG1/CTSA/EVI5/LOC113996964/LOC114003928/RAB18/RAB41/RHOB/SEC23B/SEC24D/SYTL5/TBC1D22A/TBC1D9/TMED3/VPS16/LOC113986517/AP1B1/ARCN1/TBC1D30/STXBP1",31,1044
"GO:0008286","insulin receptor signaling pathway","13/1044","77/12245",0.012700352300732,0.969069773877326,0.969069773877326,"ATP6V0E1/TCIRG1/ATP6V0B/ATP6V0A1/ATP6V1D/BCAR3/FRMPD2/NAMPT/IGF2/PTPRA/SMARCC1/PDK2/ATP6V1C1",13,1044
