"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0034587","piRNA metabolic process","4/399","11/12245",0.000305475817691672,0.367650884214614,0.355368306810033,"MAEL/PIWIL1/FKBP6/HENMT1",4,399
"GO:0007186","G protein-coupled receptor signaling
pathway","30/399","484/12245",0.000558391048065245,0.367650884214614,0.355368306810033,"POMC/PRLH/C3/MLNR/LOC113987091/PDGFRL/CYSLTR1/HTR2A/TACR3/ADGRV1/LOC113996140/LOC113997278/HRH3/FZD8/LOC114000970/GPR171/C3AR1/ADGRF4/PTHLH/HEBP1/FGD2/RASD1/LOC113993299/GRP/MCF2L/GPR6/LOC113999236/LOC114003556/ANXA1/LPAR1",30,399
"GO:0021542","dentate gyrus development","4/399","14/12245",0.000857263200938563,0.367650884214614,0.355368306810033,"BTG2/EMX2/PROX1/ATAT1",4,399
"GO:0050900","leukocyte migration","10/399","97/12245",0.00121291382336808,0.367650884214614,0.355368306810033,"LOC113984271/CD34/LOC113984305/GPC1/COL1A1/GRB2/ITGB3/SHC1/CD44/LOC113989681",10,399
"GO:0048705","skeletal system morphogenesis","5/399","27/12245",0.00159886004995949,0.367650884214614,0.355368306810033,"SPEF2/LOC113985828/HHIP/FMN1/LOC113996506",5,399
"GO:0006911","phagocytosis, engulfment","4/399","17/12245",0.00188620036404122,0.367650884214614,0.355368306810033,"LOC113984271/LOC113984305/LOC113992914/GULP1",4,399
"GO:0051591","response to cAMP","5/399","28/12245",0.00189510765059079,0.367650884214614,0.355368306810033,"JUN/DUSP1/FOS/COL1A1/LOC114003020",5,399
"GO:0035924","cellular response to vascular
endothelial growth factor stimulus","5/399","29/12245",0.00222958348584558,0.378471796722288,0.365827711427558,"NR4A1/MAP2K3/FLT4/SPRY2/ANXA1",5,399
"GO:0042127","regulation of cell population proliferation","10/399","107/12245",0.00254339088669042,0.381973472991173,0.369212402774973,"JUN/PLA2G4A/NFKBIA/LOC113983017/LAMA5/JUND/SIX3/TGFB2/EPS15L1/LOC114003556",10,399
"GO:0035865","cellular response to potassium ion","3/399","10/12245",0.00347343346087136,0.381973472991173,0.369212402774973,"CRHBP/PPARGC1A/LOC113983406",3,399
"GO:0016525","negative regulation of angiogenesis","8/399","79/12245",0.00410309095025615,0.381973472991173,0.369212402774973,"COL4A3/LOC113983275/RGCC/COL4A6/TGFB2/ADAMTS1/SPRY2/YJEFN3",8,399
"GO:0010634","positive regulation of epithelial
cell migration","5/399","34/12245",0.00457279653933647,0.381973472991173,0.369212402774973,"CAPN7/LOC113995680/LOC113992914/TGFB2/ENPP2",5,399
"GO:0000902","cell morphogenesis","7/399","64/12245",0.00464555657994007,0.381973472991173,0.369212402774973,"IL7R/SHROOM3/MAEL/SHROOM1/TGFB2/KLF2/LOC114003556",7,399
"GO:0045654","positive regulation of megakaryocyte differentiation","3/399","11/12245",0.00466141757706376,0.381973472991173,0.369212402774973,"LOC114002160/TESC/RAB7B",3,399
"GO:0019221","cytokine-mediated signaling pathway","13/399","176/12245",0.00502793817490116,0.381973472991173,0.369212402774973,"POMC/IL20RA/FOS/LAMA5/F13A1/FSCN1/LOC113991133/GRB2/MUC1/SHC1/MYC/ANXA1/CSF3R",13,399
"GO:0006958","complement activation, classical pathway","4/399","22/12245",0.00509762497447993,0.381973472991173,0.369212402774973,"LOC113992168/C3/LOC113984271/LOC113984305",4,399
"GO:0050776","regulation of immune response","5/399","35/12245",0.00519507953192974,0.381973472991173,0.369212402774973,"C3/CD34/LOC113988910/COL1A1/COLEC12",5,399
"GO:0032495","response to muramyl dipeptide","3/399","12/12245",0.00606639928235084,0.381973472991173,0.369212402774973,"INAVA/NFKBIA/CARD9",3,399
"GO:0051292","nuclear pore complex assembly","3/399","12/12245",0.00606639928235084,0.381973472991173,0.369212402774973,"NUP107/LOC113995680/NDC1",3,399
"GO:0043087","regulation of GTPase activity","7/399","68/12245",0.00649065751993101,0.381973472991173,0.369212402774973,"LOC113983017/EPHA1/LOC113997278/PLXND1/LOC114003795/FGD2/EPHA3",7,399
"GO:0043434","response to peptide hormone","5/399","37/12245",0.00661519641042963,0.381973472991173,0.369212402774973,"BTG2/PRLH/COL1A1/JUND/ANXA1",5,399
"GO:0098609","cell-cell adhesion","10/399","124/12245",0.00726730602550465,0.381973472991173,0.369212402774973,"CTNNA3/CD34/LOC113988910/ADGRV1/TLN1/LAMA5/SHC1/CD44/LOC113983406/ANXA1",10,399
"GO:0032206","positive regulation of telomere maintenance","3/399","13/12245",0.00769779976747959,0.381973472991173,0.369212402774973,"RAD50/LOC113983275/NBN",3,399
"GO:0038063","collagen-activated tyrosine kinase receptor
signaling pathway","3/399","13/12245",0.00769779976747959,0.381973472991173,0.369212402774973,"COL4A3/COL1A1/COL4A6",3,399
"GO:0040037","negative regulation of fibroblast
growth factor receptor signaling pathway","3/399","13/12245",0.00769779976747959,0.381973472991173,0.369212402774973,"GPC1/SHISA2/SPRY2",3,399
"GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A)
tail shortening","3/399","13/12245",0.00769779976747959,0.381973472991173,0.369212402774973,"BTG2/TOB1/POLR2G",3,399
"GO:0007568","aging","10/399","126/12245",0.00810521584574795,0.381973472991173,0.369212402774973,"JUN/HTR2A/TACR3/FOS/GSS/JUND/MME/PPARGC1A/GRB2/COL4A6",10,399
"GO:0045787","positive regulation of cell cycle","4/399","26/12245",0.00940474127300719,0.381973472991173,0.369212402774973,"CITED2/PGGT1B/TGFB2/PROX1",4,399
"GO:0006805","xenobiotic metabolic process","6/399","56/12245",0.00946856100209189,0.381973472991173,0.369212402774973,"LOC113990865/LOC113991029/LOC113990807/LOC113991532/LOC113990605/AIP",6,399
"GO:0002076","osteoblast development","3/399","14/12245",0.00956340064926353,0.381973472991173,0.369212402774973,"SATB2/JUND/PTHLH",3,399
"GO:0010759","positive regulation of macrophage chemotaxis","3/399","14/12245",0.00956340064926353,0.381973472991173,0.369212402774973,"LOC113983017/C3AR1/MDK",3,399
"GO:0014912","negative regulation of smooth
muscle cell migration","3/399","14/12245",0.00956340064926353,0.381973472991173,0.369212402774973,"TRIB1/PPARGC1A/SEMA6D",3,399
"GO:0032874","positive regulation of stress-activated
MAPK cascade","3/399","14/12245",0.00956340064926353,0.381973472991173,0.369212402774973,"INAVA/TGFB2/CARD9",3,399
"GO:2000272","negative regulation of signaling
receptor activity","3/399","14/12245",0.00956340064926353,0.381973472991173,0.369212402774973,"LRPAP1/PPARGC1A/PCSK9",3,399
"GO:0001822","kidney development","8/399","93/12245",0.0108274804946963,0.415140677199562,0.401271548304669,"STRA6/MME/PTCD2/PLXND1/TGFB2/PROX1/ADAMTS1/PCSK9",8,399
"GO:0030154","cell differentiation","22/399","398/12245",0.0110807351303282,0.415140677199562,0.401271548304669,"GTSF1/CITED2/TTLL7/LOC113983017/RXRG/LOC113996140/MAEL/TXNRD3/MYO7B/IGSF10/FKBP6/FOXL2/ZIC3/ZNF423/MDK/INSC/SOX12/HES4/NHSL2/TLL2/LOC114003020/UNC45A",22,399
