"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0010951","negative regulation of endopeptidase activity","16/963","70/11975",0.000106169569279082,0.197900077136209,0.197810671183132,"LOC113991485/ITIH5/ANXA2/LOC113992817/LOC113991484/SPINT1/APP/LOC113992168/CRIM1/SERPINB1/USP14/TIMP4/A2M/SERPINE1/LOC113991482/LOC113991487",16,963
"GO:0060291","long-term synaptic potentiation","10/963","36/11975",0.000396485321337715,0.255977696889391,0.255862053023617,"SYT12/CRHR2/NLGN1/ARC/SLC24A2/PLK2/PTN/CRH/ITPR3/LRRTM2",10,963
"GO:0051965","positive regulation of synapse assembly","12/963","50/11975",0.00047234398917685,0.255977696889391,0.255862053023617,"EPHB2/CUX2/AMIGO3/NLGN1/PTPRD/LRRN3/SLITRK6/EEF2K/SLITRK2/IL1RAP/LRRTM3/LRRTM2",12,963
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane","16/963","81/11975",0.000622667514641052,0.255977696889391,0.255862053023617,"LOC114002081/LOC113998898/RPL4/RPL31/RPL19/RPS27A/RPS23/RPL37/RPS21/RPL7/RPS29/RPL30/RPS5/RPL23A/SRP19/RPS3A",16,963
"GO:0006936","muscle contraction","15/963","74/11975",0.000686635453029482,0.255977696889391,0.255862053023617,"ITGA1/CALD1/GAMT/VCL/TPM2/CACNA1H/SORBS3/ITGA11/LOC113993584/LOC113999652/PXN/CALM1/LOC113999542/LOC113999078/LOC114001935",15,963
"GO:0007093","mitotic cell cycle checkpoint","5/963","12/11975",0.00163233055459026,0.361280202718152,0.361116986001315,"NABP2/CHFR/PLK2/PLK3/NABP1",5,963
"GO:0090050","positive regulation of cell
migration involved in sprouting angiogenesis","7/963","23/11975",0.00165715511737906,0.361280202718152,0.361116986001315,"RHOJ/PLK2/VEGFA/PTGS2/KDR/LOC113997171/LOC114000824",7,963
"GO:0035633","maintenance of blood-brain barrier","8/963","30/11975",0.00200872947795898,0.361280202718152,0.361116986001315,"TJP3/ITGB1/LOC114001565/CDH5/VCL/CLDN1/TJP1/SLC12A2",8,963
"GO:0042127","regulation of cell population proliferation","18/963","107/11975",0.00207834190085238,0.361280202718152,0.361116986001315,"LOC114000703/SIX3/TOPORS/LTK/LOC114000971/MEAK7/XIAP/DUSP15/MAFG/JUN/IL4R/TGFB3/LOC114001747/CCDC88A/SHH/SLC7A11/AGTR1/LOC114000824",18,963
"GO:0090141","positive regulation of mitochondrial fission","6/963","18/11975",0.00212704979659402,0.361280202718152,0.361116986001315,"MIEF2/BNIP3/MIEF1/KDR/LOC113997171/SPIRE1",6,963
"GO:0071470","cellular response to osmotic stress","5/963","13/11975",0.00247817965139171,0.361280202718152,0.361116986001315,"LOC113991485/LRRC8C/LOC113991484/LOC113991482/LOC113991487",5,963
"GO:1900271","regulation of long-term synaptic
potentiation","5/963","13/11975",0.00247817965139171,0.361280202718152,0.361116986001315,"LOC113987746/ARC/SCGN/CALB2/YTHDF1",5,963
