"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0050771","negative regulation of axonogenesis","7/911","20/11931",0.000473337221420917,0.490200642541285,0.490200642541285,"LOC113988556/DAB1/LOC113990764/LRP4/RUFY3/LINGO1/RTN4",7,911
"GO:0043951","negative regulation of cAMP-mediated
signaling","6/911","15/11931",0.000535153539892232,0.490200642541285,0.490200642541285,"LOC113994469/LOC113993433/LOC113993299/LPAR1/APLNR/PDE3A",6,911
"GO:2000310","regulation of NMDA receptor activity","8/911","31/11931",0.00181302105614902,0.767746129553317,0.767746129553317,"MEF2C/DAPK1/ACTN2/DLG3/OPRM1/GRIA4/GRIA1/RASGRF2",8,911
"GO:0034975","protein folding in endoplasmic reticulum","5/911","13/11931",0.00196664175622567,0.767746129553317,0.767746129553317,"HSPA5/HSP90B1/PDIA3/CALR/DNAJC3",5,911
"GO:0035023","regulation of Rho protein
signal transduction","7/911","25/11931",0.00209537699113897,0.767746129553317,0.767746129553317,"ARHGEF28/ARHGDIB/ARHGEF10/STARD8/LOC114000754/AKAP13/RASGRF2",7,911
"GO:0007186","G protein-coupled receptor signaling
pathway","50/911","446/11931",0.00377989943631568,0.830934428956195,0.830934428956195,"LOC113994469/HTR1D/LANCL1/PLEKHG5/LOC113993090/GNAI3/PREX1/CCKBR/LOC113994699/LOC113993433/LOC113983719/CX3CR1/P2RY13/LOC113989258/ARHGEF26/ADORA1/LOC113993299/OPRM1/PLXNB1/ABR/GPRC5C/LPAR1/APLNR/TACR1/LPAR2/AKAP13/GRP/RIC8B/GPR85/GRM2/GRM7/RASGRF2/GPR162/GPR146/CARTPT/FZD5/QRFPR/PDE3A/AVPR1A/CALCR/LOC113983132/DGKQ/ARHGEF11/RAMP3/HTR1E/ADGRG2/CCK/CRHR2/LOC114003560/POMC",50,911
"GO:0006986","response to unfolded protein","8/911","35/11931",0.00412113491380409,0.830934428956195,0.830934428956195,"FICD/HSP90AB1/HSPA8/HSP90AA1/MANF/UBE2J2/HSPA4/ERP27",8,911
"GO:0070166","enamel mineralization","4/911","10/11931",0.00488109418342462,0.830934428956195,0.830934428956195,"TCIRG1/FAM20A/LOC113984874/STIM1",4,911
"GO:0086004","regulation of cardiac muscle
cell contraction","4/911","10/11931",0.00488109418342462,0.830934428956195,0.830934428956195,"ATP1A1/KCNJ2/ADORA1/LOC113993299",4,911
"GO:0030217","T cell differentiation","6/911","22/11931",0.00502558479262002,0.830934428956195,0.830934428956195,"TCIRG1/DLL4/PREX1/PTPRC/PATZ1/IL7R",6,911
"GO:0035690","cellular response to drug","10/911","52/11931",0.00533144717413706,0.830934428956195,0.830934428956195,"MEF2C/NOS2/ABCC2/LOC114003020/HSPA5/HSP90AB1/UMPS/CERS1/RAP1A/GAS6",10,911
