"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007613","memory","7/210","73/11903",0.000292542937650991,0.188864969157263,0.180388594119451,"CEBPB/FGF13/LGMN/LOC113991532/PPP1R1B/PTN/SLC24A2",7
"GO:0061098","positive regulation of protein tyrosine kinase activity","5/210","37/11903",0.000448610378045756,0.188864969157263,0.180388594119451,"ABI1/AFAP1L2/DLG3/EPHA4/LOC113988363",5
"GO:0017158","regulation of calcium ion-dependent exocytosis","3/210","13/11903",0.00135867503738332,0.287433467392293,0.274533278019392,"SYT12/SYT7/SYT9",3
"GO:0034614","cellular response to reactive oxygen species","4/210","29/11903",0.00158205164359734,0.287433467392293,0.274533278019392,"AGAP3/JUN/LOC114000703/MMP9",4
"GO:0030048","actin filament-based movement","3/210","14/11903",0.00170684956883784,0.287433467392293,0.274533278019392,"MYH9/WASL/WIPF3",3
"GO:0001836","release of cytochrome c from mitochondria","3/210","15/11903",0.00210598075642248,0.295539299484621,0.282275315422241,"DNM1L/JUN/LOC114000703",3
"GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation","4/210","34/11903",0.00288398396428723,0.305211203137474,0.291513138138555,"JUN/LOC113991532/LOC114000703/MMP9",4
"GO:0060291","long-term synaptic potentiation","4/210","35/11903",0.00321175047332867,0.305211203137474,0.291513138138555,"CRHR2/PTN/SLC24A2/SYT12",4
"GO:0007612","learning","5/210","61/11903",0.00435187775614007,0.305211203137474,0.291513138138555,"FGF13/JUN/LOC114000703/PTN/SLC24A2",5
"GO:0007052","mitotic spindle organization","4/210","39/11903",0.00477627147939301,0.305211203137474,0.291513138138555,"MAP4/RMDN1/SPC25/STMN1",4
"GO:1904646","cellular response to amyloid-beta","4/210","39/11903",0.00477627147939301,0.305211203137474,0.291513138138555,"ABCC10/CACNB1/EPHA4/LGMN",4
"GO:0048013","ephrin receptor signaling pathway","6/210","92/11903",0.00568911204990998,0.305211203137474,0.291513138138555,"ACTR2/ACTR3/EPHA4/MMP9/PSEN2/WASL",6
"GO:0061024","membrane organization","7/210","125/11903",0.00664429941797762,0.305211203137474,0.291513138138555,"ACTR2/ACTR3/CBLB/FNBP1/SAR1B/SYT9/WASL",7
"GO:0001755","neural crest cell migration","4/210","43/11903",0.00678517128963449,0.305211203137474,0.291513138138555,"LOC113982696/LOC113984504/RADIL/SEMA4G",4
"GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","5/210","68/11903",0.00690722431676939,0.305211203137474,0.291513138138555,"ABI1/ACTR2/ACTR3/WASL/WIPF3",5
"GO:0010951","negative regulation of endopeptidase activity","5/210","69/11903",0.00734254696998089,0.305211203137474,0.291513138138555,"ANXA2/ITIH2/LOC113992168/SPOCK1/SPOCK3",5
"GO:0071277","cellular response to calcium ion","5/210","69/11903",0.00734254696998089,0.305211203137474,0.291513138138555,"CAMK2D/LGMN/SYT12/SYT7/SYT9",5
"GO:0022900","electron transport chain","4/210","44/11903",0.00736254839171623,0.305211203137474,0.291513138138555,"AKR1A1/DEGS1/LOC113991532/XDH",4
"GO:0051899","membrane depolarization","3/210","23/11903",0.00738976862354305,0.305211203137474,0.291513138138555,"CACNA1E/JUN/LOC114000703",3
"GO:0071276","cellular response to cadmium ion","3/210","23/11903",0.00738976862354305,0.305211203137474,0.291513138138555,"JUN/LOC114000703/MMP9",3
"GO:0043113","receptor clustering","3/210","24/11903",0.00833712312608301,0.305211203137474,0.291513138138555,"DLG3/LOC113988363/PTN",3
