"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0060291","long-term synaptic potentiation","13/1251","36/11931",3.98040512664941e-05,0.0798071227893206,0.0794405065276555,"SLC24A2/CRHR2/PTN/SYT12/PLK2/NLGN1/NR2E1/RASGRF2/LOC114003174/RGS14/SLC1A1/LOC113985801/MECP2",13,1251
"GO:0010951","negative regulation of endopeptidase activity","18/1251","69/11931",0.000195064157146848,0.157484254999215,0.156760807181264,"LOC113992168/ANXA2/SPOCK1/ITIH2/SPOCK3/TFPI2/PROS1/TIMP4/SPINT1/SERPIND1/LOC113999601/A2M/LOC113991484/LOC113992708/SERPINB5/APLP2/SERPINF1/APP",18,1251
"GO:0045446","endothelial cell differentiation","6/1251","11/11931",0.000380840798904161,0.157484254999215,0.156760807181264,"PTN/JAG2/CXCR4/S1PR1/LOC113997171/SCUBE1",6,1251
"GO:0001755","neural crest cell migration","13/1251","44/11931",0.000402409833514324,0.157484254999215,0.156760807181264,"RADIL/LOC113982696/LOC113984504/SEMA4G/RET/KITLG/SEMA4C/SEMA3C/LOC114000376/SEMA3A/SEMA3B/SEMA4B/SEMA4A",13,1251
"GO:0048843","negative regulation of axon
extension involved in axon guidance","9/1251","24/11931",0.000450844296159642,0.157484254999215,0.156760807181264,"LOC113982696/LOC113984504/SEMA4G/SEMA4C/SEMA3C/SEMA3A/SEMA3B/SEMA4B/SEMA4A",9,1251
"GO:0071526","semaphorin-plexin signaling pathway","11/1251","34/11931",0.000471274578551268,0.157484254999215,0.156760807181264,"LOC113982696/LOC113984504/SEMA4G/SEMA4C/MET/SEMA3C/SEMA3A/SEMA3B/SEMA4B/LOC113986256/SEMA4A",11,1251
"GO:0050919","negative chemotaxis","11/1251","38/11931",0.00133852570332251,0.264240406643454,0.263026544688798,"LOC113982696/LOC113984504/SEMA4G/SEMA4C/RHOA/SEMA3C/SEMA3A/SEMA3B/SEMA4B/FLRT3/SEMA4A",11,1251
"GO:0007613","memory","17/1251","74/11931",0.00139651766580501,0.264240406643454,0.263026544688798,"SLC24A2/CEBPB/PPP1R1B/PTN/LGMN/FGF13/LOC113991532/PLK2/KALRN/CCK/ASIC3/KCNK2/LOC113989303/LOC114003174/ADCY8/LOC113985801/PAK5",17,1251
"GO:1990573","potassium ion import across
plasma membrane","10/1251","33/11931",0.00149750545826259,0.264240406643454,0.263026544688798,"KCNJ6/SLC12A2/LOC113999542/FXYD2/LOC113996443/ATP1B1/LOC113986621/KCNJ3/ATP1B3/ATP1A1",10,1251
"GO:0070374","positive regulation of ERK1
and ERK2 cascade","26/1251","136/11931",0.00174529124775657,0.264240406643454,0.263026544688798,"CALCR/FGFR4/CFLAR/LOC113991532/FGFR3/RAP1B/GPER1/CX3CL1/PDGFC/LOC113997171/MAP2K1/APELA/PRKCA/SRC/HTR2C/FGFR2/BMP4/ANGPT4/ALKAL2/P2RY1/RIPK2/BMP2/DDT/PTPRC/SLC30A10/APP",26,1251
"GO:0008277","regulation of G protein-coupled
receptor signaling pathway","12/1251","45/11931",0.00180018762843768,0.264240406643454,0.263026544688798,"PHF24/LOC114003843/KCTD16/HOMER2/USP20/ZDHHC3/RGS4/RGS2/TUB/RGS14/KCTD8/USP33",12,1251
"GO:0006282","regulation of DNA repair","5/1251","10/11931",0.00201609811480584,0.264240406643454,0.263026544688798,"UBE2V1/USP1/UBE2V2/PARG/POLH",5,1251
"GO:0036376","sodium ion export across
plasma membrane","5/1251","10/11931",0.00201609811480584,0.264240406643454,0.263026544688798,"FXYD2/LOC113996443/ATP1B1/ATP1B3/ATP1A1",5,1251
"GO:0060438","trachea development","5/1251","10/11931",0.00201609811480584,0.264240406643454,0.263026544688798,"LOC113997903/LOC114000433/LOC113992388/LOC113994177/BMP4",5,1251
"GO:0099509","regulation of presynaptic cytosolic
calcium ion concentration","5/1251","10/11931",0.00201609811480584,0.264240406643454,0.263026544688798,"NCS1/SCGN/HTR1B/CALB1/P2RY1",5,1251
"GO:0030198","extracellular matrix organization","35/1251","203/11931",0.00210865162408741,0.264240406643454,0.263026544688798,"HSD17B12/TNFRSF11B/VCAN/MMP9/ADAMTS8/NID1/POSTN/NR2E1/COL14A1/ITGA11/SPINT1/TGFBI/VCAM1/LOC113984118/FBLN2/SH3PXD2A/LOC113989148/LOC113997171/ITGA1/COL19A1/LAMC1/LOXL1/ADAMTS12/BSG/ADAMTSL2/ADAMTS14/COL9A3/ECM2/SERPINB5/ERO1A/AGRN/ITGB1/ADAMTS13/VWA1/APP",35,1251
"GO:0045931","positive regulation of mitotic
cell cycle","8/1251","24/11931",0.00225781428962309,0.266289273570253,0.265065999574327,"LGMN/EIF4E/TTL/BRCA2/PRKCA/ASNS/EIF4E3/APP",8,1251
"GO:0035633","maintenance of blood-brain barrier","9/1251","30/11931",0.00276610077771687,0.308112892184574,0.306697489739836,"SLC12A2/TJP3/LOC114001565/VCL/LAMC1/CLDN1/SLC1A1/ACTB/ITGB1",9,1251
"GO:0044267","cellular protein metabolic process","26/1251","142/11931",0.00325888795341549,0.338725957608571,0.337169925515606,"LOC113992168/ITIH2/VCAN/PRSS23/MFGE8/PAPPA2/IGFBP7/TGFBI/LOC113984118/MXRA8/CHRDL1/SORL1/TSPAN14/SERPIND1/LOC113999601/TSPAN5/LAMC1/MEN1/CHGB/BMP4/CALB1/SDC2/APLP2/TF/VWA1/APP",26,1251
"GO:0006883","cellular sodium ion homeostasis","5/1251","11/11931",0.0033788125447239,0.338725957608571,0.337169925515606,"SLC12A2/LOC113996443/ATP1B1/ATP1B3/ATP1A1",5,1251
"GO:0002576","platelet degranulation","19/1251","94/11931",0.00364721673820712,0.348222360005013,0.346622703540887,"CLEC3B/CALM1/TGFB3/WDR1/BRPF3/PROS1/LOC113995052/PHACTR2/VCL/TMSB4X/A2M/HABP4/LHFPL2/TMX3/ABCC4/APLP2/PLEK/TF/APP",19,1251
"GO:0006936","muscle contraction","16/1251","75/11931",0.00421958848650115,0.366180691872894,0.364498538806147,"SNTB1/CALM1/SLMAP/LOC113993707/LOC113999542/SORBS3/LOC113982797/ITGA11/VCL/CALD1/ITGA1/CRYAB/TPM2/CACNA1H/SGCA/TNNT3",16,1251
"GO:0031954","positive regulation of protein autophosphorylation","7/1251","21/11931",0.004241326685163,0.366180691872894,0.364498538806147,"CALM1/PDGFC/RAP2C/TNKS1BP1/SRC/RAD50/NBN",7,1251
"GO:0033674","positive regulation of kinase activity","14/1251","63/11931",0.00491873200948506,0.366180691872894,0.364498538806147,"FGFR4/VAC14/EPHA4/RET/FGFR3/EPHB2/LTK/MET/LOC113997171/MOB1B/FGFR2/RAD50/NBN/LMO4",14,1251
"GO:0001662","behavioral fear response","8/1251","27/11931",0.00512765832025775,0.366180691872894,0.364498538806147,"EIF4E/NR2E1/ASIC3/BRINP1/HTR2C/SLC1A1/EIF4E3/MECP2",8,1251
"GO:0000722","telomere maintenance via recombination","5/1251","12/11931",0.00529637908444585,0.366180691872894,0.364498538806147,"RAD51D/BRCA2/TPRKB/XRCC3/RAD50",5,1251
"GO:0007093","mitotic cell cycle checkpoint","5/1251","12/11931",0.00529637908444585,0.366180691872894,0.364498538806147,"PLK3/PLK2/NABP1/CHFR/NABP2",5,1251
"GO:0007130","synaptonemal complex assembly","5/1251","12/11931",0.00529637908444585,0.366180691872894,0.364498538806147,"P3H4/SYCE3/RAD21L1/TEX12/SYCP2",5,1251
"GO:0046470","phosphatidylcholine metabolic process","5/1251","12/11931",0.00529637908444585,0.366180691872894,0.364498538806147,"LCAT/ABHD3/PLA2G15/PLA2G3/MECP2",5,1251
"GO:0009612","response to mechanical stimulus","10/1251","39/11931",0.00575345190803562,0.384522369187047,0.382755958513527,"LOC114000703/JUN/P2RX3/POSTN/PTGER4/SRC/KCNK2/LOC113989303/ASNS/P2RY1",10,1251
"GO:0048013","ephrin receptor signaling pathway","18/1251","92/11931",0.00653788406396132,0.422853469298144,0.42091097403296,"WASL/ACTR2/ACTR3/MMP9/PSEN2/EPHA4/EPHB2/KALRN/RHOA/SRC/NGEF/DNM1/ARPC2/ACTB/ARHGEF28/SDC2/VAV3/GRIN1",18,1251
"GO:0043393","regulation of protein binding","7/1251","23/11931",0.00742113905122389,0.464980743678247,0.462844725036858,"CAMK1/HDAC5/PCBD1/SRC/PRMT8/BTBD1/ANGPT4",7,1251
"GO:0030501","positive regulation of bone mineralization","8/1251","29/11931",0.00820740086255805,0.498661779679663,0.496371037812123,"ACVR2B/PTN/TGFB3/BMPR1B/BMP4/WNT4/GPM6B/BMP2",8,1251
"GO:0007612","learning","13/1251","61/11931",0.0094907448383121,0.559674805906346,0.557103783697825,"SLC24A2/LOC114000703/PTN/JUN/FGF13/EPHB2/LOC113999457/LOC114003174/RGS14/NTSR1/LOC113985801/PAK5/APP",13,1251
"GO:1903779","regulation of cardiac conduction","10/1251","42/11931",0.00997682599628469,0.571529603501452,0.568904122976114,"FXYD6/FXYD2/LOC113996443/ATP1B1/ATP1B3/LOC114003174/ATP1A1/AHCYL1/LOC113985801/EHD3",10,1251
"GO:0007193","adenylate cyclase-inhibiting G protein-coupled
receptor signaling pathway","11/1251","49/11931",0.0111080443498077,0.61149022855044,0.608681177756469,"HTR1E/AKAP5/S1PR3/PALM/S1PR1/ADCY5/HTR1B/P2RY1/ADCY8/NPY1R/NPR3",11,1251
"GO:0009966","regulation of signal transduction","7/1251","25/11931",0.0120858144041413,0.61149022855044,0.608681177756469,"IGFBP7/CDC42SE2/CNKSR2/GLRX2/FRMPD2/LOC113990140/SOCS2",7,1251
"GO:0051491","positive regulation of filopodium assembly","8/1251","31/11931",0.0124973519474804,0.61149022855044,0.608681177756469,"WASL/TGFB3/NLGN1/PALM/FSCN1/GPM6A/AGRN/RALA",8,1251
"GO:0051965","positive regulation of synapse assembly","11/1251","50/11931",0.0129292556026444,0.61149022855044,0.608681177756469,"LRRN3/SLITRK2/SLITRK6/EPHB2/EEF2K/NLGN1/CLSTN1/FLRT3/UBE2V2/AMIGO2/WNT7A",11,1251
"GO:0006654","phosphatidic acid biosynthetic process","9/1251","38/11931",0.0146874423836979,0.61149022855044,0.608681177756469,"LOC114003925/DDHD1/GPAM/PLD1/AGPAT5/PLA2G4A/DDHD2/LCLAT1/LOC113984938",9,1251
"GO:0021670","lateral ventricle development","4/1251","10/11931",0.0150432983706625,0.61149022855044,0.608681177756469,"KDM2B/LOC113996443/RPGRIP1L/LOC113998190",4,1251
