"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0032981","mitochondrial respiratory chain complex
I assembly","10/615","49/12283",0.000128487855961228,0.137620968170943,0.137620968170943,"ACAD9/NDUFA5/NDUFS7/TIMM21/NDUFA10/NDUFS3/NDUFV2/NDUFB9/NDUFA8/NDUFAF3",10,615
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane","13/615","81/12283",0.00017734660846771,0.137620968170943,0.137620968170943,"RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/RPS24/UBA52/LOC113989206/RPS6/RPS8/RPL6",13,615
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay","14/615","112/12283",0.00137894438212416,0.477493892437909,0.477493892437909,"RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/RPS24/UBA52/PNLDC1/LOC113989206/RPS6/RPS8/RPL6",14,615
"GO:0019083","viral transcription","13/615","100/12283",0.00140810405489458,0.477493892437909,0.477493892437909,"RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/RPS24/UBA52/LOC113989206/RPS6/RPS8/RPL6",13,615
"GO:0051604","protein maturation","5/615","18/12283",0.00153831795244172,0.477493892437909,0.477493892437909,"TSPAN5/LOC114002160/STUB1/TSPAN15/TSPAN33",5,615
"GO:0006413","translational initiation","14/615","119/12283",0.00246360724880772,0.533984206823466,0.533984206823466,"RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/RPS24/UBA52/EIF3J/LOC113989206/RPS6/RPS8/RPL6",14,615
"GO:0006120","mitochondrial electron transport, NADH
to ubiquinone","7/615","38/12283",0.0024769666391235,0.533984206823466,0.533984206823466,"NDUFA5/NDUFS7/NDUFA10/NDUFS3/NDUFV2/NDUFB9/NDUFA8",7,615
"GO:0006412","translation","16/615","148/12283",0.00300677235718245,0.533984206823466,0.533984206823466,"IGF2BP3/RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/MRPL13/RPS24/GGT7/LOC113989206/RMND1/RPS6/RPS8/RPL6",16,615
"GO:0070207","protein homotrimerization","4/615","13/12283",0.00309655790039381,0.533984206823466,0.533984206823466,"CLYBL/LOC113994845/LOC113996480/LOC113989423",4,615
"GO:0031145","anaphase-promoting complex-dependent catabolic process","9/615","65/12283",0.0048480691773551,0.752420336325511,0.752420336325511,"UBB/ANAPC7/PSMF1/ANAPC2/PSMB7/PSMB4/UBA52/LOC113998129/PSMC5",9,615
"GO:0002181","cytoplasmic translation","6/615","33/12283",0.00535141266701276,0.755035678109437,0.755035678109437,"RPS23/RPS29/RPL35A/RPL19/RPS21/RPL6",6,615
"GO:0030593","neutrophil chemotaxis","6/615","34/12283",0.00622904253542438,0.805622834581554,0.805622834581554,"LOC113986554/ITGA1/CXCR2/LOC113985892/PPIA/PIK3CG",6,615
"GO:0010951","negative regulation of endopeptidase activity","9/615","69/12283",0.00720507840471606,0.860175514163026,0.860175514163026,"LOC113991485/LOC113992168/CPAMD8/ANXA2/PSMF1/A2M/COL4A3/CRIM1/ITIH5",9,615
"GO:0051092","positive regulation of NF-kappaB
transcription factor activity","13/615","122/12283",0.00800639228798373,0.878128840366406,0.878128840366406,"LOC114000824/UBB/BCL10/TNFRSF11A/MAP3K13/UBA52/PPIA/TRAF1/EDA/MAP3K7/TAB2/TFRC/TRIM13",13,615
