"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0042472","inner ear morphogenesis","5/174","40/12262",0.000239057348473915,0.173077520295114,0.164320472161543,"FGFR2/COL2A1/USH1C/FOXG1/KCNQ4",5,174
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process","3/174","15/12262",0.00112705361143982,0.271995604894144,0.258233687112353,"ALG1/SRD5A3/ALG13",3,174
"GO:0036159","inner dynein arm assembly","3/174","15/12262",0.00112705361143982,0.271995604894144,0.258233687112353,"DNAH12/LOC113981955/CCDC39",3,174
"GO:0007605","sensory perception of sound","7/174","126/12262",0.00210496466299229,0.323443150229217,0.307078187117881,"LOC113990629/COL1A1/OTOG/COL2A1/USH1C/KCNQ4/ATP6V0A4",7,174
"GO:0003341","cilium movement","4/174","40/12262",0.00240339684169489,0.323443150229217,0.307078187117881,"CFAP61/DNAH12/LOC113981955/CCDC39",4,174
"GO:0010765","positive regulation of sodium
ion transport","3/174","20/12262",0.00268046809582224,0.323443150229217,0.307078187117881,"LOC113986459/LOC113988585/LOC113999252",3,174
"GO:0021537","telencephalon development","3/174","23/12262",0.00403631220949334,0.333137497371553,0.31628203806866,"LOC113986459/LOC113988585/RFX4",3,174
"GO:0050679","positive regulation of epithelial
cell proliferation","4/174","52/12262",0.00624231034301219,0.333137497371553,0.31628203806866,"LOC113986459/LOC113988585/FGFR2/WDR48",4,174
"GO:0000077","DNA damage checkpoint","3/174","29/12262",0.00782599364294411,0.333137497371553,0.31628203806866,"DOT1L/CLSPN/ERCC6",3,174
"GO:0000076","DNA replication checkpoint","2/174","10/12262",0.0083599077782467,0.333137497371553,0.31628203806866,"CLSPN/TIPIN",2,174
"GO:0001946","lymphangiogenesis","2/174","10/12262",0.0083599077782467,0.333137497371553,0.31628203806866,"FLT4/PTPN14",2,174
"GO:0002407","dendritic cell chemotaxis","2/174","10/12262",0.0083599077782467,0.333137497371553,0.31628203806866,"TRPM2/ANO6",2,174
"GO:0003382","epithelial cell morphogenesis","2/174","10/12262",0.0083599077782467,0.333137497371553,0.31628203806866,"AR/PALLD",2,174
"GO:0045760","positive regulation of action potential","2/174","10/12262",0.0083599077782467,0.333137497371553,0.31628203806866,"LOC113986459/LOC113988585",2,174
"GO:0060373","regulation of ventricular cardiac
muscle cell membrane depolarization","2/174","10/12262",0.0083599077782467,0.333137497371553,0.31628203806866,"LOC113986459/LOC113988585",2,174
"GO:0086045","membrane depolarization during AV
node cell action potential","2/174","10/12262",0.0083599077782467,0.333137497371553,0.31628203806866,"LOC113986459/LOC113988585",2,174
"GO:0007568","aging","6/174","128/12262",0.00978247978367679,0.333137497371553,0.31628203806866,"APOD/LOC113988419/GNRH1/APAF1/FOXG1/DNMBP",6,174
"GO:0043410","positive regulation of MAPK cascade","5/174","92/12262",0.00990101134047917,0.333137497371553,0.31628203806866,"FGFR2/AR/FLT4/FLT1/NDST1",5,174
"GO:0060371","regulation of atrial cardiac
muscle cell membrane depolarization","2/174","11/12262",0.0101229626273124,0.333137497371553,0.31628203806866,"LOC113986459/LOC113988585",2,174
"GO:0060372","regulation of atrial cardiac
muscle cell membrane repolarization","2/174","11/12262",0.0101229626273124,0.333137497371553,0.31628203806866,"LOC113986459/LOC113988585",2,174
"GO:0086015","SA node cell action potential","2/174","11/12262",0.0101229626273124,0.333137497371553,0.31628203806866,"LOC113986459/LOC113988585",2,174
"GO:0086046","membrane depolarization during SA
node cell action potential","2/174","11/12262",0.0101229626273124,0.333137497371553,0.31628203806866,"LOC113986459/LOC113988585",2,174
"GO:0003231","cardiac ventricle development","2/174","12/12262",0.0120350949817366,0.340081356914265,0.322874565375131,"LOC113986459/LOC113988585",2,174
"GO:0061045","negative regulation of wound healing","2/174","12/12262",0.0120350949817366,0.340081356914265,0.322874565375131,"EPPK1/WFDC1",2,174
"GO:0003360","brainstem development","2/174","13/12262",0.0140917689329115,0.340081356914265,0.322874565375131,"LOC113986459/LOC113988585",2,174
"GO:0010839","negative regulation of keratinocyte proliferation","2/174","13/12262",0.0140917689329115,0.340081356914265,0.322874565375131,"EPPK1/FGFR2",2,174
"GO:0038084","vascular endothelial growth factor
signaling pathway","2/174","13/12262",0.0140917689329115,0.340081356914265,0.322874565375131,"FLT4/FLT1",2,174
"GO:0060285","cilium-dependent cell motility","2/174","13/12262",0.0140917689329115,0.340081356914265,0.322874565375131,"DNAH12/CCDC39",2,174
"GO:0072520","seminiferous tubule development","2/174","13/12262",0.0140917689329115,0.340081356914265,0.322874565375131,"AR/WDR48",2,174
"GO:1902305","regulation of sodium ion
transmembrane transport","2/174","13/12262",0.0140917689329115,0.340081356914265,0.322874565375131,"LOC113986459/LOC113988585",2,174
"GO:0014894","response to denervation involved
in regulation of muscle adaptation","2/174","14/12262",0.0162885459964026,0.368528353168608,0.3498822544622,"LOC113986459/LOC113988585",2,174
"GO:1905168","positive regulation of double-strand break repair
via homologous recombination","2/174","14/12262",0.0162885459964026,0.368528353168608,0.3498822544622,"WDR48/ERCC6",2,174
"GO:0046839","phospholipid dephosphorylation","2/174","15/12262",0.0186210832863968,0.396519538216215,0.376457194613534,"PLPPR1/SGPP2",2,174
"GO:0086014","atrial cardiac muscle cell
action potential","2/174","15/12262",0.0186210832863968,0.396519538216215,0.376457194613534,"LOC113986459/LOC113988585",2,174
"GO:0006486","protein glycosylation","4/174","74/12262",0.0208881438845386,0.40172724649046,0.381401413140841,"B3GNT4/ALG1/FUT4/B3GNT9",4,174
"GO:0048514","blood vessel morphogenesis","2/174","16/12262",0.021085131721875,0.40172724649046,0.381401413140841,"FLT4/FLT1",2,174
"GO:0086004","regulation of cardiac muscle
cell contraction","2/174","16/12262",0.021085131721875,0.40172724649046,0.381401413140841,"LOC113986459/LOC113988585",2,174
"GO:0086012","membrane depolarization during cardiac
muscle cell action potential","2/174","16/12262",0.021085131721875,0.40172724649046,0.381401413140841,"LOC113986459/LOC113988585",2,174
"GO:0001523","retinoid metabolic process","3/174","43/12262",0.0228863754467579,0.414546181765528,0.393571760239735,"BCO2/LOC113988419/LOC114001898",3,174
"GO:0044782","cilium organization","2/174","17/12262",0.0236765342639808,0.414546181765528,0.393571760239735,"CFAP61/CFAP126",2,174
"GO:0030199","collagen fibril organization","3/174","44/12262",0.0243109909696468,0.414546181765528,0.393571760239735,"COL1A1/CRTAP/COL2A1",3,174
"GO:0035725","sodium ion transmembrane transport","4/174","78/12262",0.0248001995091573,0.414546181765528,0.393571760239735,"LOC113986459/LOC113988585/TRPM2/ANO6",4,174
"GO:0061337","cardiac conduction","3/174","45/12262",0.0257825573178658,0.414546181765528,0.393571760239735,"LOC113986459/LOC113988585/CACNA2D2",3,174
"GO:0086002","cardiac muscle cell action
potential involved in contraction","2/174","18/12262",0.0263912241840723,0.414546181765528,0.393571760239735,"LOC113986459/LOC113988585",2,174
"GO:0086010","membrane depolarization during action potential","2/174","18/12262",0.0263912241840723,0.414546181765528,0.393571760239735,"LOC113986459/LOC113988585",2,174
"GO:0140115","export across plasma membrane","2/174","18/12262",0.0263912241840723,0.414546181765528,0.393571760239735,"ABCC5/ABCG2",2,174
"GO:0045471","response to ethanol","4/174","80/12262",0.0269111471588119,0.414546181765528,0.393571760239735,"FGFR2/BGLAP/GRIN2A/GNRH1",4,174
"GO:0010165","response to X-ray","2/174","19/12262",0.0292252233619467,0.415972139363331,0.394925569939307,"THBD/ERCC6",2,174
"GO:0035904","aorta development","2/174","19/12262",0.0292252233619467,0.415972139363331,0.394925569939307,"ADAMTS6/NDST1",2,174
"GO:0060976","coronary vasculature development","2/174","19/12262",0.0292252233619467,0.415972139363331,0.394925569939307,"ADAMTS6/NDST1",2,174
"GO:0050680","negative regulation of epithelial
cell proliferation","3/174","48/12262",0.0304782041606538,0.415972139363331,0.394925569939307,"EPPK1/AR/WFDC1",3,174
"GO:0006260","DNA replication","5/174","123/12262",0.0307527896244537,0.415972139363331,0.394925569939307,"MCM8/CLSPN/SDE2/HELB/TIPIN",5,174
"GO:0010875","positive regulation of cholesterol efflux","2/174","20/12262",0.0321746406137383,0.415972139363331,0.394925569939307,"LOC113988419/LOC113986559",2,174
"GO:0030901","midbrain development","2/174","20/12262",0.0321746406137383,0.415972139363331,0.394925569939307,"FGFR2/NDST1",2,174
"GO:0042476","odontogenesis","2/174","20/12262",0.0321746406137383,0.415972139363331,0.394925569939307,"FGFR2/BGLAP",2,174
"GO:0086005","ventricular cardiac muscle cell
action potential","2/174","20/12262",0.0321746406137383,0.415972139363331,0.394925569939307,"LOC113986459/LOC113988585",2,174
"GO:0051289","protein homotetramerization","3/174","50/12262",0.0338415105421605,0.429846554956565,0.408097994164928,"TRPM2/LOC113991243/AQP4",3,174
"GO:0051895","negative regulation of focal
adhesion assembly","2/174","21/12262",0.0352356700489978,0.439838364059904,0.417584256660537,"APOD/LOC113988419",2,174
"GO:0007585","respiratory gaseous exchange by
respiratory system","2/174","22/12262",0.038404589456469,0.441347980420374,0.41901749231536,"CSF2RB/NDST1",2,174
"GO:0048568","embryonic organ development","2/174","22/12262",0.038404589456469,0.441347980420374,0.41901749231536,"FGFR2/WDR48",2,174
"GO:0048678","response to axon injury","2/174","22/12262",0.038404589456469,0.441347980420374,0.41901749231536,"APOD/MTR",2,174
"GO:0051928","positive regulation of calcium
ion transport","2/174","22/12262",0.038404589456469,0.441347980420374,0.41901749231536,"MCHR1/LOC113999252",2,174
"GO:0060307","regulation of ventricular cardiac
muscle cell membrane repolarization","2/174","22/12262",0.038404589456469,0.441347980420374,0.41901749231536,"LOC113986459/LOC113988585",2,174
"GO:0071560","cellular response to transforming
growth factor beta stimulus","3/174","54/12262",0.0411202185182869,0.443745548704324,0.421293752986222,"COL1A1/FGFR2/APAF1",3,174
"GO:0010043","response to zinc ion","2/174","23/12262",0.0416777587180857,0.443745548704324,0.421293752986222,"BGLAP/CRIP1",2,174
"GO:0033574","response to testosterone","2/174","23/12262",0.0416777587180857,0.443745548704324,0.421293752986222,"BGLAP/GNRH1",2,174
"GO:2000379","positive regulation of reactive
oxygen species metabolic process","2/174","23/12262",0.0416777587180857,0.443745548704324,0.421293752986222,"LOC113991534/AGT",2,174
"GO:2001240","negative regulation of extrinsic apoptotic signaling
pathway in absence of ligand","2/174","23/12262",0.0416777587180857,0.443745548704324,0.421293752986222,"LOC114001178/COL2A1",2,174
"GO:0006805","xenobiotic metabolic process","3/174","55/12262",0.0430534705468255,0.451749459071038,0.42889269667547,"LOC114002601/LOC113991534/LOC113986559",3,174
"GO:0019228","neuronal action potential","2/174","24/12262",0.0450516182507212,0.465962451621745,0.442386567183774,"LOC113986459/LOC113988585",2,174
"GO:0070374","positive regulation of ERK1
and ERK2 cascade","5/174","140/12262",0.0491534428050306,0.480315663429358,0.456013562400946,"FGFR2/FLT4/LOC113988419/LOC113991534/PRXL2C",5,174
"GO:0007267","cell-cell signaling","5/174","141/12262",0.0504008902416687,0.480315663429358,0.456013562400946,"FGFR2/BMP3/AR/GNRH1/AGT",5,174
"GO:0001958","endochondral ossification","2/174","26/12262",0.0520875633123124,0.480315663429358,0.456013562400946,"COL1A1/COL2A1",2,174
"GO:0002027","regulation of heart rate","2/174","26/12262",0.0520875633123124,0.480315663429358,0.456013562400946,"LOC113986459/LOC113988585",2,174
"GO:0045787","positive regulation of cell cycle","2/174","26/12262",0.0520875633123124,0.480315663429358,0.456013562400946,"FGFR2/FOXG1",2,174
"GO:0048286","lung alveolus development","2/174","26/12262",0.0520875633123124,0.480315663429358,0.456013562400946,"FGFR2/FLT4",2,174
"GO:0001501","skeletal system development","4/174","99/12262",0.0522467645932286,0.480315663429358,0.456013562400946,"COL1A1/BMP3/BGLAP/COL2A1",4,174
"GO:0006629","lipid metabolic process","4/174","101/12262",0.0554725168528388,0.480315663429358,0.456013562400946,"PLIN1/APOD/LOC113988419/MGLL",4,174
"GO:0050731","positive regulation of peptidyl-tyrosine
phosphorylation","3/174","61/12262",0.0555828235948184,0.480315663429358,0.456013562400946,"KITLG/AGT/ENPP2",3,174
"GO:0048705","skeletal system morphogenesis","2/174","27/12262",0.0557429187048046,0.480315663429358,0.456013562400946,"FGFR2/WDR48",2,174
"GO:0060325","face morphogenesis","2/174","27/12262",0.0557429187048046,0.480315663429358,0.456013562400946,"COL1A1/CLDN5",2,174
"GO:0032496","response to lipopolysaccharide","4/174","102/12262",0.0571249553354541,0.480315663429358,0.456013562400946,"FGFR2/CSF2RB/THBD/GNRH1",4,174
"GO:0033674","positive regulation of kinase activity","3/174","62/12262",0.0578225860144902,0.480315663429358,0.456013562400946,"FGFR2/FLT4/FLT1",3,174
"GO:0001975","response to amphetamine","2/174","28/12262",0.0594855011658717,0.480315663429358,0.456013562400946,"GRIN2A/RGS9",2,174
"GO:0006611","protein export from nucleus","2/174","28/12262",0.0594855011658717,0.480315663429358,0.456013562400946,"ANKLE1/LOC113983768",2,174
"GO:0007131","reciprocal meiotic recombination","2/174","28/12262",0.0594855011658717,0.480315663429358,0.456013562400946,"SYCE3/RAD51D",2,174
"GO:0045597","positive regulation of cell differentiation","2/174","28/12262",0.0594855011658717,0.480315663429358,0.456013562400946,"AR/RPS6KA1",2,174
"GO:0051591","response to cAMP","2/174","28/12262",0.0594855011658717,0.480315663429358,0.456013562400946,"COL1A1/THBD",2,174
"GO:0035924","cellular response to vascular
endothelial growth factor stimulus","2/174","29/12262",0.0633121313527552,0.480315663429358,0.456013562400946,"FLT4/FLT1",2,174
"GO:0051899","membrane depolarization","2/174","29/12262",0.0633121313527552,0.480315663429358,0.456013562400946,"LOC113986459/LOC113988585",2,174
"GO:0035264","multicellular organism growth","3/174","65/12262",0.0647934281759635,0.480315663429358,0.456013562400946,"AR/WDR48/ERCC6",3,174
"GO:0008284","positive regulation of cell
population proliferation","9/174","355/12262",0.0662733253721223,0.480315663429358,0.456013562400946,"FGFR2/AR/FLT4/FLT1/DOT1L/PURA/KITLG/CLDN5/TIPIN",9,174
"GO:0007601","visual perception","5/174","153/12262",0.066814921920981,0.480315663429358,0.456013562400946,"COL1A1/LOC113991243/RGS9/COL2A1/CPLX3",5,174
"GO:0007338","single fertilization","2/174","30/12262",0.0672197016655978,0.480315663429358,0.456013562400946,"AR/WDR48",2,174
"GO:0010975","regulation of neuron projection development","2/174","30/12262",0.0672197016655978,0.480315663429358,0.456013562400946,"TBR1/SLC39A12",2,174
"GO:0046330","positive regulation of JNK cascade","3/174","67/12262",0.0696457634586708,0.480315663429358,0.456013562400946,"FLT4/SH3RF3/GADD45B",3,174
"GO:0009755","hormone-mediated signaling pathway","2/174","31/12262",0.071205174870945,0.480315663429358,0.456013562400946,"LOC113997521/CRHR2",2,174
"GO:0035633","maintenance of blood-brain barrier","2/174","31/12262",0.071205174870945,0.480315663429358,0.456013562400946,"CLDN5/LOC113999252",2,174
"GO:0043588","skin development","2/174","31/12262",0.071205174870945,0.480315663429358,0.456013562400946,"COL1A1/WDR48",2,174
"GO:0000724","double-strand break repair via
homologous recombination","3/174","70/12262",0.0772223599759414,0.480315663429358,0.456013562400946,"MCM8/WDR48/RAD51D",3,174
"GO:0030282","bone mineralization","2/174","33/12262",0.0793980247677923,0.480315663429358,0.456013562400946,"FGFR2/BGLAP",2,174
"GO:0007613","memory","3/174","74/12262",0.0878595781450499,0.480315663429358,0.456013562400946,"GRIN2A/HRH1/LOC113991534",3,174
"GO:0071277","cellular response to calcium ion","3/174","74/12262",0.0878595781450499,0.480315663429358,0.456013562400946,"LOC113986459/LOC113988585/TRPM2",3,174
"GO:0032355","response to estradiol","3/174","75/12262",0.0906109036479645,0.480315663429358,0.456013562400946,"COL1A1/RGS9/WFDC1",3,174
"GO:0051092","positive regulation of NF-kappaB
transcription factor activity","4/174","120/12262",0.0912526967846943,0.480315663429358,0.456013562400946,"LOC113996446/AR/LRRFIP1/AGT",4,174
"GO:0008542","visual learning","2/174","36/12262",0.0921995383704908,0.480315663429358,0.456013562400946,"GRIN2A/HRH1",2,174
"GO:0009411","response to UV","2/174","36/12262",0.0921995383704908,0.480315663429358,0.456013562400946,"ERCC6/TIPIN",2,174
"GO:0060048","cardiac muscle contraction","2/174","36/12262",0.0921995383704908,0.480315663429358,0.456013562400946,"LOC113986459/LOC113988585",2,174
"GO:0061098","positive regulation of protein
tyrosine kinase activity","2/174","36/12262",0.0921995383704908,0.480315663429358,0.456013562400946,"ERCC6/AGT",2,174
"GO:0018108","peptidyl-tyrosine phosphorylation","4/174","121/12262",0.093383379690339,0.480315663429358,0.456013562400946,"FGFR2/DYRK4/FLT4/FLT1",4,174
"GO:0006898","receptor-mediated endocytosis","3/174","76/12262",0.0933979454691132,0.480315663429358,0.456013562400946,"LOC113988419/LOC113987639/MASP1",3,174
"GO:0032508","DNA duplex unwinding","3/174","77/12262",0.09622014658666,0.480315663429358,0.456013562400946,"MCM8/HELB/ERCC6",3,174
"GO:0008630","intrinsic apoptotic signaling pathway
in response to DNA damage","2/174","37/12262",0.0965924201378373,0.480315663429358,0.456013562400946,"CRIP1/ERCC6",2,174
"GO:0045494","photoreceptor cell maintenance","2/174","37/12262",0.0965924201378373,0.480315663429358,0.456013562400946,"ERCC6/USH1C",2,174
"GO:0050776","regulation of immune response","2/174","37/12262",0.0965924201378373,0.480315663429358,0.456013562400946,"COL1A1/COL2A1",2,174
"GO:0060348","bone development","2/174","37/12262",0.0965924201378373,0.480315663429358,0.456013562400946,"FGFR2/BGLAP",2,174
"GO:0043434","response to peptide hormone","2/174","38/12262",0.101043803791206,0.480315663429358,0.456013562400946,"COL1A1/STC2",2,174
"GO:0060291","long-term synaptic potentiation","2/174","38/12262",0.101043803791206,0.480315663429358,0.456013562400946,"GRIN2A/CRHR2",2,174
"GO:0055085","transmembrane transport","6/174","229/12262",0.107716506901346,0.480315663429358,0.456013562400946,"LOC113991243/SLC35F2/ABCC5/AQP4/ANO6/ABCG2",6,174
"GO:1904646","cellular response to amyloid-beta","2/174","40/12262",0.110112051665611,0.480315663429358,0.456013562400946,"GRIN2A/LOC113988419",2,174
"GO:0150104","transport across blood-brain barrier","3/174","82/12262",0.110838685534455,0.480315663429358,0.456013562400946,"ABCC5/LOC113988419/ABCG2",3,174
"GO:0048167","regulation of synaptic plasticity","2/174","41/12262",0.114724049746146,0.480315663429358,0.456013562400946,"GRIN2A/HRH1",2,174
"GO:0050896","response to stimulus","2/174","41/12262",0.114724049746146,0.480315663429358,0.456013562400946,"LOC113991243/CPLX3",2,174
"GO:0009612","response to mechanical stimulus","2/174","42/12262",0.119384815149482,0.480315663429358,0.456013562400946,"COL1A1/BGLAP",2,174
"GO:0022008","neurogenesis","2/174","42/12262",0.119384815149482,0.480315663429358,0.456013562400946,"GRIN2A/ERCC6",2,174
"GO:0086091","regulation of heart rate
by cardiac conduction","2/174","42/12262",0.119384815149482,0.480315663429358,0.456013562400946,"LOC113986459/LOC113988585",2,174
"GO:0006869","lipid transport","2/174","43/12262",0.12409205611059,0.480315663429358,0.456013562400946,"APOD/GULP1",2,174
"GO:0030855","epithelial cell differentiation","2/174","44/12262",0.128843535403016,0.480315663429358,0.456013562400946,"FGFR2/LOC113986559",2,174
"GO:0001649","osteoblast differentiation","3/174","88/12262",0.129420926728733,0.480315663429358,0.456013562400946,"COL1A1/BMP3/BGLAP",3,174
"GO:0000185","activation of MAPKKK activity","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"GADD45B",1,174
"GO:0000302","response to reactive oxygen species","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"APOD",1,174
"GO:0003149","membranous septum morphogenesis","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"FGFR2",1,174
"GO:0006029","proteoglycan metabolic process","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"COL2A1",1,174
"GO:0007292","female gamete generation","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"MCM8",1,174
"GO:0010466","negative regulation of peptidase activity","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"LOC113991994",1,174
"GO:0030518","intracellular steroid hormone receptor
signaling pathway","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"AR",1,174
"GO:0030902","hindbrain development","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"TBR1",1,174
"GO:0031113","regulation of microtubule polymerization","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"SLC39A12",1,174
"GO:0033148","positive regulation of intracellular
estrogen receptor signaling pathway","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"AR",1,174
"GO:0033327","Leydig cell differentiation","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"AR",1,174
"GO:0034138","toll-like receptor 3 signaling
pathway","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"RFTN1",1,174
"GO:0042157","lipoprotein metabolic process","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"LOC113988419",1,174
"GO:0042573","retinoic acid metabolic process","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"BCO2",1,174
"GO:0042574","retinal metabolic process","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"BCO2",1,174
"GO:0042738","exogenous drug catabolic process","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"LOC114002601",1,174
"GO:0043589","skin morphogenesis","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"COL1A1",1,174
"GO:0046549","retinal cone cell development","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"USH1C",1,174
"GO:0048333","mesodermal cell differentiation","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"FGFR2",1,174
"GO:0050891","multicellular organismal water homeostasis","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"AQP4",1,174
"GO:0060287","epithelial cilium movement involved in determination
of left/right asymmetry","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"CCDC39",1,174
"GO:0070286","axonemal dynein complex assembly","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"CCDC39",1,174
"GO:0071383","cellular response to steroid
hormone stimulus","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"AR",1,174
"GO:0097502","mannosylation","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"ALG1",1,174
"GO:0150093","amyloid-beta clearance by transcytosis","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"LOC113988419",1,174
"GO:1900016","negative regulation of cytokine
production involved in inflammatory response","1/174","10/12262",0.133220878938667,0.480315663429358,0.456013562400946,"APOD",1,174
