"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006958","complement activation, classical pathway","3/49","17/11439",4.81547911038004e-05,0.00933668605091837,0.00793527313489359,"C3/LOC113984271/LOC113992168",3
"GO:0006805","xenobiotic metabolic process","4/49","52/11439",6.91606374142102e-05,0.00933668605091837,0.00793527313489359,"LOC113990605/LOC113990807/LOC113990865/LOC113991532",4
"GO:0006749","glutathione metabolic process","3/49","33/11439",0.000368189182459506,0.0331370264213555,0.0281632427284815,"LOC113990605/LOC113990807/LOC113990865",3
"GO:0006469","negative regulation of protein kinase activity","3/49","61/11439",0.00223283247693708,0.0888466824068518,0.0755110205251217,"EPHA1/LOC114002160/TESC",3
"GO:0006956","complement activation","2/49","17/11439",0.00234639623278589,0.0888466824068518,0.0755110205251217,"C3/LOC113992168",2
"GO:0033628","regulation of cell adhesion mediated by integrin","2/49","17/11439",0.00234639623278589,0.0888466824068518,0.0755110205251217,"LOC114002160/TESC",2
"GO:0051604","protein maturation","2/49","17/11439",0.00234639623278589,0.0888466824068518,0.0755110205251217,"LOC114002160/TESC",2
"GO:1901687","glutathione derivative biosynthetic process","2/49","18/11439",0.00263249429353635,0.0888466824068518,0.0755110205251217,"LOC113990807/LOC113990865",2
"GO:0007131","reciprocal meiotic recombination","2/49","23/11439",0.00429407279319795,0.128822183795938,0.109486300458146,"RAD51D/SYCE3",2
"GO:0030449","regulation of complement activation","2/49","27/11439",0.00589278214158949,0.159105117822916,0.135223842828054,"C3/LOC113992168",2
"GO:0045766","positive regulation of angiogenesis","3/49","96/11439",0.00798363898525874,0.184827076865146,0.157085001000397,"C3/CD34/EPHA1",3
"GO:0050776","regulation of immune response","2/49","32/11439",0.00821453674956206,0.184827076865146,0.157085001000397,"C3/CD34",2
"GO:0006644","phospholipid metabolic process","2/49","34/11439",0.00924063682452572,0.191920918663227,0.163114075121183,"LCAT/PLA2G4A",2
"GO:0034198","cellular response to amino acid starvation","2/49","38/11439",0.0114544371717968,0.198210404684737,0.168459525229133,"ATF3/DEPDC5",2
"GO:0030097","hemopoiesis","2/49","40/11439",0.0126402244575913,0.198210404684737,0.168459525229133,"CD34/MELK",2
"GO:0071300","cellular response to retinoic acid","2/49","42/11439",0.0138773475524487,0.198210404684737,0.168459525229133,"LOC114002160/TESC",2
"GO:0001503","ossification","2/49","53/11439",0.0215582982371656,0.198210404684737,0.168459525229133,"CLEC3B/RASSF2",2
