"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006954","inflammatory response","2/15","61/7093",0.00710853382216481,0.122408281316988,0.0821657418451175,"CDO1/CSF1R",2
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","2/15","64/7093",0.00780244803247252,0.122408281316988,0.0821657418451175,"CSF1R/PRXL2C",2
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process","1/15","10/7093",0.0209606665346549,0.122408281316988,0.0821657418451175,"ALG1",1
"GO:0000266","mitochondrial fission","1/15","11/7093",0.0230340238693977,0.122408281316988,0.0821657418451175,"MTFR1",1
"GO:0006998","nuclear envelope organization","1/15","11/7093",0.0230340238693977,0.122408281316988,0.0821657418451175,"SUN1",1
"GO:2000249","regulation of actin cytoskeleton reorganization","1/15","11/7093",0.0230340238693977,0.122408281316988,0.0821657418451175,"CSF1R",1
"GO:0008589","regulation of smoothened signaling pathway","1/15","12/7093",0.0251032825028283,0.122408281316988,0.0821657418451175,"C2CD3",1
"GO:0071539","protein localization to centrosome","1/15","12/7093",0.0251032825028283,0.122408281316988,0.0821657418451175,"C2CD3",1
"GO:0021915","neural tube development","1/15","14/7093",0.0292295337522078,0.122408281316988,0.0821657418451175,"C2CD3",1
"GO:0030316","osteoclast differentiation","1/15","14/7093",0.0292295337522078,0.122408281316988,0.0821657418451175,"CSF1R",1
"GO:0043200","response to amino acid","1/15","14/7093",0.0292295337522078,0.122408281316988,0.0821657418451175,"CDO1",1
"GO:0045821","positive regulation of glycolytic process","1/15","15/7093",0.0312865413795161,0.122408281316988,0.0821657418451175,"PRXL2C",1
"GO:0030282","bone mineralization","1/15","16/7093",0.0333394803282736,0.122408281316988,0.0821657418451175,"CLEC3B",1
"GO:0051591","response to cAMP","1/15","16/7093",0.0333394803282736,0.122408281316988,0.0821657418451175,"CDO1",1
"GO:0071345","cellular response to cytokine stimulus","1/15","17/7093",0.0353883580723854,0.122408281316988,0.0821657418451175,"CSF1R",1
"GO:0006749","glutathione metabolic process","1/15","18/7093",0.0374331820730798,0.122408281316988,0.0821657418451175,"LOC113990605",1
"GO:0051384","response to glucocorticoid","1/15","18/7093",0.0374331820730798,0.122408281316988,0.0821657418451175,"CDO1",1
"GO:0002244","hematopoietic progenitor cell differentiation","1/15","19/7093",0.0394739597789324,0.122408281316988,0.0821657418451175,"CSF1R",1
"GO:0006805","xenobiotic metabolic process","1/15","19/7093",0.0394739597789324,0.122408281316988,0.0821657418451175,"LOC113990605",1
"GO:0007595","lactation","1/15","21/7093",0.0435434060372496,0.122408281316988,0.0821657418451175,"CDO1",1
"GO:0009060","aerobic respiration","1/15","21/7093",0.0435434060372496,0.122408281316988,0.0821657418451175,"MTFR1",1
"GO:0042733","embryonic digit morphogenesis","1/15","21/7093",0.0435434060372496,0.122408281316988,0.0821657418451175,"C2CD3",1
"GO:0009408","response to heat","1/15","22/7093",0.0455720894237656,0.122408281316988,0.0821657418451175,"LOC114000001",1
