"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000398","mRNA splicing, via spliceosome",233,0.464359702628933,2.05777818259973,1.47824274503686e-10,3.51821773318772e-07,3.37817368365791e-07,2677,"tags=35%, list=18%, signal=29%","LOC113998492/FIP1L1/LOC114003209/CSTF2/RSRC1/WDR33/PCBP2/LOC113997890/SYF2/SRRM1/DHX8/PRPF6/CWC25/SF3B4/RBM8A/SNW1/RBM22/CPSF7/RBM6/POLR2E/IK/CPSF3/SF3A1/SRSF4/LOC113989432/LSM6/SNRPC/PPIL3/MFAP1/U2SURP/BUD13/SNRPF/LOC113984740/CWF19L2/LOC113982691/RBM15B/HNRNPA0/SLU7/PRPF3/SART3/SNRNP27/LOC114002198/PCF11/CWC22/DDX23/DHX38/RBM10/ISY1/POLR2F/PRPF40A/DDX42/LOC113996651/USP49/SNRPE/LOC113997888/WDR83/SNRNP48/PLRG1/SRRM2/WBP11/PNN/PPIH/LOC113995977/DNAJC8/CASC3/POLR2H/POLR2B/PRPF38A/SF1/BCAS2/PPIL1/GEMIN5/SNRPD1/SF3A2/CSTF3/CACTIN/SMU1/PRPF8/DDX5/RBM19/NONO"
"GO:0019083","viral transcription",99,0.567789851974193,2.25884925838594,6.74666892327797e-09,8.02853601870079e-06,7.70895696444025e-06,4736,"tags=65%, list=32%, signal=44%","RPLP1/RPL21/RPL23/RPL14/RPS15/RPL11/RPL23A/RPL35A/RPL19/RPL3/RPS10/RPL7A/LOC113989206/TPR/RPS8/RPL27A/RPL15/NUP98/UBA52/RPS26/NUP88/RPS23/NDC1/RPL22/RPS3/RPS15A/RPS6/RPL27/RPL13/NUP153/RPS4X/RPL17/RPSA/RPL29/LOC113998898/LOC113999689/RPL12/RPL32/RPL9/RPL5/RPS25/RPL37/RPS5/LOC113990217/RPLP2/RPL6/LOC113987193/NUP188/LOC113998810/RPS28/NUP62CL/RPS3A/RPL4/RPS27A/NUP35/RPS11/NUP37/RPS24/LOC113996941/AAAS/NUP107/SEC13/RPS14/RPS21"
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",111,0.522925367861038,2.10082428335285,1.00355445046995e-07,7.96153197372828e-05,7.64462004200093e-05,3732,"tags=52%, list=25%, signal=40%","RPLP1/RPL21/RPL23/RPL14/RBM8A/RPS15/RPL11/RPL23A/PNLDC1/RPL35A/UPF1/RPL19/RPL3/RPS10/RPL7A/LOC113989206/RPS8/RPL27A/RPL15/UBA52/RPS26/LOC114003727/RPS23/RPL22/RPS3/RPS15A/RPS6/RPL27/RPL13/LOC113983589/CASC3/SMG7/RPS4X/RPL17/RPSA/RPL29/LOC113998898/LOC113982109/RPL12/SMG5/RPL32/RPL9/LOC113990916/RPL5/RPS25/LOC113990491/RPL37/RPS5/LOC113990217/RPLP2/UPF2/EIF4A3/SMG8/RPL6/LOC113987193/UPF3B/LOC113998810/RPS28"
"GO:0007268","chemical synaptic transmission",202,-0.455197726311317,-1.88947899415044,8.01341671811251e-07,0.000471448868970161,0.000452682660121283,3360,"tags=38%, list=22%, signal=30%","CHRNA5/DLG1/LOC113989700/NPTX2/GJC1/HTR1B/NPY/LOC113999820/UNC119/LOC113998098/LOC113990721/GRIA2/SLC1A2/CHRM4/HOMER1/RAPSN/RIT2/GRM5/DTNA/SLC18A3/HCRT/GRM4/KCNQ3/LOC114002719/NOVA1/GRIN2A/SYT10/TPGS1/NPY5R/GRM1/LOC113991128/NPBWR1/LOC113988621/HTR2C/CHRNA7/LOC113983488/HTR4/HTR1A/SYT1/CHRM3/PAFAH1B1/GABRA4/GABRB2/NLGN1/APBA1/LOC113995009/GABRA5/GABBR2/SNAP25/PTCHD1/GABRG2/MPZL1/LOC113998100/LOC113987271/GAD2/GABRA1/CACNB2/GRIN2B/ATXN3/SLC6A1/SLC6A2/GRIK2/GAD1/LOC114002475/GABRA2/LOC113984666/LOC113990089/KCND2/HTR7/SLC1A1/GLRB/MAPK1/SV2C/SLITRK5/GABRG1/LOC114001565"
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane",80,0.556999126198592,2.12920073192311,9.90438800357482e-07,0.000471448868970161,0.000452682660121283,3732,"tags=56%, list=25%, signal=42%","RPLP1/RPL21/RPL23/RPL14/RPS15/RPL11/RPL23A/RPL35A/RPL19/RPL3/RPS10/RPL7A/LOC113989206/RPS8/RPL27A/RPL15/UBA52/SRP19/RPS26/RPS23/RPL22/RPS3/RPS15A/RPS6/RPL27/RPL13/RPS4X/RPL17/RPSA/RPL29/LOC113998898/RPL12/RPL32/RPL9/RPL5/RPS25/RPL37/RPS5/LOC113990217/RPLP2/RPL6/LOC113987193/LOC113998810/SRP72/RPS28"
"GO:0006413","translational initiation",118,0.482792954242255,1.96790202325574,1.5262773728394e-06,0.000605423357892963,0.000581324241479709,4011,"tags=53%, list=27%, signal=39%","RPLP1/EIF4E2/RPL21/RPL23/RPL14/EIF3D/RPS15/EIF5B/RPL11/EIF4B/RPL23A/EIF2B3/RPL35A/RPL19/EIF1/RPL3/RPS10/RPL7A/LOC113989206/RPS8/RPL27A/RPL15/UBA52/RPS26/LOC113998301/LOC114003727/RPS23/EIF4E1B/RPL22/RPS3/RPS15A/RPS6/RPL27/RPL13/LOC113983589/EIF3L/RPS4X/EIF4G3/RPL17/RPSA/RPL29/LOC113998898/RPL12/EIF3H/RPL32/RPL9/RPL5/EIF2S2/RPS25/RPL37/RPS5/LOC113990217/RPLP2/EIF6/RPL6/LOC113987193/LOC113985040/LOC113998810/RPS28/ABCE1/EIF3A/RPS3A/RPL4"
"GO:0003341","cilium movement",39,0.67671663548983,2.27747190095459,1.87917016660425e-06,0.000638917856645444,0.0006134854784508,2479,"tags=46%, list=17%, signal=39%","LOC114000433/TTC25/LOC113997903/LOC113994177/CFAP70/LOC114001265/LOC113992388/CFAP221/LOC114000425/DNAAF1/DNAH12/DNAH1/LOC113981955/DNAI2/DNAI1/ARMC4/CCDC40/DNAH9"
"GO:0051932","synaptic transmission, GABAergic",16,-0.797827659419664,-2.09812126128653,5.20342341812374e-05,0.0154801846689181,0.0148639897904561,1715,"tags=62%, list=11%, signal=55%","TPBG/GABRA4/GABRB2/GABRA5/GABRG2/GABRA1/GABRA2/LOC113990089/RAC3/GABRG1"
"GO:0006412","translation",148,0.407230355156835,1.70821729331549,0.000105551434031339,0.0279124903327319,0.0268014226060862,3534,"tags=43%, list=24%, signal=33%","RPLP1/MRPS33/MRPS7/MRPL24/RPL21/RPL23/RPL14/RPS15/PABPC4/RPL11/RPL23A/MRPS11/RPL35A/RPL19/RPL3/RPS10/RPL7A/LOC113989206/RPS8/RPL27A/RPL15/RPS26/EIF4EBP2/LOC114003727/RPS23/RPL22/RPS3/RPS15A/RPS6/RPL27/RPL13/LOC113983589/MRPL37/RPS4X/MRPL23/RPL17/RPSA/RPL29/MRPS15/LOC113998898/GCN1/RMND1/GEMIN5/RPL12/MRPL9/GGT5/RPL32/RPL9/RPL5/RPS25/GGT1/RPL37/MRPS5/MRPL43/MRPL51/RPS5/LOC113990217/RPLP2/MRPS6/MRPS21/ASMT/TNIP1/RPL6/LOC113987193"
"GO:0016573","histone acetylation",33,0.611696345305701,1.97574567347167,0.000219923780575983,0.0497109631996549,0.0477321986317784,2056,"tags=42%, list=14%, signal=37%","LOC113998423/SGF29/LOC113984497/LOC113993175/KAT6B/RUVBL1/LOC113984495/LOC113991571/KAT6A/BRD8/LOC113990352/ARRB1/LOC113986143/EPC2"
