"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",112,0.618768906089984,2.36978121969934,1e-10,4.774e-08,4.33473684210526e-08,2082,"tags=46%, list=14%, signal=40%","LOC114002081/RPL6/RPL23A/EIF4A3/UBA52/UPF3B/RPL19/RPL27A/RPL9/RPS8/RPL21/RPL14/RPS24/RPS3/RPS23/RPS3A/RPL37/RPS21/LOC113998898/RPL11/EXOSC10/RPS6/RPL31/LOC113989206/RPL23/RPS4X/RPL3/RPL7A/PNLDC1/RPL34/LOC113990217/RPS27A/CASC3/RPL7/RPLP0/LOC113998810/RPL35A/RPS25/RPLP1/RPSA/RPS11/RPL32/RPS5/UPF2/RPL12/RPL27/LOC113990916/RPL4/RPL18A/RPS15A/LOC113987193"
"GO:0006412","translation",149,0.580358931587976,2.32045568750639,1e-10,4.774e-08,4.33473684210526e-08,2738,"tags=48%, list=18%, signal=39%","RRBP1/LOC114002081/MRPL23/RPL6/RPL23A/GEMIN5/MRPS5/PABPC4/RPL19/RPL27A/RPL9/RPS8/RSL24D1/RPL21/RPL14/RPS6KB2/RPS24/MRPS17/MRPS7/RPS3/RPS23/RPS3A/RPL37/RPS21/TNIP1/FARSB/LOC113998898/RPL11/RPS6/RPL31/LOC113989206/MRPL32/RPL23/RPS4X/MRPS15/MRPS33/RPL3/MRPS11/RPL7A/MRPS18C/RPL34/LOC113990217/RPS27A/RPL7/RPLP0/MRPL51/LOC113998810/MRPS36/RPL35A/RPS25/RPLP1/RPSA/RPS11/RPL32/MRPL24/RPS5/RPL12/RPL27/RPL4/RPL18A/RPS15A/LOC113987193/MRPS21/EEF1A2/RPL35/RPS26/RPS15/MRPL9/RMND1/RPLP2/RPS7"
"GO:0006413","translational initiation",119,0.62746682724705,2.42766970341712,1e-10,4.774e-08,4.33473684210526e-08,2747,"tags=55%, list=18%, signal=45%","LOC114002081/EIF3J/RPL6/RPL23A/UBA52/EIF4E2/RPL19/RPL27A/RPL9/RPS8/EIF3D/RPL21/RPL14/RPS24/EIF2S1/EIF3H/RPS3/RPS23/MTFMT/RPS3A/RPL37/RPS21/EIF2B3/LOC113998898/RPL11/RPS6/RPL31/EIF3I/LOC113989206/RPL23/RPS4X/RPL3/RPL7A/RPL34/LOC113990217/RPS27A/RPL7/RPLP0/LOC113998810/RPL35A/RPS25/RPLP1/RPSA/RPS11/EIF2S2/RPL32/EIF4G3/EIF3L/RPS5/LOC113996193/EIF2B5/RPL12/RPL27/EIF4B/RPL4/RPL18A/RPS15A/LOC113987193/DHX33/RPL35/RPS26/RPS15/RPLP2/RPS7/EIF1"
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane",81,0.719631610330093,2.65608541427491,1e-10,4.774e-08,4.33473684210526e-08,3331,"tags=72%, list=22%, signal=56%","LOC114002081/RPL6/RPL23A/UBA52/RPL19/RPL27A/RPL9/RPS8/SRP19/RPL21/RPL14/RPS24/RPS3/RPS23/RPS3A/RPL37/RPS21/SSR3/LOC113998898/RPL11/RPS6/RPL31/LOC113989206/RPL23/RPS4X/RPL3/RPL7A/RPL34/LOC113990217/RPS27A/RPL7/RPLP0/LOC113998810/RPL35A/RPS25/RPLP1/RPSA/RPS11/SRP68/RPL32/RPS5/RPL12/RPL27/RPL4/RPL18A/RPS15A/LOC113987193/RPL35/RPS26/RPS15/RPLP2/RPS7/RPS10/SRPRA/RPL22/RPS29/SRP72/RPL15"
"GO:0019083","viral transcription",100,0.660240877307334,2.47489788019767,1e-10,4.774e-08,4.33473684210526e-08,2991,"tags=56%, list=20%, signal=45%","LOC114002081/RPL6/RPL23A/UBA52/RPL19/RPL27A/RPL9/RPS8/RPL21/RPL14/RPS24/RPS3/RPS23/RPS3A/RPL37/RPS21/NUP50/LOC113998898/RPL11/RPS6/RPL31/LOC113989206/RPL23/RPS4X/RPL3/RPL7A/RPL34/LOC113990217/TPR/RPS27A/RPL7/RPLP0/LOC113998810/RPL35A/RPS25/RPLP1/RPSA/RPS11/RPL32/RPS5/RPL12/RPL27/LOC113999689/RPL4/RPL18A/RPS15A/LOC113987193/RAE1/RPL35/RPS26/RPS15/RPLP2/RPS7/SEC13/NUP214/RPS10"
"GO:0006120","mitochondrial electron transport, NADH
to ubiquinone",38,0.749718726141526,2.40289028799615,6.78938736256782e-09,2.70104460574156e-06,2.45251729465388e-06,1200,"tags=53%, list=8%, signal=49%","NDUFB3/NDUFV3/NDUFB5/NDUFA4/NDUFS1/COQ9/NDUFB8/NDUFA12/NDUFA6/LOC113998672/NDUFB4/NDUFA13/NDUFS5/NDUFV2/NDUFA5/NDUFA7/NDUFA8/NDUFB9/DLD/NDUFA10"
"GO:0006364","rRNA processing",135,0.530882820599516,2.09805407435766,1.75636672044509e-08,5.98921051671776e-06,5.43813395097209e-06,3113,"tags=42%, list=21%, signal=34%","PIN4/LOC114002081/MRTO4/EIF4A3/RRP36/EBNA1BP2/EXOSC9/FRG1/WDR36/RPF1/RPL14/RPS24/RRP9/RRP7A/NOL8/NVL/NOLC1/RPL11/EXOSC10/RPS6/LOC113989206/RNASEL/FCF1/EXOSC2/NOP58/POP5/RPL7/LOC113998810/DDX27/RPL35A/RPS25/NOL11/NOP53/IMP3/DIS3/DDX52/DKC1/RPL27/XRN2/LOC113987193/LOC113990767/MPHOSPH6/WDR55/UTP6/LOC114003482/LAS1L/PA2G4/RRP12/RPS15/DDX54/RPS7/EXOSC3/WDR43/MTREX/MPHOSPH10/TBL3/UTP11"
"GO:0000398","mRNA splicing, via spliceosome",233,0.444743516183851,1.88918237197721,6.32537158617571e-08,1.88733274702518e-05,1.7136763284126e-05,3562,"tags=38%, list=24%, signal=29%","SNW1/CWC15/GEMIN5/CPSF4/EIF4A3/GTF2F2/PPWD1/UPF3B/CTNNBL1/FRG1/WDR83/CWC27/ZMAT5/CWC25/PNN/LOC113995977/SNRPF/LSM6/IK/SLU7/DNAJC8/LOC113991857/POLR2B/PRPF38A/BCAS2/LOC113993656/FIP1L1/PPIE/PLRG1/CPSF3/RSRC1/DBR1/NUDT21/POLR2H/SNRPC/GPATCH1/PCF11/PPIH/PRPF3/LOC113989853/ZMAT2/PRPF19/RBM15B/LOC114004318/SF3B6/CASC3/YTHDC1/POLR2F/HNRNPD/POLR2E/SF3A1/RBM22/LOC113985989/PDCD7/SYF2/DHX8/CDC5L/RBM6/SNRPB2/POLR2D/DDX41/LOC114003209/HNRNPDL/SNRPA1/LOC114002198/USP39/ESS2/LOC113998492/CPSF7/LOC113989432/DDX42/U2SURP/MTREX/SNRNP35/MAGOH/PCBP2/RBM5/RBM8A/DDX46/PHF5A/LOC114003545/LOC113992597/PPIL3/RBM15/BUD31/LOC113988372/SNRNP200/MFAP1"
"GO:0070126","mitochondrial translational termination",87,0.560299671363399,2.08309982348727,1.33345625774308e-06,0.000353662231914747,0.000321121220431929,2643,"tags=39%, list=18%, signal=32%","MRPL38/MRPL23/MRPS5/MRPL1/MRPS31/MRPL19/MRPS17/MRPL54/MRPS7/MRPL46/MRPL30/MRPL47/MRPS25/MRPL32/MRPS35/MRPS15/MRPS33/MRPS26/MRPS11/MRPS18C/ERAL1/MRPL51/MRPS22/MRPS36/MRPS30/MRPL33/MRPL24/MRPS21/MRPL17/MRPL2/MRPL16/MRPL57/MRPL21/MRPL9"
"GO:0006096","glycolytic process",27,0.747453446288763,2.21667340682267,1.82352945267977e-06,0.000435276480354661,0.000395226015059752,2225,"tags=59%, list=15%, signal=51%","OGDHL/TPI1/GAPDH/PGM1/LOC114002137/PKM/PGK1/ENO3/PGAM1/OGDH/ENO2/ENO1/LOC113996285/ALDOC/LOC113987812/GPI"
