"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",111,0.599828854241193,2.36737747523688,1e-10,1.194e-07,1.12736842105263e-07,3918,"tags=64%, list=27%, signal=47%","RPL23A/RPS23/PNLDC1/RPL19/RPL22/RPL17/RPS29/RPL27/LOC113987193/RPS11/RPL3/RPL11/RPLP1/MAGOH/LOC113983589/DHX34/RPS26/SMG8/RPL32/RPS6/CASC3/LOC114003727/RPL23/LOC113989206/PPP2R1A/RPL37/RPS5/RPL38/RPL4/RPLP0/RPL29/RPS8/RPS15/LOC113998810/RBM8A/RPL35A/RPS15A/RPL7A/RPL21/LOC113990217/RPL15/RPS12/RPL5/PPP2R2A/RPS14/RPS25/RPS27A/RPL6/SMG5/RPL14/RPL27A/RPLP2/PABPC1/RPS28/RPS10/PPP2CA/RPL12/RPS4X/LOC113996674/RPL13/NCBP1/RPSA/RPL34/RPS21/RPL18A/SMG7/RPS7/RPS13/RPL9/RPS20/LOC113990916"
"GO:0019083","viral transcription",99,0.632756197176824,2.4803401644309,1e-10,1.194e-07,1.12736842105263e-07,3553,"tags=63%, list=25%, signal=47%","RPL23A/RPS23/NUP98/RPL19/RPL22/RPL17/RPS29/RPL27/LOC113987193/RPS11/RPL3/RPL11/RPLP1/RPS26/NUP160/RPL32/RPS6/RPL23/LOC113989206/RPL37/RPS5/RPL38/RPL4/RPLP0/RPL29/RPS8/RPS15/LOC113998810/AAAS/RPL35A/RPS15A/RPL7A/NUP37/RPL21/LOC113990217/RPL15/NUP214/NUP88/RPS12/RPL5/RPS14/RPS25/RPS27A/RPL6/RPL14/RPL27A/RPLP2/RPS28/LOC113999689/RPS10/RPL12/RPS4X/GTF2B/LOC113996674/RPL13/NUP62CL/NUP50/RPSA/NUP210/RPL34/RPS21/RPL18A"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",80,0.618641729301947,2.32824034860845,1.91998651761912e-09,1.52830926802482e-06,1.44302144587374e-06,3911,"tags=72%, list=27%, signal=53%","RPL23A/RPS23/RPL19/RPL22/RPL17/RPS29/RPL27/LOC113987193/RPS11/RPL3/RPL11/RPLP1/RPS26/RPL32/RPS6/RPL23/LOC113989206/RPL37/RPS5/RPL38/RPL4/RPLP0/RPL29/RPS8/RPS15/LOC113998810/RPL35A/RPS15A/RPL7A/RPL21/LOC113990217/SRP72/RPL15/RPS12/RPL5/RPS14/RPS25/RPS27A/RPL6/RPL14/RPL27A/RPLP2/RPS28/RPS10/RPL12/RPS4X/LOC113996674/RPL13/RPSA/SRP68/RPL34/RPS21/RPL18A/SRPRA/RPS7/RPS13/RPL9/RPS20"
"GO:0006413","translational initiation",118,0.54090616189107,2.17110582143409,1.0779448537296e-08,6.43533077676573e-06,6.07620493865476e-06,3553,"tags=58%, list=25%, signal=44%","LOC113998301/RPL23A/RPS23/RPL19/LOC113985040/RPL22/RPL17/RPS29/RPL27/LOC113987193/EIF1/RPS11/RPL3/RPL11/RPLP1/EIF4E3/LOC113983589/RPS26/RPL32/RPS6/LOC114003727/RPL23/LOC113989206/RPL37/RPS5/RPL38/RPL4/RPLP0/RPL29/RPS8/RPS15/LOC113998810/RPL35A/RPS15A/RPL7A/EIF3D/RPL21/LOC113990217/EIF3L/EIF2B1/EIF6/RPL15/RPS12/EIF4E2/RPL5/LARP1/RPS14/RPS25/RPS27A/RPL6/EIF3B/RPL14/RPL27A/RPLP2/PABPC1/RPS28/RPS10/EIF5B/RPL12/EIF4G3/RPS4X/EIF2A/LOC113996674/RPL13/EIF4B/RPSA/RPL34/RPS21/RPL18A"
"GO:0007268","chemical synaptic transmission",202,-0.455660989716134,-1.84072794060705,3.06496203086851e-07,0.00014638258659428,0.00013821365621306,1921,"tags=26%, list=13%, signal=23%","GLRA3/CHRNA4/HTR1B/NLGN1/GABRP/LOC113993120/GABRA4/CACNB2/GRIK2/GABRB2/UNC119/GABRA1/GLRA1/HOMER1/LOC113998100/LOC113990721/NPY5R/LOC113987271/HTR1F/CHRM3/LOC114000223/KCNQ3/LOC114002475/LOC113990089/SNAP25/MAPK1/DTNA/SLC1A1/SLC6A1/MPZL1/PAFAH1B1/LOC114001565/DLG1/GABRA2/HTR7/ATXN3/KCND2/SLITRK5/APBA1/GLRB/CHRNA7/GAD2/LOC113999820/LOC113989700/GABRG2/LOC113995009/GLRA2/LOC113984666/CHRNB3/SV2C/NPTX2/GABRA5/GABRG1"
"GO:0042391","regulation of membrane potential",82,-0.579370234681528,-2.08060281211949,5.34427102001671e-07,0.000212701986596665,0.000200832079383786,2540,"tags=44%, list=18%, signal=36%","LRRK2/CHRNB4/LOC113994845/KCNJ11/RIMS2/GLRA3/CHRNA4/GABRP/GABRA4/KIF5B/HCN4/NEDD4/GABRB2/GABRA1/GLRA1/LOC113998100/LOC113990721/RIMS1/LOC113984913/RIMS4/LOC113990089/KCNH1/DLG1/GABRA2/HCN1/GLRB/CHRNA7/LOC113999820/LOC113989700/KCNMA1/GABRG2/GLRA2/CHRNB3/GABRA5/PXK/GABRG1"
"GO:0006412","translation",148,0.462407150688495,1.89694212799337,1.28928693862093e-06,0.00043983102991811,0.00041528610865053,4008,"tags=53%, list=28%, signal=38%","RPL23A/RPS23/GGT1/RPL19/RPL22/RPL17/RPS29/RPL27/MRPL24/LOC113987193/RPS11/RPL3/RPL11/RPLP1/LOC113983589/RPS26/RPL32/RPS6/LOC114003727/EIF4EBP2/RPL23/LOC113989206/RPL37/RPS5/RPL38/RPL4/RPLP0/RPL29/RPS8/RPS15/LOC113998810/RPL35A/LOC113995601/GGT5/MRPL9/RPS15A/RPL7A/RPL21/EEF1A1/MRPL41/LOC113990217/RPL15/MRPL43/MRPS33/RPS12/RPL5/RPS14/RPS25/RPS27A/RPL6/RPL14/RPL27A/RPLP2/RPS28/GEMIN5/RPS10/MRPL34/RPL12/RPS4X/LOC113996674/RPL13/MRPS15/RPSA/MRPL10/MRPS11/RPL34/RPS21/RPL18A/ZAR1/MRPL37/RPS7/RPS13/RPL9/MRPS7/RPS20/RRBP1/MRPS36/PABPC4"
"GO:0050877","nervous system process",40,-0.674366529192488,-2.12697783547836,1.61144963752851e-06,0.000481017716802262,0.000454174358366589,1921,"tags=52%, list=13%, signal=46%","GLRA3/CHRNA4/GABRP/GABRA4/WFS1/GABRB2/GABRA1/WDR19/GLRA1/LOC113998100/LOC113990721/LOC113990089/GABRA2/GLRB/CHRNA7/LOC113999820/GABRG2/GLRA2/CHRNB3/GABRA5/GABRG1"
"GO:0034220","ion transmembrane transport",164,-0.45884791990406,-1.81457809274856,6.64201278109505e-06,0.00176234739125055,0.00166399899147434,2544,"tags=34%, list=18%, signal=28%","TTYH3/CHRNB4/LOC113994845/NALCN/LOC114004119/RYR3/ATP2A2/ATP6V1D/ATP6V1H/ATP6V1E1/TPCN2/GLRA3/LOC113982360/CHRNA4/GABRP/TCIRG1/GABRA4/ATP2C2/ATP2B2/GRIK2/OSTM1/GABRB2/ATP11B/NOX1/GABRA1/ATP6V1A/WWP1/LOC113998942/GLRA1/CLCN3/LOC113998100/LOC113990721/ATP8A1/TMEM150C/GRIA4/ATP6V0C/ATP6V1C1/CLCN4/LOC113990089/RYR2/TMC7/ANO4/ATP2B1/ATP6AP1/GABRA2/ATP1B3/GLRB/CHRNA7/LOC113999820/GABRG2/GLRA2/ATP1B1/CHRNB3/GABRA5/GABRG1"
"GO:0051932","synaptic transmission, GABAergic",16,-0.815076925430729,-2.06711323384798,9.33007276436907e-06,0.00222802137613133,0.00210368588013458,1809,"tags=69%, list=13%, signal=60%","RAC3/GABRA4/GABRB2/GABRA1/LOC113990721/LOC113990089/TPBG/GABRA2/GABRG2/GABRA5/GABRG1"
