"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",111,-0.654099837111673,-2.40265448874711,1e-10,4.802e-08,4.34947368421053e-08,3101,"tags=66%, list=22%, signal=52%","LOC113988372/LOC113989206/RPL18A/RPL36/UPF3B/RPS12/RPS15/RPS28/RPL21/RPL23A/RPS29/RPS26/RPS23/RPL11/RPS14/RPL30/LOC113998810/PNRC2/RNPS1/RBM8A/RPLP1/RPS21/RPS2/RPL32/RPS10/LOC113990217/RPS6/RPL27A/RPS11/RPL15/UBA52/RPL22/RPL4/RPS13/RPS27A/RPLP2/RPL27/RPLP0/RPL19/RPL37/EIF3E/RPL37A/LOC113998898/RPL13/RPL23/RPL7A/RPL7/RPL6/RPL9/RPL29/RPL17/RPS4X/RPS5/RPL35/RPS3A/RPL35A/RPL12/RPS15A/RPS25/LOC113987193/RPS3/RPL5/RPL31/RPS20/RPS7/RPS8/PABPC1/RPL34/RPSA/RPL10A/RPS24/RPL14/RPL39"
"GO:0006412","translation",147,-0.638407386746796,-2.45851971221535,1e-10,4.802e-08,4.34947368421053e-08,3052,"tags=59%, list=21%, signal=47%","MRPS6/LOC113989206/RPL18A/RPL36/RPS12/MRPL27/RPS15/RPS28/RPL21/MRPL43/RPL23A/RPS29/RPS26/RPS23/LOC113993744/MRRF/MRPL35/RPL11/FARSB/EIF4EBP2/RPS14/RPL30/LOC113998810/EEF1A2/RPS6KB2/RPLP1/RPS21/RPS2/RPL32/EEF1A1/MRPL28/RPS10/LOC113990217/RPS6/RPL27A/RPS11/RPL15/RPL22/RPL4/RPS13/MRPL23/ASMT/RPS27A/RPLP2/RPL27/RPLP0/RPL19/RPL37/MRPS18A/RPL37A/LOC113998898/RPL13/RPL23/MRPS14/RPL7A/RPL7/RPL6/RPL9/MRPS17/RPL29/RPL17/RPS4X/MRPL55/RPS5/RPL35/RPS3A/RPL35A/RPL12/RPS15A/RPS25/LOC113987193/RPS3/RPL5/RSL24D1/RPL31/MRPL18/RPS20/RPS7/RPS8/RPL34/PSTK/RPSA/RPL10A/RPS24/RPL14/IGF2BP3/RPL39"
"GO:0006413","translational initiation",118,-0.655042093150688,-2.44818454855777,1e-10,4.802e-08,4.34947368421053e-08,3040,"tags=65%, list=21%, signal=52%","LOC113989206/RPL18A/RPL36/RPS12/ABCE1/RPS15/RPS28/RPL21/RPL23A/RPS29/RPS26/RPS23/RPL11/LOC113996193/EIF5B/RPS14/RPL30/LOC113998810/RPLP1/EIF3I/RPS21/RPS2/EIF3H/RPL32/EIF1/RPS10/LOC113990217/RPS6/RPL27A/EIF3L/RPS11/RPL15/UBA52/RPL22/RPL4/RPS13/RPS27A/RPLP2/RPL27/RPLP0/RPL19/RPL37/EIF3E/RPL37A/LOC113998898/RPL13/RPL23/RPL7A/RPL7/RPL6/RPL9/RPL29/EIF3J/RPL17/RPS4X/RPS5/RPL35/RPS3A/RPL35A/RPL12/RPS15A/RPS25/LOC113987193/RPS3/RPL5/RPL31/RPS20/RPS7/RPS8/PABPC1/RPL34/RPSA/EIF4A2/RPL10A/RPS24/RPL14/RPL39"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",80,-0.770054540733399,-2.71056672588313,1e-10,4.802e-08,4.34947368421053e-08,3040,"tags=89%, list=21%, signal=70%","LOC113989206/RPL18A/RPL36/RPS12/RPS15/RPS28/RPL21/RPL23A/RPS29/RPS26/RPS23/RPL11/SEC63/RPS14/RPL30/LOC113998810/SRPRA/RPLP1/RPS21/RPS2/RPL32/RPS10/LOC113990217/RPS6/RPL27A/RPS11/RPL15/UBA52/RPL22/RPL4/RPS13/RPS27A/RPLP2/RPL27/RPLP0/RPL19/RPL37/RPL37A/SRP19/LOC113998898/SRP14/RPL13/RPL23/RPL7A/RPL7/RPL6/RPL9/RPL29/RPL17/RPS4X/RPS5/RPL35/RPS3A/RPL35A/SSR3/RPL12/RPS15A/RPS25/LOC113987193/RPS3/RPL5/RPL31/RPS20/RPS7/RPS8/RPL34/RPSA/RPL10A/RPS24/RPL14/RPL39"
"GO:0019083","viral transcription",99,-0.648669021721347,-2.34250395480461,1e-10,4.802e-08,4.34947368421053e-08,3040,"tags=67%, list=21%, signal=53%","LOC113989206/RPL18A/RPL36/RPS12/RPS15/RPS28/RPL21/RPL23A/RPS29/RPS26/RPS23/RPL11/RPS14/RPL30/LOC113998810/RPLP1/RPS21/RPS2/RPL32/RPS10/LOC113990217/RPS6/RPL27A/RPS11/RPL15/UBA52/RPL22/RPL4/RPS13/RPS27A/RPLP2/RPL27/RPLP0/RPL19/RPL37/RPL37A/LOC113998898/RPL13/RPL23/RPL7A/RPL7/RPL6/RPL9/RPL29/RPL17/RPS4X/RPS5/RPL35/RPS3A/RPL35A/RPL12/RPS15A/RPS25/LOC113987193/RPS3/RPL5/RPL31/RPS20/RPS7/RPS8/RPL34/RPSA/RPL10A/RPS24/RPL14/RPL39"
"GO:0035082","axoneme assembly",21,-0.849012162659341,-2.28263903799122,1.01296812118491e-07,4.05356076494163e-05,3.67156515503163e-05,1637,"tags=67%, list=11%, signal=59%","LOC113985256/FOXJ1/RP1L1/CCDC40/CFAP46/LOC113995134/LOC113984124/LOC113986306/RSPH9/CFAP206/JHY/RSPH1/LOC113990666/LOC113992699"
"GO:0002181","cytoplasmic translation",33,-0.765972091979294,-2.28909877634906,1.68332411525964e-07,5.77380171534055e-05,5.22969567237054e-05,3019,"tags=82%, list=21%, signal=65%","RPL18A/RPL36/RPS28/RPS29/RPS26/RPS23/RPL11/RPL30/RPLP1/RPS21/RPL32/LOC113990217/RPL15/RPL22/RPL26L1/RPLP0/RPL19/LOC113998898/RPL6/RPL9/RPL29/RPL17/RPL35A/RPL31/RPSA/RPL10A/RPL39"
"GO:0002576","platelet degranulation",99,-0.545970878086861,-1.97163560814535,3.85755884349406e-06,0.00115774984790365,0.00104864691719194,2442,"tags=35%, list=17%, signal=30%","TGFB2/CD36/LOC113984054/IGF2/ACTN1/ISLR/LOC114004336/TOR4A/SOD1/PLEK/RARRES2/MANF/ITGB3/CD109/TF/FGG/TIMP3/VEGFC/AHSG/APOA1/A2M/LOC113997556/LYN/SERPINE1/F13A1/PROS1/SPARC/VTI1B/TMSB4X/VEGFD/CLEC3B/VCL/THBS1/TLN1/ANXA5"
"GO:0030198","extracellular matrix organization",212,-0.440340010544159,-1.76442883132103,6.26886792317613e-06,0.00151465140419879,0.00137191512355584,2369,"tags=32%, list=17%, signal=27%","ST7/ADAMTS12/ECM2/LAMC1/ITGA11/COL7A1/ELF3/COL6A1/LOC113984118/LOC113989148/JAM2/COL4A6/CD44/SERPINB5/COL8A1/MFAP2/TNFRSF11B/ITGB4/EGFL6/LOC113988558/NFKB2/ITGB3/NPNT/ADAM12/COL13A1/BCAN/FGG/NDNF/ITGB5/ADAMTS2/RECK/FBLN1/CCN1/LAMB3/COL1A2/IBSP/SERPINE1/COL1A1/HSPG2/NR2E1/BSG/COL6A2/SPARC/PDGFRA/COL18A1/ATXN1L/LOC113999927/LAMA5/ELN/COL6A3/MMP23B/TGFBI/SMOC2/ACAN/COL5A1/CCDC80/LUM/ADAMTS14/ITGB2/ADAMTS3/MMP15/VTN/THBS1/DAG1/TNC/LOC113982345/MMP2/COL5A2"
"GO:0044267","cellular protein metabolic process",149,-0.478388392369505,-1.84885816033441,6.30841900957429e-06,0.00151465140419879,0.00137191512355584,2920,"tags=40%, list=20%, signal=32%","LOC113990034/SDC2/CALU/EVA1A/LOC113990002/ITM2B/CALB1/PAPPA2/RCN1/TSPAN33/LAMC1/IGFBP5/MXRA8/SNCA/LOC113984118/IGF2/LOC113999601/SHISA5/SERPIND1/STC2/FSTL3/TGOLN2/SCG2/TSPAN15/UBA52/IGFBP4/CDH2/NAT8/TF/FGG/CSF2RB/PRKN/RPS27A/AHSG/APOA1/CCN1/HEXB/PDIA6/CHRDL1/IGFBP7/IGFBP2/FSTL1/HSPG2/LOC114003910/BMP4/GPC3/LGALS1/TGFBI/FUCA2/CKAP4/ADA2/LTBP1/ADORA2B/CTSH/HSP90B1/PRSS23/TNC/B2M/MMP2"
