"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0006412","translation",149,-0.621649652395215,-2.33654712816245,1e-10,1.2335e-07,1.06842105263158e-07,3252,"tags=54%, list=20%, signal=44%","EEF1A1/RPS8/RPLP2/MRPL36/RPS6KB2/RPS28/YARS2/RPS19/ZAR1L/RPS3A/RPS27A/RPS3/MRPL55/RPS27L/RPLP1/RPS24/RPL30/RPS5/RPS21/RPS2/PSTK/RPS14/PDF/RPL19/RPS26/LOC113996700/RPL15/MRPL9/LOC113989206/RPL34/LOC113998898/RPL7A/RPS4X/MRPL28/RPL12/LOC113987193/RPL11/RPS7/RPL3/MRPL43/MRPS16/EEF1A2/RPL35A/MRPL51/RPL6/MRPL27/RPS13/RPL27A/RPS11/RPL21/LOC113998810/RPL18A/RPLP0/RPS10/RPL17/RPS15A/RPL36/RPL37A/GGT5/RPS23/RPL10A/RPL27/RPL5/RPL9/RPS6/MRPL10/RPL23A/RPL32/RPL29/RPL35/RPL22/RPL38/TNIP1/RPL23/RPS12/RPL39/RPS25/RPS20/RPL37/RPL31/LOC113990217"
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane",80,-0.718011629594099,-2.48445471402011,1e-10,1.2335e-07,1.06842105263158e-07,3216,"tags=79%, list=20%, signal=63%","RPS8/RPLP2/RPS28/RPS19/RPS3A/RPS27A/RPS3/RPLP1/RPS24/RPL30/RPS5/RPS21/RPS2/RPS14/RPL19/RPS26/RPL15/LOC113989206/RPL34/LOC113998898/RPL7A/RPS4X/RPL12/LOC113987193/RPL11/RPS7/RPL3/RPL35A/RPL6/RPS13/RPL27A/RPS11/RPL21/LOC113998810/RPL18A/SRPRA/RPLP0/RPS10/RPL17/RPS15A/RPL36/UBA52/RPL37A/RPS23/RPL10A/RPL27/RPL5/RPL9/RPS6/RPL23A/RPL32/RPL29/RPL35/RPL22/RPL38/RPL23/RPS12/RPL39/RPS25/RPS20/RPL37/RPL31/LOC113990217"
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",110,-0.620663783047673,-2.25614319504397,2.67889117605114e-09,2.20294151043938e-06,1.90812248680134e-06,3216,"tags=60%, list=20%, signal=48%","RPS8/RPLP2/SMG5/RPS28/MAGOH/RPS19/RPS3A/RPS27A/RPS3/RPLP1/RPS24/RPL30/RPS5/RPS21/RPS2/RPS14/RPL19/RPS26/RPL15/LOC113989206/RPL34/LOC113998898/SMG7/RPL7A/RPS4X/RPL12/LOC113987193/RPL11/RPS7/RPL3/RPL35A/RPL6/RPS13/RPL27A/RPS11/RPL21/LOC113998810/RPL18A/RPLP0/RPS10/RPL17/RPS15A/RPL36/LOC113988372/UBA52/RPL37A/RPS23/RPL10A/RPL27/RPL5/RPL9/RPS6/RPL23A/RPL32/RPL29/RPL35/RPL22/RPL38/RPL23/RPS12/RPL39/RPS25/RPS20/RPL37/RPL31/LOC113990217"
"GO:0006413","translational initiation",118,-0.597069685416745,-2.18771349922758,9.09194977972261e-09,5.60746002664392e-06,4.85701527706234e-06,3234,"tags=57%, list=20%, signal=46%","EIF3B/RPS8/RPLP2/RPS28/RPS19/RPS3A/RPS27A/RPS3/RPLP1/RPS24/RPL30/RPS5/RPS21/EIF3F/RPS2/RPS14/RPL19/RPS26/EIF2A/RPL15/LOC113989206/RPL34/LOC113998898/RPL7A/RPS4X/RPL12/LOC113987193/RPL11/RPS7/RPL3/RPL35A/RPL6/RPS13/RPL27A/RPS11/RPL21/LOC113998810/EIF3I/EIF6/RPL18A/RPLP0/RPS10/RPL17/RPS15A/RPL36/UBA52/RPL37A/RPS23/RPL10A/RPL27/RPL5/RPL9/RPS6/RPL23A/RPL32/RPL29/RPL35/RPL22/RPL38/RPL23/RPS12/RPL39/RPS25/RPS20/RPL37/RPL31/LOC113990217"
"GO:0019083","viral transcription",99,-0.626228070550072,-2.24016156174204,2.45553662444769e-08,1.21156177050249e-05,1.04941881002712e-05,3216,"tags=63%, list=20%, signal=50%","RPS8/RPLP2/RPS28/RPS19/RPS3A/RPS27A/RPS3/RPLP1/RPS24/RPL30/RPS5/RPS21/RPS2/RPS14/RPL19/RPS26/RPL15/LOC113989206/RPL34/LOC113998898/RPL7A/RPS4X/RPL12/LOC113987193/RPL11/RPS7/RPL3/RPL35A/RPL6/RPS13/RPL27A/RPS11/RPL21/LOC113998810/RPL18A/RPLP0/RPS10/RPL17/RPS15A/RPL36/UBA52/RPL37A/RPS23/RPL10A/RPL27/RPL5/RPL9/RPS6/RPL23A/RPL32/RPL29/RPL35/RPL22/RPL38/RPL23/RPS12/RPL39/RPS25/RPS20/RPL37/RPL31/LOC113990217"
"GO:0044267","cellular protein metabolic process",162,-0.517763136497788,-1.97336992171019,3.25460730265396e-07,0.000133818603594122,0.000115909698673465,2121,"tags=31%, list=13%, signal=27%","ADORA2B/IGFBP7/FGG/B2M/FGA/FSTL3/LOC113996645/MMP2/C3/LOC113990797/CSF2RB/SPP2/BACE1/SERPINC1/TSPAN15/NAT8/APH1A/TTR/PLG/LOC113991601/KNG1/AHSG/SERPINA10/ALB/SDC2/SERPIND1/MEPE/APOA5/CALU/UBA52/PRSS23/LOC113992168/F2/APP/ITIH2/IGFBP4/GSN/PENK/LOC114003249/TF/UBB/LGALS1/IGF1/PNPLA2/GPC3/BMP4/SNCAIP/SNCA/SCG2/CHGB"
"GO:0051301","cell division",351,0.375521569571623,1.69310797554204,6.22697778997265e-07,0.00021945648868375,0.000190086690430744,3419,"tags=32%, list=21%, signal=26%","NCAPG2/ACTR8/LOC113984403/MAD2L1/PDS5A/HEPACAM2/BRSK2/TACC3/RAD21/RNF8/SPDL1/SYCP3/LOC113996850/SYCP2/SPC25/EPB41L4A/SPICE1/HELLS/FIGN/USP9X/TPR/LOC113992576/MAD1L1/CCNY/CENPC/KLHL13/TENT4B/CLTC/NDC80/RAE1/KNTC1/HAUS3/KIF11/SMC5/EPB41L2/TTC28/ANAPC4/CDC14A/USP16/LATS1/KIF20B/MAU2/HAUS8/SPECC1L/BIRC6/RBBP8/NUP37/NEDD1/CENPJ/PPP1CB/WEE1/MAEA/BOD1L1/SGO2/BORA/CENPE/INO80/NEK1/DYNC1LI1/LOC113988078/WASL/SYCP1/CLASP2/CTDP1/MPLKIP/HMCN1/NEK6/CNTRL/PIK3C3/SKA3/MAPRE1/PRKCE/AHCTF1/KIF2C/RALB/LOC113998216/SMC4/NDE1/SMC3/CDK6/ASPM/RALA/CHMP1B/PKN2/MAP10/NSUN2/PPP1CC/CCNE2/DYNC1H1/FBXL7/NEK4/TPX2/TERF1/PDS5B/SPART/KIF2A/REEP3/CCNT2/PELO/KNSTRN/CLTCL1/NCAPD3/LIG4/LRRCC1/PARD6B/WAPL/LOC113999654/USP44/ZWILCH/CDK7/VRK1/LATS2/CKAP5/CENPS"
"GO:0002181","cytoplasmic translation",33,-0.760136018025885,-2.25726287286558,8.611122943006e-07,0.000265545503754947,0.00023000762597766,2542,"tags=76%, list=16%, signal=64%","RPLP1/RPL30/RPS21/RPL19/RPS26/RPL15/LOC113998898/RPL11/RPL26L1/RPL35A/RPL6/RPL18A/RPLP0/RPL17/RPL36/RPS23/RPL10A/RPL9/RPL32/RPL29/RPL22/RPL38/RPL39/RPL31/LOC113990217"
"GO:0071385","cellular response to glucocorticoid stimulus",20,-0.794802343068739,-2.07272321485722,1.56701335022163e-05,0.00419273339227061,0.00363162109799217,129,"tags=20%, list=1%, signal=20%","ZFP36L2/SSTR2/ISL1/STC1"
"GO:0032508","DNA duplex unwinding",80,0.523927953263974,1.94417863509998,1.69952711482392e-05,0.00419273339227061,0.00363162109799217,2998,"tags=38%, list=19%, signal=31%","LOC113990561/MCM9/CHD5/LOC113987549/MRE11/RAD50/LOC113998501/CHD9/MCM8/SMARCAD1/LOC113985281/LOC113999294/HFM1/INO80/DNA2/POT1/RECQL/NBN/ZRANB3/DDX1/DHX36/LOC113983325/ATRX/WRN/CHD2/CHD1/ERCC6/HELQ/LOC114001320/DDX3X"
