"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0003341","cilium movement",38,0.817702481768669,2.56015166813107,1e-10,2.385e-07,2.21368421052632e-07,1524,"tags=66%, list=11%, signal=59%","DNAI2/LOC114000425/DNAI1/LOC113981955/CFAP221/DNAH9/CCDC40/LOC113998190/CFAP70/CFAP53/TTC25/DNAH1/DNAH12/ZBBX/ARMC4/ZMYND10/CFAP206/LRRC6/CCDC103/TTC29/DNAAF5/CCDC39/RSPH9/LOC114000433/DNAH5"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",80,0.657627007769735,2.34831463793289,7.65621781251322e-10,9.13003974142202e-07,8.47422424195543e-07,3271,"tags=66%, list=23%, signal=51%","RPL30/RPL35A/RPS23/RPS4X/RPL29/RPL32/RPL37A/RPS19/RPS15/SEC61A1/RPL17/RPS28/RPL23/RPS6/RPL34/RPS27A/RPS14/RPL21/RPL37/RPS12/RPL19/RPL27A/RPL5/RPL22/RPL10A/RPS11/RPS3A/RPS21/RPL9/RPL7/RPS15A/RPS20/RPS7/RPS24/LOC113998810/RPS5/RPL15/RPL27/RPLP2/LOC113987193/RPL31/RPS25/SRP72/RPL7A/RPLP0/RPS26/RPS29/RPL11/RPLP1/RPL39/SRP68/RPL38/RPS8"
"GO:0006413","translational initiation",117,0.578050042325877,2.19124325346297,4.49468868588980e-09,3.57327750528239e-06,3.31660712506184e-06,3271,"tags=55%, list=23%, signal=42%","LOC113998301/RPL30/DHX33/RPL35A/LOC113996193/RPS23/RPS4X/RPL29/RPL32/LOC113985040/RPL37A/RPS19/RPS15/RPL17/RPS28/RPL23/RPS6/RPL34/RPS27A/EIF3D/RPS14/RPL21/RPL37/RPS12/EIF3M/RPL19/RPL27A/RPL5/RPL22/RPL10A/RPS11/RPS3A/RPS21/EIF2B3/RPL9/RPL7/EIF1/RPS15A/RPS20/RPS7/EIF4E2/RPS24/EIF2S2/LOC113998810/RPS5/RPL15/RPL27/RPLP2/LOC113987193/EIF4B/RPL31/RPS25/PABPC1/RPL7A/EIF6/RPLP0/RPS26/RPS29/RPL11/EIF2S1/RPLP1/RPL39/RPL38/RPS8"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",110,0.574534154597324,2.14453626368282,8.8588896746969e-09,5.28211296853803e-06,4.90269604891778e-06,3271,"tags=55%, list=23%, signal=42%","RPL30/PNLDC1/RPL35A/RNPS1/RPS23/RPS4X/RPL29/RPL32/RPL37A/RPS19/RPS15/RPL17/RPS28/RPL23/RPS6/RPL34/RPS27A/RPS14/MAGOH/RPL21/RPL37/RPS12/RPL19/RPL27A/RPL5/RPL22/RPL10A/RPS11/RPS3A/RPS21/RPL9/RPL7/RPS15A/RPS20/RPS7/RPS24/LOC113998810/RPS5/RPL15/RPL27/RPLP2/EXOSC10/LOC113987193/RPL31/RPS25/PABPC1/RPL7A/DCP1B/EIF4A3/RPLP0/NCBP1/RPS26/RPS29/RPL11/RPLP1/LOC113990491/RPL39/PARN/RPL38/RPS8"
"GO:0019083","viral transcription",99,0.576538187411561,2.12942050003521,1.6370994361268e-07,7.80896431032482e-05,7.24804234563085e-05,3313,"tags=58%, list=23%, signal=45%","AAAS/RPL30/RPL35A/RPS23/RPS4X/RPL29/GTF2B/RPL32/RPL37A/RPS19/NUP62CL/RPS15/RPL17/RPS28/RPL23/RPS6/RPL34/RPS27A/RPS14/RPL21/RPL37/RPS12/RPL19/RPL27A/RPL5/RPL22/RPL10A/RPS11/RPS3A/RPS21/RPL9/RPL7/RPS15A/NUP98/RPS20/RPS7/RPS24/LOC113998810/RPS5/RPL15/RPL27/RPLP2/LOC113987193/RPL31/RPS25/RPL7A/RPLP0/RPS26/NDC1/RPS29/RPL11/RPLP1/RPL39/SEC13/RPL38/RPS8/NUP35"
"GO:0034220","ion transmembrane transport",162,-0.476931935269854,-1.95039176271765,2.71701688912272e-07,0.000108001421342628,0.000100243623119738,2979,"tags=37%, list=21%, signal=30%","GABRA1/ATP1B3/ATP13A2/ATP10A/GABRG1/SGK2/CLCN4/TMC6/LOC113990089/SLC24A5/GRID2/LOC113982307/LOC113982360/LOC113984533/UNC80/LOC113996443/ATP6V1G3/GABRG2/CHRNA5/CHRNA7/TPCN2/LOC114001611/TSC22D3/ATP2B1/LOC114004119/GABRA2/GRIA4/LOC113999869/ATP8A1/GABRB2/GRIK1/ATP1B1/GRIA1/GLRB/GABRP/LOC114000835/ATP11C/ATP2A2/CLCN6/SLC24A2/RYR2/ANO3/ATP12A/LOC113999820/SGK1/ATP2B4/LOC113998098/TCIRG1/ATP6V1A/ANO4/ATP6V0E1/ATP6AP1L/ANXA6/FKBP1B/TTYH3/GLRA1/GJC1/ATP2B2/GABRA5/GLRA3"
"GO:0016079","synaptic vesicle exocytosis",23,-0.801786843418633,-2.30549294369158,7.30115113855051e-07,0.000248760649506328,0.000230892042772507,1838,"tags=61%, list=13%, signal=53%","SYT10/TRIM9/RIMS1/PCLO/CPLX3/SNAP25/CADPS/DNAJC5/CPLX2/CPLX1/LOC113993146/LOC113991140/LOC113993758/LOC113987015"
"GO:0060271","cilium assembly",180,0.462120227269357,1.85256027572164,2.94604910123331e-06,0.000788242291004874,0.00073162243759605,3215,"tags=42%, list=23%, signal=33%","DNAI2/FOXJ1/IQCB1/TEKT2/CFAP221/BBS4/GSN/TRAF3IP1/LOC113998190/KIF24/CFAP70/LOC113996763/CEP126/CENPJ/CEP131/WDR35/CFAP53/CFAP54/SPAG16/IFT88/CFAP20/LOC114000139/CFAP44/CCDC65/DCDC2/UBXN10/RFX2/IFT46/ARMC9/HSPB11/LOC113982241/LOC113984333/IFT74/FUZ/LOC113992699/SSX2IP/KIF27/DNAH5/LOC113996850/FAM149B1/FAM161A/IQUB/CEP83/ATAT1/TMEM67/GALNT11/CFAP43/CCDC57/CEP164/BBIP1/MKS1/DNAAF1/WDPCP/DYNLL1/BBS9/TMEM17/TMEM138/TTC8/PTPN23/NME5/CEP41/TCTN1/GMNC/IFT81/AHI1/TMEM237/TTC26/HYLS1/CDC14A/CCNO/B9D1/TCTN3/IFT20/OCRL/FBF1/RILPL2"
"GO:0007268","chemical synaptic transmission",201,-0.431550329214358,-1.81397855027042,2.97449921133915e-06,0.000788242291004874,0.00073162243759605,3690,"tags=47%, list=26%, signal=36%","PLP1/HTR6/LOC113987184/KCNN1/UNC119/CACNA1G/CRH/LOC114002475/SPG11/GAD1/SYN2/HRH1/FGF12/GABBR2/GRM2/GRM4/NLGN2/KCNA1/GRM1/HTR2A/GABRA1/LOC113990823/GABRG1/DRD5/LOC113995009/LOC114001565/LOC113990089/HTR7/KCNMB4/LOC113985240/APBA2/SDCBP/LOC113982307/SDCBP2/GLS/DTNA/LRP6/MAPK1/HRH3/GABRG2/AKAP9/CHRNA5/PAFAH1B1/SYT10/LOC113993120/CHRNA7/NPTX1/AKAP5/BSN/CBLN1/DLGAP1/LOC113983488/GABRA2/LOC113989700/HTR4/LOC113999869/LOC114000223/SNAP25/NLGN1/SLITRK5/LPAR3/GPR176/APBA1/GABRB2/NOVA1/GRIK1/GRIA1/GLRB/LOC113989258/GABRP/PDE7B/NPY/LOC113984666/KCNQ2/LOC113993165/SLC6A1/SLC18A3/SLC1A2/LOC113999820/DLG1/NTSR1/LOC113998098/HAP1/CPLX1/LOC113983406/MPZL1/GRIN2A/UNC13C/SV2C/LOC114000755/GLRA1/GJC1/GABRA5/GLRA3/SV2B"
"GO:0007409","axonogenesis",76,-0.565338143005118,-2.08904078498506,3.95951858112103e-06,0.000944345181597366,0.000876512376431319,3163,"tags=54%, list=22%, signal=42%","LOC113998728/RAB10/ADGRB1/RAB3A/PLPPR4/SHTN1/PICALM/NUMB/LOC113984508/BCL2/ATL1/PAK3/NTNG1/AMIGO1/LOC113999471/CREB1/ANK3/DSCAML1/ZDHHC17/NEFH/KLF7/SLITRK5/MAP1B/LOC113989805/SLITRK3/LOC113987867/ADCY1/LMTK2/SLITRK1/NRCAM/MAP1A/PAX2/SLITRK6/BRSK2/CTNNA2/NTNG2/LOC114000754/FGFR2/LOC113985973/LOC114000843/WNT7A"
"GO:1905606","regulation of presynapse assembly",29,-0.718517249393484,-2.20093649011227,5.99564532186893e-06,0.00129996491751431,0.00120658776190338,1644,"tags=48%, list=12%, signal=43%","IL1RAPL1/CBLN1/SLITRK5/VPS35/PTPRD/LOC113989805/SLITRK3/GPC6/SLITRK1/CBLN2/SLITRK6/NTNG2/LOC114000969/WNT7A"
"GO:0036159","inner dynein arm assembly",15,0.841267757922958,2.11942520097421,1.00622961339799e-05,0.00199988135662851,0.00185622883945261,2140,"tags=87%, list=15%, signal=74%","TEKT2/LOC113981955/CCDC40/DNAH1/DNAH12/DNAAF2/ZMYND10/LRRC6/CCDC103/DNAAF5/CCDC39/LOC113992279/DNAAF1"
"GO:0036158","outer dynein arm assembly",18,0.788826390424329,2.07250443184729,3.27329432898806e-05,0.00600523613433579,0.00557387690191247,2140,"tags=78%, list=15%, signal=66%","DNAI2/DNAI1/LOC113998190/TTC25/ARMC4/DNAAF2/ZMYND10/LRRC6/CCDC103/DNAAF5/DNAH5/LOC113992279/DAW1/DNAAF1"
"GO:0007264","small GTPase mediated signal transduction",84,-0.501136963522565,-1.86118490622218,4.44432807986731e-05,0.00757123033605967,0.00702738492628643,2045,"tags=29%, list=14%, signal=25%","RHEB/CCDC88A/RAPGEF2/HACD3/ARHGEF18/DOCK4/KRIT1/CHP1/DOCK9/LOC113988501/RALGPS2/RHOQ/TIAM1/LOC113992914/RIN2/LOC113993476/HMOX1/RERG/DOCK8/RAPGEF5/ARHGAP31/RASGEF1C/RASGRP3/DOCK10"
"GO:0060285","cilium-dependent cell motility",14,0.820034802391127,2.02387282508159,5.20092778563875e-05,0.00826947517916561,0.0076754744794374,1300,"tags=64%, list=9%, signal=58%","LOC113984044/LOC113982904/DNAH3/DNAH1/DNAH12/DNAAF2/CFAP44/CCDC65/CCDC39"
