"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",111,-0.695186569798205,-2.60632571118777,1e-10,4.684e-08,4.29263157894737e-08,2143,"tags=59%, list=15%, signal=51%","RPL38/RPL17/RPL14/RPS4X/LOC113998810/RPS14/RNPS1/RPL7/LOC113989206/RPL37A/RBM8A/RPL11/RPS6/RPL15/RPL22/RPL19/RPL30/RPS27A/RPL23/RPS3/RPS23/RPS13/LOC113990217/RPS26/RPS12/RPL35A/RPS8/LOC113987193/LOC113998898/RPL12/RPS3A/RPL23A/RPS15A/RPS10/PPP2CA/RPS5/RPL9/RPL36/RPL35/RPS24/RPLP2/RPSA/PPP2R1A/RPS29/RPL18A/NCBP2/RPS7/RPL32/RPS2/RPL34/RPS25/UBA52/RPLP0/RPL6/EIF3E/RPL5/RPL10A/RPL4/RPL31/RPL27A/RPS28/RPL39/RPS11/RPL13/RPS20/LOC113988372"
"GO:0006412","translation",148,-0.637780900542985,-2.48708920577025,1e-10,4.684e-08,4.29263157894737e-08,2143,"tags=56%, list=15%, signal=48%","RPL38/RPL17/RPL14/RPS4X/LOC113998810/RPS14/MRPL10/RPL7/LOC113989206/RPL37A/EEF1A2/TNIP1/EEF1A1/PSTK/RPL11/RPS6/RPL15/RPL22/RPL19/RPL30/RPS27A/RPL23/MRPL51/MRPL35/RPS3/RPS23/RPS13/LOC113990217/SRBD1/RPS26/MRPS5/RPS12/RPL35A/RPS8/LOC113987193/MRPS18A/LOC113998898/RPL12/MRPS7/RPS3A/RPL23A/MRPL28/RPS15A/RPS10/RPS5/RPL9/RPL36/MRRF/RPL35/RPS24/MRPL55/RPLP2/RPSA/RPS29/MRPL43/RPL18A/RPS7/RPL32/RPS2/RPL34/RSL24D1/RPS25/RPLP0/RPL6/MRPL42/RPL5/RPL10A/YARS2/RPL4/MRPL18/MRPS18B/MRPS14/IGF2BP3/RPL31/MRPS17/MRPL23/RPL27A/RPS28/RPL39/RPS11/MRPL27/RPL13/RPS20"
"GO:0006413","translational initiation",118,-0.661551215783606,-2.50708077948255,1e-10,4.684e-08,4.29263157894737e-08,2143,"tags=56%, list=15%, signal=48%","RPL38/EIF2A/RPL17/RPL14/RPS4X/LOC113998810/RPS14/RPL7/LOC113989206/RPL37A/EIF6/RPL11/RPS6/RPL15/RPL22/RPL19/EIF3B/RPL30/RPS27A/RPL23/EIF3M/RPS3/RPS23/RPS13/LOC113990217/RPS26/RPS12/RPL35A/RPS8/LOC113987193/LOC113998898/RPL12/RPS3A/RPL23A/RPS15A/RPS10/RPS5/RPL9/RPL36/RPL35/RPS24/RPLP2/RPSA/RPS29/RPL18A/RPS7/RPL32/RPS2/RPL34/RPS25/UBA52/RPLP0/RPL6/EIF3E/RPL5/RPL10A/RPL4/RPL31/RPL27A/RPS28/RPL39/RPS11/RPL13/EIF2B2/RPS20/EIF3I"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",80,-0.77708624100042,-2.77926737317975,1e-10,4.684e-08,4.29263157894737e-08,2143,"tags=79%, list=15%, signal=67%","RPL38/RPL17/RPL14/RPS4X/LOC113998810/SRP14/RPS14/RPL7/LOC113989206/RPL37A/SSR3/RPL11/RPS6/RPL15/RPL22/RPL19/RPL30/RPS27A/RPL23/RPS3/RPS23/RPS13/LOC113990217/RPS26/RPS12/RPL35A/SRP68/RPS8/LOC113987193/LOC113998898/RPL12/RPS3A/RPL23A/RPS15A/RPS10/RPS5/SRPRA/RPL9/RPL36/RPL35/RPS24/RPLP2/RPSA/RPS29/RPL18A/RPS7/RPL32/RPS2/RPL34/RPS25/UBA52/RPLP0/RPL6/RPL5/RPL10A/RPL4/RPL31/RPL27A/RPS28/RPL39/RPS11/RPL13/RPS20"
"GO:0019083","viral transcription",99,-0.727561779304292,-2.67808919381809,1e-10,4.684e-08,4.29263157894737e-08,2143,"tags=62%, list=15%, signal=53%","RPL38/RPL17/RPL14/RPS4X/LOC113998810/RPS14/RPL7/LOC113989206/RPL37A/RPL11/RPS6/RPL15/RPL22/RPL19/RPL30/RPS27A/RPL23/RPS3/RPS23/RPS13/LOC113990217/RPS26/RPS12/RPL35A/RPS8/LOC113987193/LOC113998898/RPL12/RPS3A/RPL23A/RPS15A/RPS10/RPS5/RPL9/RPL36/SEC13/RPL35/RPS24/NUP62CL/RPLP2/RPSA/RPS29/RPL18A/RPS7/RPL32/RPS2/RPL34/RPS25/UBA52/RPLP0/RPL6/RPL5/RPL10A/RPL4/RPL31/RPL27A/RPS28/RPL39/RPS11/RPL13/RPS20"
"GO:0070126","mitochondrial translational termination",87,-0.637112899316963,-2.3092406511269,2.29495096232914e-10,8.95795858962474e-08,8.20948247752476e-08,2731,"tags=56%, list=19%, signal=46%","OXA1L/MRPL44/MRPS23/MRPS30/MRPS16/MRPS15/MRPS11/MRPL34/MRPL32/MRPL46/CHCHD1/MRPL10/MRPL1/MRPS26/MRPL21/DAP3/MTRF1L/MRPL51/MRPL35/MRPS24/MRPS5/MRPL53/MRPS22/MRPS18A/MRPL39/MRPL40/MRPS7/MRPL28/MRPL47/MTRF1/LOC114000420/MRRF/MRPL17/MRPL55/MRPL12/MRPL50/MRPL43/AURKAIP1/MRPL19/MRPL42/LOC113984726/MRPL18/MRPS18B/MRPS14/MRPS17/MRPL23/PTCD3/MRPL27/MRPS25"
"GO:0070125","mitochondrial translational elongation",87,-0.619356073421009,-2.24488034035956,2.06550810598973e-09,6.9105999774685e-07,6.33318951595949e-07,2731,"tags=53%, list=19%, signal=43%","OXA1L/MRPL44/MRPS23/MRPS30/MRPS16/MRPS15/MRPS11/MRPL34/MRPL32/MRPL46/CHCHD1/MRPL10/MRPL1/MRPS26/MRPL21/DAP3/MRPL51/MRPL35/MRPS24/MRPS5/MRPL53/MRPS22/MRPS18A/MRPL39/MRPL40/MRPS7/MRPL28/MRPL47/LOC114000420/MRPL17/MRPL55/MRPL12/MRPL50/MRPL43/AURKAIP1/MRPL19/MRPL42/LOC113984726/MRPL18/MRPS18B/MRPS14/MRPS17/MRPL23/PTCD3/MRPL27/MRPS25"
"GO:0002181","cytoplasmic translation",33,-0.754716210622633,-2.3256649223118,2.43913931507437e-08,7.14058034488023e-06,6.54395403083769e-06,2143,"tags=82%, list=15%, signal=70%","RPL38/RPL17/RPL11/RPL15/ZC3H15/RPL22/RPL19/RPL30/RPS23/LOC113990217/RPL26L1/RPS26/RPL35A/LOC113998898/RPL9/RPL36/RPL22L1/RPSA/RPS29/RPL18A/RPL32/RPLP0/RPL6/RPL10A/RPL31/RPS28/RPL39"
"GO:0032981","mitochondrial respiratory chain complex I assembly",49,-0.66126798649009,-2.17814346588314,7.43453953732544e-07,0.00019346323996018,0.000177298551071422,3597,"tags=76%, list=26%, signal=56%","LOC113995044/NDUFS3/LOC113998672/NDUFAF5/NDUFV1/ECSIT/NDUFV3/NDUFB9/NDUFC1/NDUFB8/NDUFA7/OXA1L/NDUFAF4/NDUFB5/NDUFAF7/NDUFAF2/NDUFB11/NDUFB6/NDUFA6/NDUFS1/NDUFAF1/NDUFA12/NDUFA5/NDUFS8/NDUFS7/NDUFA13/NDUFS6/NDUFB10/TIMMDC1/NDUFB4/NDUFA1/NDUFB3/NDUFV2/ACAD9/NDUFA8/NDUFS5/NDUFB7"
"GO:0006364","rRNA processing",134,-0.486198016240536,-1.86636707866541,2.15334069022415e-06,0.000504312389650496,0.000462174912354426,2517,"tags=34%, list=18%, signal=28%","DIS3/RPL27/RPS15/UTP4/IMP3/RPL14/LOC113998810/RPS14/RRP7A/CHD7/RRP36/RPL7/LOC113989206/WDR75/LYAR/RPP25/RPL11/RPS6/RCL1/ISG20L2/UTP6/WBP11/YBEY/RPL35A/DDX51/KRR1/RPP38/LOC113987193/RPP25L/NOL11/POP5/RPS24/LOC113997303/DDX52/NOP14/RPS7/RPS2/RPS25/WDR12/NOC4L/RPL5/RPF1/RPS28/EXOSC3/DDX54/DDX49"
