"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",111,-0.695770713982372,-2.65587219477717,1e-10,4.682e-08,4.31368421052632e-08,2236,"tags=59%, list=15%, signal=51%","RPL38/RPL17/RPL14/RPS4X/LOC113998810/RPS14/RNPS1/RPL7/LOC113989206/RPL37A/RBM8A/RPL11/RPS6/RPL15/RPL22/RPL19/RPL30/RPS27A/RPL23/RPS3/RPS23/RPS13/LOC113990217/RPS26/RPS12/RPL35A/RPS8/LOC113987193/LOC113998898/RPL12/RPS3A/RPL23A/RPS15A/RPS10/PPP2CA/RPS5/RPL9/RPL36/RPL35/RPS24/RPLP2/RPSA/PPP2R1A/RPS29/RPL18A/NCBP2/RPS7/RPL32/RPS2/RPL34/RPS25/UBA52/RPLP0/RPL6/EIF3E/RPL5/RPL10A/RPL4/RPL31/RPL27A/RPS28/RPL39/RPS11/RPL13/RPS20/LOC113988372"
"GO:0006412","translation",148,-0.638327916417812,-2.5420333441083,1e-10,4.682e-08,4.31368421052632e-08,2236,"tags=57%, list=15%, signal=49%","MRPL32/RPL38/RPL17/RPL14/RPS4X/LOC113998810/RPS14/MRPL10/RPL7/LOC113989206/RPL37A/EEF1A2/TNIP1/EEF1A1/PSTK/RPL11/RPS6/RPL15/RPL22/RPL19/RPL30/RPS27A/RPL23/MRPL51/MRPL35/RPS3/RPS23/RPS13/LOC113990217/SRBD1/RPS26/MRPS5/RPS12/RPL35A/RPS8/LOC113987193/MRPS18A/LOC113998898/RPL12/MRPS7/RPS3A/RPL23A/MRPL28/RPS15A/RPS10/RPS5/RPL9/RPL36/MRRF/RPL35/RPS24/MRPL55/RPLP2/RPSA/RPS29/MRPL43/RPL18A/RPS7/RPL32/RPS2/RPL34/RSL24D1/RPS25/RPLP0/RPL6/MRPL42/RPL5/RPL10A/YARS2/RPL4/MRPL18/MRPS18B/MRPS14/IGF2BP3/RPL31/MRPS17/MRPL23/RPL27A/RPS28/RPL39/RPS11/MRPL27/RPL13/RPS20"
"GO:0006413","translational initiation",118,-0.662139119371001,-2.54901891006857,1e-10,4.682e-08,4.31368421052632e-08,2236,"tags=56%, list=15%, signal=48%","RPL38/EIF2A/RPL17/RPL14/RPS4X/LOC113998810/RPS14/RPL7/LOC113989206/RPL37A/EIF6/RPL11/RPS6/RPL15/RPL22/RPL19/EIF3B/RPL30/RPS27A/RPL23/EIF3M/RPS3/RPS23/RPS13/LOC113990217/RPS26/RPS12/RPL35A/RPS8/LOC113987193/LOC113998898/RPL12/RPS3A/RPL23A/RPS15A/RPS10/RPS5/RPL9/RPL36/RPL35/RPS24/RPLP2/RPSA/RPS29/RPL18A/RPS7/RPL32/RPS2/RPL34/RPS25/UBA52/RPLP0/RPL6/EIF3E/RPL5/RPL10A/RPL4/RPL31/RPL27A/RPS28/RPL39/RPS11/RPL13/EIF2B2/RPS20/EIF3I"
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane",80,-0.777663798789944,-2.82358492920492,1e-10,4.682e-08,4.31368421052632e-08,2236,"tags=79%, list=15%, signal=67%","RPL38/RPL17/RPL14/RPS4X/LOC113998810/SRP14/RPS14/RPL7/LOC113989206/RPL37A/SSR3/RPL11/RPS6/RPL15/RPL22/RPL19/RPL30/RPS27A/RPL23/RPS3/RPS23/RPS13/LOC113990217/RPS26/RPS12/RPL35A/SRP68/RPS8/LOC113987193/LOC113998898/RPL12/RPS3A/RPL23A/RPS15A/RPS10/RPS5/SRPRA/RPL9/RPL36/RPL35/RPS24/RPLP2/RPSA/RPS29/RPL18A/RPS7/RPL32/RPS2/RPL34/RPS25/UBA52/RPLP0/RPL6/RPL5/RPL10A/RPL4/RPL31/RPL27A/RPS28/RPL39/RPS11/RPL13/RPS20"
"GO:0019083","viral transcription",99,-0.728156168679881,-2.73147524240998,1e-10,4.682e-08,4.31368421052632e-08,2236,"tags=62%, list=15%, signal=53%","RPL38/RPL17/RPL14/RPS4X/LOC113998810/RPS14/RPL7/LOC113989206/RPL37A/RPL11/RPS6/RPL15/RPL22/RPL19/RPL30/RPS27A/RPL23/RPS3/RPS23/RPS13/LOC113990217/RPS26/RPS12/RPL35A/RPS8/LOC113987193/LOC113998898/RPL12/RPS3A/RPL23A/RPS15A/RPS10/RPS5/RPL9/RPL36/SEC13/RPL35/RPS24/NUP62CL/RPLP2/RPSA/RPS29/RPL18A/RPS7/RPL32/RPS2/RPL34/RPS25/UBA52/RPLP0/RPL6/RPL5/RPL10A/RPL4/RPL31/RPL27A/RPS28/RPL39/RPS11/RPL13/RPS20"
"GO:0070126","mitochondrial translational termination",87,-0.638130380087665,-2.35108901839144,3.79498568848884e-10,1.4806769161254e-07,1.36419748696731e-07,2847,"tags=56%, list=19%, signal=46%","OXA1L/MRPL44/MRPS23/MRPS30/MRPS16/MRPS15/MRPS11/MRPL34/MRPL32/MRPL46/CHCHD1/MRPL10/MRPL1/MRPS26/MRPL21/DAP3/MTRF1L/MRPL51/MRPL35/MRPS24/MRPS5/MRPL53/MRPS22/MRPS18A/MRPL39/MRPL40/MRPS7/MRPL28/MRPL47/MTRF1/LOC114000420/MRRF/MRPL17/MRPL55/MRPL12/MRPL50/MRPL43/AURKAIP1/MRPL19/MRPL42/LOC113984726/MRPL18/MRPS18B/MRPS14/MRPS17/MRPL23/PTCD3/MRPL27/MRPS25"
"GO:0070125","mitochondrial translational elongation",87,-0.620383541487812,-2.28570363846713,3.08118743929256e-09,1.03043711362627e-06,9.49376400467737e-07,2847,"tags=53%, list=19%, signal=43%","OXA1L/MRPL44/MRPS23/MRPS30/MRPS16/MRPS15/MRPS11/MRPL34/MRPL32/MRPL46/CHCHD1/MRPL10/MRPL1/MRPS26/MRPL21/DAP3/MRPL51/MRPL35/MRPS24/MRPS5/MRPL53/MRPS22/MRPS18A/MRPL39/MRPL40/MRPS7/MRPL28/MRPL47/LOC114000420/MRPL17/MRPL55/MRPL12/MRPL50/MRPL43/AURKAIP1/MRPL19/MRPL42/LOC113984726/MRPL18/MRPS18B/MRPS14/MRPS17/MRPL23/PTCD3/MRPL27/MRPS25"
"GO:0002181","cytoplasmic translation",33,-0.75538780068667,-2.33141614866008,5.14690095512187e-08,1.50611189199254e-05,1.38763158645325e-05,2236,"tags=82%, list=15%, signal=70%","RPL38/RPL17/RPL11/RPL15/ZC3H15/RPL22/RPL19/RPL30/RPS23/LOC113990217/RPL26L1/RPS26/RPL35A/LOC113998898/RPL9/RPL36/RPL22L1/RPSA/RPS29/RPL18A/RPL32/RPLP0/RPL6/RPL10A/RPL31/RPS28/RPL39"
"GO:0032981","mitochondrial respiratory chain complex
I assembly",49,-0.661766471423262,-2.21493222136253,4.6774585435673e-07,0.000121665893894345,0.000112094883693209,3763,"tags=76%, list=26%, signal=56%","LOC113995044/NDUFS3/LOC113998672/NDUFAF5/NDUFV1/ECSIT/NDUFV3/NDUFB9/NDUFC1/NDUFB8/NDUFA7/OXA1L/NDUFAF4/NDUFB5/NDUFAF7/NDUFAF2/NDUFB11/NDUFB6/NDUFA6/NDUFS1/NDUFAF1/NDUFA12/NDUFA5/NDUFS8/NDUFS7/NDUFA13/NDUFS6/NDUFB10/TIMMDC1/NDUFB4/NDUFA1/NDUFB3/NDUFV2/ACAD9/NDUFA8/NDUFS5/NDUFB7"
"GO:0006364","rRNA processing",134,-0.486952225705229,-1.90599724971703,2.73933376209463e-06,0.000641278033706353,0.000590831039845463,2627,"tags=34%, list=18%, signal=28%","DIS3/RPL27/RPS15/UTP4/IMP3/RPL14/LOC113998810/RPS14/RRP7A/CHD7/RRP36/RPL7/LOC113989206/WDR75/LYAR/RPP25/RPL11/RPS6/RCL1/ISG20L2/UTP6/WBP11/YBEY/RPL35A/DDX51/KRR1/RPP38/LOC113987193/RPP25L/NOL11/POP5/RPS24/LOC113997303/DDX52/NOP14/RPS7/RPS2/RPS25/WDR12/NOC4L/RPL5/RPF1/RPS28/EXOSC3/DDX54/DDX49"
