"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0030198","extracellular matrix organization",208,-0.522336829526573,-2.13248210213442,1e-10,2.367e-07,2.19263157894737e-07,3033,"tags=41%, list=21%, signal=33%","MMP15/HSPG2/FURIN/POMT1/NDNF/ADAMTS1/COL2A1/LOC113982345/MMP24/MATN3/LOC113998261/MFAP2/SERPINB5/COL8A1/FBLN2/COL16A1/PXDN/THSD4/ADAMTS10/PDGFB/FN1/LOC113988558/ATXN1L/TNFRSF11B/BCAN/LOC113993576/LOC113998335/ITGB2/ELN/NPNT/ACAN/ADAMTS9/FBLN5/ADAMTSL3/ITGA8/PECAM1/IBSP/SPOCK2/MFAP5/ITGB1/ADAMTS20/SOX9/COL8A2/COL9A3/COL4A5/LAMB2/COL13A1/LAMA2/MMP16/COL3A1/ITGA2B/VCAN/LOC113997326/CRISPLD2/PTX3/ADAMTS17/NID1/COL6A1/COL5A1/COL6A2/ITGA7/ADAMTS6/LOC113982147/CD44/CCDC80/COL9A2/ITGA4/JAM3/ECM2/COL1A1/MMP2/LOC113993281/COL14A1/LOC114001849/FBLN1/SPARC/ADAMTS2/VCAM1/COL1A2/DCN/LAMA1/MMP23B/COL6A3/VIT/LUM/SH3PXD2A"
"GO:0070125","mitochondrial translational elongation",87,0.543526064828921,2.03217558025182,2.4454574731767e-06,0.00289419891950462,0.00268099364033003,4412,"tags=63%, list=30%, signal=45%","MRPS31/MRPS35/MRPS18C/MRPS36/MRPL32/MRPL3/MRPL35/MRPL47/MRPL30/MRPL16/MRPS10/MRPL50/MRPS6/MRPS28/CHCHD1/MRPL44/MRPL1/MRPL37/MRPL46/MRPS16/TSFM/MRPL20/MRPS21/MRPL33/MRPL12/MRPS17/MRPL28/MRPL13/MRPS22/MRPS11/MRPS9/MRPL19/MRPL40/MRPL17/MRPS18A/MRPS23/MRPL24/MRPL18/MRPL34/MRPS30/MRPS7/MRPL36/MRPL39/MRPL51/MRPS15/MRPS27/MRPL4/MRPL2/MRPS18B/MRPL22/OXA1L/MRPL10/MRPS2/MRPS5/MRPS26"
"GO:0006836","neurotransmitter transport",24,-0.756727652067125,-2.12885017828516,5.0344795920193e-06,0.0032565074123985,0.00301661216286486,848,"tags=42%, list=6%, signal=39%","SV2C/SLC6A9/LOC113990008/SLC6A12/SLC6A1/SLC6A4/SLC29A1/SLC6A2/LOC113990781/SLC22A3"
"GO:0070126","mitochondrial translational termination",87,0.531533033326829,1.98733514420132,5.50318109404056e-06,0.0032565074123985,0.00301661216286486,4412,"tags=63%, list=30%, signal=45%","MRPS31/MRPS35/MRPS18C/MRPS36/MRPL32/MRPL3/MRPL35/MRPL47/MRPL30/MRPL16/MRPS10/MRPL50/MRPS6/MRPS28/CHCHD1/MRPL44/MRPL1/MRPL37/MRPL46/MRPS16/MRPL20/MRPS21/MRPL33/MRPL12/MRPS17/MRPL28/MRPL13/MRPS22/MRPS11/MRPS9/MRPL19/MRPL40/MRPL17/MRPS18A/MRPS23/MRPL24/MRPL18/MRPL34/MRPS30/MRPS7/MRPL36/MRPL39/MRPL51/MRPS15/MRPS27/MRPL4/MRPL2/MRPS18B/MRPL22/OXA1L/MRPL10/MTRF1L/MRPS2/MRPS5/MRPS26"
"GO:0010596","negative regulation of endothelial
cell migration",21,-0.749919091174554,-2.05232328475043,1.86085662657065e-05,0.00880929527018546,0.00816034600662455,1887,"tags=52%, list=13%, signal=46%","DAB2IP/DNAJA4/ADAMTS9/DLL4/SLIT2/KRIT1/APOH/PTPRM/VASH1/DCN/SERPINF1"
"GO:0150104","transport across blood-brain barrier",81,-0.520587377760052,-1.87167287664413,3.88623441621691e-05,0.0133008039764677,0.0123209813367942,2583,"tags=35%, list=18%, signal=29%","LOC114003417/LRP1/SLC4A3/ABCA2/SLC22A2/SLC44A1/SLC16A7/LOC114000059/SLC19A1/SLC4A4/TFRC/SLC7A2/SLC7A1/ABCC5/ABCC10/ATP8A1/SLC16A1/SLC38A2/SLC6A9/LOC113982130/SLC5A6/SLC38A3/SLC5A3/SLC6A1/SLC29A1/SLC13A3/LOC113990781/SLC22A3"
"GO:0002479","antigen processing and presentation of exogenous
peptide antigen via MHC class I, TAP-dependent",54,0.568594259111025,1.93559212628834,3.93348660056079e-05,0.0133008039764677,0.0123209813367942,1716,"tags=30%, list=12%, signal=26%","PSMA4/PSMD10/PDIA3/PSMD6/PSMB1/NCF4/LOC113995247/PSMD12/VAMP8/PSMD14/PSMD11/PSMA3/CALR/PSMA2/ITGAV/PSMD7"
"GO:0001501","skeletal system development",93,-0.492151880014091,-1.80275034426522,8.52316403938062e-05,0.0219361974863924,0.020320236303629,2701,"tags=37%, list=18%, signal=30%","LOC114001848/COL2A1/FST/MATN3/NKX3-2/IGF1/TNFRSF11B/BCAN/GDF10/SHOX2/PRELP/ACAN/GDF1/ANKH/RASSF2/SOX9/DLX5/TLL1/COL13A1/MMP16/COL3A1/PITX1/VCAN/SH3PXD2B/COL9A2/HAPLN2/CHRD/COL1A1/CHD7/COL1A2/IGF2/CMKLR1/ALPL/FRZB"
"GO:0006521","regulation of cellular amino
acid metabolic process",38,0.627151246754503,2.00094631309796,8.63600178516788e-05,0.0219361974863924,0.020320236303629,2689,"tags=42%, list=18%, signal=35%","PSMA4/PSMD10/ODC1/PSMD6/PSMB1/AZIN1/PSMD12/PSMD14/PSMD11/PSMA3/PSMA2/PSMD7/OAZ1/PSMA6/PSME3/PSMB7"
"GO:0007159","leukocyte cell-cell adhesion",15,-0.781015840437029,-1.97144366382787,0.000110287087664414,0.0219361974863924,0.020320236303629,2232,"tags=73%, list=15%, signal=62%","SELE/MSN/ITGB2/PECAM1/ROCK1/ITGB1/LOC113983815/NT5E/ITGA4/PTPRC/VCAM1"
"GO:0043547","positive regulation of GTPase activity",263,-0.375751404961451,-1.57377008899869,0.0001104073034994,0.0219361974863924,0.020320236303629,3101,"tags=30%, list=21%, signal=24%","RGS14/SRGAP3/LOC113998023/TBC1D20/LOC113983415/GAPVD1/OPHN1/NDEL1/FLCN/LOC113992914/FAM13B/MMUT/RGS3/ASAP1/RAPGEF6/ADRB1/CDKL5/ARHGAP21/ARHGEF7/AFDN/ARHGEF6/ARFGAP2/WNT11/ARHGEF12/ADAP2/RIN2/LOC113999752/STARD13/DVL3/DAB2IP/RGS7/JUN/PLCB1/DOCK10/DOCK4/ADAP1/DENND1B/LOC113982897/ECT2/LOC113984160/HRAS/ITGB1/RANBP3/RAPGEF1/RGS9/RSU1/RGS5/LOC113982212/SEMA4D/ARHGAP6/RAPGEF2/LOC113983832/MYO9B/LOC113986991/ELMOD2/LOC113988506/ASAP3/SRGAP1/THY1/GRHL3/FZD10/RAB3GAP1/DOCK11/RABEP1/LOC114000703/ARHGAP10/ANKRD27/DOCK8/KALRN/NPRL3/RASGRP1/DEPDC1B/ADGRB3/HTR2B/TSC2/LOC113985449/LOC113988501/ARHGAP19"
"GO:0050776","regulation of immune response",39,-0.613266118874276,-1.89434923984061,0.000117563454849325,0.0219361974863924,0.020320236303629,2842,"tags=46%, list=19%, signal=37%","COL2A1/VSIR/CD34/COLEC12/ITGB2/DENND1B/ITGB1/LOC114003132/COL3A1/ITGA4/COL1A1/CD99/LOC114001683/LOC114001688/VCAM1/COL1A2/PTPRD/LOC113989008"
"GO:0006120","mitochondrial electron transport, NADH
to ubiquinone",38,0.621915578447043,1.98424174422302,0.000121152028994789,0.0219361974863924,0.020320236303629,4555,"tags=76%, list=31%, signal=53%","NDUFV2/NDUFB1/NDUFS3/NDUFB6/NDUFB3/NDUFS8/NDUFB5/NDUFS6/NDUFA6/NDUFB8/NDUFC1/NDUFA12/NDUFS7/NDUFA5/NDUFB4/NDUFV1/NDUFS4/NDUFB11/NDUFB7/NDUFA13/NDUFA1/NDUFA4L2/NDUFA11/NDUFA4/DLD/NDUFAF1/COQ9/NDUFA10/NDUFV3"
