"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane",80,-0.638115493903936,-2.39421532479805,4.71976919881065e-10,1.13840833075313e-06,1.06617102112081e-06,4073,"tags=65%, list=27%, signal=48%","SEC63/RPS4X/RPL9/RPS27A/LOC113987193/RPL23A/RPL12/RPS6/UBA52/RPL23/RPL3/SRP68/RPS14/RPL19/RPS23/RPS11/RPL37/RPS3A/RPL35/RPL31/RPL17/LOC113998810/RPL27/RPL10A/RPL32/RPS20/RPS12/RPS28/RPL36/RPL38/LOC113990217/RPS24/RPL29/RPL11/RPS13/RPS15A/RPLP2/RPL14/RPL21/RPL37A/RPL7A/RPL34/RPL27A/RPL18A/RPL22/SRP19/RPS25/RPLP0/RPL5/RPL39/RPS7/SRP14"
"GO:0007268","chemical synaptic transmission",203,0.490152480069767,2.03703637937356,7.74756663050286e-09,9.34356535638644e-06,8.75067262582059e-06,2546,"tags=32%, list=17%, signal=27%","GABRA4/SV2B/LOC113993165/LOC113991128/HTR5A/SDCBP2/LOC113990721/LOC113994017/GRIN1/CHRNB4/GABRA5/SYN2/CHRNA7/LOC113982386/CHRM4/CHRNA5/KCNA1/CACNB3/CACNA1E/NLGN1/DRD5/GABRG1/GAD2/HRH3/CRH/KCNQ2/GABRR3/LOC113995009/HRH2/NTSR1/SST/CACNB4/LOC113987767/LOC113993166/GABRB2/LOC113998100/BSN/GABRA3/CACNB1/NLGN2/LOC113990823/HTR1D/CDK5/SYT10/GRIK1/LOC114001545/LOC114003402/AKAP5/CACNA1G/LOC113990089/GABRA6/NPY/SLC1A2/GRM7/GJC1/UNC13C/LOC114000517/CACNA1B/SLC12A5/LOC114003560/HTR2C/MAPK1/SYNJ2BP/LOC113984000"
"GO:0019083","viral transcription",99,-0.560932152943382,-2.18349608142558,1.80681784111868e-08,1.45268154425942e-05,1.36050213580375e-05,4090,"tags=58%, list=27%, signal=42%","NUP160/RPS4X/RAE1/RPL9/NUP188/RPS27A/LOC113987193/RPL23A/RPL12/RPS6/UBA52/RPL23/NUP85/RPL3/RPS14/RPL19/NUP35/RPS23/RPS11/RPL37/RPS3A/RPL35/RPL31/RPL17/LOC113998810/RPL27/RPL10A/RPL32/RPS20/RPS12/RPS28/RPL36/RPL38/LOC113990217/RPS24/RPL29/RPL11/RPS13/RPS15A/RPLP2/NUP155/RPL14/SEC13/RPL21/RPL37A/RPL7A/AAAS/RPL34/RPL27A/RPL18A/RPL22/NUP43/RPS25/RPLP0/RPL5/RPL39/RPS7"
"GO:0006413","translational initiation",118,-0.514444223285554,-2.06121182435052,3.42911063887575e-07,0.000206775371524208,0.000193654511342825,4025,"tags=53%, list=26%, signal=39%","RPS4X/RPL9/LTO1/RPS27A/EIF3B/EIF4E/LOC113987193/RPL23A/RPL12/EIF3L/EIF3M/RPS6/UBA52/RPL23/RPL3/RPS14/RPL19/RPS23/EIF4H/RPS11/RPL37/RPS3A/RPL35/RPL31/EIF2A/RPL17/EIF4A2/LOC113998810/RPL27/EIF3D/RPL10A/RPL32/EIF2S3/RPS20/RPS12/RPS28/RPL36/RPL38/EIF1/LOC113990217/RPS24/RPL29/EIF2B1/RPL11/RPS13/RPS15A/RPLP2/RPL14/RPL21/RPL37A/RPL7A/RPL34/RPL27A/RPL18A/PABPC1L/RPL22/PAIP1/RPS25/RPLP0/RPL5/RPL39/RPS7"
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",111,-0.494788317803792,-1.95324877378228,1.98623108783384e-06,0.000958157876771045,0.000897358297787669,2794,"tags=39%, list=18%, signal=32%","RPS14/RPL19/RPS23/RPS11/RPL37/RPS3A/RPL35/RPL31/RPL17/LOC113998810/RPL27/RPL10A/RPL32/RPS20/RPS12/RPS28/RPL36/RPL38/EIF4A3/LOC113990217/RPS24/RPL29/RPL11/RPS13/RPS15A/RPLP2/RBM8A/RPL14/RPL21/RPL37A/RPL7A/RPL34/RPL27A/RPL18A/PABPC1L/RPL22/LOC113988372/PPP2CA/RPS25/RPLP0/RPL5/RPL39/RPS7"
"GO:0006986","response to unfolded protein",34,-0.692906090858825,-2.207341041359,3.38868501921572e-06,0.00136225137772472,0.00127581018442753,3341,"tags=62%, list=22%, signal=48%","JKAMP/EDEM3/TOR1B/LOC114000379/DNAJB5/DNAJB2/UBXN4/THBS1/HSP90AB1/LOC113988192/HSPA4/HSPA8/COMP/HSPA4L/THBS4/DNAJB4/HSPA2/HSP90AA1/HSPH1/HSPD1/DNAJA1"
"GO:0006412","translation",147,-0.450110272949895,-1.87515476541769,6.45200690029416e-06,0.00222317723478707,0.002082106286922,4122,"tags=48%, list=27%, signal=35%","MRPL9/LOC113995601/RPS4X/MRPS5/RPL9/MRPS36/RPS27A/GGT1/LOC113987193/MRPS7/IGF2BP3/MRPS18C/RPL23A/FARSB/RRBP1/RPS27L/RPL12/RPS6/RPL23/RPL3/SRBD1/RPS14/RPL19/RPS23/RPS11/RPL37/RPS3A/MRPL23/RPL35/RPL31/RPL17/MRPS6/GGT5/LOC113998810/EEF1A1/RPL27/RPL10A/MRPS18A/RPL32/RPS20/RPS12/RPS28/RPL36/RPL38/LOC113990217/RPS24/MRPL43/RPL29/RPL11/RPS13/RPS15A/RPLP2/MRPS14/RPL14/MRPS15/RPL21/RPL37A/RPL7A/MRPS33/RPL34/RPL27A/RPL18A/RPL22/MRRF/RPS25/RPLP0/RPL5/RPL39/RPS7/MRPL27"
"GO:0042391","regulation of membrane potential",82,0.549409846160732,1.98944824913482,8.49059311158623e-06,0.00234407613117049,0.00219533358535912,2772,"tags=43%, list=18%, signal=35%","GABRA4/LOC113991128/LOC113990721/GRIN1/CHRNB4/GABRA5/CHRNA7/RIMS4/LOC113984913/KCNH6/CHRNA5/KCNA1/HCN2/GABRG1/KCNH2/KIF5B/HCN1/GABRR3/HCN3/WWP2/RIMS2/GABRB2/LOC113998100/GABRA3/CACNA1G/LOC113990089/GABRA6/LOC113993934/PXK/LOC114001611/KCNH5/CACNA1H/HCN4/GABRA2/LOC113987027"
"GO:0035725","sodium ion transmembrane transport",80,0.557847839595248,2.03286067394944,8.83451515008477e-06,0.00234407613117049,0.00219533358535912,2032,"tags=30%, list=13%, signal=26%","SLC6A8/SCNN1B/ATP1B1/SLC4A7/SLC24A2/SLC4A10/ASIC4/HCN2/SLC6A6/HCN1/HCN3/LOC113989136/SLC24A4/SLC24A5/LOC113986460/LOC113990823/SLC6A17/LOC114003586/SLC12A3/SCN4B/LOC113991856/CACNA1G/LOC113986458/SLC6A14"
"GO:0002181","cytoplasmic translation",33,-0.683407170230108,-2.13834448345489,9.71839192027568e-06,0.00234407613117049,0.00219533358535912,2887,"tags=58%, list=19%, signal=47%","RWDD1/RPL19/RPS23/RPL31/RPL17/RPL10A/RPL32/RPS28/RPL36/RPL38/LOC113990217/RPL29/RPL26L1/RPL11/RPL18A/RPL22/RPLP0/RPL39/RPL22L1"
