"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",80,-0.62174358406582,-2.2987398036217,1.19452201668619e-09,2.87760353819704e-06,2.77003368711545e-06,3514,"tags=66%, list=24%, signal=50%","RPS20/RPL36/RPS15/RPS15A/RPL17/RPS13/RPL27/RPS29/RPL22/RPL11/RPL35/RPL34/RPL31/SRP72/RPL12/RPL37/RPLP0/RPS8/RPL5/RPL19/LOC113987193/RPL32/RPL4/RPL14/RPL7A/LOC113990217/RPS21/RPS6/RPS7/RPSA/RPL9/RPS25/RPS4X/RPL13/RPL7/RPS3A/RPL6/RPS12/RPL15/RPS14/RPS3/RPS5/RPS26/SRP19/SRPRA/RPL39/LOC113998810/SRP14/LOC113998898/UBA52/RPL18A/RPL10A/SSR3"
"GO:0006413","translational initiation",118,-0.521124184457031,-2.04814132059712,1.13452490489426e-07,0.000136653524794514,0.000131545177130635,3514,"tags=59%, list=24%, signal=45%","RPS20/EIF2S2/RPL36/RPS15/EIF4B/RPS15A/LOC114003727/RPL17/RPS13/RPL27/RPS29/PABPC1/RPL22/RPL11/EIF3D/EIF3H/RPL35/RPL34/RPL31/EIF4E2/RPL12/RPL37/EIF2B3/RPLP0/RPS8/RPL5/RPL19/EIF3E/EIF6/LOC113987193/RPL32/RPL4/RPL14/ABCE1/RPL7A/DHX33/EIF3J/LOC113990217/RPS21/EIF4G2/EIF4A2/EIF4E1B/RPS6/RPS7/RPSA/RPL9/RPS25/RPS4X/EIF2B5/EIF3I/RPL13/RPL7/RPS3A/RPL6/RPS12/RPL15/RPS14/RPS3/RPS5/RPS26/EIF4G3/LOC113983589/RPL39/LOC113998810/EIF3L/LOC113998898/EIF2B2/UBA52/RPL18A/RPL10A"
"GO:0019083","viral transcription",99,-0.532062032314011,-2.03440075658454,3.9185268562027e-07,0.000314657706553077,0.000302895251375949,3539,"tags=59%, list=25%, signal=44%","NUP93/RPS20/RPL36/RPS15/RPS15A/RPL17/RPS13/NUP214/RPL27/RPS29/RPL22/RPL11/RPL35/RPL34/RPL31/NUP88/RPL12/NUP62CL/RPL37/RPLP0/RPS8/RPL5/RPL19/LOC113987193/NUP160/RPL32/RPL4/RPL14/RPL7A/NUP98/LOC113990217/RPS21/RPS6/RPS7/RPSA/RPL9/RPS25/RPS4X/LOC113999689/RPL13/RPL7/RPS3A/RPL6/TPR/RPS12/RPL15/RPS14/RPS3/RPS5/RPS26/RPL39/LOC113998810/LOC113998898/UBA52/SEC13/NUP188/RPL18A/RPL10A"
"GO:0043312","neutrophil degranulation",372,-0.368661689487454,-1.68577999271532,7.52630125918207e-07,0.00045327149333424,0.000436327412473108,2070,"tags=31%, list=14%, signal=27%","SPTAN1/ANPEP/PSMD2/PSMD13/PSMD7/NIT2/LOC113994101/LOC113994003/MGST1/LOC113991480/LOC113991889/VAMP7/LOC114001832/LOC113988501/RAB5C/LOC113996056/PGAM1/FGL2/TOM1/IMPDH2/HMOX2/RHOG/JUP/GLB1L/GAA/EEF1A1/LAMTOR3/LOC113998672/MME/PYGB/C3/VAT1/RAB9B/B2M/LOC113999601/STK11IP/LOC114003019/PSMB7/ALDOC/LOC114002464/FRMPD3/PKM/ACTR10/TNFRSF1B/LOC113998331/TIMP2/LOC113986249/IST1/MLEC/HSP90AA1/TMBIM1/COPB1/LOC113994587/UBR4/PSMC2/GM2A/LOC113985414/STK10/KPNB1/ADA2/NPC2/DNAJC3/PTAFR/RAB3A/LOC113992610/CCT8/LOC113987247/GOLGA7B/CTSB/C3AR1/SLC27A5/CRISPLD2/SRP14/CAP1/LOC113991486/HSPA8/PLD1/LOC113984391/PPIA/ARPC5/LOC113998942/TMC6/LOC113983733/ITGB2/PLEKHO2/HPSE/NFASC/FUCA1/SLC11A1/VCP/PTPN6/ATP6V0A1/ATP6V1D/LOC114003928/LOC114002137/FTH1/IDH1/CANT1/CTSA/PGM1/NCSTN/DDOST/GUSB/EEF2/STBD1/LOC113996661/RAB10/LOC113995129/PYGL/LOC113998023/TCIRG1/ARSA/CTSD/SURF4/GRN"
"GO:0070527","platelet aggregation",42,-0.669897861239308,-2.19212473830738,1.12187141620278e-06,0.000512966762050765,0.000493791167681648,2905,"tags=50%, list=20%, signal=40%","COMP/FN1/LOC113991889/LOC113983228/HSPB1/FGG/ACTG1/LOC114002136/ACTB/PLEK/MYL9/MYH9/LOC113989827/PPIA/STXBP1/GP1BA/PTPN6/CSRP1/ILK/LOC113991759/TLN1"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",111,-0.507819799128007,-1.9865239779556,1.27762580834562e-06,0.000512966762050765,0.000493791167681648,3561,"tags=56%, list=25%, signal=42%","SMG5/RPS20/RPL36/RPS15/RPS15A/PPP2CA/LOC114003727/RPL17/RPS13/RPL27/RPS29/PABPC1/RPL22/RPL11/RPL35/RPL34/RPL31/RPL12/RPL37/RPLP0/RPS8/CASC3/RPL5/RPL19/EXOSC10/EIF3E/LOC113987193/RPL32/RPL4/RPL14/RPL7A/LOC113990217/RPS21/RPS6/RPS7/RPSA/RPL9/RPS25/RPS4X/ETF1/LOC113990491/RPL13/LOC113988372/RPL7/RPS3A/RPL6/SMG7/RPS12/RPL15/RPS14/RPS3/UPF1/RPS5/RPS26/LOC113983589/RPL39/LOC113998810/LOC113998898/UBA52/PPP2R1A/RPL18A/RPL10A"
"GO:0006412","translation",148,-0.461368073318814,-1.8814743434268,2.29654235368802e-06,0.000790338647147777,0.000760794406793189,3689,"tags=52%, list=26%, signal=39%","RPS27A/MRPS33/MRPS16/RPS6KB2/MRPL9/RPS20/GEMIN5/RPL36/RPS15/RPS15A/LOC114003727/RPL17/RPS13/RPL27/LOC113993747/RPS29/RPL22/RPL11/RPL35/RPL34/RPL31/EIF4EBP2/RPL12/MRRF/RPL37/LOC113993744/RPLP0/RPS8/MRPL10/RPL5/RPL19/MRPS5/LOC113987193/GCN1/RPL32/EEF1A1/RPL4/RPL14/RSL24D1/MRPS18B/ASMT/RPL7A/MRPS14/TNIP1/LOC113990217/RPS21/MRPL43/RPS6/RPS7/MRPS18A/RPSA/RPL9/RPS25/PSTK/RPS4X/MRPL18/RPL13/RPL7/RPS3A/RPL6/RPS12/RPL15/RPS14/RPS3/RPS5/RPS26/FARSB/LOC113983589/IGF2BP3/RPL39/LOC113998810/LOC113998898/MRPL27/RPL18A/RPL10A/EEF1A2/MRPL55"
"GO:0007411","axon guidance",216,-0.404141992575734,-1.73391154733423,7.96266233513193e-06,0.0023977566956666,0.00230812435845995,2568,"tags=31%, list=18%, signal=26%","SEMA3B/LGR6/NRTN/DOK1/ROBO1/NEO1/SEMA3A/LAMA5/LOC113999307/CXCR4/NCAM1/SPTB/LOC113996059/EXT1/SEMA3E/PIK3CD/PTPRO/SPTBN1/LOC113988477/OPHN1/PTK2/SHC1/LOC113983745/LOC113999057/SEMA4G/TNR/CNTN6/ARTN/CDH4/UNC5D/LOC113989518/LOC113988456/EPHA10/UNC5C/LOC114003293/LOC114002067/UNC5B/ROBO4/SEMA4A/SEMA6A/SEMA4C/PRKCQ/BDNF/DAG1/SRC/DSCAM/LOC113988059/PTPRA/EPHA1/GAB2/TUBB3/NRP2/NFASC/NTN4/LOC113984508/LOC113987855/NOTCH1/LOC113999997/NOTCH2/LOC114003809/EFNB1/DOK5/GPC1/CSF1R/SEMA5A/SLIT3/SEMA3F"
"GO:0007186","G protein-coupled receptor signaling pathway",486,-0.330379709938155,-1.53760528231643,1.85891673174089e-05,0.00497570045195979,0.0047897000702049,2845,"tags=27%, list=20%, signal=22%","GPR83/GNG3/GALR2/CCL28/GRK6/MLNR/LOC113991889/LOC113993433/LOC113996113/ADM/NPFFR2/PDE4C/LOC113989258/GRK2/LPAR1/ARHGEF26/NPFFR1/LOC113995733/CALCB/SSTR3/LGR6/ARHGEF4/PDE3B/RASD1/S1PR3/LOC113993563/CXCR4/GPR157/RAMP1/GNRH1/ADRA1B/C3/APLP2/SST/LOC113997278/ARHGEF17/LOC113983832/PTGER4/ADGRB1/LOC113982931/HTR7/LOC113983488/OXTR/ARHGEF6/RGS10/GRP/HEBP1/RAMP2/XPR1/ADRB1/ADCY9/ARHGEF12/NMB/NMUR2/SOS2/HTR1E/SMO/FZD7/PTHLH/LOC113987175/RHOC/ADCY6/OPN3/HTR1B/P2RY2/LOC114000489/LOC113994699/LOC113983744/APLNR/CELSR1/RAC2/GPR162/GNAI2/GNG2/PTAFR/LOC113993120/PIK3R5/PDYN/NPBWR2/LOC113988506/C3AR1/LOC114002805/RGS14/RGS5/DRD5/ADORA2B/GPR171/LOC113990316/OBSCN/SRC/FGD2/GNAI3/GPR135/GNB3/HTR2B/GABBR1/LANCL1/FZD5/P2RY13/ABR/LOC113987091/ADGRL3/LOC113989895/LOC113983511/GPR37L1/NMBR/PTPN6/ARRB1/LOC113983498/AKAP13/TRH/CRH/GLP1R/LOC113983719/AKAP12/PENK/PLXNB1/ABCA1/CX3CR1/ARHGEF11/LOC113999236/OPRD1/LPAR4/NMU/CYSLTR1/LOC114000970/CELSR3/CASR/PLEKHG5"
"GO:0036498","IRE1-mediated unfolded protein response",50,-0.575972252382391,-1.96101515765121,6.79027168908997e-05,0.0153910767836511,0.0148157314257426,1809,"tags=44%, list=13%, signal=39%","SERP1/FKBP14/TPP1/SHC1/EXTL3/ATP6V0D1/ZBTB17/CXXC1/DNAJC3/DCTN1/SRPRA/XBP1/HSPA5/GOSR2/SYVN1/DNAJB11/LOC113999007/PDIA6/HYOU1/SEC31A/LOC113991759/TLN1"
