"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",111,0.68569712839813,2.69114682967904,1e-10,4.686e-08,4.33263157894737e-08,2512,"tags=60%, list=17%, signal=50%","LOC114002081/DCP1B/LOC113998898/RPL4/CASC3/RPL31/RPS27A/RPL19/RPS23/RPL37/RPS21/RPL7/RPS29/RPL30/RPS5/RPL23A/RPS3A/RPS4X/RPS15/RPL15/RPL6/RPS20/RPL37A/RPS19/DHX34/EIF4A3/RPL18A/RPS3/PNLDC1/RPL12/RPS25/RPS11/RPL17/RPS10/LOC113990491/RPL14/RPL3/RPL9/RPS12/RPL21/RPL23/RPS26/LOC113989206/RPS7/RPL22/RPL7A/RPLP0/RPSA/RPL34/RPL27/RPL10A/UPF3A/PPP2R1A/LOC113990916/RPS24/RPL5/RPS14/RPL13/UBA52/EXOSC10/RPS6/RPL27A/RPLP1/SMG8/RPL38/LOC113990217/RPS15A"
"GO:0006412","translation",149,0.598290828229301,2.43438037286568,1e-10,4.686e-08,4.33263157894737e-08,2512,"tags=47%, list=17%, signal=39%","LOC114002081/LOC113998898/RPL4/RPL31/RPS27A/RPL19/RPS23/RPL37/RPS21/MRPS16/RSL24D1/RPL7/RPS29/RPL30/RPS5/RPL23A/RPS3A/RPS4X/RPS15/RPL15/RPL6/MRPS6/RPS20/RPL37A/RPS19/RPL18A/RPS3/RPL12/RPS25/RPS11/RPL17/LOC113995601/CPEB1/RPS10/RPL14/RPL3/RPL9/RPS12/RPL21/RPS6KB2/RPL23/RPS26/LOC113989206/RPS7/RPL22/MRPS18B/RPL7A/RPLP0/LOC113995592/MRPS15/RPSA/RPL34/RPL27/EIF4EBP2/RPL10A/RPS24/RPL5/RPS14/RPL13/MRPS11/TNIP1/RPS6/MRPS7/RPL27A/RPLP1/MRPL13/MRPL28/RPL38/LOC113990217/RPS15A"
"GO:0006413","translational initiation",118,0.646318972268643,2.55199686301788,1e-10,4.686e-08,4.33263157894737e-08,2513,"tags=53%, list=17%, signal=45%","LOC114002081/EIF3H/LOC113998898/RPL4/RPL31/RPS27A/RPL19/RPS23/RPL37/RPS21/RPL7/RPS29/RPL30/RPS5/RPL23A/RPS3A/RPS4X/RPS15/EIF4E2/RPL15/RPL6/RPS20/EIF2S2/RPL37A/RPS19/RPL18A/RPS3/LOC113996193/RPL12/RPS25/RPS11/RPL17/RPS10/RPL14/RPL3/RPL9/RPS12/RPL21/RPL23/RPS26/LOC113989206/RPS7/RPL22/RPL7A/RPLP0/RPSA/EIF6/RPL34/RPL27/RPL10A/RPS24/RPL5/RPS14/RPL13/EIF4B/UBA52/RPS6/RPL27A/RPLP1/RPL38/LOC113990217/RPS15A/EIF4E1B"
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane",81,0.740859123567713,2.7402095520196,1e-10,4.686e-08,4.33263157894737e-08,2512,"tags=72%, list=17%, signal=60%","LOC114002081/LOC113998898/RPL4/RPL31/RPS27A/RPL19/RPS23/RPL37/RPS21/RPL7/RPS29/RPL30/RPS5/RPL23A/SRP19/RPS3A/RPS4X/RPS15/RPL15/RPL6/RPS20/RPL37A/RPS19/RPL18A/RPS3/RPL12/RPS25/RPS11/RPL17/RPS10/RPL14/RPL3/RPL9/RPS12/RPL21/RPL23/RPS26/LOC113989206/RPS7/RPL22/RPL7A/RPLP0/RPSA/RPL34/RPL27/RPL10A/RPS24/RPL5/RPS14/RPL13/UBA52/RPS6/RPL27A/RPLP1/SRP72/RPL38/LOC113990217/RPS15A"
"GO:0019083","viral transcription",100,0.690807358047923,2.65198856263973,1e-10,4.686e-08,4.33263157894737e-08,2512,"tags=58%, list=17%, signal=48%","LOC114002081/LOC113998898/RPL4/RPL31/RPS27A/RPL19/RPS23/RPL37/RPS21/RPL7/RPS29/RPL30/RPS5/RPL23A/RPS3A/RPS4X/RPS15/RPL15/RPL6/RPS20/RPL37A/RPS19/RPL18A/RPS3/RPL12/RPS25/RPS11/RPL17/RPS10/RPL14/RPL3/RPL9/RPS12/RPL21/RPL23/RPS26/NUP43/LOC113989206/RPS7/RPL22/RPL7A/RPLP0/RPSA/RPL34/RPL27/RPL10A/RPS24/RPL5/RPS14/RPL13/UBA52/RPS6/RPL27A/RPLP1/NUP107/RPL38/LOC113990217/RPS15A"
"GO:0000398","mRNA splicing, via spliceosome",233,0.44799133719025,1.93995005261224,1.26190828234037e-08,4.92775184253916e-06,4.55615306150261e-06,3689,"tags=41%, list=25%, signal=31%","CTNNBL1/CPSF4/CASC3/LOC114004318/DDX23/LOC113984019/SNRPF/PPWD1/LOC113991857/IK/LOC113987842/LOC113985989/LOC113988658/LOC113984740/PRPF4/SF3B4/CLP1/RSRC1/SNRNP27/LOC113989853/CWF19L1/LSM4/HNRNPA3/WDR83/EIF4A3/SNU13/PRPF40A/LOC113993656/LOC113995977/LOC113997351/BUD13/POLR2E/WBP11/SNRPE/POLR2B/POLR2K/SF3A1/HNRNPH3/DDX41/SNRNP40/HNRNPA0/CHERP/CPSF7/SRRT/SF3A3/SF3B5/DDX42/SNRNP200/LSM8/LOC114003209/BCAS2/PRCC/PRPF6/ALYREF/TFIP11/RAVER2/SRRM1/METTL3/PPIH/HNRNPD/CWC27/SRSF2/LSM3/DBR1/U2AF2/POLR2J/RBM41/SNRPB2/LOC114001220/PRPF3/POLR2H/PPIL1/HNRNPDL/SNRPC/RBM6/ZMAT5/LOC113997888/GEMIN6/RBM22/SNRPD1/SNW1/EFTUD2/CACTIN/LOC113996651/GCFC2/SNRNP25/SF3A2/PABPC1/RBM15B/RBM8A/SF3B3/PDCD7/HNRNPA1/GTF2F2/POLR2D/CWC25"
"GO:0006364","rRNA processing",135,0.50073597157048,2.01922827608889,1.35376105866576e-07,4.53123165779125e-05,4.18953422366035e-05,3540,"tags=44%, list=24%, signal=34%","LOC114002081/RRP12/WDR74/TBL3/RPL7/EXOSC6/UTP4/PIN4/RBFA/RPS15/POP5/EBNA1BP2/NOP56/NOP53/NOB1/PES1/RPS19/EIF4A3/DHX37/SNU13/XRN2/EXOSC8/RPS25/RRP7A/YBEY/LOC113990767/PA2G4/RPL14/WBP11/IMP4/WDR55/DDX54/LOC113989206/RPS7/RPL27/WDR75/RPS24/RPL5/RPS14/RRP9/DDX52/EXOSC1/EXOSC10/RPS6/NOL9/WDR12/ISG20L2/DDX47/RNASEL/BYSL/MRM2/DKC1/RPS28/HELQ/LOC113999159/EXOSC9/RPS2/RPL35A/NOLC1/LOC113987193"
"GO:0002181","cytoplasmic translation",33,0.714779438896442,2.21000312618116,5.9801490442169e-07,0.000175143615132503,0.000161936141223663,3075,"tags=76%, list=21%, signal=60%","LOC113998898/RPL31/RPL19/RPS23/RPS21/RPS29/RPL30/RPL15/RPL6/RPL18A/RPL17/RPL9/RPS26/RPL22/RPLP0/RPSA/RPL10A/DRG1/RPLP1/RPL38/LOC113990217/RPL32/DRG2/RPL26L1/RPS28"
"GO:0070125","mitochondrial translational elongation",87,0.533476355177814,2.00633277206336,2.92800719472705e-06,0.000762257873027276,0.000704776468625529,4782,"tags=59%, list=33%, signal=40%","MRPS16/MRPL4/MRPL38/MRPL45/MRPS31/MRPL2/MRPS6/ERAL1/MRPL39/MRPL50/MRPS24/MRPL54/MRPS18B/MRPS15/MRPL40/LOC114000420/MRPS11/MRPL12/MRPS23/MRPS7/MRPS22/MRPL13/MRPL28/OXA1L/LOC114001480/GFM1/MRPL46/MRPL37/MRPL33/MRPL19/MRPL16/MRPL44/MRPL23/MRPS14/MRPL51/MRPS2/MRPS10/MRPL30/MRPL58/MRPL17/MRPL41/MRPL14/MRPL57/MRPS26/MRPL18/MRPL22/MRPS28/MRPS35/MRPL10/MRPS30/MRPL42"
"GO:0007043","cell-cell junction assembly",36,-0.684002693967619,-2.10480137000313,7.51007887754503e-06,0.00163917441892988,0.00151556526906921,1976,"tags=47%, list=13%, signal=41%","CTNND1/CDH7/LOC114002819/TRPV4/CDH8/CDH11/CLDN5/CDH20/TLN1/PKP2/FSCN1/TJP1/LOC113993201/HEG1/CDH12/TLN2/CDH5"
