"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",112,0.70830126990847,2.71822747996568,1e-10,4.832e-08,4.30105263157895e-08,2273,"tags=60%, list=15%, signal=51%","RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/RPS24/UBA52/PNLDC1/LOC113989206/RPS6/RPS8/RPL6/RPL27/RPL4/RPL12/RPL7/RPL17/RPL18A/RPL29/RPS11/RPL37/LOC114002081/RPS4X/RPL23/RPL11/LOC113998810/RPS5/SMG8/DCP1B/LOC113998898/RPL10A/RPL21/LOC113990217/RPS3/RPL15/RPS27A/RPS3A/LOC113987193/PABPC1L/RPS28/RPL35/RPS7/RPLP0/RPLP1/RPL22/RPL7A/RPL30/RPS25/RPS19/MAGOH/RPL34/RPL3/RPLP2/RPL32/RPL31/RPL23A/RPSA/RPS14/RPL5/EIF4A3/RPS15/RPS12/RPL14/RPS13/RPS10"
"GO:0006412","translation",148,0.656562443394343,2.61264080180998,1e-10,4.832e-08,4.30105263157895e-08,2277,"tags=52%, list=15%, signal=45%","RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/MRPL13/RPS24/LOC113989206/RPS6/RPS8/RMND1/RPL6/RPL27/RPL4/RPL12/RPL7/RPL17/RPL18A/RPL29/RPS11/TNIP1/MRRF/RPL37/LOC114002081/RPS4X/RPL23/RPL11/LOC113998810/RPS5/MRPL35/LOC113998898/RPL10A/RPL21/RSL24D1/LOC113990217/RPS3/RPL15/MRPS18B/MRPS7/RPS27A/RPS3A/LOC113987193/RPS28/RPL35/RPS7/RPLP0/RPLP1/RPL22/MRPS21/RPL7A/RPL30/RPS25/RPS19/PSTK/RPL34/RPL3/RPLP2/RPL32/RPL31/MRPS11/RPL23A/RPSA/RPS14/MRPL24/MRPL34/LOC113995601/RPL5/MRPS15/RPS15/MRPL51/RPS12/RPL14/RPS13/RPS10/LOC113996700"
"GO:0006413","translational initiation",119,0.688761649147987,2.67254786344136,1e-10,4.832e-08,4.30105263157895e-08,2280,"tags=56%, list=15%, signal=48%","RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/RPS24/UBA52/EIF3J/LOC113989206/RPS6/RPS8/RPL6/RPL27/RPL4/RPL12/RPL7/RPL17/RPL18A/RPL29/RPS11/RPL37/LOC114002081/RPS4X/RPL23/RPL11/MTFMT/LOC113998810/RPS5/LOC113998898/RPL10A/RPL21/LOC113990217/RPS3/RPL15/RPS27A/RPS3A/LOC113987193/PABPC1L/RPS28/RPL35/RPS7/RPLP0/RPLP1/RPL22/RPL7A/RPL30/RPS25/RPS19/EIF2B2/RPL34/RPL3/RPLP2/RPL32/RPL31/RPL23A/RPSA/RPS14/RPL5/RPS15/RPS12/RPL14/RPS13/EIF2B3/RPS10/EIF4B"
"GO:0006614","SRP-dependent cotranslational protein targeting
to membrane",81,0.77862699496507,2.84765794703291,1e-10,4.832e-08,4.30105263157895e-08,2273,"tags=78%, list=15%, signal=67%","RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/RPS24/UBA52/LOC113989206/RPS6/RPS8/RPL6/RPL27/RPL4/RPL12/RPL7/RPL17/RPL18A/RPL29/RPS11/RPL37/LOC114002081/RPS4X/RPL23/RPL11/LOC113998810/RPS5/LOC113998898/RPL10A/RPL21/LOC113990217/RPS3/RPL15/RPS27A/RPS3A/LOC113987193/RPS28/RPL35/RPS7/SSR3/RPLP0/RPLP1/RPL22/RPL7A/RPL30/RPS25/RPS19/RPL34/RPL3/RPLP2/RPL32/RPL31/RPL23A/RPSA/RPS14/SRP19/RPL5/RPS15/RPS12/RPL14/RPS13/RPS10"
"GO:0019083","viral transcription",100,0.745407951757387,2.82644568704139,1e-10,4.832e-08,4.30105263157895e-08,2311,"tags=65%, list=15%, signal=55%","RPS15A/RPS23/RPS29/RPL27A/RPL35A/RPL19/RPS21/RPS24/UBA52/LOC113989206/RPS6/RPS8/RPL6/RPL27/RPL4/RPL12/RPL7/RPL17/RPL18A/RPL29/RPS11/RPL37/LOC114002081/RPS4X/RPL23/RPL11/LOC113998810/RPS5/LOC113998898/RPL10A/RPL21/LOC113990217/RPS3/RPL15/RPS27A/RPS3A/LOC113987193/RPS28/RPL35/RPS7/RPLP0/RPLP1/RPL22/RPL7A/RPL30/RPS25/RPS19/RPL34/RPL3/RPLP2/RPL32/RPL31/RPL23A/RPSA/RPS14/NUP160/RPL5/RPS15/NUP58/RPS12/NUP35/RPL14/RPS13/RPS10/NUP93"
"GO:0007156","homophilic cell adhesion via
plasma membrane adhesion molecules",117,-0.551373109322601,-2.18630792887052,1.09495382361912e-08,4.40901406310631e-06,3.92454502044536e-06,2242,"tags=31%, list=15%, signal=26%","AMIGO2/PALLD/CDH7/SDK2/CNTN6/LOC113993201/CELSR1/LOC114002067/CLSTN1/TENM3/LOC113983964/SDK1/ITGB1/CADM1/NECTIN3/PCDH1/CDH13/AMIGO1/FAT4/LOC113998139/LOC113987855/LOC113994803/PCDH19/FAT3/FAT1/CDH2/LOC113982686/CELSR3/CDH5/PCDH7/PLXNB2/CDH9/LOC113991383/LOC114002819/PCDH15/ROBO4"
"GO:0070126","mitochondrial translational termination",87,0.602708371103949,2.21912773462474,1.36632251109693e-08,4.46860903254412e-06,3.97759160573703e-06,3892,"tags=55%, list=26%, signal=41%","MRPL13/MRRF/MRPL35/MRPL2/MRPL44/ERAL1/MRPS18B/MRPS7/MRPS21/MRPS9/MRPL58/MRPL14/MRPS2/MRPS24/MRPL33/MRPL54/MRPS11/MRPL24/MRPL34/MRPL30/MRPS15/MRPL46/MRPL48/MRPL51/MRPL4/MRPL20/MRPS30/MRPL50/MRPS26/MRPL17/MRPL40/MRPL12/MRPL38/MRPL41/MRPL22/MRPL16/MRPL39/OXA1L/MRPS10/MRPS36/MRPL47/CHCHD1/MRPL28/MRPL19/MRPL9/MRPS25/MRPS16/MRPS33"
"GO:0006120","mitochondrial electron transport, NADH
to ubiquinone",38,0.74525733730944,2.31569530708815,1.47967186508083e-08,4.46860903254412e-06,3.97759160573703e-06,2357,"tags=63%, list=15%, signal=54%","NDUFA5/NDUFS7/NDUFA10/NDUFS3/NDUFV2/NDUFB9/NDUFA8/NDUFA12/COQ9/NDUFA4/NDUFB5/NDUFS8/NDUFA11/NDUFC1/NDUFB6/NDUFB11/NDUFB7/NDUFA6/NDUFB8/LOC113998672/NDUFB4/NDUFA13/NDUFA9/NDUFV1"
"GO:0002181","cytoplasmic translation",33,0.76558322410144,2.36998593806873,2.36219532333233e-08,6.34118211241213e-06,5.64440356206779e-06,1682,"tags=73%, list=11%, signal=65%","RPS23/RPS29/RPL35A/RPL19/RPS21/RPL6/RPL17/RPL18A/RPL29/RPL11/LOC113998898/RPL10A/LOC113990217/RPL15/RPL26L1/RPS28/RPLP0/RPLP1/RPL22/RPL30/RPL32/RPL31/RPSA/DRG1"
"GO:0070125","mitochondrial translational elongation",87,0.59128393835299,2.17706381650863,5.62452834911093e-08,1.3588860491452e-05,1.2095696228667e-05,3892,"tags=54%, list=26%, signal=40%","MRPL13/MRPL35/MRPL2/MRPL44/ERAL1/MRPS18B/MRPS7/MRPS21/MRPS9/MRPL58/MRPL14/MRPS2/MRPS24/MRPL33/MRPL54/MRPS11/MRPL24/MRPL34/MRPL30/MRPS15/MRPL46/MRPL48/MRPL51/MRPL4/MRPL20/MRPS30/MRPL50/MRPS26/MRPL17/MRPL40/MRPL12/MRPL38/MRPL41/MRPL22/MRPL16/MRPL39/OXA1L/MRPS10/MRPS36/MRPL47/CHCHD1/MRPL28/MRPL19/MRPL9/MRPS25/MRPS16/MRPS33"
"GO:0002479","antigen processing and presentation of exogenous
peptide antigen via MHC class I, TAP-dependent",54,0.623180027997465,2.1258122434702,1.50327435024217e-06,0.000330173711835007,0.000293893731822464,3202,"tags=56%, list=21%, signal=44%","PSMF1/PSMB7/PSMB4/PSMC5/PSMD7/PSMA7/PSMC3/PSMC2/PSMB1/PSMD10/PSMD13/PSMD8/VAMP8/PSMA1/LOC113987247/PSMD11/PSMA4/LOC114000508/PSME4/PSMD2/PSME3/PSMA5/PSMD4/NCF4/PSMB3/VAMP3/B2M/IKBKB/PSMD6/PSMD3"
"GO:0031145","anaphase-promoting complex-dependent catabolic process",65,0.599600062876457,2.10254300380869,1.73226767944141e-06,0.000348763226127537,0.000310440602552526,2636,"tags=48%, list=17%, signal=40%","UBB/ANAPC7/PSMF1/ANAPC2/PSMB7/PSMB4/UBA52/LOC113998129/PSMC5/PSMD7/PSMA7/PSMC3/PSMC2/PSMB1/RPS27A/ANAPC16/PSMD10/CDC23/PSMD13/PSMD8/PSMA1/PSMD11/PSMA4/ANAPC15/PSME4/PSMD2/CDC26/PSME3/PSMA5/PSMD4/PSMB3"
"GO:1901990","regulation of mitotic cell
cycle phase transition",65,0.585067720827163,2.05158424646948,4.32522440368644e-06,0.000793183407433273,0.000706027231346365,2636,"tags=46%, list=17%, signal=38%","ANAPC7/PSMF1/ANAPC2/PSMB7/PSMB4/PSMC5/PSMD7/PSMA7/PSMC3/PSMC2/PSMB1/ANAPC16/LOC113992164/PSMD10/CDC23/PSMD13/PSMD8/PSMA1/PSMD11/PSMA4/ERCC3/ANAPC15/PSME4/PSMD2/CDC26/PSME3/PSMA5/PSMD4/DDB1/PSMB3"
"GO:0010972","negative regulation of G2/M transition of
mitotic cell cycle",47,0.641245469829183,2.10988670060136,4.59626146691466e-06,0.000793183407433273,0.000706027231346365,2636,"tags=51%, list=17%, signal=42%","PSMF1/PSMB7/PSMB4/PSMC5/PSMD7/PSMA7/PSMC3/PSMC2/PSMB1/RBX1/PSMD10/PSMD13/PSMD8/MIIP/PSMA1/PSMD11/PSMA4/PSME4/PSMD2/PSME3/LOC113996103/PSMA5/PSMD4/PSMB3"
"GO:0006296","nucleotide-excision repair, DNA incision,
5'-to lesion",35,0.673931363135595,2.09708392557516,1.10940382233342e-05,0.00178687975650503,0.00159053474317697,1397,"tags=40%, list=9%, signal=36%","UBB/LOC114000574/UBA52/POLD3/CUL4A/POLD2/RBX1/RPS27A/XPA/LOC113992164/NTHL1/POLD4/PCNA/RFC5"
