"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",111,0.629615665013035,2.95508780776749,1e-10,4.54e-08,4.31368421052632e-08,2397,"tags=61%, list=18%, signal=51%","RPS29/RPL38/UBA52/PPP2R1A/RPS14/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/LOC114003727/RPL35/LOC113998898/RPS11/RPL37/RPSA/RPL7A/RPL6/RPS21/CASC3/RPL39/RPL10A/RPS15/LOC113990491/RPS4X/RPS15A/RPS25/LOC113983589/RPL4/RPS8/RPS23/RPL11/RPL37A/RPL22/LOC113987193/RPL27/EIF4A3/RPS3/RPL9/RPL3/LOC113990916/RPL12/RPS20/RPL18A/RPL36/RPL14/SMG7/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/SMG8/EXOSC10/RPS5/RPL23/RPS12/RPL7/SMG5/RPL29/MAGOH/RPL5/RPL13/RPS28"
"GO:0006412","translation",148,0.539642739737235,2.68691827654243,1e-10,4.54e-08,4.31368421052632e-08,3076,"tags=56%, list=23%, signal=44%","RPS29/RPL38/EEF1A2/RPS14/TNIP1/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/LOC114003727/RPL35/LOC113998898/RPS11/RPL37/RPSA/RPL7A/RPL6/RPS21/RPL39/RPL10A/RPS15/RPS4X/RPS15A/RPS25/LOC113983589/RPL4/RPS8/RPS23/RPL11/RPL37A/RPL22/GGT7/LOC113987193/RPL27/MRPL43/RPS3/RPL9/RPL3/RPL12/RPS20/RPL18A/MRPL23/RPL36/RPL14/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/MRPS14/RPS5/RPL23/RPS12/RPS6KB2/MRPS7/MRPL9/RPL7/GCN1/RPL29/RPL5/RPL13/RPS28/RPS6/MRPS15/CPEB1/RPLP0/PABPC4/MRPL28/MRRF/MRPL10/MRPL55/RPS7/RPL34/GEMIN5/FARSB/IGHMBP2/GGT5/MRPS18B"
"GO:0006413","translational initiation",117,0.582398737487517,2.77318308062823,1e-10,4.54e-08,4.31368421052632e-08,2397,"tags=59%, list=18%, signal=49%","RPS29/LOC113998301/RPL38/UBA52/RPS14/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/LOC114003727/RPL35/LOC113998898/RPS11/RPL37/EIF3L/RPSA/RPL7A/RPL6/RPS21/RPL39/RPL10A/RPS15/RPS4X/RPS15A/RPS25/EIF3I/LOC113983589/RPL4/RPS8/EIF6/RPS23/RPL11/RPL37A/RPL22/LOC113987193/RPL27/EIF3D/RPS3/RPL9/RPL3/RPL12/RPS20/EIF1/RPL18A/RPL36/RPL14/EIF2B3/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/RPS5/EIF4E2/EIF4E1B/RPL23/RPS12/EIF4B/RPL7/RPL29/RPL5/EIF2B2/RPL13/RPS28"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",81,0.676413757883211,3.05932953412685,1e-10,4.54e-08,4.31368421052632e-08,2493,"tags=73%, list=19%, signal=59%","RPS29/RPL38/UBA52/RPS14/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/RPL35/LOC113998898/RPS11/RPL37/RPSA/RPL7A/SRPRA/RPL6/RPS21/RPL39/RPL10A/RPS15/RPS4X/RPS15A/RPS25/RPL4/RPS8/RPS23/RPL11/RPL37A/RPL22/LOC113987193/RPL27/RPS3/RPL9/RPL3/RPL12/RPS20/RPL18A/RPL36/RPL14/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/RPS5/SRP72/RPL23/RPS12/RPL7/RPL29/RPL5/RPL13/RPS28/RPS6"
"GO:0019083","viral transcription",100,0.683059214332635,3.17267663472287,1e-10,4.54e-08,4.31368421052632e-08,2493,"tags=66%, list=19%, signal=54%","RPS29/RPL38/UBA52/RPS14/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/RPL35/LOC113998898/LOC113999689/RPS11/RPL37/RPSA/RPL7A/RPL6/RPS21/RPL39/RPL10A/RPS15/NUP214/RPS4X/RPS15A/RPS25/RPL4/RPS8/RPS23/RPL11/RPL37A/RPL22/NUP62CL/LOC113987193/RPL27/RPS3/RPL9/RPL3/RPL12/RPS20/RPL18A/RPL36/RPL14/NUP98/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/RPS5/NUP160/RPL23/RPS12/RPL7/RPL29/TPR/NUP85/RPL5/RPL13/RPS28/NUP188/NUP88/RPS6"
"GO:0002181","cytoplasmic translation",33,0.700869519535733,2.57426574183921,1.89935604098392e-08,7.18589702172251e-06,6.82768513680011e-06,2761,"tags=85%, list=21%, signal=67%","RPS29/RPL38/RPL19/LOC113990217/RPL17/RPL32/RPL26L1/RPL15/RPS26/LOC113998898/RPSA/RPL6/RPS21/RPL39/RPL10A/RPS23/RPL11/RPL22/RPL9/RPL18A/RPL36/RPL31/RPL35A/RPL29/RPS28/DRG2/RPL22L1/RPLP0"
"GO:0042552","myelination",44,-0.651272369816174,-2.26235126985977,3.57393250221838e-07,0.000115897525429082,0.000110120115745044,1355,"tags=39%, list=10%, signal=35%","SBF2/NAB1/LOC113994464/ACER3/LOC113994484/LPAR1/LOC114001565/OLIG2/LOC113997666/ADGRG6/SCN1A/TSPAN2/BCAS1/FAM126A/PLLP/QKI/LOC114000755"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",37,0.57062572274337,2.14356153450844,2.62924091674214e-05,0.00746047110125582,0.00708857189263769,3345,"tags=62%, list=25%, signal=47%","NDUFA13/NDUFB9/NDUFB10/NDUFA4/NDUFA6/NDUFA8/NDUFAB1/NDUFB11/COQ9/NDUFV1/NDUFA10/NDUFA12/NDUFV2/NDUFB3/NDUFS8/LOC113998672/NDUFB8/NDUFS7/NDUFB5/NDUFB4/NDUFA7/NDUFS5/NDUFS1"
"GO:0045766","positive regulation of angiogenesis",96,-0.470509661007418,-1.86848962986416,5.8964370941166e-05,0.0148721246707163,0.014130759772918,4012,"tags=50%, list=30%, signal=35%","SFRP2/TERT/C3AR1/XBP1/CTSH/ANGPTL4/TGFBR2/NFE2L2/HMGA2/TEK/CX3CR1/PDPK1/WNT5A/ETS1/LOC113998942/VEGFC/AKT3/HK2/PDCD6/NR2E1/KDR/AGO2/FLT1/PRKD1/LOC113996102/BTG1/ITGB1/LOC113988059/HIF1A/TLR3/VEGFD/CDH5/SASH1/AGGF1/ISL1/VASH2/VEGFA/RRAS2/THBS1/RHOB/DDAH1/ANGPT2/HMOX1/PRKCA/MTDH/ITGB8/GAB1/AQP1"
"GO:0030148","sphingolipid biosynthetic process",48,-0.559755625039436,-1.97441509027348,0.000120643765920811,0.0272400448444479,0.0258821478721418,2515,"tags=42%, list=19%, signal=34%","PRKD3/ELOVL7/VAPA/ELOVL2/PRKD1/SAMD8/SGMS2/SPTLC1/FA2H/ACER3/ELOVL6/ELOVL4/CERS6/DEGS1/SPTSSA/HACD2/SGPP1/HACD1/KDSR/ELOVL5"
"GO:0042776","mitochondrial ATP synthesis coupled proton transport",17,0.698187661784928,2.14040758550099,0.000132000217307897,0.0272400448444479,0.0258821478721418,3341,"tags=82%, list=25%, signal=62%","ATP5MF/ATP5PO/ATP5ME/STOML2/ATP5PF/ATP5MC3/ATP5F1A/ATP5PD/ATP5F1B/ATP5F1C/LOC114002434/ATP5MG/ATP5PB/ATP5F1E"
"GO:0006754","ATP biosynthetic process",22,0.638267313719684,2.08061439075478,0.000154632653284042,0.0292513435795647,0.0277931847876318,3341,"tags=68%, list=25%, signal=51%","PKM/ATP5MF/ATP5PO/DGUOK/ATP5ME/ATP5PF/ATP5MC3/ATP5F1A/ATP5PD/ATP5F1B/ATP5F1C/LOC114002434/ATP5MG/ATP5PB/ATP5F1E"
"GO:0000398","mRNA splicing, via spliceosome",232,0.288488659466876,1.51629083530068,0.000227173588189421,0.0396680034761528,0.037690581554666,3116,"tags=34%, list=24%, signal=27%","RALY/LOC114003209/SNRNP200/SF3A1/SNRPC/LOC113985989/DDX41/PRPF8/POLR2E/SF3B3/CSTF2/LOC113988658/DDX23/LOC114004318/POLR2G/PRPF6/IK/PCBP2/CASC3/SPEN/RBM22/LOC113997733/WBP11/RBM5/EFTUD2/SNRPB/U2AF2/CTNNBL1/USP39/POLR2F/EIF4A3/SF3A2/CHERP/PRPF3/LOC113991857/BUD13/PPIE/SF1/LOC113993656/RBM6/LOC113992597/RBM41/LOC113989432/CRNKL1/CPSF7/PRPF19/CPSF4/RBMX2/POLR2C/PRPF40A/PPIH/DHX38/ZMAT2/SYF2/SF3B4/SNRPE/MAGOH/SNRPA1/POLR2H/PPIL1/TFIP11/LOC113989853/SRSF4/ZMAT5/CWF19L1/CACTIN/POLR2B/SNRPF/RBM19/BUD31/MFAP1/SNRNP25/PLRG1/LOC113988372/GEMIN5/RSRC1/LOC113995977/SART3/CDC5L"
"GO:0060045","positive regulation of cardiac muscle cell proliferation",18,-0.700825453856558,-1.96288216444885,0.000275303404588299,0.0446384806011028,0.0424132839098815,1284,"tags=39%, list=10%, signal=35%","ERBB4/FGFR2/MAPK1/MEF2C/ZFPM2/RBPJ/BMPR1A"
