,PFT1_PIT_run1,PFT10_PIT_run2,PFT11_PIT_run2,PFT12_PIT_run1,PFT2_PIT_run1,PFT3_PIT_run2,PFT4_PIT_run1,PFT5_PIT_run1,PFT6_PIT_run1,PFT7_PIT_run1,PFT8_PIT_run2,PFT9_PIT_run1
SLC41A3,671.418049205729,455.40368153899,317.633788033284,429.472002769169,584.697892663389,528.55760352919,516.876731996493,557.850044732187,347.86004250848,358.136084417967,239.465389074617,697.074013630095
KLF15,259.411519011305,647.20899682247,418.346940336521,249.013109586819,502.621316821603,226.671876757157,153.721822489975,523.736912500363,246.947813195878,439.437092087563,364.954463156989,208.620711992892
LOC113981955,32.5536023857323,24.6453757068159,26.5617104975569,40.3260096496872,8.59849842152042,11.3335938378579,48.4894339397907,22.0732032088276,15.588067942597,7.20388675553381,9.21020727210067,26.0775889991115
ZXDC,623.604945701685,500.408280655784,496.925333891793,585.735290161707,603.458252855797,753.168826861282,522.035182415619,461.530612548213,562.811295190607,414.738051782875,590.604541323455,586.745752480008
UROC1,89.5224065607639,169.303015725083,133.915290425183,156.263287392538,46.1192188063368,39.1524150762363,63.9647851971707,99.329414439724,75.4790658273117,15.4369001904296,10.3614831811133,20.0596838454703
LOC113991891,299.086221918916,572.201331627813,649.655169252745,183.483343906077,277.496994512705,205.035015793974,134.119710897294,366.214507782821,97.6305307983706,338.582677510089,188.809249078064,182.54312299378
LOC113990825,187.183213717961,276.456823146022,162.690476797536,231.874555485701,177.441740153194,175.155541130531,563.302785768633,419.390860967724,423.339108335792,510.446832963539,65.6227268137173,164.489407532857
LOC113989756,253.30771856398,391.111397086426,289.965339598329,303.453222613896,238.412910778521,248.308737720341,403.390822775706,387.284383573065,342.937494737134,478.543905903318,254.431975891781,319.951957335252
SH3BP5L,3623.62286556183,2312.37916414386,2858.70409229956,2410.48722681005,3395.62519482588,3427.89697259574,4137.07723613959,4238.05501609489,3750.98140176597,4706.19630472231,1776.41872760642,3050.07492870377
GABBR1,4415.08232356495,2661.70057633612,4194.53678273919,2498.19629779812,3831.80356929937,2635.57573065822,6066.33769289297,6148.39042107706,2914.96870526563,5746.64337755726,1812.10828078581,4571.60194838269
RPS5,5649.06731399911,6763.54832440965,6881.69649474202,7356.47231034419,6931.95309109483,6765.12519448862,5153.29196870755,5588.5337215077,4395.01473518379,5767.2259111445,7190.8693276926,8660.76850028182
LOC113994545,126.145209244713,151.086868463524,67.5110141812904,124.002479672788,124.287386274704,272.006252108589,243.478859782779,136.452528927298,93.5284076555819,93.6505278219396,186.506697260038,118.352134688275
LOC113995158,106.816507828184,291.458356184953,222.454325417039,219.776752590795,362.700297053225,736.683599460762,397.200682272754,302.001552993504,165.725774968663,111.145681371093,486.989709512323,304.907194451149
BRD2,854.532062625474,545.412879772578,564.436348073083,577.670088231769,730.872365829236,968.507109780582,1371.11612140387,1314.35891834382,687.515838731383,1268.91319565331,274.003666344995,707.10385555283
LOC113999578,18.3114013419744,4.28615229683755,1.1067379373982,0,10.9435434455714,7.21228698772774,8.25352067060268,1.00332741858307,3.28169851423094,1.02912667936197,5.75637954506292,1.00298419227352
LOC114000840,7.12110052187895,0,1.1067379373982,0,3.1267266987347,3.0909801375976,23.7288719279827,22.0732032088276,19.6901910853857,50.4272072887367,2.30255181802517,9.02685773046166
LOC114001480,17.2941012674203,33.217680300491,1.1067379373982,64.5216154394995,35.1756753607654,23.6975143882483,0,37.1231144875736,31.9965605137517,0,0,0
