,PFT1_PVN_run2,PFT10_PVN_run2,PFT11_PVN_run2,PFT12_PVN_run2,PFT2_PVN_run2,PFT3_PVN_run2,PFT4_PVN_run2,PFT5_PVN_run2,PFT6_PVN_run2,PFT7_PVN_run2,PFT8_PVN_run2,PFT9_PVN_run2
SLC41A3,412.29481158468,399.851241916896,448.586835610865,480.298689171211,367.624738490322,418.735203566788,404.134205409298,390.261121883171,505.321245365315,318.538759996508,393.206882944523,385.960623905
KLF15,385.259086234865,571.939118184927,582.899528073609,401.944877590315,626.752777655421,452.39240669036,337.472893176836,597.554292314341,457.860133922164,491.166217026873,473.001922759671,397.342840695764
LOC113981955,217.251364418157,268.254630653107,151.869907163757,264.5713118316,193.819346367391,114.830457715715,305.183820064238,148.066550307978,121.909913706918,258.941185545548,142.285131236649,217.296866005496
ZXDC,392.018017572319,354.298568787123,384.50300195217,322.573484040835,382.37186267045,423.684792261431,363.512468267642,404.010158697483,320.129849734196,305.180682964396,380.708864660223,361.126696361514
LOC113998275,123.59188731344,63.7737423816821,11.412189555658,52.9142623663199,27.3875163345226,30.6874499067859,45.8296521598173,35.959019360509,16.7509805093474,22.6059765158812,25.9574225904698,8.27797584782841
LOC113991891,159.317667239982,144.756272390167,214.19801935235,137.373565758715,174.858758135798,126.709470582858,126.031543439498,173.449387503632,211.248476423437,154.131658062826,179.77918608955,149.003565260911
LOC113990825,533.955575658848,564.853146809184,453.854000021168,529.142623663199,356.037712348794,520.696730676432,505.167756761622,388.1458854502,459.721353978758,537.405714445721,387.438566813308,417.003033334356
LOC113989756,854.522033378084,1015.31846998138,832.211976827984,889.366640541608,751.049967173639,834.500653916791,853.056479974781,791.098425931198,830.104145240996,1121.05092631029,870.054349791671,849.527271383391
SH3BP5L,3807.20946622575,3518.69092886868,3888.92305627423,3806.77414446928,3091.62924776245,3385.51866713573,3027.88179155884,3199.29510486881,4086.30863425248,3950.90816834378,3729.21637883082,3171.49949669926
GABBR1,16468.6189845159,15683.2792177683,18112.0226855643,16573.3575223125,14899.8622519932,13310.4339176337,13941.5885036171,15090.0967128159,16697.0051277062,18513.2672221196,14732.2793991244,15891.6441338686
RPS5,1757.32214773798,1536.64350691101,1644.2331567498,1615.92016610992,1362.00225463607,1298.77207347429,1381.13906281631,1265.96900513321,1518.75556618084,1679.00752849772,1368.05230911994,1424.84659280747
LOC113994545,110.074024638533,141.719427514849,145.724882018402,191.305410093618,146.417875788409,131.659059277501,108.32463237775,115.280385596926,139.591504244562,180.84781212705,186.508888242635,112.787420926662
LOC113995158,108.14290139926,110.338697136561,129.923388787491,116.004344418471,109.55006533809,61.3748998135718,86.4513893014735,108.934676298013,118.187473593729,119.195148901919,81.7178118588863,105.544192059812
BRD2,1620.21239774963,1549.80316803738,1624.92022057869,1823.50688770087,1645.35771209709,1265.11487035072,1461.34095409599,1493.35692167761,1755.13051336829,1886.57149468899,1649.73841352763,1530.39078486728
LOC113999578,46.3469577425402,22.2701957523334,2.63358220515185,18.3164754344954,25.2807843087901,39.5967095571431,13.5405790472187,12.6914185978267,24.1958607357241,14.3856214191971,16.3435623717772,8.27797584782841
LOC114000840,459.607330946857,500.067122802396,519.693555149965,448.753648145136,457.160849583954,574.152288578575,515.583586797944,462.179160604189,458.790743950461,658.655952121811,512.41874965631,572.215080481139
LOC114001480,12.5523010552713,15.184224376591,0,21.3692213402446,10.5336601286625,14.8487660839287,0,11.6338003813411,24.1958607357241,1.02754438708551,0,0
LOC114002103,141.937558086529,86.0439381340155,144.847021283352,128.215328041467,188.552516303059,125.719552843929,98.95038534506,144.893695658521,130.285403961591,97.6167167731233,101.906918318141,147.968818279933
LOC114003348,871.902142531537,811.849863335064,843.624166383642,860.874345421282,823.73222206141,730.55929132929,773.896171698733,788.983189498227,924.095758099001,918.624682054445,784.490993845308,805.033151201313
LOC114002770,259.736075682152,320.893275158622,291.449764036804,311.380082386421,287.568921512487,302.914828112145,301.017488049709,266.519790554361,345.256320498217,287.712428383942,248.998979664136,310.424094293565
LOC113982360,700.032174236284,792.616512458049,783.9296364002,658.37553367325,700.488398556059,651.365872215004,716.609106498961,744.563224405833,722.153381958535,618.581721025476,691.236549723991,888.847656660576
TNFRSF21,6056.00247835858,5245.64338129963,5922.04851865146,5745.26779462004,4602.15611021266,4512.04505403646,4440.26834448412,4344.69563332267,5993.1285822332,5348.36853478007,4854.99941043971,4856.06758173234
ADGRF5,68.554874994174,137.670301014425,92.1753771803147,105.82852473264,69.5221568491727,69.2942417250004,131.239458457659,124.798949545296,86.5467326316285,98.6442611602088,97.0999882087943,91.0577343261125
ANKRD66,533.955575658848,545.619795932169,517.937833679863,419.243771056227,460.320947622553,447.442817995717,428.090614492839,343.725920357807,418.774512733686,547.681158316576,497.036573306402,490.470068983833
PLA2G7,1983.26356673287,2272.57224836312,2031.36974090713,2227.48692922835,2298.44464007416,2023.39185837001,2248.77770484194,2056.00981284793,2171.11319601709,2016.04208746177,2222.72448256171,1939.11584235381
IMP3,570.646917205026,389.728425665835,556.563706022091,558.652500752108,478.228169841279,476.150432424646,467.670768630863,448.430123789877,499.737585195532,485.00095070436,323.025703348068,420.107274277292
SLC25A27,262.632760541061,217.640549397804,221.220905232755,258.465820020101,404.492548940641,219.761738042144,221.857179773661,231.618389410337,272.668738291045,231.197487094239,160.551465652165,288.694407693016
LOC113986146,105.246216540352,133.621174514001,74.6181624793024,78.3538115808968,140.097679711212,279.156802377859,247.896754864466,92.0127848342436,170.301635178366,185.985534062477,202.852450614412,151.073059222868
RCAN2,2806.88762828259,4326.49166570332,3040.03172548028,3473.00725877404,3456.09388821418,3946.80202510824,4257.99131884848,4135.28722645853,3714.06462293365,3702.24242666909,4456.98559738584,3537.79992796567
ENPP5,1492.75826395765,1735.05070543179,1600.34011999727,1621.00807595284,1715.93323495913,1977.8556423793,1909.22164565784,1696.41961924284,1897.51384769775,1612.21714333716,1817.98096735475,1757.00037370158
ENPP4,336.981005253053,391.752988916047,370.45723019136,442.648156333638,361.304542413125,386.067918182145,324.97389713325,490.734852449299,412.260242535607,397.659677802092,380.708864660223,341.466503722922
CLIC5,283.875116173059,238.898463525031,238.778119933768,216.744959308195,192.765980354524,269.257624988573,263.520499918949,325.746410677552,325.713509903978,189.068167223734,416.280147469385,284.555419769102
RUNX2,10.6211778159988,6.07368975063639,10.5343288206074,15.2637295287461,12.640392154395,14.8487660839287,5.20791501816105,11.6338003813411,18.6122005659416,23.6335209029667,16.3435623717772,10.3474698097855
SUPT3H,463.469577425402,554.730330558123,680.342069664227,621.742582804259,484.548365918477,503.868129114646,548.914242914175,531.981962892236,647.704579694768,569.259590445372,538.37617224678,573.249827462118
LOC113989421,37.6569031658139,32.3930120033941,44.7708974875814,33.5802049632415,31.6009803859876,35.6370386014288,22.9148260799086,40.1894922264512,40.9468412450715,41.1017754834204,38.45544087477,32.0771564103351
TINAG,6.75893133745378,42.5158282544547,3.51144294020246,25.4395492145769,33.7077124117201,0,35.4138221234952,25.3828371956534,32.5713509903978,31.8538759996508,16.3435623717772,24.8339275434852
LRRC1,235.597035191246,306.721332407138,287.060460361551,329.696557820916,362.357908425991,341.521619930359,365.595634274906,399.779685831541,330.366560045464,284.629795222686,359.5583721791,344.570744665858
