,PFT1_VMH_run1,PFT10_VMH_run1,PFT11_VMH_run1,PFT12_VMH_run1,PFT2_VMH_run1,PFT3_VMH_run2,PFT4_VMH_run1,PFT5_VMH_run1,PFT6_VMH_run1,PFT7_VMH_run1,PFT8_VMH_run1,PFT9_VMH_run1
SLC41A3,466.55998666923,711.54291381099,553.553557091088,570.124922486855,532.077051404464,414.833776231307,541.231709005975,531.861861411752,641.867048613168,434.685086824231,469.91231336589,580.776228163991
KLF15,439.230112973125,536.139311801769,493.804919182844,365.645489156764,566.52156239828,453.323508046583,285.376719294059,516.349223787242,416.426014667746,542.585640291239,527.833910639618,358.65479353285
LOC113981955,90.7742233477791,143.411750070432,100.166834140292,112.816239078671,83.3919739850268,104.777603274918,192.875299936675,118.560873273036,45.2850985217879,88.375691411073,82.211299356259,80.4935474122022
ZXDC,361.14475955568,316.609017463185,312.801692578456,302.186354675011,334.474330439944,395.588910323669,310.962218265251,323.549299025482,313.057854998447,346.309395413158,337.253171222835,354.579170879068
LOC113998275,82.9656880060347,41.9203577128956,12.3011901575797,72.5247251220027,21.7544279960939,13.899069822183,66.9159203861932,37.6735485166658,34.4560532230995,12.3314918248009,39.2372110563964,14.2646792882384
LOC113991891,166.907442929787,104.800894282239,103.681459899601,97.7069213449203,118.742919478679,153.958927261104,83.6449004827416,84.211461390194,104.352618332816,142.839780303944,85.0139572888588,105.966188998342
LOC113990825,377.737897156887,743.534765749779,505.227452900597,490.549182422435,294.591212447105,333.577675732391,545.167939616927,476.459584181361,514.871881019458,459.348070473833,428.80666368776,334.201057610156
LOC113989756,687.151110073511,1149.50033517993,897.986881503321,991.171243334037,617.281894389165,794.385298298611,879.747541547894,771.19969904704,850.572285278799,1007.07183235874,777.270466640995,729.536455027048
SH3BP5L,3219.06869463415,4124.74256548727,3444.33324412233,3677.60793639489,2884.27457848212,3236.34495013445,3576.06551005039,3720.81693879305,3669.07743892834,3442.54146775691,3664.94235652959,3108.68117917252
GABBR1,12881.1551131252,16333.495165714,18836.6367570139,14676.1839587164,14869.1515353302,15001.3729750038,16689.6177904388,16817.9152760574,16087.0390205334,16005.2487642728,16161.9940779918,15381.3998953747
RPS5,1421.15343219749,1813.60705473685,1280.20243282812,1599.57310407973,1369.62252925408,1191.04336783937,1293.05175569791,1257.63169312987,1236.48008137751,1556.85084288111,1341.53893040441,1370.42811733433
LOC113994545,120.056230879321,314.402682846717,207.362919799201,248.800098682426,141.403781974611,145.405653524376,134.815898425125,234.905655456857,138.808671555915,168.530388272279,222.344195986246,128.382113594145
LOC113995158,82.9656880060347,195.260613557435,163.430097807845,117.852678323254,101.520663981772,81.2561004989158,97.4217076210755,144.045920799016,108.290452986884,114.066299379408,113.974755925723,114.117434305907
BRD2,1371.37401939387,1615.03693925471,1528.8622052992,1461.57466877814,1491.08475223227,1438.01914698739,1766.38348666495,1477.02471096222,1456.99882200535,1456.14365964524,1582.56751260799,1463.14853270788
LOC113999578,66.3725504048277,15.4443423152773,25.4810367549866,36.2623625610014,29.9123384946292,26.7289804272749,24.6014413184534,11.0804554460782,26.5803839149625,26.7182322870686,29.8950179477306,15.283584951684
LOC114000840,441.182246808561,603.432517604049,709.954403380317,502.636636609435,504.884016409347,534.579608545499,717.378028846101,575.075637651457,620.208958015791,525.116026872771,624.992718969742,582.814039490882
LOC114001480,11.7128030126167,17.6506769317455,0,28.2040597696677,8.15791049853522,10.69159217091,0,17.7287287137251,18.7047146068255,0,0,0
LOC114002103,110.29556170214,93.7692211998979,130.919809534242,120.874541870005,177.6611619681,119.745832314192,144.656474952506,122.993055451468,134.870836901847,95.5690616422068,159.751502158185,158.949283497513
LOC114003348,706.672448427872,901.287690827254,984.973869046206,777.626219363696,798.568794356615,761.24136256879,907.301155824561,875.355980240175,776.737885515015,842.651941361394,933.285091555714,803.916568458577
LOC114002770,258.657733195285,444.57642521834,344.433324412233,377.732943343764,303.655557445478,282.258033312023,386.734657526087,354.574574274501,388.861172089266,249.712709452218,321.371442938104,310.766227350907
LOC113982360,510.482997966543,612.257856069922,698.531869662564,538.898999170437,587.369555894536,810.422686554976,654.398339070861,712.473285182826,642.851507276685,550.806634841106,690.388070730403,717.309587065701
TNFRSF21,5312.73223313937,7580.96574218469,7509.87659120243,6988.56309578409,6487.35171533518,5172.59229228625,6784.09345797671,7460.47065184443,7434.63182688136,5597.46966414087,7148.64616675107,5619.26473390247
ADGRF5,107.367360948986,69.4995404187479,95.7735519411566,83.6048914600864,89.7370154838875,94.0860111040078,97.4217076210755,119.668918817644,116.166122295021,108.928177785741,103.69834350619,97.8149436907774
ANKRD66,337.719153530447,421.409911745424,311.923036138629,284.055173394511,332.66146144027,313.263650607662,303.089757043346,224.933245555387,284.50855375645,374.05525201896,367.148189170566,311.785133014353
PLA2G7,1522.66439164017,1537.81522767833,1644.84485535638,1725.48408519431,1503.77483522999,2018.5726018678,1763.43131370674,1634.36717829653,1678.5020212967,1502.38675398824,1922.62334176342,1606.81423125371
IMP3,531.95647015634,548.274152192344,477.110446826129,602.358133652189,576.492341896489,471.49921473713,536.311420742284,488.648085172047,443.990857246225,460.375694792566,439.083076107293,463.602076867747
TDRD6,5.85640150630833,6.61900384940456,9.66522083809837,4.02915139566682,5.43860699902348,3.20747765127299,2.95217295821441,11.0804554460782,8.86012797165416,5.13812159366703,14.0132896629987,11.2079622979016
SLC25A27,203.021918885355,195.260613557435,188.032478123005,237.719932344342,225.702190459475,211.693524984018,177.130377492864,220.501063376955,264.819380486108,204.497239427948,137.330238697387,208.875661006348
LOC113986146,83.9417549237527,65.0868711858115,64.1419201073801,60.4372709350023,84.298408484864,229.869231674564,191.891242283937,40.9976851504892,105.337076996333,101.734807554607,184.041204240716,114.117434305907
RCAN2,3741.2644956133,3438.57249976567,3706.17286319081,3603.06863557505,3306.67305540628,4430.59579562509,3688.24808246253,3827.1893110754,4588.56183065334,4450.64092443438,3868.60216629851,3998.18582336053
ENPP5,1418.22523144433,1255.4043967704,1354.0095737736,1518.99007616639,1550.90942922153,1943.73145667143,1602.04585865769,1437.13507135634,1567.25819231927,1537.32598082518,1468.59275668226,1550.7744197642
ENPP4,310.389279834341,345.291367477271,282.927373624334,382.769382588348,297.310515946617,405.211343277488,276.520200419416,281.443568330385,328.809193614721,431.602213868031,371.819285724899,341.333397254275
CLIC5,131.769033891937,77.2217115763865,145.856969011303,144.042162395089,121.462222978191,158.235564129468,209.604280033223,74.2390514887237,131.917460911295,175.723758503413,79.4086414236593,148.760226863057
RUNX2,10.7367360948986,15.4443423152773,5.27193863896275,8.05830279133363,12.6900829977215,11.760751388001,7.87246122190509,5.54022772303908,9.84458663517129,15.4143647810011,8.40797379779922,17.3213962785752
SUPT3H,531.95647015634,547.17098488411,543.88833625299,510.694939400769,436.901428921553,502.504832032769,454.634635565019,507.48485943038,502.073918393736,536.419894378838,476.451848541956,487.036907126996
LOC113989421,40.0187436264403,60.6742019528751,28.9956625142951,46.3352410501684,25.3801659954429,33.1439357298209,32.4739025403585,38.7815940612736,40.3628052042023,43.1602213868031,38.3029917455298,32.6049812302591
TINAG,49.7794128036208,4.41266923293637,5.27193863896275,12.0874541870004,9.06434499837247,5.34579608545499,7.87246122190509,7.75631881225471,16.7357972797912,13.3591161435343,16.8159475955984,24.4537359226943
MLIP,6.83246842402638,22.0633461646819,37.7822269125664,8.05830279133363,8.15791049853522,9.62243295381898,28.5376719294059,18.8367742583329,16.7357972797912,14.3867404622677,37.3687724346632,17.3213962785752
LRRC1,303.556811410315,265.863321284417,270.626183466754,281.03330984776,278.275391450035,438.355279007309,264.711508586559,285.875750508817,286.477471083485,254.850831045885,241.962801514444,274.085623466866
LOC113990102,10.7367360948986,8.82533846587275,11.4225337177526,20.1457569783341,13.5965174975587,10.69159217091,9.84057652738136,17.7287287137251,7.87566930813703,14.3867404622677,6.53953517606606,6.11343398067359
KLHL31,45.8751451327486,48.5393615623001,16.6944723567154,97.7069213449203,13.5965174975587,149.68229039274,20.6652107075009,50.9700950519595,46.2695571853051,31.8563538807356,88.7508345323251,103.928377671451
GCLC,1377.23042090018,1200.24603135869,1318.86331618051,1270.18997748396,1432.16650974285,1557.76497930158,1246.80104601922,1278.68455847742,1175.44364423945,1206.43095019302,1316.31500901101,1279.74551328767
