"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"ABCC2",108.421602381306,1.44632789458814,0.695299648898944,3.53813250203559,0.059972949316874,1.1523109218653e-14,"ABCC2","ABCC2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ABCC3",72.2098545172004,1.20014256841759,0.467276192206711,6.39527976393914,0.0114424196326903,1.1523109218653e-14,"ABCC3","ABCC3",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ABRAXAS2",325.314884219047,-0.419566714371907,0.217373317489516,3.72799319468579,0.0535076444517822,1.1523109218653e-14,"ABRAXAS2","ABRAXAS2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ACKR4",6.3870351158707,2.89675111963902,1.37195640338721,4.73918142129175,0.0294830965201731,1.1523109218653e-14,"ACKR4","ACKR4",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ADAMTS9",330.620942277194,-0.901696548649235,0.374891376250903,5.47327000862477,0.0193094637607276,1.1523109218653e-14,"ADAMTS9","ADAMTS9",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ADGRG6",297.431361837654,0.761365340560547,0.356806845652744,4.63346229000847,0.031354230043979,1.1523109218653e-14,"ADGRG6","ADGRG6",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"AFAP1L2",523.101415255173,0.673538145786733,0.302204933604138,4.84278184477816,0.0277620759140982,1.1523109218653e-14,"AFAP1L2","AFAP1L2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ALDH1A3",477.088350296423,-2.9888189867982,1.21273954489855,4.99099308829,0.0254795818410457,1.1523109218653e-14,"ALDH1A3","ALDH1A3",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ALKBH2",116.871095925916,-0.681531338208618,0.291568491493891,5.40578946952446,0.0200700690119943,1.1523109218653e-14,"ALKBH2","ALKBH2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ALX4",7.8470693093072,1.96922888228651,1.033185918079,3.83092668780458,0.0503151072380285,1.1523109218653e-14,"ALX4","ALX4",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
