"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"BMP1",432.311713048045,1.59798199336674,0.332037939021786,23.1696114376761,1.48322775811007e-06,0.0134873788340894,"BMP1","BMP1","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113998650",91.1893167711681,-2.36567524769712,0.5038613462995,22.7510332761426,1.84404960816098e-06,0.0134873788340894,"LOC113998650","LOC113998650","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113982859",78.1171225394781,1.94396778248608,0.431632021921001,20.4947832720648,5.97939961483096e-06,0.023468043814512,NA,"LOC113982859","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"NMRAL1",548.679301521521,-1.62101195960355,0.370387538825552,20.3595225892786,6.41729390607384e-06,0.023468043814512,"NMRAL1","NMRAL1","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PCDH20",662.77477774055,1.18703846100112,0.273709885345048,18.3371112014364,1.8506673925505e-05,0.0520254369978216,"PCDH20","PCDH20","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TIMELESS",102.966904031904,1.84657685290878,0.430867235039035,18.0658570974243,2.13393917136266e-05,0.0520254369978216,"TIMELESS","TIMELESS","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MYH11",64.8169526087435,-2.3360012743985,0.566013975007616,17.4850069658016,2.89582393566424e-05,0.0605144464727093,"MYH11","MYH11","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"HELT",36.6056876888612,-2.77810533155973,0.747026078255078,15.7734463371981,7.13975671041354e-05,0.130550451449912,"HELT","HELT","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DDIT4",350.081477400038,-3.16485027692677,0.726046197391278,15.3609254150124,8.8805911791275e-05,0.144339208631419,"DDIT4","DDIT4","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CHST7",443.501172628331,1.47955547813795,0.387832512316007,14.5455442044345,0.000136811820975372,0.181934847020704,"CHST7","CHST7","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LMO1",264.314318696367,1.52963121653319,0.406927447537168,14.6393730616348,0.000130166499841216,0.181934847020704,"LMO1","LMO1","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GPR52",618.957470455895,1.17770225257613,0.316601341327947,14.0274086482361,0.000180165253907148,0.191126993945521,"GPR52","GPR52","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"COL4A5",281.007906432306,-1.85555390662663,0.526708614605305,12.7778779291511,0.000350742588883582,0.242316826646235,"COL4A5","COL4A5","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113983068",242.271135251971,0.876611052524937,0.244936895445484,12.7428031422689,0.000357381666926032,0.242316826646235,NA,"LOC113983068","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113990339",86.0008157392394,1.69084123208685,0.482189077089504,12.5618557891591,0.000393700586257454,0.242316826646235,"LOC113990339","LOC113990339","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113992955",313.1722874536,1.85299435271913,0.483563843708154,13.2887102040433,0.000267009106681034,0.242316826646235,"LOC113992955","LOC113992955","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113999081",17.6348610220348,5.74579538786311,1.84988313160282,12.4673289756097,0.000414131847563295,0.242316826646235,"LOC113999081","LOC113999081","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LRRC34",34.7793399883244,2.58306174067104,0.705091828851263,13.3633702455863,0.000256586789340691,0.242316826646235,"LRRC34","LRRC34","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PLA2G6",702.578558566765,0.905383843533322,0.249584439032697,12.9545059010316,0.000319152410482269,0.242316826646235,"PLA2G6","PLA2G6","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SOX8",504.695085198222,1.24767785352962,0.357951898357034,12.6774466869851,0.000370092611106275,0.242316826646235,"SOX8","SOX8","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SSX2IP",613.769072399315,1.05840123974662,0.286983985962562,12.7703693225549,0.000352153301199109,0.242316826646235,"SSX2IP","SSX2IP","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"USP53",524.720348726177,-1.07224830384184,0.305633669564875,12.5533654295917,0.000395493389092308,0.242316826646235,"USP53","USP53","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ZBTB40",350.454604465114,-1.64325878473857,0.467075079516295,12.5239945946548,0.000401759026784652,0.242316826646235,"ZBTB40","ZBTB40","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"RIPOR2",1591.06905207796,-0.726568897166488,0.204134688372445,12.3490732734403,0.000441205434404174,0.248228965171702,"RIPOR2","RIPOR2","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LPL",317.792208164231,-2.1582722765622,0.586096964317962,12.276156823705,0.000458782180477078,0.248557990222915,"LPL","LPL","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113984533",10.3773958868493,-6.84209699905134,2.11001480017878,12.156949978926,0.000489052858242936,0.255495186084917,"RYR1","LOC113984533 (RYR1)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CNGB1",297.207570838269,2.66472073233511,0.80403939170838,11.9774163167794,0.00053849194634982,0.260422338036328,"CNGB1","CNGB1","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113989862",129.778369590888,-1.30298614173044,0.385470560376102,11.9852948200894,0.000536220079690024,0.260422338036328,"SOX3","LOC113989862 (SOX3)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MRPL15",742.329179178744,-0.568077295213811,0.167805480683552,11.8059225674101,0.000590425970393393,0.260422338036328,"MRPL15","MRPL15","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PLK2",1257.53045832551,-1.1502984771715,0.331482411792726,11.7596006223771,0.000605302125597153,0.260422338036328,"PLK2","PLK2","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SLC39A9",1089.81059626877,-0.485959714178928,0.142908114163476,11.8300345983419,0.000582829113463838,0.260422338036328,"SLC39A9","SLC39A9","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SMIM18",653.325441545174,-0.706692811821045,0.206984318161353,11.7901018784762,0.000595464764145728,0.260422338036328,"SMIM18","SMIM18","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"STX17",455.848965854924,-0.818186781696018,0.240834141159151,11.4073464216218,0.000731542464031053,0.305742947538464,"STX17","STX17","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PRDM8",198.08584103822,2.88770938894416,0.902388487545348,11.2838688642925,0.000781834539268289,0.310593724070813,"PRDM8","PRDM8","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"RAPGEF6",45.3831288630828,-2.40399321973576,0.730574099698573,11.2749152221239,0.000785614423750348,0.310593724070813,"RAPGEF6","RAPGEF6","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"BANK1",34.4111884624831,3.51408056098677,1.13858973475521,11.1183047445504,0.000854798805332698,0.311493732405437,"BANK1","BANK1","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CARS",1481.81855055969,-0.599046250494975,0.179523144409341,10.9952177982334,0.000913472779930184,0.311493732405437,"CARS","CARS","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CHAC1",217.837737323929,-3.15192417679141,0.857245757686893,11.1868759619512,0.000823779260225671,0.311493732405437,"CHAC1","CHAC1","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113984516",83.7492740553565,-1.45331719112701,0.435069630065383,11.0514253358258,0.000886190430888018,0.311493732405437,"OSMR","LOC113984516 (OSMR)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113996612",67.0237820301373,-1.51503777332042,0.472068668884263,10.9907914695705,0.000915656992988365,0.311493732405437,"FERMT2","LOC113996612 (FERMT2)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113999078",134.846974688611,-1.9499443692039,0.563628367176786,10.9991061774245,0.00091155836944784,0.311493732405437,"UTRN","LOC113999078 (UTRN)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TXNIP",544.028988434455,-1.5978755625362,0.469472934527084,10.8391450540524,0.000993766058839404,0.330382043379609,"TXNIP","TXNIP","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"COG6",2923.99889898665,-0.853070902184491,0.262339119164688,10.661254343555,0.00109403175243978,0.347902097275851,"COG6","COG6","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113983768",11.6159443628646,6.85877095872239,2.3880740308163,10.6805416199461,0.00108268356570878,0.347902097275851,"SMURF1","LOC113983768 (SMURF1)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ADAMTS9",84.1336716172098,-1.72275295902848,0.550812891786851,10.5849951632661,0.00114009194909252,0.354835426198412,"ADAMTS9","ADAMTS9","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"FOXI2",68.8475140475736,2.6828967552232,0.818449429011649,10.5077719005148,0.00118873504048341,0.35858226220917,"FOXI2","FOXI2","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"JAM3",510.830537152154,-0.778172957428492,0.242314154645735,10.3860564374863,0.00126970518417925,0.35858226220917,"JAM3","JAM3","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113999497",45.0439741056316,-2.89538412663334,0.832286953458841,10.3555473404956,0.00129086185720146,0.35858226220917,"NPAS4","LOC113999497 (NPAS4)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"NCBP2",371.536241618003,-0.89001312618845,0.278828810600346,10.34364632301,0.00129921109496076,0.35858226220917,"NCBP2","NCBP2","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SLC4A4",2237.18093488815,-0.965933305048351,0.291314957866689,10.3868730723297,0.00126914373308202,0.35858226220917,"SLC4A4","SLC4A4","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CNTN2",2529.71074747723,-0.875423136144005,0.27556801744711,10.2051410374362,0.00140049681319797,0.364207827772922,"CNTN2","CNTN2","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DAB2",364.724993463186,-0.793045193260454,0.247725337987534,10.1787974672364,0.00142064803989827,0.364207827772922,"DAB2","DAB2","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DLL1",44.9282812331983,1.95620288640825,0.636625612630857,10.2120944958847,0.00139522628011221,0.364207827772922,"DLL1","DLL1","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113993120",14.4308063555302,8.23801250117494,2.6657775279558,10.15732721219,0.00143728845065725,0.364207827772922,"CARTPT","LOC113993120 (CARTPT)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ITGA2B",9.41520194286375,-3.5746731319853,1.1972229538665,10.0630171079901,0.00151275289906936,0.37506015945062,"ITGA2B","ITGA2B","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ADGB",20.9186878201577,2.76915481201181,0.931469215556058,9.82984971266559,0.00171702377587321,0.414843258113031,"ADGB","ADGB","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DHCR24",4782.92084099536,-0.848747968286696,0.273092032786548,9.80215640003681,0.00174307354840241,0.414843258113031,"DHCR24","DHCR24","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"KIAA1211L",232.172775268515,-1.07671097040244,0.349530386276867,9.73676896869513,0.00180618105852024,0.414843258113031,"KIAA1211L","KIAA1211L","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LGR5",444.362208682714,-0.822889423743062,0.261299827422024,9.72780598737955,0.00181501015307862,0.414843258113031,"LGR5","LGR5","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113992800",11.0927168358647,6.4182070428789,2.1630789234083,9.76465220982205,0.0017789916578323,0.414843258113031,"LOC113992800","LOC113992800","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"METTL15",75.3586101885204,1.55819817111137,0.496303274532004,9.68273818309184,0.00186007220114833,0.418602094744582,"METTL15","METTL15","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MYLK",214.705535574064,-1.49715015653962,0.490596039629066,9.49189630158904,0.00206381403672409,0.455247786013255,"MYLK","MYLK","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CD109",354.13611150179,-1.3915122877996,0.439961746626244,9.31146500981384,0.00227724319663343,0.479310098422311,"CD109","CD109","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ETNPPL",379.32554493897,-1.56982742512017,0.528577568398366,9.27231877523135,0.00232642992808204,0.479310098422311,"ETNPPL","ETNPPL","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113994087",107.008497868203,-3.94989954076103,1.18052914566367,9.28329456536635,0.0023125312414905,0.479310098422311,"LOC113994087","LOC113994087","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113998183",143.890601739361,-2.19670552070835,0.764522936208448,9.34012487325249,0.00224190248817765,0.479310098422311,"LOC113998183","LOC113998183","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CUNH9orf16",731.98216840686,0.652810399828087,0.215341397536565,9.0493756114323,0.00262784548629153,0.519630515995351,"CUNH9orf16","CUNH9orf16","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113986178",199.461195555335,-0.891278561857389,0.297436231132401,9.04877954691688,0.00262870236420946,0.519630515995351,"IMPDH1","LOC113986178 (IMPDH1)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TNFRSF11A",374.7539327583,-0.836373314847127,0.273028903252946,9.09111317992533,0.00256854488779969,0.519630515995351,"TNFRSF11A","TNFRSF11A","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113988349",8.19990237178452,-4.98637992692425,1.63721408014576,9.02131881260721,0.00266848790286511,0.520461880574811,"ANKRD26","LOC113988349 (ANKRD26)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CACNB1",934.507124544652,1.27958019005586,0.438249964433447,8.91355378649658,0.00283061884873954,0.537744058693013,"CACNB1","CACNB1","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DECR2",1153.25436676701,0.721380703866494,0.236806683259803,8.92048804331046,0.00281989146341907,0.537744058693013,"DECR2","DECR2","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CUEDC2",725.056859748405,0.66888767598537,0.226247432164621,8.84710737698808,0.00293553756415657,0.543557512512434,"CUEDC2","CUEDC2","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC114003309",4572.77264098631,-0.910040201194709,0.305647547360839,8.84921553261373,0.00293214886985654,0.543557512512434,"OIP5-AS1","LOC114003309 (OIP5-AS1)","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"BACE2",44.5016673769603,-1.61416525004735,0.564311212662472,8.72708917783474,0.00313516618572241,0.545966797199374,"BACE2","BACE2","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113996979",51.9275819747112,1.67643141606968,0.555779496777535,8.757165142037,0.00308388034708913,0.545966797199374,"LOC113996979","LOC113996979","AI",817,7,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
