"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"SLC26A4",525.217880594971,1.56922049560808,0.225445334484149,50.1832587161474,1.40037440116457e-12,2.03320359305083e-08,"SLC26A4","SLC26A4","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"FAM84B",551.614458326222,2.11742944560099,0.344122858514945,38.3222461085702,5.99750243582478e-10,2.90259126219133e-06,"FAM84B","FAM84B","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"TSC22D3",3248.61476391671,-1.29502414471663,0.204922365303497,38.7244143887841,4.88065981382478e-10,2.90259126219133e-06,"TSC22D3","TSC22D3","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"TFCP2L1",267.777248093851,-1.96524855782401,0.323064417912276,35.7724544101921,2.21761241526376e-09,8.04937866430363e-06,"TFCP2L1","TFCP2L1","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"ARHGAP23",1277.31800611478,-0.869418585394824,0.149142873346874,33.4961178764715,7.14063742948244e-09,1.9980095115574e-05,"ARHGAP23","ARHGAP23","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"MSX2",90.5544195988788,3.04082814689518,0.526615093176814,33.2136693637663,8.25680630163537e-09,1.9980095115574e-05,"MSX2","MSX2","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"ZFP36L1",1444.01640984272,1.12900742326712,0.200026958097766,31.7340249170261,1.76797523491434e-08,3.66703320510304e-05,"ZFP36L1","ZFP36L1","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"ARRDC2",1047.49549792843,-1.99098789938408,0.338917816962223,31.4738372000608,2.02145680035317e-08,3.66869141054096e-05,"ARRDC2","ARRDC2","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"TXNIP",2005.81475345844,-1.95194979537245,0.341478144252293,28.6307900773604,8.75784924532866e-08,0.000141283570214363,"TXNIP","TXNIP","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"SERTAD4",539.592785553643,1.29795334669196,0.244846802452733,28.1649310603364,1.11404911826402e-07,0.000161748791480753,"SERTAD4","SERTAD4","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
