"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"LOC113986828",338.605624239881,-1.5154165002213,0.250996175036555,36.3531190992685,1.64615555280915e-09,2.50182720915935e-05,"PAK3","LOC113986828 (PAK3)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"KNSTRN",7530.3803027375,0.767846506582233,0.131662497075808,34.0699835156605,5.31650904303408e-09,4.0400152218016e-05,"KNSTRN","KNSTRN","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113983346",162.602629184661,1.55504951410037,0.284351635257872,29.5705540386674,5.39178459974091e-08,0.000273147807822874,"SCNM1","LOC113983346 (SCNM1)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"STARD5",753.442330064621,-1.37533149885156,0.28311001247894,22.6692668845861,1.92421031704037e-06,0.00731103709959487,"STARD5","STARD5","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"IL13RA1",144.393279151093,-1.39459439483294,0.310201059078497,20.2760722688015,6.70336958778509e-06,0.0170523514214472,"IL13RA1","IL13RA1","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113998650",207.212838294971,-2.20520160260257,0.474433618357443,20.2678962947735,6.73207715019631e-06,0.0170523514214472,"LOC113998650","LOC113998650","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113984516",308.037205870862,-1.17597175834695,0.275265915625495,18.2821224013756,1.90486463690666e-05,0.0361876659396343,"OSMR","LOC113984516 (OSMR)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"TMEM203",1067.39079521128,1.02015480923501,0.238501134467587,18.346741200139,1.84133666251244e-05,0.0361876659396343,"TMEM203","TMEM203","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"SLC25A30",146.249215836632,-1.76389538676744,0.424335043740035,17.1681313208573,3.42128078462451e-05,0.0577740281830259,"SLC25A30","SLC25A30","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"PDK4",479.299975367385,-1.72417988726763,0.422315270080067,16.3928029704718,5.14803290702729e-05,0.0782398041210008,"PDK4","PDK4","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113983768",19.928876229962,6.72218964309912,1.59753950802393,15.6099619200825,7.78433979288538e-05,0.0985886634768934,"SMURF1","LOC113983768 (SMURF1)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOXL4",356.377294957559,0.859263094734081,0.217673929350272,15.6531208190297,7.60869185794455e-05,0.0985886634768934,"LOXL4","LOXL4","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"GOT1",22443.4339352508,0.446565122875951,0.114265502668377,15.2680282912967,9.32821118950947e-05,0.100658016909359,"GOT1","GOT1","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113997213",26.6490609415861,2.34128101434291,0.6089147497926,15.1490812972238,9.93466412449255e-05,0.100658016909359,"LOC113997213","LOC113997213","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"NEK5",188.491090627716,-1.36564528144243,0.342181359782744,15.3301858393104,9.02626330109942e-05,0.100658016909359,"NEK5","NEK5","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"NHP2",534.05625377702,0.780113731671961,0.203112661486702,14.963151835327,0.000109631227915523,0.104135962616257,"NHP2","NHP2","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113996005",1477.20837593985,0.948305086223331,0.245085427484346,14.3397632030072,0.000152607207938093,0.136430843896655,"CYP2U1","LOC113996005 (CYP2U1)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113996116",585.141760949903,-0.923530035422811,0.245207033977336,14.1132125314247,0.000172130462851197,0.13823057219875,"PPP4R3B","LOC113996116 (PPP4R3B)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113996312",641.877134789254,-0.819974296901922,0.220936315451176,14.1057907694866,0.000172810953531797,0.13823057219875,"SAA","LOC113996312 (SAA)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"ELP6",2135.57203819668,0.757628796958938,0.207407993412108,13.740149822633,0.000209918753059981,0.138710661261113,"ELP6","ELP6","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"IST1",1839.2727616411,0.839596661321626,0.225178300667573,13.7667141002331,0.000206971031639815,0.138710661261113,"IST1","IST1","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC114000668",396.151461072783,1.03425850212643,0.28626862096895,13.844881858853,0.000198536749814553,0.138710661261113,NA,"LOC114000668","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC114003358",93.7388121811546,-4.98902671089077,1.14955155706917,13.7425097074177,0.000209655183853666,0.138710661261113,"TRERF1","LOC114003358 (TRERF1)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"NBAS",1075.37133865535,-0.629154986590912,0.168352697267532,13.5502021704143,0.000232266403334078,0.147082699911305,"NBAS","NBAS","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"ABCB5",270.297172735033,-1.69600804406202,0.455800088544299,13.2700804011075,0.000269675639658449,0.15763578352035,"ABCB1","ABCB5","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"IL7R",127.048775494211,-1.88483721753609,0.511609507230046,13.29748622949,0.000265762195158639,0.15763578352035,"IL7R","IL7R","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"AURKAIP1",1791.20243901781,1.16582376775059,0.335816608163792,12.8785131298434,0.00033237620217381,0.157857922519924,"AURKAIP1","AURKAIP1","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"CNOT8",2835.17998382798,0.39554011864235,0.110102129100031,12.9654165232613,0.000317297860488986,0.157857922519924,"CNOT8","CNOT8","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"CRB2",1313.42372805359,0.473436912061482,0.131645935492536,13.0825305841356,0.000298062510100856,0.157857922519924,"CRB2","CRB2","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"ECE2",2362.88022360135,0.796363089499883,0.21783712351004,12.9099586374373,0.000326838515601104,0.157857922519924,"ECE2","ECE2","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113994014",171.040315975653,2.3362423520021,0.686478492868324,12.9744435538904,0.000315771693435129,0.157857922519924,"FAM161A","LOC113994014 (FAM161A)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113994974",501.860870739682,1.24973825327363,0.351652679131419,12.9450296019475,0.000320772026164404,0.157857922519924,NA,"LOC113994974","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"DCAF12",11328.4510130399,0.419594598754378,0.117873693709636,12.7809230549756,0.000350172098196411,0.159444682971024,"DCAF12","DCAF12","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"NCEH1",1630.1207944781,-1.00629239167487,0.284409096389723,12.7463765845119,0.000356699514476563,0.159444682971024,"NCEH1","NCEH1","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"SEPSECS",369.544889140281,-0.761169303259894,0.214612023371839,12.6766637779236,0.000370247608583806,0.160772090150191,"SEPSECS","SEPSECS","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"TTC26",2791.77036912726,-0.831469017709461,0.232102650677854,12.5508094334523,0.000396034717928662,0.167192656752217,"TTC26","TTC26","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113989632",183.90131611322,1.05715553188354,0.302881850496623,12.398216069601,0.000429744204784126,0.176520335792139,"TRPM8","LOC113989632 (TRPM8)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113982334",130.688495144736,1.52961176049342,0.43513579754973,12.3112691486099,0.000450231732736928,0.180068996687785,NA,"LOC113982334","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113983902",106.620182587914,-1.46225980206057,0.417653671669855,12.05600357718,0.000516258479612601,0.186811818408388,NA,"LOC113983902","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113999270",195.262475950409,1.36725727617792,0.397570958148598,12.0949961926244,0.000505573183812257,0.186811818408388,NA,"LOC113999270","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"RANGAP1",3032.67851246471,0.737266969300887,0.212005531867679,12.1105535814513,0.000501372486218438,0.186811818408388,"RANGAP1","RANGAP1","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"SAMD15",897.101981529752,1.03594540232816,0.295911865321593,12.1040750245957,0.000503117483524454,0.186811818408388,"SAMD15","SAMD15","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"TMBIM6",7285.03656601952,0.694467056567744,0.201148932573669,11.8904374770017,0.000564228676607946,0.199422033188083,"TMBIM6","TMBIM6","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113983081",501.468689446539,0.962781786164079,0.287449604604205,11.663842977862,0.000637265641390856,0.220117345860414,NA,"LOC113983081","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"TMEM201",2057.59388666649,0.447016743468587,0.13123575445801,11.5662664822277,0.000671591310406633,0.226818771901334,"TMEM201","TMEM201","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"KLF15",128.122625642418,-1.63485342138188,0.483224814181164,11.417974348945,0.000727369562924136,0.23530498628384,"KLF15","KLF15","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"SEMA3A",330.648502550201,-0.958381693444516,0.281745865166741,11.4171725572322,0.000727683534369027,0.23530498628384,"SEMA3A","SEMA3A","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"DSE",238.197470248093,-0.918595773981867,0.273317583477177,11.1878159153632,0.000823362053249843,0.250269129705822,"DSE","DSE","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC113996370",50.2893843996815,3.38170286198952,1.0546179865647,11.2207937991584,0.000808858900541156,0.250269129705822,"LOC113996370","LOC113996370","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"PHACTR1",236.248271737158,0.833176265879508,0.250828567609188,11.1925499108067,0.00082126406966779,0.250269129705822,"PHACTR1","PHACTR1","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"LOC114001775",1242.93042365518,-2.34501983325719,0.682593310730724,11.1156935093042,0.000856003110717724,0.255088926993882,"CYP4A22","LOC114001775 (CYP4A22)","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"BUB3",2699.65151178903,0.458398607277534,0.141299439539472,10.7798524153235,0.00102610862651302,0.256572893558606,"BUB3","BUB3","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
"C7",577.574097947426,-0.733754938872542,0.225268978000686,10.7523218798773,0.00104148570436171,0.256572893558606,"C7","C7","GON","~ Year + Status + mean_T + Status:mean_T",931,12,"LRT_full_interaction","no"
