"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"ABHD17B",559.647755547487,0.897613500237998,0.33880315617222,7.06399726992984,0.00786483200738832,1.08272797065791e-14,"ABHD17B","ABHD17B","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ACTC1",24.5997536911623,3.0031109245847,1.30868116951612,5.90359481059554,0.0151100148998071,1.08272797065791e-14,"ACTC1","ACTC1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ACTG1",14978.2290254163,-0.541829665717532,0.239428074319736,5.31214967406544,0.0211772102675712,1.08272797065791e-14,"ACTG1","ACTG1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ACVR1C",407.223257707528,-1.25245666056695,0.475545844838864,6.87022372689547,0.00876436786834778,1.08272797065791e-14,"ACVR1C","ACVR1C","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ACYP2",782.556737589012,-0.639190023342038,0.267769215111866,5.82096197537449,0.0158362814570672,1.08272797065791e-14,"ACYP2","ACYP2","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ADAM23",4899.49859863944,0.567784928066995,0.234861016421454,5.94242891019965,0.0147806358056913,1.08272797065791e-14,"ADAM23","ADAM23","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ADAMTS7",276.460948393485,-1.23183406968006,0.540656965333971,5.54859770369096,0.0184954990351699,1.08272797065791e-14,"ADAMTS7","ADAMTS7","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ADGRV1",2519.00532681116,1.30842675392789,0.518059161191445,6.01971476371494,0.0141469329856367,1.08272797065791e-14,"ADGRV1","ADGRV1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ALDH1A3",369.823752262232,-1.87408585145121,0.60154117271114,11.1100250840568,0.000858623302145205,1.08272797065791e-14,"ALDH1A3","ALDH1A3","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ALDH7A1",947.172610422717,-0.68863249433882,0.267267171179884,6.62993266188217,0.0100279055312142,1.08272797065791e-14,"ALDH7A1","ALDH7A1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ANKRD29",352.345135774548,0.971502369467955,0.396191638148996,6.00537451002724,0.0142623664105373,1.08272797065791e-14,"ANKRD29","ANKRD29","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ANKRD46",1336.46975279746,0.74905380831126,0.303963607112189,6.08848221470438,0.0136065922873865,1.08272797065791e-14,"ANKRD46","ANKRD46","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ANO10",1555.88488970503,-0.963349178434033,0.356910556594879,7.38310901898271,0.00658392566579007,1.08272797065791e-14,"ANO10","ANO10","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"APOLD1",88.5724718025493,-4.99174084545993,1.13618945953031,17.465855045495,2.92514425405926e-05,1.08272797065791e-14,"APOLD1","APOLD1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ARHGEF3",902.91346121647,0.829845528669621,0.368863573312094,5.33720937461402,0.0208748644628284,1.08272797065791e-14,"ARHGEF3","ARHGEF3","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"ARHGEF6",965.370168385572,0.996966269334934,0.364173763729085,7.7558257681699,0.00535395566440052,1.08272797065791e-14,"ARHGEF6","ARHGEF6","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"AS3MT",19.9995550677381,-6.30822607105522,1.81866159064898,8.99919162742816,0.00270099052635473,1.08272797065791e-14,"AS3MT","AS3MT","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"BACE2",84.8466973108509,-2.3406954186591,0.793585623508392,8.10210233103631,0.00442139465019435,1.08272797065791e-14,"BACE2","BACE2","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"BCL11B",398.796657431819,1.20189606509117,0.448297978931457,7.06196153718881,0.0078737739194031,1.08272797065791e-14,"BCL11B","BCL11B","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"BEND6",598.932438689754,0.687589190964383,0.292383875899518,5.47029155016777,0.0193423985756715,1.08272797065791e-14,"BEND6","BEND6","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"BET1L",207.134706314908,-2.85366432748307,0.792064280014033,15.10120236948,0.000101898365920351,1.08272797065791e-14,"BET1L","BET1L","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"BHLHE23",79.5969282280796,1.94997426235328,0.659701232961805,8.84836441923676,0.00293351648913344,1.08272797065791e-14,"BHLHE23","BHLHE23","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"BTBD1",891.021543627997,0.599277923792116,0.258665965330877,5.38918624667501,0.0202619177147922,1.08272797065791e-14,"BTBD1","BTBD1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CACNA1S",487.681573473376,-0.848885934124622,0.354046624226297,5.90979977399486,0.0150568831449016,1.08272797065791e-14,"CACNA1S","CACNA1S","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CAV1",210.323202090527,1.21260931987103,0.425645577442058,7.80059072119511,0.00522291568932401,1.08272797065791e-14,"CAV1","CAV1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CCDC27",18.204954931144,-7.01389821536956,2.08656273641511,8.64859865825764,0.00327313004109729,1.08272797065791e-14,"CCDC27","CCDC27","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CCDC73",69.4323103272885,-3.90876754042422,0.992166085637499,12.4982470321435,0.000407334044454767,1.08272797065791e-14,"CCDC73","CCDC73","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
