"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"LOC113992730",2666.52431919101,-0.711862329918677,0.128363401026691,30.6920348896116,3.02403861603018e-08,0.000448102042123352,"FAAHL","LOC113992730 (FAAHL)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"WDFY4",94.6311767690924,-1.95219804196726,0.364016935025015,27.6576541713844,1.447979789013e-07,0.00107280822567973,"WDFY4","WDFY4","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CALD1",226.408061496754,1.07726897361757,0.219828478537376,24.1999489677955,8.68345817095523e-07,0.00428904943924049,"CALD1","CALD1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"EPB41",2054.16407893211,-0.759365700644406,0.158430074140678,22.8431789506605,1.75772025891743e-06,0.00627300004628489,"EPB41","EPB41","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"KSR2",649.41582985042,-0.776468227330015,0.162747023569008,22.4861136586682,2.11668242889894e-06,0.00627300004628489,"KSR2","KSR2","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CREG1",592.39307465271,1.11424962912091,0.244103149825383,21.6288406480281,3.30839548811349e-06,0.00817063405714427,"CREG1","CREG1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"AMN1",456.71338499622,0.812238573611379,0.180910017331183,19.8549085791122,8.354792359204e-06,0.0137557014642983,"AMN1","AMN1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CUNH7orf57",73.3232593682798,1.61829898192967,0.362435419238145,20.0110329971407,7.69966244282912e-06,0.0137557014642983,"CUNH7orf57","CUNH7orf57","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113998650",73.6017554185547,-2.1916522238104,0.506873237398131,20.2802156608748,6.68886821663837e-06,0.0137557014642983,"LOC113998650","LOC113998650","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC114000615",11.1707925559369,-4.84655288184903,1.17771631709745,18.3735467494349,1.81561223243724e-05,0.025989370703322,"LOC114000615","LOC114000615","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"NDC1",160.05543570597,0.96375607001014,0.228256091474268,18.2578462408701,1.9292959760868e-05,0.025989370703322,"NDC1","NDC1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ARRDC1",652.026035280459,-0.768244303401778,0.182679824558973,17.6857612897452,2.60569823020073e-05,0.0321760303125953,"ARRDC1","ARRDC1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SURF4",3026.15101865121,-0.487086757957296,0.11779810675125,17.3486014754282,3.11127139021066e-05,0.035463707277032,"SURF4","SURF4","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GAB1",403.632430360874,0.870778052161934,0.21298719112608,16.3225185048693,5.34253005944698e-05,0.0561447784776063,"GAB1","GAB1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MDFIC",318.187934890732,1.05147826307579,0.266308754124323,16.2053171556321,5.68343688192802e-05,0.0561447784776063,"MDFIC","MDFIC","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"F2R",46.9758051028154,1.65509871393725,0.433354031168983,15.6679360686065,7.54932057686854e-05,0.067276094256757,"F2R","F2R","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC114003417",29.4558307211152,-5.30929138585264,1.24350800172797,15.6260794671012,7.71827238739957e-05,0.067276094256757,"ATP2A3","LOC114003417 (ATP2A3)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"APOC3",88.031908746681,-1.71432024043974,0.449503077911459,15.2074288405157,9.63237457191139e-05,0.0713662632032915,"APOC3","APOC3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CBFB",296.603729819647,0.911517667318095,0.23107802215087,15.3864634634781,8.76136910002641e-05,0.0713662632032915,"CBFB","CBFB","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PLEKHB1",3995.44022122328,-0.976517795107287,0.248056976250499,15.2359761628992,9.48786475574419e-05,0.0713662632032915,"PLEKHB1","PLEKHB1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MLC1",1033.45168624854,0.990867277744051,0.254756810256791,15.0611519269667,0.000104083469711627,0.0734432787708044,"MLC1","MLC1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ARHGAP23",920.485646780691,-0.61864843444037,0.161151039573985,14.6702531681524,0.000128051299822597,0.0758985664308494,"ARHGAP23","ARHGAP23","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SLC9A1",1463.10121656158,-0.870733451544155,0.224020106167597,14.7958274651725,0.000119800280937755,0.0758985664308494,"SLC9A1","SLC9A1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SMOC1",1563.45024595815,-0.832886445149149,0.21484807398862,14.8001757389285,0.00011952436277603,0.0758985664308494,"SMOC1","SMOC1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SOX4",788.072797028594,1.30831559010135,0.347721973446153,14.7103023524357,0.000125359493571886,0.0758985664308494,"SOX4","SOX4","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ABCC4",298.467989972834,1.11714686253946,0.2856298600261,14.3526888387301,0.000151563087450792,0.0774435113739945,"ABCC4","ABCC4","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MAPK8IP1",2004.72713400341,-0.469932103724545,0.123595779943876,14.4601600105587,0.000143155548450214,0.0774435113739945,"MAPK8IP1","MAPK8IP1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"RASGRF1",8243.50583478386,-0.556911397163392,0.145342159192761,14.3758058143654,0.000149713623979751,0.0774435113739945,"RASGRF1","RASGRF1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"VSTM2A",1014.6293679795,1.41154318633096,0.369741836831672,14.5315885056383,0.000137828988077066,0.0774435113739945,"VSTM2A","VSTM2A","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ASPM",20.7556452818853,2.53849879551261,0.71193661259026,14.2815042942388,0.000157403946719784,0.0777470560831252,"ASPM","ASPM","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"RAB3A",5396.65123318336,-0.564933287889678,0.150971502916982,14.0798948382183,0.000175206606317506,0.083748757819768,"RAB3A","RAB3A","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113985004",1950.15922613631,-1.08564743048723,0.293466504145336,13.973159738225,0.000185439070116481,0.0858698794058132,"LOC113985004","LOC113985004","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"HTR6",295.499017110855,-1.54786515585355,0.426769847305784,13.8546067927272,0.00019751194165926,0.0860803515149093,"HTR6","HTR6","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"XPO7",1631.21746318743,-0.464170857131712,0.12494449091203,13.8918336830669,0.000193637992127982,0.0860803515149093,"XPO7","XPO7","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"WFS1",1375.83131583168,1.11899978698827,0.313969273069638,13.6372265670784,0.000221744742358259,0.0938803883504194,"WFS1","WFS1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113995736",96.828891250547,-1.33461591875527,0.365119699805389,13.5817992413332,0.000228389217609018,0.0940075396258453,"RPUSD1","LOC113995736 (RPUSD1)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CAMK1D",9435.56650457815,-0.721811876262663,0.195925247934147,13.4179985969043,0.00024922145716769,0.095425245704326,"CAMK1D","CAMK1D","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LY75",98.6051408571861,1.01416615975482,0.278372442815585,13.4035168751477,0.000251152961429931,0.095425245704326,"LY75","LY75","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SLTM",1182.43205801069,-0.434902569394751,0.118932385945793,13.4798554235234,0.000241138381204095,0.095425245704326,"SLTM","SLTM","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SOCS1",46.8345949571974,-1.93155235330236,0.524808891351096,13.2359804925121,0.000274626182590578,0.10173526934068,"SOCS1","SOCS1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DRD3",74.4829991707274,-1.42328308063469,0.391097711186163,13.0008161262846,0.000311355243532303,0.110268510985252,"DRD3","DRD3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ESPN",372.507476221439,-1.16111579322172,0.325312180348679,12.9936804286291,0.000312544031676379,0.110268510985252,"ESPN","ESPN","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113994102",784.86586801404,-0.828691035581601,0.232705788174762,12.8944478639545,0.000329558303395048,0.112011805551679,"LOC113994102","LOC113994102","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PXYLP1",216.002306574555,0.835659468096793,0.234882586347495,12.8772334460677,0.00033260355272465,0.112011805551679,"PXYLP1","PXYLP1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"BRD1",672.66561965531,0.557934396544746,0.155167758705462,12.8145832005394,0.00034392801861042,0.113251675105982,"BRD1","BRD1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"FRAS1",715.730121145748,-2.25118455066495,0.616136734360667,12.6576730302591,0.000374027450239949,0.113973024518088,"FRAS1","FRAS1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113982219",754.583049089117,-0.441325390830176,0.123661359737362,12.7124257086219,0.000363233961702682,0.113973024518088,"EXOC6","LOC113982219 (EXOC6)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113993120",8.9001820789108,6.95797047917836,2.12034283160579,12.6434453759999,0.000376884748372676,0.113973024518088,"CARTPT","LOC113993120 (CARTPT)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MCTP2",93.7288823303031,2.18384316086732,0.655711594899899,12.7393005102209,0.000358051578924127,0.113973024518088,"MCTP2","MCTP2","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DNAJC16",925.415513727265,-0.423060429214669,0.120005327833257,12.4050347283689,0.000428177846067644,0.118129585225118,"DNAJC16","DNAJC16","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GLA",283.398438249907,-1.30308582967386,0.36890357166791,12.3703176855632,0.000436213377374625,0.118129585225118,"GLA","GLA","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113989282",9.38634342576822,-4.37366266915097,1.37416073070123,12.5312251767313,0.000400207306018857,0.118129585225118,"LOC113989282","LOC113989282","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"NPTXR",6751.62977368005,-0.604673450060766,0.171232589025945,12.4269785961395,0.000423175966206249,0.118129585225118,"NPTXR","NPTXR","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SYT7",2216.37982675354,-0.610929213547022,0.173739469532501,12.3607189329717,0.000438461815857841,0.118129585225118,"SYT7","SYT7","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TWSG1",1288.829764544,0.717242911002907,0.204529763002547,12.4420706143749,0.000419770149279067,0.118129585225118,"TWSG1","TWSG1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113990296",141.17000160002,1.06834745286857,0.312839334415747,12.2844851164478,0.000456739390380921,0.120809678896834,"GCNA","LOC113990296 (GCNA)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TNR",5310.16284531846,-0.699845504751631,0.200276969437049,12.2521783776145,0.000464715325760529,0.120809678896834,"TNR","TNR","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ATRN",1387.64463579894,-0.56558798529809,0.160327148690679,12.0728417053689,0.000511616576865569,0.13070921441369,"ATRN","ATRN","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113990369",104.817601957581,1.58334210617326,0.438155428853142,12.0128681818966,0.000528344864562367,0.132695155984494,"PLRG1","LOC113990369 (PLRG1)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GOLGA2",1321.72715215572,-0.477677024610885,0.139913909191965,11.9478850172985,0.000547094492558592,0.135114103178887,"GOLGA2","GOLGA2","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"DBN1",4852.74953983618,-0.575831664836118,0.168462933693295,11.7321291840216,0.000614302713491906,0.145070160383392,"DBN1","DBN1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"PRTFDC1",367.659192520275,0.955847885826729,0.281962454453005,11.7246446473952,0.000616778249706687,0.145070160383392,"PRTFDC1","PRTFDC1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TC2N",63.8762137892705,-2.45862114719751,0.71342040789534,11.7276598544197,0.000615779750145228,0.145070160383392,"TC2N","TC2N","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"CDC25A",108.077381358908,-0.964804102286642,0.284397784863718,11.6635580655768,0.000637363244280299,0.147569508652273,"CDC25A","CDC25A","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"NAAA",1071.42937612293,0.564482627351589,0.167272893094608,11.6091982164764,0.000656264382116537,0.149608086372352,"NAAA","NAAA","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113992343",84.9359211263802,0.951830820766681,0.281841313970648,11.5625042394793,0.000672951568454655,0.151087823353956,"LOC113992343","LOC113992343","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"STAT3",1524.47338870512,-0.632878405480237,0.18647937576393,11.4942551275497,0.000698116299723305,0.15439831834776,"STAT3","STAT3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"SGK1",419.211746292384,-0.899814202586452,0.263003340321708,11.3584795253234,0.000751042837068164,0.163661069995236,"SGK1","SGK1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"AMIGO3",431.10968262341,-1.55124687231335,0.46224633105138,11.1451512862244,0.000842516015499998,0.164268451548408,"AMIGO3","AMIGO3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"ASTN1",9166.17426362948,-0.545381104866351,0.160832828442563,11.2483569013496,0.000796935313667454,0.164268451548408,"ASTN1","ASTN1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
