"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"NES",100.082354830053,-6.54350457281072,1.01042641990806,40.8083722989991,1.67912172619549e-10,2.48711510084076e-06,"NES","NES","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"ABLIM3",191.526370616967,-1.98839828395001,0.411912510207883,23.7571032921787,1.09291276739447e-06,0.00679346131406831,"ABLIM3","ABLIM3","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"TPD52L1",619.999148582867,1.60969837165595,0.330300573833607,23.3140152056489,1.37593734419423e-06,0.00679346131406831,"TPD52L1","TPD52L1","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"ENHO",592.12783129923,-1.35283266875112,0.291486945093897,22.1560197666992,2.51366548214503e-06,0.00930810328038303,"ENHO","ENHO","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"ERBB3",39.2277741025458,-3.41077768317744,0.763248404346431,20.4883754753195,5.99945086052166e-06,0.0177727732292094,"ERBB3","ERBB3","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113985992",684.934503086321,-2.17362163419095,0.508955674315459,19.6942153188111,9.08760380724446e-06,0.0192293696561293,"ATP1A3","LOC113985992 (ATP1A3)","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"PHF24",228.144108363754,-6.61665012852658,1.42381958155525,19.9812878453262,7.82037329542768e-06,0.0192293696561293,"PHF24","PHF24","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113999239",112.087021519018,-3.94194638488576,0.915313077994147,19.0489298018166,1.27409205837959e-05,0.0235898144608981,"AQP5","LOC113999239 (AQP5)","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113988870",7273.3201248271,-1.952297962404,0.478331472571939,18.0132518772257,2.193725315131e-05,0.0361038437419115,"LOC113988870","LOC113988870","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"SESN2",460.46754206575,-1.67384323422158,0.420452786938091,16.8252313426312,4.0984744389016e-05,0.0607066033890106,"SESN2","SESN2","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"CORO6",216.892075803648,-2.15809150693843,0.555089679574659,16.1445833117892,5.86861620120734e-05,0.0787995198831026,"CORO6","CORO6","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"PLEK2",36.9295251284072,-3.86181728134889,0.936239476041721,15.9851960451935,6.38397406560377e-05,0.0787995198831026,"PLEK2","PLEK2","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
