"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"SLC6A6",2679.75260758386,-0.570282331847113,0.113526686202022,25.3142719695169,4.87091328343285e-07,0.00743691040114528,"SLC6A6","SLC6A6","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ADGRV1",2692.0466741388,0.876141085700697,0.175456525186754,23.8317643993113,1.05133141460528e-06,0.00802586401909669,"ADGRV1","ADGRV1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113998650",130.890058238513,-2.3012964922606,0.526828618522385,20.6906048412264,5.39802128060408e-06,0.027472329637421,"LOC113998650","LOC113998650","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114001499",336.599783784632,0.889767869669142,0.199130306336051,19.9072382635199,8.12919617238535e-06,0.0310291417899949,"LOC114001499","LOC114001499","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"EPPK1",160.588454747149,2.06399253888252,0.453630519755008,18.9222870788675,1.36152726795809e-05,0.0415755966543684,"EPPK1","EPPK1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"FZD5",427.448970623368,1.02881062162866,0.238355128292006,17.8268065221901,2.41950436695803e-05,0.0487508211446216,"FZD5","FZD5","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113998586",63.7406012392667,2.2127499077485,0.523353450611417,17.7657338420544,2.49842680811071e-05,0.0487508211446216,"LOC113998586","LOC113998586","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114000398",9.87400728689276,-4.35979384720397,1.05855866857422,17.7235799606414,2.55440509010331e-05,0.0487508211446216,NA,"LOC114000398","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ATRIP",1121.81976451363,0.547300963671424,0.131790856263703,17.0946837039793,3.55617113400174e-05,0.0549498694679781,"ATRIP","ATRIP","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113998968",17.9394244904519,3.25224800221762,0.788903078115907,17.0719365214957,3.599022102959e-05,0.0549498694679781,"EML6","LOC113998968 (EML6)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ABCA1",1360.03147673875,0.563481611521369,0.137746187433354,16.8878055261213,3.96555305656072e-05,0.0550418764250628,"ABCA1","ABCA1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ZFAND1",209.008954651364,-0.868493910318609,0.212356790319515,16.5745162688172,4.67753478940398e-05,0.05951383430385,"ZFAND1","ZFAND1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"TMEM234",203.743537451918,-0.98617989135036,0.244631547472202,16.254518679777,5.5377363996214e-05,0.0650385841149381,"TMEM234","TMEM234","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"PPP1R10",982.529631925223,0.632460783049512,0.157718903843567,15.8224393812437,6.95725082257134e-05,0.0758737896850138,"PPP1R10","PPP1R10","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LRRC3B",501.488771747608,-0.657793996389659,0.164744097063411,15.6789077551695,7.50565272362081e-05,0.076397537189495,"LRRC3B","LRRC3B","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113993655",75.7802262033481,1.61954516138172,0.407070041954125,15.389167877894,8.74883846325694e-05,0.0785748621511805,NA,"LOC113993655","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114004074",368.427235512904,0.824350726115545,0.209044873520313,15.4946824729182,8.27376808155802e-05,0.0785748621511805,"MED25","LOC114004074 (MED25)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"TNRC18",6230.44036078462,0.550589586613309,0.138876040967351,15.1976517806448,9.6823746945651e-05,0.0821280537981222,"TNRC18","TNRC18","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ABHD2",2423.67501443538,-0.699514235638933,0.18097066687235,14.9093412395944,0.000112803039878753,0.089183293653684,"ABHD2","ABHD2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"GPM6A",9436.20199152588,-0.317937700833735,0.0839271275648567,14.4996099385208,0.000140188567440949,0.089183293653684,"GPM6A","GPM6A","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"PRDM10",1160.82205932631,0.455422803480846,0.118172451205161,14.5993020141132,0.000132963783212418,0.089183293653684,"PRDM10","PRDM10","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"SERPING1",65.6443897427444,1.76583847654304,0.447267438178146,14.8221487393123,0.000118139826455631,0.089183293653684,"SERPING1","SERPING1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"SYNE1",9934.83357114467,0.453265160750675,0.118082465445463,14.5910353883654,0.000133548349174476,0.089183293653684,"SYNE1","SYNE1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"THY1",18031.6509538432,0.289948934267739,0.0760675193051391,14.5055785352265,0.000139745100435643,0.089183293653684,"THY1","THY1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ANTXR1",734.471374406061,0.681970922332663,0.180649947337902,14.0195463103433,0.000180920128467934,0.109702897821062,"ANTXR1","ANTXR1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113991284",200.707492564152,1.59857218777476,0.411206451902965,13.9592724510935,0.000186813947036129,0.109702897821062,"MMP14","LOC113991284 (MMP14)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"SAMD4A",1829.37491484497,0.36904716016814,0.0986191386288729,13.8814805094368,0.000194707628088767,0.110103557987381,"SAMD4A","SAMD4A","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113988444",90.2114087976415,-2.22885449513085,0.576773898825061,13.6609037509651,0.000218966086466755,0.116907497730887,"LOC113988444","LOC113988444","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"VWA5B1",1591.58272623378,0.779311934460893,0.204834577207269,13.6346115456824,0.000222053801034563,0.116907497730887,"VWA5B1","VWA5B1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"DUSP7",636.373893765947,-0.776410002319653,0.206235532274762,13.4716354755071,0.000242197103720193,0.123262179319997,"DUSP7","DUSP7","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113996211",1321.67292329431,0.623267131158685,0.17016589822837,13.3655391588976,0.000256290222768339,0.126227068426677,"LOC113996211","LOC113996211","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CROCC",859.195672777032,1.02161218479261,0.276158286997287,13.2447750573664,0.000273340709057783,0.130417685809195,"CROCC","CROCC","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"POU3F3",210.096180541414,-0.97889555281506,0.269892042260862,13.0843703969074,0.000297769901296654,0.137768207666585,"POU3F3","POU3F3","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ABHD8",2657.27912106781,0.529405509129839,0.144846160858236,12.9453325267231,0.000320720124600447,0.143609921784194,"ABHD8","ABHD8","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ARRDC2",311.154195986249,-0.945795302239828,0.265628727237421,12.7708799233875,0.000352057188756637,0.143609921784194,"ARRDC2","ARRDC2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"KMT2C",4479.10369395685,0.494114598626525,0.136179829843225,12.7809340400283,0.000350170041890908,0.143609921784194,"KMT2C","KMT2C","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113984019",1590.83690021323,0.519918940372477,0.143339993466272,12.7425722186878,0.000357425794327965,0.143609921784194,"FUS","LOC113984019 (FUS)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"SERPINF2",58.399331004155,1.46138077277974,0.407825504552236,12.8690754177107,0.000334056611470688,0.143609921784194,"SERPINF2","SERPINF2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CTBS",1043.13637419238,-0.529669994081305,0.151530815585445,12.5785989037176,0.000390189139757191,0.152754045790072,"CTBS","CTBS","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ATP8B3",362.6107987445,1.36407697849808,0.370029417283213,12.5029614173701,0.000406307452086941,0.155087554461585,"ATP8B3","ATP8B3","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"DNAH9",714.500291674179,0.829092976495868,0.239387900716461,12.4079644400805,0.00042750661320378,0.159199291960861,"DNAH9","DNAH9","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ARHGDIB",2610.01206887427,-0.314412697466854,0.0889444706567886,12.3024993356429,0.000452352147370592,0.164440775858433,"ARHGDIB","ARHGDIB","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CENPI",197.772082191082,1.54931727171279,0.441784248931636,12.1730865051374,0.000484840115108903,0.172152066918203,"CENPI","CENPI","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ISYNA1",1138.64150482365,0.753829168724315,0.213056802895546,12.0734461353125,0.000511450734318873,0.173529551368457,"ISYNA1","ISYNA1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"MAPK7",341.215586226379,0.857820034588063,0.247224485977262,12.1089680160133,0.000501798992391621,0.173529551368457,"MAPK7","MAPK7","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CWH43",21.2635386611545,-2.68314709770328,0.804044179193349,11.9865790195102,0.000535850682644015,0.175007314295746,"CWH43","CWH43","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114000425",138.034790314123,1.24085617636963,0.360292706958123,11.9765895227683,0.000538730925589471,0.175007314295746,"DNAH9","LOC114000425 (DNAH9)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"FEN1",491.591454913747,-0.606000631464707,0.176953591961773,11.8355239848919,0.000581113437432627,0.181070203320844,"FEN1","FEN1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"IRF2BPL",1991.08067098331,0.482408370143138,0.139882065953177,11.8641949197924,0.000572235022030533,0.181070203320844,"IRF2BPL","IRF2BPL","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114001494",197.976057853209,0.808811056537402,0.238953879331248,11.7304261095249,0.000614865127975567,0.184823765108201,"PSD","LOC114001494 (PSD)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
