"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"LOC113998650",162.6322276562,-2.37819778290539,0.4648750793862,25.8974505892069,3.60044342942647e-07,0.00545503183992404,"LOC113998650","LOC113998650","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114003417",27.1604710605826,-3.31851528559733,0.738471856910289,19.7045321906929,9.03867464635026e-06,0.0684724797834264,"ATP2A3","LOC114003417 (ATP2A3)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114003864",67.3245611789238,2.31892277600421,0.546225470954289,18.2381300357075,1.94936968348981e-05,0.0984496669151804,"LOC114003864","LOC114003864","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"ATRIP",1074.46211863401,0.618109379627584,0.150663116379229,16.8403745478539,4.0659017126974e-05,0.100614422344884,"ATRIP","ATRIP","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"CCDC73",276.440529659766,-1.47507738939769,0.359306855840817,16.3331571172718,5.31262212896225e-05,0.100614422344884,"CCDC73","CCDC73","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GNRH2",181.170684218918,2.87035139795141,0.640341982759027,16.5442645461177,4.75275191805954e-05,0.100614422344884,NA,"GNRH2","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"KLHL4",755.739828395825,-1.04541331968898,0.258903113188041,17.1917882078406,3.37893808150613e-05,0.100614422344884,"KLHL4","KLHL4","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113995152",10.0609469266495,-4.34691365533503,1.08943921245098,16.4381138394886,5.02643531600627e-05,0.100614422344884,NA,"LOC113995152","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"CUNH2orf80",266.493862276521,0.956290571486833,0.239338117732802,15.7508032471572,7.2257251631136e-05,0.12048250792933,"CUNH2orf80","CUNH2orf80","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"EBF3",438.838401442074,1.46028529035647,0.368828754522581,15.5696424807791,7.95211589527624e-05,0.12048250792933,"EBF3","EBF3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113989593",353.408381345207,-0.701415766444024,0.184917947370149,14.6948010533418,0.000126394551167939,0.174091258613222,"AKAP8","LOC113989593 (AKAP8)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114003649",50.5051313954561,4.22188386752519,1.08130927210356,13.222402649998,0.000276622790121375,0.349259324427413,"LOC114003649","LOC114003649","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"APOD",110.205096909868,2.83165985922402,0.728048683023468,13.059384751007,0.000301768546004082,0.351699633885219,"APOD","APOD","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113994886",727.455840194558,-0.634287996826836,0.176584109536104,12.7936626386631,0.000347795523341176,0.354964286119632,"CYB5D2","LOC113994886 (CYB5D2)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114000398",12.6476126523947,-4.56064525635761,1.35929685487103,12.746137597218,0.000356745094965679,0.354964286119632,NA,"LOC114000398","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SEMA3E",196.175910084347,1.2682325182463,0.360980114126609,12.6535409193724,0.000374855031213393,0.354964286119632,"SEMA3E","SEMA3E","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"AKAP12",4852.44120182731,0.680228940241429,0.191610987616684,12.2807818645517,0.00045764660005473,0.376563920022722,"AKAP12","AKAP12","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"CISH",580.717259518048,-1.31610562824521,0.358387564338541,12.2096914038385,0.000475418976680102,0.376563920022722,"CISH","CISH","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"L3HYPDH",70.8207928400353,-1.55033814631581,0.440394526574444,12.0356177469466,0.000521935338953017,0.376563920022722,"L3HYPDH","L3HYPDH","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113987004",419.79314734286,1.00340607487208,0.284554195316173,12.1556611776547,0.000489390912967371,0.376563920022722,"GJB6","LOC113987004 (GJB6)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113995733",138.997619003148,1.69115621309692,0.485861746941733,12.0836022336528,0.000508672221666733,0.376563920022722,"NPY6R","LOC113995733 (NPY6R)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"NTN4",1066.72089528491,0.696838179998069,0.200220110201309,11.7942166883367,0.000594150058865215,0.40918034281213,"NTN4","NTN4","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"CENPI",203.276764201076,1.64900513498884,0.491438818992184,11.3567136774939,0.000751757250108311,0.483046510463004,"CENPI","CENPI","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"CIITA",64.9167983183634,-1.56228133112669,0.494750690145531,10.7475870406093,0.00104415372488412,0.483046510463004,"CIITA","CIITA","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"COPG1",2417.62739395456,0.407264060473909,0.12219209013031,11.0022857952079,0.000909995926475545,0.483046510463004,"COPG1","COPG1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"ESRRB",20.9397773352479,-2.35902627711101,0.771939743454708,10.5540548243494,0.00115933480258516,0.483046510463004,"ESRRB","ESRRB","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"FGD2",30.277323122959,1.59163317688733,0.495687189493991,10.6113567490882,0.0011239518874736,0.483046510463004,"FGD2","FGD2","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GANC",581.018667099489,-0.872134558970269,0.277099802523356,10.521965255522,0.00117963968629999,0.483046510463004,"GANC","GANC","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113985334",17.858341833995,-2.17439823792325,0.656865148178689,10.8182538479703,0.00100504233256756,0.483046510463004,"PCDHGA2L","LOC113985334 (PCDHGA2L)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113993087",575.415411542605,-1.64271042638546,0.51505160707648,11.0341736594769,0.000894475382083289,0.483046510463004,"GPR83","LOC113993087 (GPR83)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113998586",73.9475012471176,1.83672579715674,0.560989589001917,11.2384938834878,0.000801181433927512,0.483046510463004,"LOC113998586","LOC113998586","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114001938",15.3983514069439,-3.94121454649523,1.26926738970489,10.5245538476646,0.00117798847819102,0.483046510463004,"AMY2A","LOC114001938 (AMY2A)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"MKS1",288.16855496589,0.677442010043093,0.20245888555455,11.2203154826262,0.000809067400423479,0.483046510463004,"MKS1","MKS1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"NGB",1140.23078423415,0.66102254923798,0.196500583287996,10.8643728976214,0.000980319409246863,0.483046510463004,"NGB","NGB","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"PGBD5",799.738030046763,-0.595958033695085,0.184192497233987,10.5683772590187,0.00115038667523137,0.483046510463004,"PGBD5","PGBD5","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SIM1",1422.67472866481,1.01195376687276,0.304647447102528,11.0049548127667,0.000908686479405866,0.483046510463004,"SIM1","SIM1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SLC13A5",909.034528699142,-0.757030023206065,0.228050868085638,10.7859049694702,0.00102275890091051,0.483046510463004,"SLC13A5","SLC13A5","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GREB1",2125.59985507742,-1.33618068304138,0.427689686626702,10.3321927488277,0.00130729804100598,0.495331761004465,"GREB1","GREB1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114002120",68.5699926359434,-1.80314334864289,0.569167795719061,10.3315966570567,0.00130772031154238,0.495331761004465,NA,"LOC114002120","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"SNAPC3",378.961426417957,-0.691091001094302,0.217039719775415,10.4083934025707,0.0012544383298867,0.495331761004465,"SNAPC3","SNAPC3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"ANKRD31",478.892719020831,-0.58497495510932,0.1870034290733,9.81043660948787,0.00173524305674367,0.605766638904012,"ANKRD31","ANKRD31","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113983874",21.0036394402732,-1.9464861786804,0.621046335960925,9.90560881679127,0.00164775809208643,0.605766638904012,"LOC113983874","LOC113983874","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113987184",446.601074517827,0.640445249080565,0.202731839426328,9.80592968856669,0.00173950076524106,0.605766638904012,"EXOC4","LOC113987184 (EXOC4)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"PRLH",109.203399452577,-2.73926545125239,0.833613891281191,9.78521547070542,0.00175920613238575,0.605766638904012,"PRLH","PRLH","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113993161",1746.7563404069,-0.524180958650127,0.170310184568845,9.72428072905257,0.00181849472554934,0.608598915961243,"ANKRD26","LOC113993161 (ANKRD26)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114004308",27.4521600190616,2.71569906361295,0.820596692632566,9.69493206904825,0.00184776913300885,0.608598915961243,NA,"LOC114004308","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"VXN",71.725865884804,1.06713724948578,0.340749090204753,9.62505173035116,0.00191941043539969,0.618744415037037,"VXN","VXN","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"ATP1A1",795.226156585838,-0.710926638022554,0.232837134051063,9.4028451059192,0.0021664899405848,0.619950806900514,"ATP1A1","ATP1A1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"FAM107A",433.128502412188,-1.08197539855327,0.338986355903468,9.44298064984702,0.00211958742049783,0.619950806900514,"FAM107A","FAM107A","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GUCA1C",98.6183839241187,-1.44762234766407,0.48602568092407,9.40100812819834,0.00216866165703434,0.619950806900514,"GUCA1C","GUCA1C","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"IGFBP3",300.542494937915,-0.619400356418701,0.201780656728061,9.53073192439992,0.00202059521282719,0.619950806900514,"IGFBP3","IGFBP3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114004218",167.821405241417,1.11182643552248,0.345201916708041,9.52772023268865,0.0020239137498248,0.619950806900514,"HEATR8L1","LOC114004218 (HEATR8L1)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"PTPRQ",97.4079856146013,-1.5537934865471,0.492411071809487,9.41266283177744,0.00215492054377357,0.619950806900514,"PTPRQ","PTPRQ","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"OLIG3",38.1725517269547,-1.76143377421278,0.588144387181416,9.27179435784782,0.00232709611731476,0.652922838396962,"OLIG3","OLIG3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"DRAM1",25.7467136699665,-2.0797905448138,0.704061951493298,8.90395066564507,0.00284554347898539,0.665188009002244,"DRAM1","DRAM1","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GADD45B",677.484050538061,-1.47426896400366,0.455299673255544,9.01899278938748,0.00267188583873293,0.665188009002244,"GADD45B","GADD45B","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"GCDH",424.732361216622,0.639555884767694,0.215064426425047,8.90991161885225,0.00283626992058912,0.665188009002244,"GCDH","GCDH","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"KCNE3",16.9056477624346,2.41939089978815,0.792410938702506,9.10765343099412,0.00254542201666465,0.665188009002244,"KCNE3","KCNE3","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113983980",147.768304566463,-1.42387171872324,0.461713198446503,8.96344692439723,0.00275434738744919,0.665188009002244,"CITED4","LOC113983980 (CITED4)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113992627",164.314323003131,1.13013168711141,0.364480723561519,9.13867395676783,0.00250262414952296,0.665188009002244,"LOC113992627","LOC113992627","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113995899",93.324039725598,0.89505675256428,0.2965765833249,8.88475682132164,0.00287561341915219,0.665188009002244,"AGPAT1","LOC113995899 (AGPAT1)","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC113996120",32.6353256045653,-1.85500038358344,0.641825982282823,8.87221040219353,0.00289544343851202,0.665188009002244,NA,"LOC113996120","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"LOC114000615",9.791487563755,-3.24757644678616,1.11066194217537,9.07804127249393,0.00258696985657036,0.665188009002244,"LOC114000615","LOC114000615","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"OCLN",130.442683308682,0.84015832574138,0.280496261945197,8.8163299539076,0.00298546529022194,0.665188009002244,"OCLN","OCLN","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
"OTP",1932.10112389276,1.25265235106592,0.42217894104829,8.83462118165585,0.00295568985557477,0.665188009002244,"OTP","OTP","PVN","~ Status + mean_T + Status:mean_T",714,3,"LRT_full_interaction","no"
