"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"LOC113998650",108.238463203173,-2.44942862487535,0.372608054545878,45.0504313303487,1.92024959949487e-11,2.04448974858219e-07,"LOC113998650","LOC113998650","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ADGRV1",3312.60401707152,1.03887440073075,0.179181147331838,33.0137342502215,9.15101425121155e-09,3.24769495775498e-05,"ADGRV1","ADGRV1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"FRAS1",209.484139031759,-2.14902637500313,0.373245190301756,33.6690208303099,6.53329043316736e-09,3.24769495775498e-05,"FRAS1","FRAS1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CENPH",283.29573308078,-1.95704310167372,0.35017362061781,31.8545893661472,1.66156616103051e-08,4.42267372912297e-05,"CENPH","CENPH","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113995352",1004.67207606139,1.76326692529736,0.357068904755194,24.143594582689,8.94130727004038e-07,0.0019039619700824,NA,"LOC113995352","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"VWA1",1804.59926284066,1.33215293384445,0.283985714781438,22.0622611440638,2.63948271063786e-06,0.00401465320288018,"VWA1","VWA1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"WDR19",758.307953738739,0.763098401317366,0.161454410452746,22.2445350100136,2.40041011236498e-06,0.00401465320288018,"WDR19","WDR19","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"DHCR24",3910.16070649701,-0.54281975016661,0.117129453852717,21.0864324431751,4.39025598676038e-06,0.0050896737506373,"DHCR24","DHCR24","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"NHSL2",2594.52477866893,0.593080420165546,0.129708366964766,20.7407775702267,5.25842126956047e-06,0.0050896737506373,"NHSL2","NHSL2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"THSD7A",718.993568770719,-1.00857078184453,0.214275493112209,21.1021978317264,4.35428428894618e-06,0.0050896737506373,"THSD7A","THSD7A","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ZNF831",913.348472421584,1.26777990363129,0.278877227861067,20.7905514129808,5.12351133396751e-06,0.0050896737506373,"ZNF831","ZNF831","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CREB3L2",918.934296583829,0.771152931772033,0.17236816471395,20.4264070838794,6.19687865065509e-06,0.00549818058279373,"CREB3","CREB3L2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"IL1R1",475.497805653883,-1.03274736566407,0.237659978071171,19.543385660257,9.83406355922744e-06,0.00805409805500728,"IL1R1","IL1R1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ABCC4",754.80092548527,0.76333890653166,0.174636002396578,19.2444207121646,1.15005981753574e-05,0.00832350116409664,"ABCC4","ABCC4","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ELFN2",1759.71898159926,0.855133853216251,0.198779174273453,18.9330843733556,1.35384336080063e-05,0.00832350116409664,"ELFN2","ELFN2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"EYS",126.871005186539,-1.73967578105111,0.387075995448611,18.8593649266407,1.4071853193739e-05,0.00832350116409664,"EYS","EYS","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113990629",265.942799999294,1.60029509200595,0.368151772025445,18.8611567099552,1.40586412071992e-05,0.00832350116409664,"CRYM","LOC113990629 (CRYM)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ULK1",1375.4917727184,0.907553818694301,0.20780182583611,19.1095225410027,1.23427515895108e-05,0.00832350116409664,"ULK1","ULK1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CD24",686.156463998024,1.32798666567775,0.31883637662484,18.4083458105228,1.78275443606816e-05,0.00998999288464091,"CD24","CD24","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"FHL2",729.220037737385,1.10654827044188,0.256063196038927,18.2889143216723,1.89808511013142e-05,0.0101044560837846,"FHL2","FHL2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
