"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"LRRC25",225.386755677076,-5.08852835318232,0.808708372933701,30.1985052812911,3.90009927662573e-08,0.000295666526160996,"LRRC25","LRRC25",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113993090",163.878311516129,3.43041839446426,0.655975490954569,26.923430151504,2.11677143095707e-07,0.0010698162812057,"GPR83","LOC113993090 (GPR83)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DLX1",1212.23391584007,1.50432267240525,0.312280248383011,23.1490227467589,1.4991937612486e-06,0.00568269395201281,"DLX1","DLX1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CISH",386.165255736183,-1.40347425571735,0.30186696808589,22.2381555849886,2.40839859899377e-06,0.00666566869277881,"CISH","CISH",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"RASL11B",357.241083077974,-2.27594790178181,0.493478691884219,22.0635002074604,2.63777945895481e-06,0.00666566869277881,"RASL11B","RASL11B",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113985615",391.007128581747,-2.77275494065591,0.599028253250311,21.3686661637664,3.78913497328962e-06,0.00718135805812715,"ESX1","LOC113985615 (ESX1)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DDIT4",334.804634184168,-3.26847837951091,0.680392968165763,21.1417363767384,4.26536530783038e-06,0.00718571875525825,"DDIT4","DDIT4",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CCN1",449.048844273991,-2.34790760079359,0.504950820315289,20.8651208727497,4.92786596253336e-06,0.00747163037239308,"CCN1","CCN1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DLX2",225.365035219402,1.57642905461779,0.349895477778133,20.4838535013169,6.0136416054056e-06,0.00759823616842997,"DLX2","DLX2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113983742",924.252861501289,-1.35859954475043,0.295501707307831,20.5177951864551,5.907943764079e-06,0.00759823616842997,"LOC113983742","LOC113983742",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"RASD1",910.523701028466,-2.1033858492197,0.455662382583092,20.2598477514093,6.76045781474193e-06,0.00788477395285516,"RASD1","RASD1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"STC2",714.39144692164,-2.0483858576725,0.452717475036095,19.8186570566374,8.51474986691992e-06,0.00922147410587427,"STC2","STC2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CEBPD",127.899256454893,-3.73094249191851,0.853097841897929,18.2686739500306,1.91836040298003e-05,0.0193907869533221,"CEBPD","CEBPD",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"EOMES",15.7384411722103,9.55680071034745,2.4266814490751,18.0758849453321,2.12272960050222e-05,0.0201155163767592,"EOMES","EOMES",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"RHOU",245.355991478901,-1.41895161607617,0.346908126842833,16.9088414790052,3.92184833278104e-05,0.0349782731891918,"RHOU","RHOU",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113995251",207.818499947431,-2.08011016595756,0.513002774716753,16.6202712887219,4.56603826885044e-05,0.0365074714883178,"EPHX1","LOC113995251 (EPHX1)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113999467",115.837257015072,3.59565980908339,0.821448639588173,16.6166057850543,4.57487111382429e-05,0.0365074714883178,"PIM1","LOC113999467 (PIM1)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"TSPEAR",147.226558166324,-2.16820197191682,0.519850170629332,16.0862736098994,6.05211220028225e-05,0.0458810625903397,"TSPEAR","TSPEAR",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CACNG3",895.805096057028,-0.733199694816045,0.187555066820607,15.6894262737277,7.4640270867896e-05,0.0528557959935153,"CACNG3","CACNG3",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
