"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"ID1",86.4677737800309,-0.989172447725106,0.179381511154782,-5.51435006516131,3.50071196581349e-08,0.000522166196820739,"ID1","ID1","AH","~ Status","no"
"LOC113999067",98.1165198183069,-0.823308720503404,0.198797200103887,-4.14145028236395,3.45116686757779e-05,0.16999506731612,"IRF2BP2","LOC113999067 (IRF2BP2)","AH","~ Status","no"
"NFYB",291.440424118703,-0.515736330162968,0.12205631281213,-4.22539660817704,2.3852031875363e-05,0.16999506731612,"NFYB","NFYB","AH","~ Status","no"
"ZIC5",37.9909586492249,-2.06996346220075,0.507696229220092,-4.0771692659222,4.55873068694341e-05,0.16999506731612,"ZIC5","ZIC5","AH","~ Status","no"
"LRRC25",126.036275053709,-1.91471259520092,0.479626514885362,-3.99209079518585,6.54932856287671e-05,0.195379569687738,"LRRC25","LRRC25","AH","~ Status","no"
"SBNO2",325.456514578506,0.468908720097824,0.120378705544555,3.89527963418969,9.80855033944881e-05,0.209006195518884,"SBNO2","SBNO2","AH","~ Status","no"
"TRPC6",79.6651785781727,-0.829952831189757,0.212252821642963,-3.91020870660483,9.22164078970082e-05,0.209006195518884,"TRPC6","TRPC6","AH","~ Status","no"
"LOC114003485",147.910691173266,-0.631045766621713,0.164397887828522,-3.83852721562904,0.0001237744972215,0.211158886163535,"COA6","LOC114003485 (COA6)","AH","~ Status","no"
"WIPF3",69.1353939377494,-1.66537367360246,0.434662920606989,-3.83141417095535,0.00012740882109626,0.211158886163535,"WIPF3","WIPF3","AH","~ Status","no"
"LOC113988419",115.41841776863,0.670313012048652,0.176625937093006,3.79509953680068,0.000147584234403071,0.220136644035621,"LRP1","LOC113988419 (LRP1)","AH","~ Status","no"
"LOC113998632",217.907843421211,0.445048730583202,0.119407820533214,3.72713218109033,0.000193670900950833,0.262617741689329,"TECR","LOC113998632 (TECR)","AH","~ Status","no"
"TMEM173",67.8046238516893,0.81128101721601,0.219072890131656,3.7032469728612,0.00021285747561314,0.264581842187133,"TMEM173","TMEM173","AH","~ Status","no"
"GRIN3B",33.0578470788686,1.12449945641483,0.307785168929682,3.65352060440487,0.000258669020804424,0.296792854947599,"GRIN3A","GRIN3B","AH","~ Status","no"
"COPA",2631.93413038182,0.356959682434186,0.100491930722378,3.55212284079142,0.000382136415009323,0.309871009420474,"COPA","COPA","AH","~ Status","no"
"LOC113989187",120.406857797274,0.754683907015913,0.212003452050747,3.5597717853918,0.000371177214374045,0.309871009420474,"CSRNP2","LOC113989187 (CSRNP2)","AH","~ Status","no"
"LOC114000824",16.0030926818852,-2.75479364946718,0.7668347667442,-3.59242143019073,0.000327619451082636,0.309871009420474,"CIB1","LOC114000824 (CIB1)","AH","~ Status","no"
"LOC114003431",190.657666247577,0.68996336894214,0.194396868025504,3.54925146660089,0.000386327958367474,0.309871009420474,"ZNF70","LOC114003431 (ZNF70)","AH","~ Status","no"
"SLC38A10",471.044116942697,0.433938156097227,0.121745656944039,3.56430091216056,0.000364827234802274,0.309871009420474,"SLC38A10","SLC38A10","AH","~ Status","no"
"TSHR",91.2043529361356,1.672911172477,0.472094579685729,3.5435932638554,0.000394713675180277,0.309871009420474,"TSHR","TSHR","AH","~ Status","no"
"NCSTN",1277.43713948043,0.337498932542743,0.0957280413785047,3.52560156546279,0.000422522125578998,0.315117001256817,"NCSTN","NCSTN","AH","~ Status","no"
"IGSF9B",709.179537571628,0.502918103217178,0.144092018410536,3.49025649557007,0.000482557153092273,0.318139479185873,"IGSF9B","IGSF9B","AH","~ Status","no"
"LOC113992196",232.266143940743,0.663002206878321,0.190197699796402,3.48585817592976,0.000490561009739547,0.318139479185873,"SEPTIN4","LOC113992196 (SEPTIN4)","AH","~ Status","no"
"SLC17A5",182.377000582074,-0.422883660981826,0.121248521231416,-3.48774283337202,0.000487116358115761,0.318139479185873,"SLC17A5","SLC17A5","AH","~ Status","no"
"LOC113989407",177.030702092388,0.637547566186406,0.18482650016063,3.4494380710143,0.000561754566102395,0.349130462832639,"A2ML1","LOC113989407 (A2ML1)","AH","~ Status","no"
"LOC113987746",326.200420889799,0.565116324949237,0.164499849787523,3.43536073546069,0.000591765530223174,0.353070985952355,"PAIP2","LOC113987746 (PAIP2)","AH","~ Status","no"
"LOC113985012",10.4587154945015,-2.22947159496803,0.651251328106805,-3.42336590920917,0.000618507585905064,0.354833044283074,"LOC113985012","LOC113985012","AH","~ Status","no"
"AGMO",68.6121143942205,-0.716630622860907,0.217626161612157,-3.29294335548707,0.000991444468401997,0.419081609153582,"AGMO","AGMO","AH","~ Status","no"
"ALPK2",297.435356047513,0.520813002741985,0.160374625422533,3.24747759422551,0.00116432831093353,0.419081609153582,"ALPK2","ALPK2","AH","~ Status","no"
"ARHGEF11",2020.81976203042,0.395612114288517,0.118807599103669,3.3298553061687,0.000868911250236098,0.419081609153582,"ARHGEF11","ARHGEF11","AH","~ Status","no"
"BOP1",259.188382164862,0.595247544978215,0.179675153510909,3.31290962243187,0.00092330810663749,0.419081609153582,"BOP1","BOP1","AH","~ Status","no"
"DDB1",1069.57032225586,0.332728676092883,0.0997416663613063,3.33590452447024,0.000850223576826853,0.419081609153582,"DDB1","DDB1","AH","~ Status","no"
"FOXC1",47.2337974170361,-0.715942789134951,0.222504360141014,-3.21765734694464,0.00129242115989976,0.419081609153582,"FOXC1","FOXC1","AH","~ Status","no"
"FOXP2",617.416483902399,-0.480384994092847,0.144999063093522,-3.31302136609674,0.000922939289377845,0.419081609153582,"FOXP2","FOXP2","AH","~ Status","no"
"GPM6B",22995.568054838,-0.33367286009431,0.103088682341444,-3.23675550521771,0.00120896944095851,0.419081609153582,"GPM6B","GPM6B","AH","~ Status","no"
"LOC113991284",146.728530043017,-1.09198452160191,0.334066609886533,-3.26876284335274,0.0010801879764561,0.419081609153582,"MMP14","LOC113991284 (MMP14)","AH","~ Status","no"
"LOC113994634",27.6893030806998,-0.933851027839452,0.289854128316414,-3.22179654043095,0.00127389561146724,0.419081609153582,NA,"LOC113994634","AH","~ Status","no"
"LOC113998710",255.993620169938,0.381271143753517,0.118071021060421,3.22916783753745,0.00124151009729386,0.419081609153582,"MDGA2","LOC113998710 (MDGA2)","AH","~ Status","no"
"LOC114001898",400.760398411788,-0.928624731316877,0.281774880055029,-3.29562639201736,0.000982025178972923,0.419081609153582,"AKR1B10","LOC114001898 (AKR1B10)","AH","~ Status","no"
"NDUFA1",526.872035959819,-0.307900787033661,0.0954105738168298,-3.22711387969191,0.00125045682162712,0.419081609153582,"NDUFA1","NDUFA1","AH","~ Status","no"
"PSMF1",817.259410209156,0.308306933682651,0.0928613920261423,3.32007658894298,0.000899927554983594,0.419081609153582,"PSMF1","PSMF1","AH","~ Status","no"
"PYGM",325.549378379234,0.719635115563476,0.221947902949668,3.24236050892839,0.00118543963319452,0.419081609153582,"PYGM","PYGM","AH","~ Status","no"
"RIPPLY2",49.5664933406652,-0.985660662100635,0.30158358803816,-3.26828349152713,0.00108201926844031,0.419081609153582,"RIPPLY2","RIPPLY2","AH","~ Status","no"
"SLC29A3",126.008786468511,0.50699354145764,0.155433382220872,3.26180601755933,0.00110704871026902,0.419081609153582,"SLC29A3","SLC29A3","AH","~ Status","no"
"SRSF1",4091.12738326083,-0.254802660037765,0.0784262367781765,-3.24894666001198,0.00115833196391748,0.419081609153582,"SRSF1","SRSF1","AH","~ Status","no"
"TFPI2",82.2454668678223,-0.910659680235702,0.27733327877207,-3.28362930070191,0.00102479622473604,0.419081609153582,"TFPI2","TFPI2","AH","~ Status","no"
"TXNDC16",651.050303707705,0.357615204423237,0.106252647082456,3.3657063070223,0.000763479501861521,0.419081609153582,"TXNDC16","TXNDC16","AH","~ Status","no"
"MYO9A",1142.65738855719,0.431052784908864,0.134609882195573,3.20223729400932,0.00136364616846581,0.423753046850751,"MYO9A","MYO9A","AH","~ Status","no"
"SENP8",185.949659449272,0.409734405314069,0.127864940203299,3.20443121204772,0.0013532962398836,0.423753046850751,"SENP8","SENP8","AH","~ Status","no"
"MRPL38",381.369503807615,0.388127237347609,0.121787195588661,3.18692975457386,0.0014379169283266,0.433863221420126,"MRPL38","MRPL38","AH","~ Status","no"
"WSCD1",4273.07364871718,0.19830416157772,0.0622884906341927,3.18364050177936,0.00145435512677704,0.433863221420126,"WSCD1","WSCD1","AH","~ Status","no"
"ABRACL",52.1622149103014,-0.708059636538234,0.224130510321554,-3.15913989363786,0.00158235515746576,0.438848112064067,"ABRACL","ABRACL","AH","~ Status","no"
"LOC113988442",52.9181145325978,2.01194363728682,0.636263715443955,3.16212222770394,0.00156623808447081,0.438848112064067,"LOC113988442","LOC113988442","AH","~ Status","no"
"PDE9A",212.902517934038,0.410039329635691,0.129842928063456,3.15796428616658,0.00158875020457627,0.438848112064067,"PDE9A","PDE9A","AH","~ Status","no"
"RIC8A",970.727926135888,0.312263125983116,0.0986692329695595,3.16474666504657,0.00155218032821046,0.438848112064067,"RIC8A","RIC8A","AH","~ Status","no"
"ANKZF1",220.256358948866,0.434356053250995,0.138675083319871,3.13218526971497,0.0017351034627801,0.454049179839086,"ANKZF1","ANKZF1","AH","~ Status","no"
"LRRC8B",1060.77617167438,-0.467093180205333,0.149080333466442,-3.13316431043855,0.0017293260465256,0.454049179839086,"LRRC8B","LRRC8B","AH","~ Status","no"
"RNPEP",271.75333151794,0.403904283528945,0.12893961889975,3.13250719193593,0.00173320181227291,0.454049179839086,"RNPEP","RNPEP","AH","~ Status","no"
"AGO2",343.027542158294,-0.286627396018984,0.0926974115692906,-3.0920755085457,0.00198762283330589,0.463550488237338,"AGO2","AGO2","AH","~ Status","no"
"IER5L",495.619062357807,-0.605194015344657,0.194774487612803,-3.10715239332441,0.00188898993217037,0.463550488237338,"IER5L","IER5L","AH","~ Status","no"
"KDM1B",835.087476767329,-0.312613232540301,0.101312186755642,-3.08564292758088,0.00203112578840948,0.463550488237338,"KDM1B","KDM1B","AH","~ Status","no"
"L3MBTL2",414.339957913397,0.345929292858188,0.112025865825019,3.08794125633914,0.00201548307321464,0.463550488237338,"L3MBTL2","L3MBTL2","AH","~ Status","no"
"LOC113983741",463.565338724248,0.461052622678515,0.148666138020641,3.10126185301525,0.00192697804183064,0.463550488237338,"EFR3B","LOC113983741 (EFR3B)","AH","~ Status","no"
"LOC113985972",384.581369151624,-0.423071795793007,0.136592122257622,-3.09733671898783,0.00195267935062214,0.463550488237338,NA,"LOC113985972","AH","~ Status","no"
"LOC113986455",30.7680792333416,1.42081589613801,0.461475845303732,3.07885214491099,0.00207799783726832,0.463550488237338,"CFH","LOC113986455 (CFH)","AH","~ Status","no"
"LOC113998187",8.85734426783757,2.21736643956971,0.716257994486789,3.09576501293852,0.00196305864464889,0.463550488237338,NA,"LOC113998187","AH","~ Status","no"
"SERTM2",125.53284742824,-1.30885046314975,0.41957837290525,-3.11944215352901,0.00181193835077675,0.463550488237338,"SERTM2","SERTM2","AH","~ Status","no"
"SNRNP200",2854.18005053626,0.39571814959066,0.128552865739719,3.0782522607615,0.00208218575435114,0.463550488237338,"SNRNP200","SNRNP200","AH","~ Status","no"
"ADCY6",947.993499279742,0.242172968336405,0.079910355702317,3.03055800725691,0.00244102292843628,0.466851571789742,"ADCY6","ADCY6","AH","~ Status","no"
"ARX",1403.00198126716,-0.492523119813977,0.161080309797165,-3.05762461243196,0.00223098860250887,0.466851571789742,"ARX","ARX","AH","~ Status","no"
"C1QL4",22.6241564723978,2.14941519785177,0.708473839520853,3.03386671172705,0.00241441076238328,0.466851571789742,"C1QL4","C1QL4","AH","~ Status","no"
"CDIP1",1265.47906876138,0.401090372092692,0.130856570762811,3.06511449715204,0.00217586681112547,0.466851571789742,"CDIP1","CDIP1","AH","~ Status","no"
"ECEL1",2835.62776395514,0.61702385848535,0.203518374812766,3.03178452094561,0.00243112683013133,0.466851571789742,"ECEL1","ECEL1","AH","~ Status","no"
"GAMT",292.297817205614,0.430821937988538,0.142697685515342,3.01912351579255,0.00253507154648424,0.466851571789742,"GAMT","GAMT","AH","~ Status","no"
"GPR162",1958.98856618531,0.324558860118281,0.10638074973431,3.05091720944701,0.00228143472974383,0.466851571789742,"GPR162","GPR162","AH","~ Status","no"
"IER5",75.5408308701401,-0.818710418436885,0.267395369905911,-3.06179728813167,0.00220012393980821,0.466851571789742,"IER5","IER5","AH","~ Status","no"
"LHX5",176.77935539126,0.693114711110961,0.229360632722512,3.02194279324959,0.00251158008581942,0.466851571789742,"LHX5","LHX5","AH","~ Status","no"
"LOC113987768",249.95849638656,0.444407238911489,0.145463367887704,3.05511446190745,0.00224974643623046,0.466851571789742,"CLPTM1","LOC113987768 (CLPTM1)","AH","~ Status","no"
"LOC113996267",1484.91967264737,0.862968103030139,0.286883940697917,3.00807393028258,0.00262909171563008,0.466851571789742,"TUBB","LOC113996267 (TUBB)","AH","~ Status","no"
"LOC113998748",15.317225904831,-2.126437031789,0.704190491222486,-3.01969006723943,0.00253033471731013,0.466851571789742,NA,"LOC113998748","AH","~ Status","no"
"LOC114004286",159.125791131278,0.541163466202559,0.179652075497015,3.01228619099115,0.00259288019288033,0.466851571789742,"LOC114004286","LOC114004286","AH","~ Status","no"
"LRRC8C",509.604172151252,-0.282439567474578,0.0936129408202281,-3.01709961250943,0.00255205933169474,0.466851571789742,"LRRC8C","LRRC8C","AH","~ Status","no"
"SLC35G1",203.068804527647,-0.586041779100675,0.19429470241581,-3.01625197091832,0.00255920495731528,0.466851571789742,"SLC35G1","SLC35G1","AH","~ Status","no"
"SSBP4",296.960313857024,0.692707984009093,0.22970152194754,3.01568739351799,0.00256397449643733,0.466851571789742,"SSBP4","SSBP4","AH","~ Status","no"
"THAP4",499.993091349639,0.297951722408204,0.0990060687810503,3.00942887720467,0.00261739352340457,0.466851571789742,"THAP4","THAP4","AH","~ Status","no"
"CRYZ",416.71809668612,0.385311440660677,0.128894201892929,2.98936208923309,0.00279560618418991,0.47385524822019,"CRYZ","CRYZ","AH","~ Status","no"
"GCSH",229.117598352863,-0.546532217222749,0.182312629925212,-2.99777485216984,0.00271958505938918,0.47385524822019,"GCSH","GCSH","AH","~ Status","no"
"LOC113985989",343.615659947865,0.486331701427393,0.162484686440815,2.99309253124318,0.00276166005434318,0.47385524822019,"HNRNPL","LOC113985989 (HNRNPL)","AH","~ Status","no"
"QARS",360.639729818886,0.365657662029459,0.122285305371737,2.99020116045742,0.00278793778875838,0.47385524822019,"QARS","QARS","AH","~ Status","no"
"RRM1",1275.99399512068,0.259731601692338,0.0871203283844073,2.98129732186391,0.00287029971675616,0.481049332304887,"RRM1","RRM1","AH","~ Status","no"
