"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"DLL4",154.680077319603,0.359645262051833,0.0724601455313461,4.96335274259491,6.92865782156665e-07,0.000806337695347104,"DLL4","DLL4","AH","~ strength.all_study","yes"
"EIF4E3",227.175093455081,0.524569700823004,0.118305140664749,4.43403978792027,9.24835467937887e-06,0.0066466391000386,"EIF4E","EIF4E3","AH","~ strength.all_study","yes"
"LOC114003345",36.8852604835616,-0.93524694533731,0.211944902070737,-4.41268903474343,1.02094585370268e-05,0.0066466391000386,NA,"LOC114003345","AH","~ strength.all_study","yes"
"LOC113994733",269.638264049687,0.307097473240154,0.0707745582453711,4.33909417244917,1.43071208492548e-05,0.00745213938659894,"LOC113994733","LOC113994733","AH","~ strength.all_study","yes"
"LMO3",1532.38257285455,-0.234234618002503,0.0631409457658505,-3.7097103181053,0.000207496525888342,0.108696786763895,"LMO3","LMO3","AH","~ strength.all_study","yes"
"LOC113987286",91.9363099368081,-0.441469819645183,0.11994068160502,-3.68073462429535,0.000232562951952543,0.108696786763895,"LOC113987286","LOC113987286","AH","~ strength.all_study","yes"
"LOC113990682",13.1311421354471,0.764172370501416,0.204463762104571,3.73744649240381,0.000185898634826287,0.108696786763895,"ACSM3","LOC113990682 (ACSM3)","AH","~ strength.all_study","yes"
"SLC5A3",721.821224429431,0.225380496867809,0.0614275909132138,3.66904339755456,0.00024345975262867,0.108696786763895,"SLC5A3","SLC5A3","AH","~ strength.all_study","yes"
"LOC113984233",526.325367662835,0.609858465415441,0.171796884993238,3.5498808109323,0.000385405600985319,0.159891348024053,"CA15L","LOC113984233 (CA15L)","AH","~ strength.all_study","yes"
"SMURF2",328.939004457724,0.178424397083693,0.0507665491532262,3.51460558300238,0.000440407560717227,0.159891348024053,"SMURF2","SMURF2","AH","~ strength.all_study","yes"
"TMEFF2",2907.74403796897,-0.128548858606873,0.0363580739013822,-3.5356344496012,0.00040679717961091,0.159891348024053,"TMEFF2","TMEFF2","AH","~ strength.all_study","yes"
"C2CD3",447.01631729869,0.258114893448348,0.0777160411365832,3.32125632846789,0.000896131944301937,0.165095204157527,"C2CD3","C2CD3","AH","~ strength.all_study","yes"
"DAB1",1870.79617328006,0.318822754564784,0.0928879644170462,3.43233654182948,0.000598404483352413,0.165095204157527,"DAB1","DAB1","AH","~ strength.all_study","yes"
"EHD4",480.849759600068,0.175969051347133,0.052277728435198,3.36604241642327,0.000762549817092534,0.165095204157527,"EHD4","EHD4","AH","~ strength.all_study","yes"
"HMX3",258.17459724897,-0.497578431668739,0.150237338982468,-3.31194918013561,0.00092648374498043,0.165095204157527,"HMX3","HMX3","AH","~ strength.all_study","yes"
"IGF2BP3",44.4659750817283,-0.641213049564722,0.191943632019728,-3.34063205336667,0.000835879194037982,0.165095204157527,"IGF2BP3","IGF2BP3","AH","~ strength.all_study","yes"
"LOC113984720",26.6805656456666,-0.609643037989702,0.178366052724643,-3.41793199253477,0.000630988712686676,0.165095204157527,"LOC113984720","LOC113984720","AH","~ strength.all_study","yes"
"LOC113987015",110.663986013306,-0.535572868151797,0.161896571492345,-3.30811741851569,0.000939254201852333,0.165095204157527,"OTOF","LOC113987015 (OTOF)","AH","~ strength.all_study","yes"
"LOC113993146",44.4455436879074,-0.523524005952547,0.157154124270552,-3.33127754923736,0.000864483623728412,0.165095204157527,"OTOF","LOC113993146 (OTOF)","AH","~ strength.all_study","yes"
"LOC113998982",665.016611919968,0.329892165109358,0.0963147585323262,3.42514657292771,0.00061446782256331,0.165095204157527,"FNTB","LOC113998982 (FNTB)","AH","~ strength.all_study","yes"
"LOC113999202",48.9566573808133,1.03926758667019,0.298887241944799,3.47712260954295,0.000506825990721107,0.165095204157527,"DAPK3","LOC113999202 (DAPK3)","AH","~ strength.all_study","yes"
"NXPH2",333.911885402923,-0.332236477331579,0.100651103943604,-3.30087266124508,0.000963846171629281,0.165095204157527,"NXPH2","NXPH2","AH","~ strength.all_study","yes"
"OTOG",97.05594438488,0.725713557285932,0.212987045548142,3.40731313220596,0.000656058144899343,0.165095204157527,"OTOG","OTOG","AH","~ strength.all_study","yes"
"SFRP2",219.666125547546,-0.515238370074484,0.152419039364068,-3.38040688502036,0.000723785948922606,0.165095204157527,"SFRP2","SFRP2","AH","~ strength.all_study","yes"
"SLC17A8",50.2884085457385,-0.662162308009585,0.198302606982224,-3.33915079628248,0.000840349328988173,0.165095204157527,"SLC17A8","SLC17A8","AH","~ strength.all_study","yes"
"SUN1",1936.15244832234,0.108574630699786,0.0326408616275693,3.3263408282115,0.000879942605928675,0.165095204157527,"SUN1","SUN1","AH","~ strength.all_study","yes"
"TLCD2",130.104404630391,0.589170625080529,0.173655864436608,3.39274822069486,0.00069195207775835,0.165095204157527,"TLCD2","TLCD2","AH","~ strength.all_study","yes"
"ASCL3",79.033922894217,-0.283975691688639,0.08748330996643,-3.24605563961411,0.00117015967186964,0.200397630444733,"ASCL3","ASCL3","AH","~ strength.all_study","yes"
"CUNH11orf52",177.289803820368,0.533702087173465,0.166699746611701,3.20157707507878,0.00136677504967382,0.229641037975829,"CUNH11orf52","CUNH11orf52","AH","~ strength.all_study","yes"
"INSC",21.407790901411,-0.824921611085026,0.259348238141675,-3.18074885334056,0.00146894915408598,0.229641037975829,"INSC","INSC","AH","~ strength.all_study","yes"
"PAIP2B",392.495911595573,0.214867144164657,0.0674779596898424,3.18425668399398,0.00145126260399049,0.229641037975829,"PAIP2B","PAIP2B","AH","~ strength.all_study","yes"
"SLC4A1AP",573.561530525929,0.211419957260568,0.0663523160538907,3.18632370102733,0.00144093277972866,0.229641037975829,"SLC4A1AP","SLC4A1AP","AH","~ strength.all_study","yes"
"PGM5",82.6568182100409,0.326183606561751,0.103466951790183,3.15253905636658,0.00161857167484005,0.249827739535267,"PGM5","PGM5","AH","~ strength.all_study","yes"
"LOC113990605",1698.4576656469,-0.29183938419174,0.0945104097167979,-3.08790730107129,0.00201571337020954,0.314525566679674,"GSTA5","LOC113990605 (GSTA5)","AH","~ strength.all_study","yes"
"LOC113987776",52.5677959535108,-0.622796991668782,0.203026770175622,-3.06756094839145,0.00215813445487536,0.331291042682808,"LOC113987776","LOC113987776","AH","~ strength.all_study","yes"
"FUBP3",526.48775184122,0.159104551192911,0.0522506257309058,3.0450267143653,0.00232659643144575,0.342579409902668,"FUBP3","FUBP3","AH","~ strength.all_study","yes"
"LOC114000789",53.1846834551402,0.54178439395012,0.177593343145107,3.05070215107917,0.00228306932999599,0.342579409902668,"KRT80","LOC114000789 (KRT80)","AH","~ strength.all_study","yes"
"C1QTNF1",50.0211220346507,0.573543030740927,0.188798945376343,3.03785081848657,0.00238271879429707,0.343120209159806,"C1QTNF1","C1QTNF1","AH","~ strength.all_study","yes"
"AS3MT",16.8695266997418,0.929106368754541,0.309552306915643,3.00145192911689,0.00268695459592883,0.375640403981617,"AS3MT","AS3MT","AH","~ strength.all_study","yes"
"ITPKB",1141.09732159737,0.336716707266938,0.112650894918536,2.98902824971285,0.00279866254583234,0.375640403981617,"ITPKB","ITPKB","AH","~ strength.all_study","yes"
"LOC113982292",12.1218750248771,0.889970820009605,0.296896099931545,2.99758339774354,0.00272129390556028,0.375640403981617,"RNF212B","LOC113982292 (RNF212B)","AH","~ strength.all_study","yes"
"VWA3A",152.219229035317,-0.386306025455823,0.129135026423577,-2.99148911147233,0.00277620438545968,0.375640403981617,"VWA3A","VWA3A","AH","~ strength.all_study","yes"
"GLUL",19648.5338060862,0.297105718759457,0.100168308621263,2.96606504441257,0.00301636688151316,0.385546953171722,"GLUL","GLUL","AH","~ strength.all_study","yes"
"LOC113990512",4.92014921639149,1.24920403237504,0.420730095896944,2.96913399958207,0.00298640335987287,0.385546953171722,"LOC113990512","LOC113990512","AH","~ strength.all_study","yes"
