"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LOC113995597",107.392936603433,1.64211990383239,0.331420851074098,4.95478754131028,7.2409364126685e-07,0.0357435656857827,"LOC113995597","LOC113995597","AH","~ mean_T","yes"
"IGF2BP3",44.4659750817283,-1.20353743417873,0.250507773899223,-4.80439155817535,1.55222800451658e-06,0.0357537686829753,"IGF2BP3","IGF2BP3","AH","~ mean_T","yes"
"SH3YL1",435.747382521564,-0.710890521174224,0.152423496441031,-4.66391690108782,3.10246704825058e-06,0.0447488885439669,"SH3YL1","SH3YL1","AH","~ mean_T","yes"
"CAV2",452.985704921715,-0.678900893531787,0.160365174671808,-4.23346836319778,2.30114566841017e-05,0.167559184414432,"CAV2","CAV2","AH","~ mean_T","yes"
"CUNH8orf48",699.422966197673,-0.381578631924752,0.0901746934926533,-4.23154897616414,2.32087443435575e-05,0.167559184414432,"CUNH8orf48","CUNH8orf48","AH","~ mean_T","yes"
"LOC113996268",1989.11235151736,0.793369194078011,0.204406547516596,3.88132965267954,0.000103886908149316,0.434008582818333,"LOC113996268","LOC113996268","AH","~ mean_T","yes"
"LOC113996659",13.8665561959925,1.40030323606893,0.362202170869501,3.86608184237927,0.000110597837168898,0.434008582818333,"LOC113996659","LOC113996659","AH","~ mean_T","yes"
"LOC113997892",58.8738537913418,1.26780824205217,0.322332313784512,3.93323346073126,8.38107645151073e-05,0.434008582818333,"LOC113997892","LOC113997892","AH","~ mean_T","yes"
"LOC113991754",17.8224373658151,3.59758874377847,0.945820518291051,3.80366959080011,0.00014256831094859,0.486187191388339,"LOC113991754","LOC113991754","AH","~ mean_T","yes"
"DIO2",50.5186995771885,-1.22772900255257,0.333490999683207,-3.68144568734638,0.000231915196699987,0.61970523884046,"DIO2","DIO2","AH","~ mean_T","yes"
"NOX5",27.0042612382772,-1.14448577537519,0.3092143406948,-3.70127004072176,0.000214523021931222,0.61970523884046,"NOX5","NOX5","AH","~ mean_T","yes"
"LOC114003786",11.2755167402771,-1.51536028387177,0.426299251918415,-3.55468670670288,0.000378429720139776,0.887596586670334,NA,"LOC114003786","AH","~ mean_T","yes"
"LOC113997153",10.049863132734,-3.64907212986691,1.04015769091828,-3.5081912691963,0.000451164552279419,0.961735026046948,"LOC113997153","LOC113997153","AH","~ mean_T","yes"
"A2M",410.301414712991,0.167369158124649,0.169171632073687,0.989345294320666,0.322494230230437,0.969549681368583,"A2M","A2M","AH","~ mean_T","yes"
"AACS",1796.192966825,-0.151598935750158,0.0956470671133404,-1.58498258572336,0.112970290928755,0.969549681368583,"AACS","AACS","AH","~ mean_T","yes"
"AAR2",623.627152663254,-0.0883404700318471,0.0842283172815635,-1.0488214995028,0.294260280437403,0.969549681368583,"AAR2","AAR2","AH","~ mean_T","yes"
