"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"EPCAM",127.337440338599,-1.68791946880533,0.310106277515255,-5.44303547264468,5.23802109576328e-08,5.69510454003404e-06,"EPCAM","EPCAM","AI","~ mean_T","yes"
"PDGFRA",1470.86374038769,-0.291480521151545,0.0538545077203088,-5.41236998517074,6.21960116745188e-08,5.69510454003404e-06,"PDGFRA","PDGFRA","AI","~ mean_T","yes"
"PTN",8338.96354298238,-0.261711948500096,0.0477381560888698,-5.48223831714177,4.19977951506329e-08,5.69510454003404e-06,"PTN","PTN","AI","~ mean_T","yes"
"CTBS",616.522215760934,-0.441496533356644,0.0911911091622772,-4.84144273945597,1.28899820647841e-06,0.000191806084814117,"CTBS","CTBS","AI","~ mean_T","yes"
"TM9SF3",1826.00021145995,-0.199447026806509,0.0426279732251113,-4.67878277377305,2.88582976864822e-06,0.000421545219144326,"TM9SF3","TM9SF3","AI","~ mean_T","yes"
"AMIGO2",730.634662291218,-0.291652437019694,0.0646710542373241,-4.50978324784089,6.48938960849284e-06,0.000839197949701141,"AMIGO2","AMIGO2","AI","~ mean_T","yes"
"TMEM63C",5510.25348124611,0.1979713556417,0.0439136471329852,4.50819662147798,6.53809725816738e-06,0.000839197949701141,"TMEM63C","TMEM63C","AI","~ mean_T","yes"
"CDC42EP3",282.498684704404,-0.401119772084072,0.0919167576715029,-4.36394605559973,1.27737088671813e-05,0.00168178885675811,"CDC42EP3","CDC42EP3","AI","~ mean_T","yes"
"IGF2BP3",27.5255160311207,-1.43573291761138,0.330422807669046,-4.34513866563781,1.39187710308444e-05,0.00168178885675811,"IGF2BP3","IGF2BP3","AI","~ mean_T","yes"
"LOC113988442",61.692638544626,1.58509658652886,0.371955852002343,4.26151807531953,2.03042928153884e-05,0.00242852495693808,"LOC113988442","LOC113988442","AI","~ mean_T","yes"
"C1GALT1",527.033760655098,-0.296495459341886,0.0736977893874883,-4.02312554835223,5.74308616117372e-05,0.00686208199976731,"C1GALT1","C1GALT1","AI","~ mean_T","yes"
"GGH",1843.60740240983,-0.300649154751377,0.0743440347124152,-4.04402526597294,5.25412534104059e-05,0.00686208199976731,"GGH","GGH","AI","~ mean_T","yes"
"LOC113997153",15.7070209392326,-4.65409708334846,1.1551609127563,-4.02895997601184,5.60241546144709e-05,0.00686208199976731,"LOC113997153","LOC113997153","AI","~ mean_T","yes"
"LOC113987257",10.0124452640616,1.85332582930523,0.46878583019302,3.95345957564914,7.70292827421603e-05,0.00919881022749466,"HYDIN","LOC113987257 (HYDIN)","AI","~ mean_T","yes"
"PPP2R5C",2064.90344673626,-0.189098300127436,0.0481833437859503,-3.92455743560443,8.68893276428644e-05,0.00998096212279413,"PPP2R5C","PPP2R5C","AI","~ mean_T","yes"
"RALB",1621.43503019549,-0.189814793831371,0.0485489164680451,-3.90976375253002,9.2386431787699e-05,0.0101030078734415,"RALB","RALB","AI","~ mean_T","yes"
"ANKRD29",480.330077507732,0.367257260990205,0.0946096485256418,3.88181614363221,0.000103679253099662,0.0109832130216825,"ANKRD29","ANKRD29","AI","~ mean_T","yes"
"SIDT1",2199.39578125383,-0.406173491916105,0.104987511459811,-3.86877911732947,0.000109381674091061,0.0110909932511515,"SIDT1","SIDT1","AI","~ mean_T","yes"
"CASD1",1630.05636629097,-0.176747814757689,0.0458780299895322,-3.85255894374751,0.000116889826483204,0.0114163047961148,"CASD1","CASD1","AI","~ mean_T","yes"
"PIEZO1",73.0293523990579,0.684523136928843,0.180685693975603,3.78847446008244,0.000151575171331909,0.0150062268970495,"PIEZO1","PIEZO1","AI","~ mean_T","yes"
"NOC4L",582.312549425199,-0.289984523711491,0.0769647361539237,-3.76775830338123,0.00016472006658161,0.0158565161883652,"NOC4L","NOC4L","AI","~ mean_T","yes"
"RAP1B",1018.98710129333,-0.174733322522515,0.0467064421879994,-3.74109682384264,0.00018321891342041,0.017288157918274,"RAP1B","RAP1B","AI","~ mean_T","yes"
"CNNM1",1254.83891231027,0.226924287026368,0.0616677809391305,3.67978681202028,0.000233429018179032,0.0223776798216785,"CNNM1","CNNM1","AI","~ mean_T","yes"
"DIXDC1",1278.68342081345,0.240807628738845,0.0656171467317788,3.66988875214564,0.000242656049599684,0.0225089756213033,"DIXDC1","DIXDC1","AI","~ mean_T","yes"
"CERK",417.178976868177,-0.22878409048258,0.0628217013786113,-3.64180029292351,0.000270738071017807,0.0239154971574906,"CERK","CERK","AI","~ mean_T","yes"
"LOC113992168",531.794091262915,-0.73239517130611,0.2011526772812,-3.64099141609865,0.000271590192435207,0.0239154971574906,"C4A","LOC113992168 (C4A)","AI","~ mean_T","yes"
"LOC113989013",34.4620095196262,-0.912967661391241,0.259490233564487,-3.51831222643821,0.000434301049886804,0.0398983826857179,"TPTE2","LOC113989013 (TPTE2)","AI","~ mean_T","yes"
"WSB1",1608.23708988216,0.168924648745803,0.0479363684281903,3.52393504732957,0.000425188463434338,0.0398983826857179,"WSB1","WSB1","AI","~ mean_T","yes"
"LOC114002160",340.638299019582,0.556976459912654,0.159783820459678,3.48581263303319,0.000490644530427183,0.044854577868483,"TESC","LOC114002160 (TESC)","AI","~ mean_T","yes"
"SOWAHC",683.821431610676,-0.349847844829858,0.101343654717317,-3.4520942214459,0.000556253447227981,0.0507072878783978,"SOWAHC","SOWAHC","AI","~ mean_T","yes"
"ABCD3",1110.59723144166,-0.150943888816618,0.0441320178640293,-3.42028069692339,0.000625565512197412,0.0533678338534869,"ABCD3","ABCD3","AI","~ mean_T","yes"
"AFAP1L2",402.759695813503,-0.240591476514801,0.0702036141005793,-3.42705257552853,0.000610170919371601,0.0533678338534869,"AFAP1L2","AFAP1L2","AI","~ mean_T","yes"
"RAD51D",213.574310260295,0.539593231783116,0.157534020545992,3.42524890758806,0.000614236405262567,0.0533678338534869,"RAD51D","RAD51D","AI","~ mean_T","yes"
"TBCA",1553.81714730129,-0.229093860619982,0.0673331176926929,-3.40239496506848,0.000667980258772631,0.0562134253565316,"TBCA","TBCA","AI","~ mean_T","yes"
"LOC114001898",409.607887063254,-0.741893460081164,0.220671078391287,-3.3619877398055,0.000773835593477399,0.0655987581725034,"AKR1B10","LOC114001898 (AKR1B10)","AI","~ mean_T","yes"
"MED16",739.783069815752,0.191541597268274,0.0570936329725551,3.35486791251047,0.00079402888354307,0.0658576979557227,"MED16","MED16","AI","~ mean_T","yes"
"KLF9",220.545956739936,-0.624552034222696,0.186656484221686,-3.34599698921219,0.00081987285944257,0.0666876762911347,"KLF9","KLF9","AI","~ mean_T","yes"
